frequency,raw
20.00,0.67
20.20,0.69
20.40,0.71
20.61,0.73
20.81,0.74
21.02,0.76
21.23,0.78
21.44,0.80
21.66,0.82
21.87,0.84
22.09,0.86
22.31,0.88
22.54,0.91
22.76,0.93
22.99,0.95
23.22,0.97
23.45,0.98
23.69,1.00
23.92,1.03
24.16,1.05
24.40,1.08
24.65,1.12
24.89,1.16
25.14,1.20
25.39,1.25
25.65,1.28
25.91,1.32
26.16,1.34
26.43,1.36
26.69,1.39
26.96,1.41
27.23,1.44
27.50,1.47
27.77,1.50
28.05,1.54
28.33,1.58
28.62,1.61
28.90,1.64
29.19,1.67
29.48,1.71
29.78,1.77
30.08,1.83
30.38,1.90
30.68,1.97
30.99,2.04
31.30,2.10
31.61,2.15
31.93,2.19
32.24,2.23
32.57,2.26
32.89,2.30
33.22,2.33
33.55,2.36
33.89,2.39
34.23,2.41
34.57,2.43
34.92,2.43
35.27,2.43
35.62,2.42
35.97,2.41
36.33,2.39
36.70,2.37
37.06,2.35
37.43,2.33
37.81,2.31
38.19,2.30
38.57,2.30
38.95,2.31
39.34,2.33
39.74,2.36
40.14,2.41
40.54,2.47
40.94,2.53
41.35,2.59
41.76,2.65
42.18,2.69
42.60,2.74
43.03,2.77
43.46,2.78
43.90,2.79
44.33,2.79
44.78,2.78
45.23,2.77
45.68,2.74
46.13,2.69
46.60,2.62
47.06,2.54
47.53,2.46
48.01,2.38
48.49,2.30
48.97,2.24
49.46,2.17
49.96,2.10
50.46,2.03
50.96,1.96
51.47,1.88
51.99,1.79
52.51,1.70
53.03,1.61
53.56,1.52
54.10,1.44
54.64,1.36
55.18,1.29
55.74,1.23
56.29,1.18
56.86,1.14
57.42,1.11
58.00,1.08
58.58,1.08
59.16,1.09
59.76,1.11
60.35,1.14
60.96,1.17
61.57,1.22
62.18,1.26
62.80,1.30
63.43,1.33
64.07,1.36
64.71,1.37
65.35,1.37
66.01,1.37
66.67,1.36
67.33,1.35
68.01,1.34
68.69,1.34
69.37,1.34
70.07,1.36
70.77,1.39
71.48,1.43
72.19,1.49
72.91,1.56
73.64,1.63
74.38,1.70
75.12,1.77
75.87,1.82
76.63,1.88
77.40,1.92
78.17,1.97
78.95,2.00
79.74,2.03
80.54,2.06
81.35,2.08
82.16,2.10
82.98,2.11
83.81,2.12
84.65,2.12
85.50,2.13
86.35,2.13
87.22,2.13
88.09,2.13
88.97,2.12
89.86,2.12
90.76,2.11
91.66,2.10
92.58,2.08
93.51,2.06
94.44,2.04
95.39,2.01
96.34,1.98
97.30,1.94
98.28,1.90
99.26,1.86
100.25,1.81
101.25,1.76
102.27,1.71
103.29,1.65
104.32,1.59
105.37,1.52
106.42,1.46
107.48,1.39
108.56,1.31
109.64,1.24
110.74,1.16
111.85,1.07
112.97,0.99
114.10,0.90
115.24,0.81
116.39,0.72
117.55,0.63
118.73,0.54
119.92,0.45
121.12,0.35
122.33,0.25
123.55,0.16
124.79,0.07
126.03,0.02
127.29,-0.00
128.57,0.00
129.85,0.01
131.15,0.02
132.46,0.02
133.79,-0.00
135.12,-0.03
136.48,-0.07
137.84,-0.10
139.22,-0.14
140.61,-0.17
142.02,-0.20
143.44,-0.23
144.87,-0.27
146.32,-0.30
147.78,-0.34
149.26,-0.38
150.75,-0.42
152.26,-0.46
153.78,-0.51
155.32,-0.55
156.88,-0.59
158.44,-0.64
160.03,-0.68
161.63,-0.73
163.24,-0.77
164.88,-0.81
166.53,-0.85
168.19,-0.89
169.87,-0.92
171.57,-0.95
173.29,-0.96
175.02,-0.98
176.77,-0.97
178.54,-0.96
180.32,-0.94
182.13,-0.91
183.95,-0.89
185.79,-0.87
187.65,-0.86
189.52,-0.84
191.42,-0.84
193.33,-0.83
195.27,-0.82
197.22,-0.82
199.19,-0.81
201.18,-0.80
203.19,-0.79
205.23,-0.78
207.28,-0.77
209.35,-0.76
211.44,-0.75
213.56,-0.74
215.69,-0.74
217.85,-0.73
220.03,-0.72
222.23,-0.72
224.45,-0.71
226.70,-0.71
228.96,-0.70
231.25,-0.70
233.57,-0.69
235.90,-0.69
238.26,-0.69
240.64,-0.68
243.05,-0.68
245.48,-0.68
247.93,-0.68
250.41,-0.68
252.92,-0.68
255.45,-0.68
258.00,-0.68
260.58,-0.68
263.19,-0.68
265.82,-0.68
268.48,-0.69
271.16,-0.69
273.87,-0.69
276.61,-0.70
279.38,-0.70
282.17,-0.71
284.99,-0.72
287.84,-0.73
290.72,-0.74
293.63,-0.75
296.57,-0.77
299.53,-0.79
302.53,-0.81
305.55,-0.83
308.61,-0.85
311.69,-0.87
314.81,-0.90
317.96,-0.92
321.14,-0.95
324.35,-0.98
327.59,-1.00
330.87,-1.02
334.18,-1.05
337.52,-1.07
340.90,-1.09
344.30,-1.11
347.75,-1.13
351.23,-1.14
354.74,-1.16
358.28,-1.17
361.87,-1.18
365.49,-1.19
369.14,-1.20
372.83,-1.20
376.56,-1.21
380.33,-1.22
384.13,-1.22
387.97,-1.22
391.85,-1.22
395.77,-1.22
399.73,-1.21
403.72,-1.21
407.76,-1.20
411.84,-1.19
415.96,-1.19
420.12,-1.18
424.32,-1.18
428.56,-1.17
432.85,-1.17
437.18,-1.17
441.55,-1.16
445.96,-1.16
450.42,-1.15
454.93,-1.14
459.48,-1.14
464.07,-1.13
468.71,-1.12
473.40,-1.10
478.13,-1.09
482.91,-1.08
487.74,-1.06
492.62,-1.05
497.55,-1.03
502.52,-1.01
507.55,-0.99
512.62,-0.96
517.75,-0.94
522.93,-0.92
528.16,-0.89
533.44,-0.87
538.77,-0.84
544.16,-0.81
549.60,-0.78
555.10,-0.76
560.65,-0.73
566.25,-0.70
571.92,-0.67
577.64,-0.65
583.41,-0.62
589.25,-0.59
595.14,-0.56
601.09,-0.53
607.10,-0.50
613.17,-0.47
619.30,-0.44
625.50,-0.41
631.75,-0.38
638.07,-0.35
644.45,-0.33
650.89,-0.30
657.40,-0.27
663.98,-0.24
670.62,-0.21
677.32,-0.19
684.10,-0.16
690.94,-0.14
697.85,-0.12
704.83,-0.10
711.87,-0.08
718.99,-0.06
726.18,-0.05
733.44,-0.04
740.78,-0.03
748.19,-0.02
755.67,-0.02
763.23,-0.02
770.86,-0.02
778.57,-0.02
786.35,-0.03
794.22,-0.04
802.16,-0.05
810.18,-0.07
818.28,-0.09
826.46,-0.11
834.73,-0.12
843.08,-0.14
851.51,-0.15
860.02,-0.15
868.62,-0.15
877.31,-0.14
886.08,-0.12
894.94,-0.10
903.89,-0.08
912.93,-0.05
922.06,-0.03
931.28,-0.00
940.59,0.02
950.00,0.04
959.50,0.05
969.09,0.05
978.78,0.04
988.57,0.03
998.46,0.00
1008.44,-0.02
1018.53,-0.06
1028.71,-0.09
1039.00,-0.13
1049.39,-0.18
1059.88,-0.23
1070.48,-0.27
1081.19,-0.31
1092.00,-0.35
1102.92,-0.37
1113.95,-0.37
1125.09,-0.35
1136.34,-0.31
1147.70,-0.25
1159.18,-0.16
1170.77,-0.07
1182.48,0.04
1194.30,0.16
1206.25,0.28
1218.31,0.40
1230.49,0.53
1242.80,0.65
1255.22,0.77
1267.78,0.89
1280.45,1.01
1293.26,1.13
1306.19,1.24
1319.25,1.36
1332.45,1.47
1345.77,1.59
1359.23,1.71
1372.82,1.82
1386.55,1.93
1400.41,2.03
1414.42,2.12
1428.56,2.20
1442.85,2.26
1457.28,2.31
1471.85,2.35
1486.57,2.37
1501.43,2.38
1516.45,2.36
1531.61,2.34
1546.93,2.31
1562.40,2.28
1578.02,2.26
1593.80,2.27
1609.74,2.31
1625.84,2.39
1642.10,2.55
1658.52,2.76
1675.10,3.01
1691.85,3.32
1708.77,3.65
1725.86,3.99
1743.12,4.33
1760.55,4.67
1778.15,5.00
1795.94,5.30
1813.90,5.59
1832.03,5.86
1850.36,6.11
1868.86,6.34
1887.55,6.56
1906.42,6.75
1925.49,6.93
1944.74,7.07
1964.19,7.19
1983.83,7.28
2003.67,7.35
2023.71,7.37
2043.94,7.38
2064.38,7.37
2085.03,7.35
2105.88,7.32
2126.94,7.29
2148.20,7.26
2169.69,7.24
2191.38,7.22
2213.30,7.23
2235.43,7.25
2257.78,7.28
2280.36,7.30
2303.17,7.30
2326.20,7.28
2349.46,7.23
2372.95,7.14
2396.68,7.04
2420.65,6.91
2444.86,6.77
2469.31,6.63
2494.00,6.52
2518.94,6.47
2544.13,6.46
2569.57,6.56
2595.27,6.71
2621.22,6.90
2647.43,7.12
2673.90,7.30
2700.64,7.46
2727.65,7.56
2754.93,7.61
2782.48,7.60
2810.30,7.56
2838.40,7.48
2866.79,7.39
2895.46,7.28
2924.41,7.15
2953.65,7.02
2983.19,6.88
3013.02,6.73
3043.15,6.57
3073.58,6.40
3104.32,6.21
3135.36,6.00
3166.72,5.77
3198.38,5.52
3230.37,5.24
3262.67,4.93
3295.30,4.59
3328.25,4.19
3361.53,3.77
3395.15,3.33
3429.10,2.96
3463.39,2.68
3498.03,2.50
3533.01,2.43
3568.34,2.38
3604.02,2.33
3640.06,2.25
3676.46,2.14
3713.22,2.01
3750.36,1.85
3787.86,1.69
3825.74,1.53
3864.00,1.38
3902.64,1.24
3941.66,1.11
3981.08,0.98
4020.89,0.86
4061.10,0.73
4101.71,0.55
4142.73,0.33
4184.15,0.04
4226.00,-0.39
4268.26,-0.86
4310.94,-1.36
4354.05,-1.54
4397.59,-1.31
4441.56,-0.82
4485.98,-0.03
4530.84,0.69
4576.15,1.29
4621.91,1.80
4668.13,2.17
4714.81,2.46
4761.96,2.70
4809.58,2.88
4857.67,3.02
4906.25,3.11
4955.31,3.17
5004.87,3.18
5054.91,3.08
5105.46,2.88
5156.52,2.56
5208.08,2.05
5260.16,1.41
5312.77,0.74
5365.89,0.07
5419.55,-0.40
5473.75,-0.70
5528.49,-0.84
5583.77,-0.90
5639.61,-0.96
5696.00,-1.02
5752.96,-1.11
5810.49,-1.22
5868.60,-1.39
5927.28,-1.62
5986.56,-1.92
6046.42,-2.33
6106.89,-2.81
6167.96,-3.35
6229.64,-3.93
6291.93,-4.48
6354.85,-4.89
6418.40,-5.22
6482.58,-5.39
6547.41,-5.49
6612.88,-5.57
6679.01,-5.67
6745.80,-5.82
6813.26,-6.01
6881.39,-6.27
6950.21,-6.53
7019.71,-6.79
7089.91,-7.02
7160.81,-7.19
7232.41,-7.30
7304.74,-7.38
7377.79,-7.41
7451.56,-7.43
7526.08,-7.43
7601.34,-7.40
7677.35,-7.24
7754.13,-7.01
7831.67,-6.49
7909.98,-5.90
7989.08,-5.16
8068.98,-4.37
8149.67,-3.59
8231.16,-2.85
8313.47,-2.18
8396.61,-1.56
8480.57,-1.00
8565.38,-0.50
8651.03,-0.06
8737.54,0.33
8824.92,0.59
8913.17,0.64
9002.30,0.60
9092.32,0.18
9183.25,-0.52
9275.08,-1.45
9367.83,-2.68
9461.51,-4.19
9556.12,-5.88
9651.68,-7.72
9748.20,-9.67
9845.68,-11.69
9944.14,-13.59
10043.58,-14.98
10144.02,-15.79
10245.46,-15.08
10347.91,-13.92
10451.39,-12.34
10555.91,-10.72
10661.46,-9.24
10768.08,-7.93
10875.76,-6.93
10984.52,-6.24
11094.36,-5.72
11205.31,-5.40
11317.36,-5.22
11430.53,-5.05
11544.84,-4.87
11660.29,-4.65
11776.89,-4.34
11894.66,-3.78
12013.60,-3.18
12133.74,-2.50
12255.08,-1.82
12377.63,-1.19
12501.41,-0.65
12626.42,-0.20
12752.68,0.20
12880.21,0.44
13009.01,0.60
13139.10,0.76
13270.49,0.47
13403.20,-0.00
13537.23,-0.97
13672.60,-2.21
13809.33,-3.71
13947.42,-5.51
14086.90,-7.20
14227.77,-8.81
14370.04,-9.85
14513.74,-10.20
14658.88,-9.49
14805.47,-8.61
14953.52,-7.42
15103.06,-6.45
15254.09,-5.58
15406.63,-5.18
15560.70,-4.88
15716.30,-4.71
15873.47,-4.48
16032.20,-4.19
16192.52,-3.76
16354.45,-3.26
16517.99,-2.75
16683.17,-2.28
16850.01,-1.90
17018.51,-1.61
17188.69,-1.55
17360.58,-1.75
17534.18,-2.18
17709.53,-2.98
17886.62,-4.06
18065.49,-5.25
18246.14,-6.47
18428.60,-7.30
18612.89,-7.69
18799.02,-7.61
18987.01,-6.99
19176.88,-5.98
19368.65,-4.91
19562.33,-3.91
19757.96,-3.08
19955.54,-2.25
