frequency,raw
20.00,-0.04
20.20,0.02
20.40,0.08
20.61,0.13
20.81,0.19
21.02,0.25
21.23,0.31
21.44,0.37
21.66,0.43
21.87,0.49
22.09,0.53
22.31,0.57
22.54,0.60
22.76,0.62
22.99,0.64
23.22,0.66
23.45,0.69
23.69,0.72
23.92,0.76
24.16,0.79
24.40,0.82
24.65,0.85
24.89,0.88
25.14,0.92
25.39,0.95
25.65,0.99
25.91,1.02
26.16,1.06
26.43,1.08
26.69,1.10
26.96,1.11
27.23,1.11
27.50,1.11
27.77,1.11
28.05,1.13
28.33,1.15
28.62,1.18
28.90,1.21
29.19,1.24
29.48,1.26
29.78,1.28
30.08,1.31
30.38,1.33
30.68,1.36
30.99,1.40
31.30,1.43
31.61,1.45
31.93,1.47
32.24,1.49
32.57,1.50
32.89,1.51
33.22,1.54
33.55,1.57
33.89,1.61
34.23,1.65
34.57,1.69
34.92,1.73
35.27,1.75
35.62,1.77
35.97,1.77
36.33,1.77
36.70,1.76
37.06,1.75
37.43,1.75
37.81,1.75
38.19,1.75
38.57,1.74
38.95,1.74
39.34,1.73
39.74,1.73
40.14,1.76
40.54,1.81
40.94,1.90
41.35,1.99
41.76,2.08
42.18,2.14
42.60,2.18
43.03,2.18
43.46,2.13
43.90,2.07
44.33,2.00
44.78,1.93
45.23,1.88
45.68,1.86
46.13,1.87
46.60,1.88
47.06,1.90
47.53,1.91
48.01,1.89
48.49,1.87
48.97,1.85
49.46,1.83
49.96,1.82
50.46,1.81
50.96,1.81
51.47,1.82
51.99,1.83
52.51,1.86
53.03,1.89
53.56,1.92
54.10,1.97
54.64,2.01
55.18,2.06
55.74,2.09
56.29,2.12
56.86,2.13
57.42,2.14
58.00,2.15
58.58,2.16
59.16,2.17
59.76,2.19
60.35,2.20
60.96,2.20
61.57,2.19
62.18,2.17
62.80,2.15
63.43,2.13
64.07,2.12
64.71,2.12
65.35,2.12
66.01,2.12
66.67,2.10
67.33,2.07
68.01,2.02
68.69,1.98
69.37,1.95
70.07,1.94
70.77,1.96
71.48,2.00
72.19,2.04
72.91,2.09
73.64,2.11
74.38,2.11
75.12,2.10
75.87,2.09
76.63,2.10
77.40,2.11
78.17,2.16
78.95,2.22
79.74,2.29
80.54,2.36
81.35,2.43
82.16,2.49
82.98,2.55
83.81,2.62
84.65,2.68
85.50,2.74
86.35,2.79
87.22,2.83
88.09,2.87
88.97,2.90
89.86,2.94
90.76,2.98
91.66,3.02
92.58,3.07
93.51,3.12
94.44,3.16
95.39,3.21
96.34,3.25
97.30,3.30
98.28,3.36
99.26,3.41
100.25,3.46
101.25,3.50
102.27,3.52
103.29,3.54
104.32,3.56
105.37,3.58
106.42,3.60
107.48,3.63
108.56,3.66
109.64,3.68
110.74,3.71
111.85,3.73
112.97,3.75
114.10,3.77
115.24,3.79
116.39,3.80
117.55,3.82
118.73,3.83
119.92,3.84
121.12,3.85
122.33,3.86
123.55,3.86
124.79,3.86
126.03,3.86
127.29,3.86
128.57,3.86
129.85,3.88
131.15,3.89
132.46,3.91
