frequency,raw
20.00,-4.42
20.20,-4.42
20.40,-4.41
20.61,-4.40
20.81,-4.39
21.02,-4.39
21.23,-4.38
21.44,-4.37
21.66,-4.36
21.87,-4.35
22.09,-4.34
22.31,-4.33
22.54,-4.32
22.76,-4.31
22.99,-4.31
23.22,-4.31
23.45,-4.30
23.69,-4.30
23.92,-4.30
24.16,-4.29
24.40,-4.29
24.65,-4.28
24.89,-4.27
25.14,-4.25
25.39,-4.24
25.65,-4.23
25.91,-4.21
26.16,-4.20
26.43,-4.19
26.69,-4.17
26.96,-4.16
27.23,-4.14
27.50,-4.13
27.77,-4.12
28.05,-4.10
28.33,-4.09
28.62,-4.08
28.90,-4.07
29.19,-4.05
29.48,-4.04
29.78,-4.02
30.08,-4.01
30.38,-4.00
30.68,-3.99
30.99,-3.99
31.30,-3.99
31.61,-3.98
31.93,-3.98
32.24,-3.97
32.57,-3.95
32.89,-3.93
33.22,-3.91
33.55,-3.89
33.89,-3.86
34.23,-3.84
34.57,-3.82
34.92,-3.80
35.27,-3.78
35.62,-3.77
35.97,-3.76
36.33,-3.75
36.70,-3.75
37.06,-3.75
37.43,-3.75
37.81,-3.74
38.19,-3.73
38.57,-3.72
38.95,-3.71
39.34,-3.70
39.74,-3.68
40.14,-3.66
40.54,-3.64
40.94,-3.62
41.35,-3.61
41.76,-3.59
42.18,-3.59
42.60,-3.58
43.03,-3.57
43.46,-3.57
43.90,-3.57
44.33,-3.57
44.78,-3.56
45.23,-3.56
45.68,-3.55
46.13,-3.53
46.60,-3.51
47.06,-3.49
47.53,-3.48
48.01,-3.48
48.49,-3.48
48.97,-3.49
49.46,-3.48
49.96,-3.48
50.46,-3.45
50.96,-3.43
51.47,-3.40
51.99,-3.38
52.51,-3.36
53.03,-3.34
53.56,-3.33
54.10,-3.31
54.64,-3.29
55.18,-3.26
55.74,-3.24
56.29,-3.21
56.86,-3.19
57.42,-3.16
58.00,-3.14
58.58,-3.12
59.16,-3.09
59.76,-3.07
60.35,-3.06
60.96,-3.04
61.57,-3.03
62.18,-3.02
62.80,-3.02
63.43,-3.01
64.07,-3.01
64.71,-3.00
65.35,-3.00
66.01,-3.00
66.67,-3.00
67.33,-3.00
68.01,-3.00
68.69,-2.99
69.37,-2.99
70.07,-2.99
70.77,-2.98
71.48,-2.98
72.19,-2.98
72.91,-2.97
73.64,-2.96
74.38,-2.95
75.12,-2.94
75.87,-2.92
76.63,-2.92
77.40,-2.92
78.17,-2.92
78.95,-2.92
79.74,-2.92
80.54,-2.92
81.35,-2.91
82.16,-2.91
82.98,-2.91
83.81,-2.91
84.65,-2.90
85.50,-2.89
86.35,-2.88
87.22,-2.87
88.09,-2.87
88.97,-2.86
89.86,-2.86
90.76,-2.86
91.66,-2.85
92.58,-2.85
93.51,-2.84
94.44,-2.83
95.39,-2.82
96.34,-2.82
97.30,-2.81
98.28,-2.81
99.26,-2.80
100.25,-2.80
101.25,-2.80
102.27,-2.80
103.29,-2.80
104.32,-2.79
105.37,-2.78
106.42,-2.78
107.48,-2.77
108.56,-2.76
109.64,-2.75
110.74,-2.75
111.85,-2.74
112.97,-2.73
114.10,-2.72
115.24,-2.71
116.39,-2.70
117.55,-2.68
118.73,-2.67
119.92,-2.66
121.12,-2.65
122.33,-2.65
123.55,-2.64
124.79,-2.63
126.03,-2.62
127.29,-2.60
128.57,-2.59
129.85,-2.57
131.15,-2.56
132.46,-2.54
133.79,-2.52
135.12,-2.51
136.48,-2.50
137.84,-2.48
139.22,-2.47
140.61,-2.46
142.02,-2.45
143.44,-2.43
144.87,-2.42
146.32,-2.40
147.78,-2.39
149.26,-2.37
150.75,-2.35
152.26,-2.34
153.78,-2.32
155.32,-2.31
156.88,-2.31
158.44,-2.31
160.03,-2.30
161.63,-2.30
163.24,-2.29
164.88,-2.29
166.53,-2.28
168.19,-2.27
169.87,-2.25
171.57,-2.24
173.29,-2.24
175.02,-2.23
176.77,-2.22
178.54,-2.21
180.32,-2.20
182.13,-2.18
183.95,-2.16
185.79,-2.14
187.65,-2.12
189.52,-2.09
191.42,-2.07
193.33,-2.04
195.27,-2.01
197.22,-1.97
199.19,-1.94
201.18,-1.90
203.19,-1.87
205.23,-1.83
207.28,-1.80
209.35,-1.77
211.44,-1.73
213.56,-1.70
215.69,-1.67
217.85,-1.64
220.03,-1.61
222.23,-1.58
224.45,-1.54
226.70,-1.50
228.96,-1.47
231.25,-1.43
233.57,-1.38
235.90,-1.34
238.26,-1.30
240.64,-1.26
243.05,-1.21
245.48,-1.17
247.93,-1.12
250.41,-1.07
252.92,-1.01
255.45,-0.95
258.00,-0.89
260.58,-0.83
263.19,-0.77
265.82,-0.72
268.48,-0.68
271.16,-0.66
273.87,-0.67
276.61,-0.72
279.38,-0.81
282.17,-0.96
284.99,-1.11
287.84,-1.27
290.72,-1.41
293.63,-1.48
296.57,-1.49
299.53,-1.44
302.53,-1.36
305.55,-1.26
308.61,-1.18
311.69,-1.13
314.81,-1.10
317.96,-1.13
321.14,-1.16
324.35,-1.19
327.59,-1.20
330.87,-1.19
334.18,-1.16
337.52,-1.16
340.90,-1.20
344.30,-1.33
347.75,-1.58
351.23,-1.90
354.74,-2.28
358.28,-2.65
361.87,-2.95
365.49,-3.14
369.14,-3.19
372.83,-3.19
376.56,-3.20
380.33,-3.25
384.13,-3.38
387.97,-3.58
391.85,-3.81
395.77,-4.03
399.73,-4.14
403.72,-4.10
407.76,-4.00
411.84,-3.83
415.96,-3.61
420.12,-3.40
424.32,-3.19
428.56,-3.00
432.85,-2.82
437.18,-2.65
441.55,-2.51
445.96,-2.38
450.42,-2.26
454.93,-2.14
459.48,-2.03
464.07,-1.91
468.71,-1.79
473.40,-1.67
478.13,-1.55
482.91,-1.43
487.74,-1.31
492.62,-1.20
497.55,-1.08
502.52,-0.97
507.55,-0.87
512.62,-0.78
517.75,-0.70
522.93,-0.62
528.16,-0.53
533.44,-0.42
538.77,-0.29
544.16,-0.14
549.60,0.02
555.10,0.21
560.65,0.41
566.25,0.65
571.92,0.91
577.64,1.19
583.41,1.47
589.25,1.75
595.14,1.94
601.09,2.09
607.10,2.10
613.17,1.96
619.30,1.65
625.50,1.20
631.75,0.70
638.07,0.25
644.45,0.06
650.89,-0.01
657.40,-0.00
663.98,-0.16
670.62,-0.44
677.32,-0.95
684.10,-1.41
690.94,-1.82
697.85,-2.06
704.83,-2.21
711.87,-2.29
718.99,-2.24
726.18,-2.16
733.44,-2.13
740.78,-2.18
748.19,-2.29
755.67,-2.29
763.23,-2.22
770.86,-2.03
778.57,-1.89
786.35,-1.79
794.22,-1.70
802.16,-1.57
810.18,-1.32
818.28,-0.97
826.46,-0.60
834.73,-0.26
843.08,-0.01
851.51,0.17
860.02,0.24
868.62,0.35
877.31,0.51
886.08,0.83
894.94,1.24
903.89,1.64
912.93,2.02
922.06,2.30
931.28,2.51
940.59,2.66
950.00,2.75
959.50,2.64
969.09,2.28
978.78,1.71
988.57,0.94
998.46,0.09
1008.44,-0.49
1018.53,-0.89
1028.71,-1.06
1039.00,-1.33
1049.39,-1.69
1059.88,-2.14
1070.48,-2.44
1081.19,-2.48
1092.00,-2.29
1102.92,-1.89
1113.95,-1.61
1125.09,-1.48
1136.34,-1.50
1147.70,-1.52
1159.18,-1.28
1170.77,-0.98
1182.48,-0.49
1194.30,-0.04
1206.25,0.40
1218.31,0.61
1230.49,0.73
1242.80,0.85
1255.22,1.09
1267.78,1.40
1280.45,1.71
1293.26,1.51
1306.19,1.30
1319.25,0.90
1332.45,-0.14
1345.77,-1.12
1359.23,-2.01
1372.82,-2.35
1386.55,-2.47
1400.41,-2.39
1414.42,-2.45
1428.56,-2.51
1442.85,-2.83
1457.28,-3.08
1471.85,-3.24
1486.57,-3.21
1501.43,-3.12
1516.45,-3.02
1531.61,-2.91
1546.93,-2.77
1562.40,-2.56
1578.02,-2.33
1593.80,-2.10
1609.74,-1.89
1625.84,-1.70
1642.10,-1.55
1658.52,-1.47
1675.10,-1.46
1691.85,-1.68
1708.77,-1.98
1725.86,-2.36
1743.12,-2.71
1760.55,-2.97
1778.15,-3.16
1795.94,-3.31
1813.90,-3.52
1832.03,-3.77
1850.36,-4.05
1868.86,-4.26
1887.55,-4.34
1906.42,-4.29
1925.49,-4.11
1944.74,-3.84
1964.19,-3.59
1983.83,-3.34
2003.67,-3.10
2023.71,-2.82
2043.94,-2.56
2064.38,-2.33
2085.03,-2.22
2105.88,-2.18
2126.94,-2.17
2148.20,-2.16
2169.69,-2.11
2191.38,-2.07
2213.30,-2.00
2235.43,-1.93
2257.78,-1.72
2280.36,-1.45
2303.17,-1.14
2326.20,-0.88
2349.46,-0.63
2372.95,-0.33
2396.68,0.00
2420.65,0.33
2444.86,0.62
2469.31,0.87
2494.00,1.10
2518.94,1.34
2544.13,1.58
2569.57,1.81
2595.27,1.98
2621.22,2.12
2647.43,2.20
2673.90,2.30
2700.64,2.41
2727.65,2.56
2754.93,2.74
2782.48,2.93
2810.30,3.12
2838.40,3.31
2866.79,3.47
2895.46,3.62
2924.41,3.70
2953.65,3.76
2983.19,3.76
3013.02,3.75
3043.15,3.75
3073.58,3.77
3104.32,3.84
3135.36,3.91
3166.72,3.99
3198.38,4.06
3230.37,4.10
3262.67,4.12
3295.30,4.12
3328.25,4.13
