frequency,raw
20.00,-4.52
20.20,-4.48
20.40,-4.44
20.61,-4.40
20.81,-4.35
21.02,-4.31
21.23,-4.27
21.44,-4.24
21.66,-4.21
21.87,-4.19
22.09,-4.17
22.31,-4.16
22.54,-4.14
22.76,-4.12
22.99,-4.09
23.22,-4.07
23.45,-4.04
23.69,-4.01
23.92,-3.97
24.16,-3.94
24.40,-3.92
24.65,-3.90
24.89,-3.88
25.14,-3.87
25.39,-3.87
25.65,-3.86
25.91,-3.85
26.16,-3.84
26.43,-3.82
26.69,-3.79
26.96,-3.76
27.23,-3.72
27.50,-3.68
27.77,-3.63
28.05,-3.59
28.33,-3.55
28.62,-3.51
28.90,-3.48
29.19,-3.45
29.48,-3.42
29.78,-3.40
30.08,-3.39
30.38,-3.37
30.68,-3.36
30.99,-3.35
31.30,-3.34
31.61,-3.33
31.93,-3.31
32.24,-3.30
32.57,-3.28
32.89,-3.26
33.22,-3.25
33.55,-3.24
33.89,-3.23
34.23,-3.22
34.57,-3.21
34.92,-3.20
35.27,-3.19
35.62,-3.17
35.97,-3.14
36.33,-3.12
36.70,-3.10
37.06,-3.08
37.43,-3.07
37.81,-3.06
38.19,-3.05
38.57,-3.04
38.95,-3.03
39.34,-3.02
39.74,-3.01
40.14,-2.99
40.54,-2.97
40.94,-2.96
41.35,-2.95
41.76,-2.93
42.18,-2.91
42.60,-2.90
43.03,-2.88
43.46,-2.86
43.90,-2.85
44.33,-2.83
44.78,-2.81
45.23,-2.78
45.68,-2.76
46.13,-2.74
46.60,-2.72
47.06,-2.72
47.53,-2.72
48.01,-2.71
48.49,-2.70
48.97,-2.68
49.46,-2.67
49.96,-2.66
50.46,-2.64
50.96,-2.62
51.47,-2.61
51.99,-2.59
52.51,-2.57
53.03,-2.56
53.56,-2.55
54.10,-2.54
54.64,-2.52
55.18,-2.51
55.74,-2.50
56.29,-2.49
56.86,-2.49
57.42,-2.48
58.00,-2.47
58.58,-2.46
59.16,-2.45
59.76,-2.44
60.35,-2.42
60.96,-2.41
61.57,-2.40
62.18,-2.38
62.80,-2.35
63.43,-2.33
64.07,-2.30
64.71,-2.27
65.35,-2.25
66.01,-2.22
66.67,-2.21
67.33,-2.19
68.01,-2.18
68.69,-2.18
69.37,-2.17
70.07,-2.16
70.77,-2.15
71.48,-2.14
72.19,-2.13
72.91,-2.12
73.64,-2.11
74.38,-2.11
75.12,-2.10
75.87,-2.09
76.63,-2.09
77.40,-2.08
78.17,-2.08
78.95,-2.07
79.74,-2.07
80.54,-2.06
81.35,-2.06
82.16,-2.06
82.98,-2.06
83.81,-2.06
84.65,-2.06
85.50,-2.06
86.35,-2.07
87.22,-2.07
88.09,-2.07
88.97,-2.07
89.86,-2.07
90.76,-2.08
91.66,-2.08
92.58,-2.08
93.51,-2.07
94.44,-2.07
95.39,-2.08
96.34,-2.08
97.30,-2.08
98.28,-2.08
99.26,-2.07
100.25,-2.06
101.25,-2.06
102.27,-2.07
103.29,-2.07
104.32,-2.08
105.37,-2.08
106.42,-2.08
107.48,-2.09
108.56,-2.09
109.64,-2.09
110.74,-2.09
111.85,-2.08
112.97,-2.08
114.10,-2.08
115.24,-2.07
116.39,-2.07
117.55,-2.06
118.73,-2.06
119.92,-2.05
121.12,-2.05
122.33,-2.04
123.55,-2.03
124.79,-2.03
126.03,-2.02
127.29,-2.01
128.57,-2.01
129.85,-2.01
131.15,-2.00
132.46,-2.00
133.79,-2.01
135.12,-2.01
136.48,-2.00
137.84,-2.00
139.22,-1.98
140.61,-1.97
142.02,-1.96
143.44,-1.96
144.87,-1.96
146.32,-1.96
147.78,-1.95
149.26,-1.95
150.75,-1.95
152.26,-1.95
153.78,-1.95
155.32,-1.95
156.88,-1.95
158.44,-1.95
160.03,-1.96
161.63,-1.96
163.24,-1.96
164.88,-1.96
166.53,-1.96
168.19,-1.96
169.87,-1.96
171.57,-1.96
173.29,-1.96
175.02,-1.95
176.77,-1.95
178.54,-1.94
180.32,-1.94
182.13,-1.94
183.95,-1.94
185.79,-1.93
187.65,-1.92
189.52,-1.91
191.42,-1.90
