frequency,raw
20.00,-0.16
20.20,-0.12
20.40,-0.08
20.61,-0.03
20.81,0.01
21.02,0.06
21.23,0.10
21.44,0.15
21.66,0.20
21.87,0.25
22.09,0.31
22.31,0.37
22.54,0.43
22.76,0.49
22.99,0.54
23.22,0.60
23.45,0.66
23.69,0.71
23.92,0.76
24.16,0.82
24.40,0.87
24.65,0.92
24.89,0.97
25.14,1.01
25.39,1.06
25.65,1.10
25.91,1.14
26.16,1.18
26.43,1.22
26.69,1.26
26.96,1.30
27.23,1.35
27.50,1.40
27.77,1.45
28.05,1.50
28.33,1.55
28.62,1.59
28.90,1.62
29.19,1.66
29.48,1.69
29.78,1.72
30.08,1.75
30.38,1.79
30.68,1.83
30.99,1.87
31.30,1.90
31.61,1.94
31.93,1.97
32.24,2.00
32.57,2.04
32.89,2.07
33.22,2.10
33.55,2.13
33.89,2.16
34.23,2.18
34.57,2.21
34.92,2.22
35.27,2.24
35.62,2.25
35.97,2.26
36.33,2.28
36.70,2.29
37.06,2.30
37.43,2.32
37.81,2.34
38.19,2.35
38.57,2.37
38.95,2.39
39.34,2.42
39.74,2.44
40.14,2.47
40.54,2.49
40.94,2.51
41.35,2.52
41.76,2.54
42.18,2.54
42.60,2.55
43.03,2.56
43.46,2.56
43.90,2.56
44.33,2.56
44.78,2.56
45.23,2.56
45.68,2.56
46.13,2.57
46.60,2.57
47.06,2.58
47.53,2.59
48.01,2.59
48.49,2.59
48.97,2.59
49.46,2.58
49.96,2.57
50.46,2.57
50.96,2.56
51.47,2.56
51.99,2.56
52.51,2.56
53.03,2.56
53.56,2.56
54.10,2.55
54.64,2.54
55.18,2.53
55.74,2.51
56.29,2.48
56.86,2.46
57.42,2.43
58.00,2.40
58.58,2.37
59.16,2.34
59.76,2.31
60.35,2.29
60.96,2.27
61.57,2.26
62.18,2.25
62.80,2.25
63.43,2.25
64.07,2.26
64.71,2.27
65.35,2.29
66.01,2.32
66.67,2.36
67.33,2.41
68.01,2.46
68.69,2.52
69.37,2.59
70.07,2.65
70.77,2.71
71.48,2.76
72.19,2.81
72.91,2.84
73.64,2.85
74.38,2.86
75.12,2.86
75.87,2.86
76.63,2.87
77.40,2.87
78.17,2.88
78.95,2.89
79.74,2.90
80.54,2.90
81.35,2.91
82.16,2.92
82.98,2.92
83.81,2.92
84.65,2.92
85.50,2.92
86.35,2.92
87.22,2.92
88.09,2.91
88.97,2.91
89.86,2.90
90.76,2.88
91.66,2.87
92.58,2.85
93.51,2.85
94.44,2.85
95.39,2.85
96.34,2.87
97.30,2.89
98.28,2.91
99.26,2.94
100.25,2.96
101.25,2.99
102.27,3.01
103.29,3.03
104.32,3.04
105.37,3.05
106.42,3.05
107.48,3.06
108.56,3.06
109.64,3.05
110.74,3.05
111.85,3.04
112.97,3.03
114.10,3.02
115.24,3.01
116.39,2.99
117.55,2.98
118.73,2.96
119.92,2.94
121.12,2.92
122.33,2.89
123.55,2.87
124.79,2.85
126.03,2.84
127.29,2.82
128.57,2.80
129.85,2.78
131.15,2.77
132.46,2.75
133.79,2.73
135.12,2.71
136.48,2.69
137.84,2.67
139.22,2.64
140.61,2.61
142.02,2.58
143.44,2.54
144.87,2.51
146.32,2.47
147.78,2.44
149.26,2.40
150.75,2.37
152.26,2.34
153.78,2.30
155.32,2.27
156.88,2.23
158.44,2.20
160.03,2.16
161.63,2.12
163.24,2.08
164.88,2.05
166.53,2.01
168.19,1.97
169.87,1.94
171.57,1.90
173.29,1.87
175.02,1.83
176.77,1.80
178.54,1.76
180.32,1.73
182.13,1.69
183.95,1.66
185.79,1.62
187.65,1.59
189.52,1.56
191.42,1.53
193.33,1.50
195.27,1.47
197.22,1.44
199.19,1.42
201.18,1.39
203.19,1.37
205.23,1.35
207.28,1.32
209.35,1.30
211.44,1.28
213.56,1.26
215.69,1.24
217.85,1.21
220.03,1.19
222.23,1.16
224.45,1.13
226.70,1.11
228.96,1.09
231.25,1.07
233.57,1.05
235.90,1.03
238.26,1.02
240.64,1.00
243.05,0.99
245.48,0.97
247.93,0.95
250.41,0.93
252.92,0.91
255.45,0.89
258.00,0.87
260.58,0.85
263.19,0.84
265.82,0.81
268.48,0.79
271.16,0.77
273.87,0.75
276.61,0.73
279.38,0.71
282.17,0.70
284.99,0.68
287.84,0.67
290.72,0.66
293.63,0.65
296.57,0.64
299.53,0.63
302.53,0.62
305.55,0.62
308.61,0.61
311.69,0.61
314.81,0.61
317.96,0.61
321.14,0.61
324.35,0.61
327.59,0.61
330.87,0.61
334.18,0.60
337.52,0.60
340.90,0.59
344.30,0.58
347.75,0.57
351.23,0.56
354.74,0.55
358.28,0.55
361.87,0.54
365.49,0.54
369.14,0.54
372.83,0.54
376.56,0.54
380.33,0.53
384.13,0.53
387.97,0.52
391.85,0.52
395.77,0.51
399.73,0.50
403.72,0.49
407.76,0.49
411.84,0.48
415.96,0.47
420.12,0.47
424.32,0.46
428.56,0.45
432.85,0.44
437.18,0.43
441.55,0.42
445.96,0.41
450.42,0.41
454.93,0.41
459.48,0.41
464.07,0.41
468.71,0.41
473.40,0.41
478.13,0.41
482.91,0.41
487.74,0.40
492.62,0.41
497.55,0.41
502.52,0.41
507.55,0.41
512.62,0.42
517.75,0.41
522.93,0.41
528.16,0.41
533.44,0.40
538.77,0.39
544.16,0.38
549.60,0.37
555.10,0.35
560.65,0.33
566.25,0.31
571.92,0.30
577.64,0.29
583.41,0.27
589.25,0.26
595.14,0.24
601.09,0.21
607.10,0.17
613.17,0.13
619.30,0.10
625.50,0.08
631.75,0.07
638.07,0.07
644.45,0.09
650.89,0.12
657.40,0.15
663.98,0.18
670.62,0.21
677.32,0.23
684.10,0.25
690.94,0.27
697.85,0.29
704.83,0.30
711.87,0.32
718.99,0.33
726.18,0.35
733.44,0.36
740.78,0.38
748.19,0.39
755.67,0.40
763.23,0.41
770.86,0.42
778.57,0.43
786.35,0.43
794.22,0.44
802.16,0.45
810.18,0.45
818.28,0.46
826.46,0.46
834.73,0.45
843.08,0.45
851.51,0.44
860.02,0.43
868.62,0.42
877.31,0.41
886.08,0.39
894.94,0.37
903.89,0.35
912.93,0.32
922.06,0.29
931.28,0.25
940.59,0.22
950.00,0.19
959.50,0.15
969.09,0.12
978.78,0.08
988.57,0.04
998.46,0.01
1008.44,-0.03
1018.53,-0.08
1028.71,-0.13
1039.00,-0.18
1049.39,-0.23
1059.88,-0.27
1070.48,-0.32
1081.19,-0.36
1092.00,-0.41
1102.92,-0.45
1113.95,-0.49
1125.09,-0.53
1136.34,-0.57
1147.70,-0.61
1159.18,-0.64
1170.77,-0.68
1182.48,-0.71
1194.30,-0.75
1206.25,-0.78
1218.31,-0.81
1230.49,-0.85
1242.80,-0.89
1255.22,-0.93
1267.78,-0.97
1280.45,-1.01
1293.26,-1.05
1306.19,-1.09
1319.25,-1.13
1332.45,-1.17
1345.77,-1.20
1359.23,-1.25
1372.82,-1.30
1386.55,-1.35
1400.41,-1.41
1414.42,-1.45
1428.56,-1.49
1442.85,-1.51
1457.28,-1.51
1471.85,-1.51
1486.57,-1.50
1501.43,-1.48
1516.45,-1.47
1531.61,-1.45
1546.93,-1.42
1562.40,-1.40
1578.02,-1.36
1593.80,-1.33
1609.74,-1.30
1625.84,-1.27
1642.10,-1.23
1658.52,-1.19
1675.10,-1.14
1691.85,-1.07
1708.77,-1.00
1725.86,-0.93
1743.12,-0.86
1760.55,-0.79
1778.15,-0.72
1795.94,-0.64
