frequency,raw
20.00,3.62
20.20,3.66
20.40,3.71
20.61,3.75
20.81,3.80
21.02,3.84
21.23,3.89
21.44,3.94
21.66,3.99
21.87,4.03
22.09,4.08
22.31,4.12
22.54,4.16
22.76,4.20
22.99,4.24
23.22,4.28
23.45,4.32
23.69,4.36
23.92,4.40
24.16,4.44
24.40,4.49
24.65,4.53
24.89,4.58
25.14,4.62
25.39,4.66
25.65,4.70
25.91,4.74
26.16,4.78
26.43,4.82
26.69,4.86
26.96,4.90
27.23,4.94
27.50,4.97
27.77,5.00
28.05,5.03
28.33,5.06
28.62,5.09
28.90,5.12
29.19,5.15
29.48,5.18
29.78,5.21
30.08,5.23
30.38,5.26
30.68,5.29
30.99,5.31
31.30,5.33
31.61,5.36
31.93,5.38
32.24,5.40
32.57,5.42
32.89,5.45
33.22,5.47
33.55,5.49
33.89,5.51
34.23,5.53
34.57,5.55
34.92,5.57
35.27,5.59
35.62,5.61
35.97,5.62
36.33,5.63
36.70,5.63
37.06,5.64
37.43,5.64
37.81,5.65
38.19,5.66
38.57,5.67
38.95,5.68
39.34,5.69
39.74,5.70
40.14,5.70
40.54,5.71
40.94,5.72
41.35,5.72
41.76,5.73
42.18,5.73
42.60,5.73
43.03,5.73
43.46,5.73
43.90,5.74
44.33,5.74
44.78,5.74
45.23,5.75
45.68,5.75
46.13,5.76
46.60,5.76
47.06,5.75
47.53,5.74
48.01,5.72
48.49,5.70
48.97,5.68
49.46,5.65
49.96,5.63
50.46,5.61
50.96,5.59
51.47,5.57
51.99,5.55
52.51,5.53
53.03,5.50
53.56,5.47
54.10,5.43
54.64,5.38
55.18,5.34
55.74,5.30
56.29,5.26
56.86,5.23
57.42,5.22
58.00,5.21
58.58,5.23
59.16,5.25
59.76,5.27
60.35,5.30
60.96,5.33
61.57,5.35
62.18,5.36
62.80,5.36
63.43,5.36
64.07,5.36
64.71,5.36
65.35,5.35
66.01,5.34
66.67,5.34
67.33,5.34
68.01,5.33
68.69,5.33
69.37,5.33
70.07,5.33
70.77,5.33
71.48,5.34
72.19,5.34
72.91,5.33
73.64,5.33
74.38,5.32
75.12,5.32
75.87,5.31
76.63,5.31
77.40,5.32
78.17,5.33
78.95,5.36
79.74,5.39
80.54,5.44
81.35,5.49
82.16,5.55
82.98,5.62
83.81,5.69
84.65,5.76
85.50,5.84
86.35,5.93
87.22,6.02
88.09,6.12
88.97,6.22
89.86,6.33
90.76,6.44
91.66,6.55
92.58,6.66
93.51,6.77
94.44,6.87
95.39,6.97
96.34,7.06
97.30,7.15
98.28,7.24
99.26,7.32
100.25,7.40
101.25,7.46
102.27,7.52
103.29,7.56
104.32,7.60
105.37,7.62
106.42,7.63
107.48,7.62
108.56,7.59
109.64,7.54
110.74,7.48
111.85,7.41
112.97,7.34
114.10,7.26
115.24,7.20
116.39,7.16
117.55,7.13
118.73,7.12
119.92,7.11
121.12,7.10
122.33,7.10
123.55,7.10
124.79,7.11
126.03,7.11
127.29,7.12
128.57,7.13
129.85,7.14
131.15,7.14
132.46,7.14
133.79,7.12
135.12,7.09
136.48,7.06
137.84,7.02
139.22,6.98
140.61,6.93
142.02,6.87
143.44,6.82
144.87,6.76
146.32,6.70
147.78,6.64
149.26,6.57
150.75,6.49
152.26,6.41
153.78,6.31
155.32,6.21
156.88,6.09
158.44,5.96
160.03,5.83
161.63,5.70
163.24,5.56
164.88,5.42
166.53,5.28
168.19,5.14
169.87,5.00
171.57,4.84
173.29,4.68
175.02,4.52
176.77,4.35
178.54,4.17
180.32,3.99
182.13,3.79
183.95,3.59
185.79,3.38
187.65,3.17
189.52,2.95
191.42,2.73
193.33,2.51
195.27,2.30
197.22,2.09
199.19,1.89
201.18,1.70
203.19,1.52
205.23,1.34
207.28,1.17
209.35,1.00
211.44,0.83
213.56,0.66
215.69,0.49
217.85,0.33
220.03,0.17
222.23,0.02
224.45,-0.13
226.70,-0.27
228.96,-0.39
231.25,-0.51
233.57,-0.62
235.90,-0.71
238.26,-0.79
240.64,-0.86
243.05,-0.92
245.48,-0.96
247.93,-1.00
250.41,-1.03
252.92,-1.06
255.45,-1.07
258.00,-1.08
260.58,-1.08
263.19,-1.07
265.82,-1.06
268.48,-1.04
271.16,-1.02
273.87,-0.99
276.61,-0.96
279.38,-0.92
282.17,-0.88
284.99,-0.84
287.84,-0.79
290.72,-0.75
293.63,-0.69
296.57,-0.64
299.53,-0.59
302.53,-0.53
305.55,-0.48
308.61,-0.43
311.69,-0.39
314.81,-0.35
317.96,-0.31
321.14,-0.27
324.35,-0.23
327.59,-0.19
330.87,-0.15
334.18,-0.11
337.52,-0.07
340.90,-0.04
344.30,-0.01
347.75,0.02
351.23,0.05
354.74,0.08
358.28,0.10
361.87,0.12
365.49,0.14
369.14,0.16
372.83,0.17
376.56,0.19
380.33,0.20
384.13,0.22
387.97,0.23
391.85,0.24
395.77,0.24
399.73,0.25
403.72,0.25
407.76,0.24
411.84,0.23
415.96,0.22
420.12,0.20
424.32,0.19
428.56,0.17
432.85,0.15
437.18,0.13
441.55,0.11
445.96,0.09
450.42,0.06
454.93,0.04
459.48,0.01
464.07,-0.02
468.71,-0.05
473.40,-0.08
478.13,-0.12
482.91,-0.16
487.74,-0.20
492.62,-0.24
497.55,-0.28
502.52,-0.32
507.55,-0.36
512.62,-0.41
517.75,-0.45
522.93,-0.49
528.16,-0.53
533.44,-0.57
538.77,-0.62
544.16,-0.66
549.60,-0.70
555.10,-0.74
560.65,-0.78
566.25,-0.82
571.92,-0.86
577.64,-0.89
583.41,-0.93
589.25,-0.97
595.14,-1.00
601.09,-1.03
607.10,-1.06
613.17,-1.09
619.30,-1.12
625.50,-1.15
631.75,-1.17
638.07,-1.19
644.45,-1.21
650.89,-1.23
657.40,-1.24
663.98,-1.25
670.62,-1.26
677.32,-1.26
684.10,-1.26
690.94,-1.26
697.85,-1.25
704.83,-1.24
711.87,-1.23
718.99,-1.21
726.18,-1.19
733.44,-1.17
740.78,-1.15
748.19,-1.13
755.67,-1.10
763.23,-1.08
770.86,-1.05
778.57,-1.02
786.35,-0.99
794.22,-0.96
802.16,-0.93
810.18,-0.89
818.28,-0.85
826.46,-0.81
834.73,-0.77
843.08,-0.72
851.51,-0.67
860.02,-0.62
868.62,-0.56
877.31,-0.50
886.08,-0.43
894.94,-0.36
903.89,-0.28
912.93,-0.21
922.06,-0.13
931.28,-0.07
940.59,-0.02
950.00,0.03
959.50,0.05
969.09,0.06
978.78,0.05
988.57,0.04
998.46,0.01
1008.44,-0.03
1018.53,-0.08
1028.71,-0.13
1039.00,-0.19
1049.39,-0.25
1059.88,-0.31
1070.48,-0.37
1081.19,-0.43
1092.00,-0.49
1102.92,-0.55
1113.95,-0.61
1125.09,-0.67
1136.34,-0.73
1147.70,-0.78
1159.18,-0.84
1170.77,-0.90
1182.48,-0.96
1194.30,-1.02
1206.25,-1.08
1218.31,-1.14
1230.49,-1.20
1242.80,-1.27
1255.22,-1.33
1267.78,-1.38
1280.45,-1.44
1293.26,-1.49
1306.19,-1.54
1319.25,-1.58
1332.45,-1.62
1345.77,-1.65
1359.23,-1.67
1372.82,-1.68
1386.55,-1.69
1400.41,-1.70
1414.42,-1.69
1428.56,-1.68
1442.85,-1.67
1457.28,-1.64
1471.85,-1.62
1486.57,-1.58
1501.43,-1.54
1516.45,-1.49
1531.61,-1.43
1546.93,-1.37
1562.40,-1.31
1578.02,-1.24
1593.80,-1.15
1609.74,-1.06
1625.84,-0.95
1642.10,-0.83
1658.52,-0.71
1675.10,-0.58
1691.85,-0.44
1708.77,-0.30
1725.86,-0.14
1743.12,0.03
1760.55,0.20
1778.15,0.38
1795.94,0.57
1813.90,0.75
1832.03,0.94
1850.36,1.13
1868.86,1.32
1887.55,1.52
1906.42,1.71
1925.49,1.91
1944.74,2.11
1964.19,2.31
1983.83,2.51
2003.67,2.72
2023.71,2.93
2043.94,3.13
2064.38,3.34
2085.03,3.55
2105.88,3.77
2126.94,3.98
2148.20,4.20
2169.69,4.41
2191.38,4.62
2213.30,4.82
2235.43,5.01
2257.78,5.20
2280.36,5.39
2303.17,5.58
2326.20,5.77
2349.46,5.96
2372.95,6.15
2396.68,6.34
2420.65,6.53
2444.86,6.74
2469.31,6.96
2494.00,7.19
2518.94,7.42
2544.13,7.65
2569.57,7.87
2595.27,8.09
2621.22,8.30
2647.43,8.50
2673.90,8.69
2700.64,8.88
2727.65,9.06
2754.93,9.23
2782.48,9.39
2810.30,9.54
2838.40,9.68
2866.79,9.81
2895.46,9.93
2924.41,10.04
2953.65,10.14
2983.19,10.22
3013.02,10.29
3043.15,10.35
3073.58,10.39
3104.32,10.41
3135.36,10.41
3166.72,10.40
3198.38,10.38
3230.37,10.34
3262.67,10.30
3295.30,10.26
3328.25,10.21
3361.53,10.16
3395.15,10.09
3429.10,10.00
3463.39,9.89
3498.03,9.76
3533.01,9.60
3568.34,9.43
3604.02,9.26
3640.06,9.07
3676.46,8.89
3713.22,8.71
3750.36,8.54
3787.86,8.41
3825.74,8.29
3864.00,8.20
3902.64,8.13
3941.66,8.07
3981.08,8.00
4020.89,7.94
4061.10,7.87
4101.71,7.81
4142.73,7.76
4184.15,7.72
4226.00,7.69
4268.26,7.66
4310.94,7.64
4354.05,7.61
4397.59,7.58
4441.56,7.54
4485.98,7.50
4530.84,7.46
4576.15,7.41
4621.91,7.35
4668.13,7.30
4714.81,7.28
4761.96,7.29
4809.58,7.36
4857.67,7.48
4906.25,7.65
4955.31,7.81
5004.87,7.94
5054.91,7.98
5105.46,7.97
5156.52,7.90
5208.08,7.81
