frequency,raw
20.00,-0.65
20.20,-0.49
20.40,-0.35
20.61,-0.22
20.81,-0.09
21.02,0.05
21.23,0.19
21.44,0.37
21.66,0.56
21.87,0.76
22.09,0.97
22.31,1.17
22.54,1.35
22.76,1.52
22.99,1.66
23.22,1.77
23.45,1.88
23.69,1.98
23.92,2.07
24.16,2.17
24.40,2.27
24.65,2.38
24.89,2.48
25.14,2.58
25.39,2.67
25.65,2.75
25.91,2.82
26.16,2.88
26.43,2.94
26.69,2.99
26.96,3.03
27.23,3.07
27.50,3.09
27.77,3.11
28.05,3.12
28.33,3.13
28.62,3.13
28.90,3.13
29.19,3.13
29.48,3.13
29.78,3.12
30.08,3.11
30.38,3.10
30.68,3.08
30.99,3.06
31.30,3.03
31.61,3.01
31.93,2.98
32.24,2.95
32.57,2.92
32.89,2.89
33.22,2.85
33.55,2.81
33.89,2.77
34.23,2.72
34.57,2.67
34.92,2.62
35.27,2.57
35.62,2.52
35.97,2.47
36.33,2.42
36.70,2.37
37.06,2.33
37.43,2.28
37.81,2.24
38.19,2.20
38.57,2.16
38.95,2.12
39.34,2.08
39.74,2.05
40.14,2.02
40.54,1.99
40.94,1.96
41.35,1.93
41.76,1.91
42.18,1.89
42.60,1.87
43.03,1.85
43.46,1.83
43.90,1.81
44.33,1.79
44.78,1.77
45.23,1.76
45.68,1.75
46.13,1.74
46.60,1.74
47.06,1.74
47.53,1.74
48.01,1.75
48.49,1.75
48.97,1.76
49.46,1.76
49.96,1.74
50.46,1.72
50.96,1.71
51.47,1.70
51.99,1.69
52.51,1.69
53.03,1.69
53.56,1.68
54.10,1.68
54.64,1.66
55.18,1.65
55.74,1.63
56.29,1.61
56.86,1.59
57.42,1.57
58.00,1.55
58.58,1.52
59.16,1.49
59.76,1.46
60.35,1.43
60.96,1.40
61.57,1.36
62.18,1.32
62.80,1.27
63.43,1.23
64.07,1.18
64.71,1.12
65.35,1.07
66.01,1.01
66.67,0.94
67.33,0.87
68.01,0.81
68.69,0.73
69.37,0.65
70.07,0.57
70.77,0.48
71.48,0.39
72.19,0.29
72.91,0.20
73.64,0.10
74.38,-0.00
75.12,-0.10
75.87,-0.20
76.63,-0.30
77.40,-0.40
78.17,-0.50
78.95,-0.60
79.74,-0.70
80.54,-0.80
81.35,-0.89
82.16,-0.99
82.98,-1.07
83.81,-1.16
84.65,-1.24
85.50,-1.31
86.35,-1.38
87.22,-1.43
88.09,-1.49
88.97,-1.53
89.86,-1.57
90.76,-1.59
91.66,-1.62
92.58,-1.63
93.51,-1.64
94.44,-1.65
95.39,-1.65
96.34,-1.65
97.30,-1.65
98.28,-1.64
99.26,-1.62
100.25,-1.61
101.25,-1.59
102.27,-1.57
103.29,-1.55
104.32,-1.53
105.37,-1.51
106.42,-1.49
107.48,-1.47
108.56,-1.46
109.64,-1.44
110.74,-1.43
111.85,-1.42
112.97,-1.41
114.10,-1.40
115.24,-1.40
116.39,-1.40
117.55,-1.40
118.73,-1.40
119.92,-1.40
121.12,-1.40
122.33,-1.40
123.55,-1.41
124.79,-1.41
126.03,-1.42
127.29,-1.42
128.57,-1.43
129.85,-1.43
131.15,-1.44
132.46,-1.44
133.79,-1.45
135.12,-1.46
136.48,-1.46
137.84,-1.47
139.22,-1.49
140.61,-1.51
142.02,-1.54
143.44,-1.56
144.87,-1.59
146.32,-1.62
147.78,-1.64
149.26,-1.66
150.75,-1.68
152.26,-1.70
153.78,-1.73
155.32,-1.76
156.88,-1.79
158.44,-1.82
160.03,-1.84
161.63,-1.86
163.24,-1.87
164.88,-1.88
166.53,-1.88
168.19,-1.89
169.87,-1.90
171.57,-1.91
173.29,-1.93
175.02,-1.94
176.77,-1.96
178.54,-1.98
180.32,-2.00
182.13,-2.02
183.95,-2.04
185.79,-2.06
187.65,-2.08
189.52,-2.10
191.42,-2.11
193.33,-2.13
195.27,-2.14
197.22,-2.16
199.19,-2.17
201.18,-2.19
203.19,-2.21
205.23,-2.23
207.28,-2.25
209.35,-2.28
211.44,-2.30
213.56,-2.32
215.69,-2.34
217.85,-2.36
220.03,-2.39
222.23,-2.41
224.45,-2.43
226.70,-2.45
228.96,-2.47
231.25,-2.49
233.57,-2.51
235.90,-2.53
238.26,-2.55
240.64,-2.57
243.05,-2.59
245.48,-2.61
247.93,-2.63
250.41,-2.66
252.92,-2.68
255.45,-2.71
258.00,-2.74
260.58,-2.76
263.19,-2.79
265.82,-2.82
268.48,-2.85
271.16,-2.88
273.87,-2.91
276.61,-2.95
279.38,-2.98
282.17,-3.02
284.99,-3.06
287.84,-3.10
290.72,-3.14
293.63,-3.19
296.57,-3.23
299.53,-3.28
302.53,-3.34
305.55,-3.39
308.61,-3.45
311.69,-3.50
314.81,-3.56
317.96,-3.62
321.14,-3.68
324.35,-3.74
327.59,-3.80
