frequency,raw
20.00,11.73
20.20,11.78
20.40,11.83
20.61,11.88
20.81,11.92
21.02,11.96
21.23,12.00
21.44,12.04
21.66,12.07
21.87,12.11
22.09,12.13
22.31,12.14
22.54,12.15
22.76,12.14
22.99,12.13
23.22,12.11
23.45,12.08
23.69,12.04
23.92,11.99
24.16,11.95
24.40,11.90
24.65,11.85
24.89,11.80
25.14,11.75
25.39,11.71
25.65,11.68
25.91,11.64
26.16,11.62
26.43,11.59
26.69,11.55
26.96,11.52
27.23,11.47
27.50,11.42
27.77,11.37
28.05,11.31
28.33,11.25
28.62,11.20
28.90,11.14
29.19,11.09
29.48,11.05
29.78,11.00
30.08,10.95
30.38,10.90
30.68,10.85
30.99,10.80
31.30,10.75
31.61,10.71
31.93,10.66
32.24,10.62
32.57,10.58
32.89,10.54
33.22,10.50
33.55,10.46
33.89,10.41
34.23,10.37
34.57,10.32
34.92,10.27
35.27,10.23
35.62,10.19
35.97,10.15
36.33,10.10
36.70,10.06
37.06,10.02
37.43,9.98
37.81,9.94
38.19,9.90
38.57,9.86
38.95,9.82
39.34,9.78
39.74,9.75
40.14,9.71
40.54,9.67
40.94,9.63
41.35,9.60
41.76,9.56
42.18,9.52
42.60,9.49
43.03,9.45
43.46,9.42
43.90,9.38
44.33,9.35
44.78,9.31
45.23,9.28
45.68,9.25
46.13,9.21
46.60,9.18
47.06,9.14
47.53,9.11
48.01,9.07
48.49,9.04
48.97,9.02
49.46,9.00
49.96,8.97
50.46,8.94
50.96,8.90
51.47,8.84
51.99,8.79
52.51,8.74
53.03,8.70
53.56,8.65
54.10,8.61
54.64,8.57
55.18,8.52
55.74,8.48
56.29,8.44
56.86,8.40
57.42,8.36
58.00,8.32
58.58,8.28
59.16,8.24
59.76,8.20
60.35,8.15
60.96,8.11
61.57,8.06
62.18,8.01
62.80,7.96
63.43,7.92
64.07,7.87
64.71,7.82
65.35,7.77
66.01,7.72
66.67,7.67
67.33,7.62
68.01,7.57
68.69,7.52
69.37,7.47
70.07,7.42
70.77,7.36
71.48,7.31
72.19,7.25
72.91,7.20
73.64,7.14
74.38,7.09
75.12,7.03
75.87,6.98
76.63,6.92
77.40,6.86
78.17,6.80
78.95,6.74
79.74,6.68
80.54,6.62
81.35,6.56
82.16,6.50
82.98,6.44
83.81,6.38
84.65,6.32
85.50,6.26
86.35,6.19
87.22,6.13
88.09,6.07
88.97,6.00
89.86,5.94
90.76,5.88
91.66,5.81
92.58,5.75
93.51,5.68
94.44,5.62
95.39,5.56
96.34,5.49
97.30,5.43
98.28,5.36
99.26,5.29
100.25,5.23
101.25,5.16
102.27,5.09
103.29,5.03
104.32,4.96
105.37,4.89
106.42,4.83
107.48,4.76
108.56,4.70
109.64,4.63
110.74,4.57
111.85,4.50
112.97,4.43
114.10,4.37
115.24,4.30
116.39,4.24
117.55,4.17
118.73,4.11
119.92,4.04
121.12,3.98
122.33,3.91
123.55,3.85
124.79,3.79
126.03,3.72
127.29,3.66
128.57,3.59
129.85,3.53
131.15,3.46
132.46,3.40
133.79,3.33
135.12,3.27
136.48,3.21
137.84,3.15
139.22,3.10
140.61,3.05
142.02,2.99
143.44,2.94
144.87,2.89
146.32,2.84
147.78,2.80
149.26,2.75
150.75,2.69
152.26,2.64
153.78,2.58
155.32,2.53
156.88,2.48
158.44,2.42
160.03,2.37
161.63,2.33
163.24,2.28
164.88,2.23
166.53,2.20
168.19,2.16
169.87,2.13
171.57,2.10
173.29,2.07
175.02,2.05
176.77,2.02
178.54,2.00
180.32,1.98
182.13,1.96
183.95,1.95
185.79,1.93
187.65,1.91
189.52,1.89
191.42,1.87
193.33,1.85
195.27,1.83
197.22,1.81
199.19,1.79
201.18,1.77
203.19,1.76
205.23,1.74
207.28,1.72
209.35,1.71
211.44,1.69
213.56,1.68
215.69,1.67
217.85,1.65
220.03,1.64
222.23,1.63
224.45,1.62
226.70,1.61
228.96,1.60
231.25,1.59
233.57,1.58
235.90,1.57
238.26,1.57
240.64,1.56
243.05,1.55
245.48,1.54
247.93,1.53
250.41,1.52
252.92,1.52
255.45,1.53
258.00,1.54
260.58,1.54
263.19,1.55
265.82,1.55
268.48,1.55
271.16,1.55
273.87,1.56
276.61,1.56
279.38,1.56
282.17,1.57
284.99,1.57
287.84,1.58
290.72,1.58
293.63,1.59
296.57,1.59
299.53,1.60
302.53,1.60
305.55,1.61
308.61,1.62
311.69,1.62
314.81,1.63
317.96,1.64
321.14,1.65
324.35,1.66
327.59,1.67
330.87,1.68
334.18,1.69
337.52,1.70
340.90,1.72
344.30,1.73
347.75,1.74
351.23,1.75
354.74,1.76
358.28,1.77
361.87,1.78
365.49,1.80
369.14,1.81
372.83,1.82
376.56,1.83
380.33,1.84
384.13,1.86
387.97,1.87
391.85,1.88
395.77,1.89
399.73,1.90
403.72,1.91
407.76,1.93
411.84,1.94
415.96,1.95
420.12,1.96
424.32,1.97
428.56,1.97
432.85,1.98
437.18,1.99
441.55,2.00
445.96,2.01
450.42,2.01
454.93,2.02
459.48,2.02
464.07,2.02
468.71,2.02
473.40,2.01
478.13,2.01
482.91,2.00
487.74,1.99
492.62,1.98
497.55,1.97
502.52,1.95
507.55,1.94
512.62,1.92
517.75,1.89
522.93,1.86
528.16,1.83
533.44,1.80
538.77,1.77
544.16,1.73
549.60,1.68
555.10,1.63
560.65,1.58
566.25,1.53
571.92,1.47
577.64,1.40
583.41,1.34
589.25,1.27
595.14,1.20
601.09,1.12
607.10,1.04
613.17,0.96
619.30,0.88
625.50,0.81
631.75,0.74
638.07,0.68
644.45,0.65
650.89,0.62
657.40,0.60
663.98,0.58
670.62,0.55
677.32,0.50
684.10,0.45
690.94,0.39
697.85,0.32
704.83,0.26
711.87,0.19
718.99,0.13
726.18,0.06
733.44,-0.01
740.78,-0.07
748.19,-0.14
755.67,-0.20
763.23,-0.26
770.86,-0.32
778.57,-0.37
786.35,-0.43
794.22,-0.47
802.16,-0.52
810.18,-0.56
818.28,-0.59
826.46,-0.61
834.73,-0.63
843.08,-0.64
851.51,-0.65
860.02,-0.65
868.62,-0.65
877.31,-0.64
886.08,-0.62
894.94,-0.59
903.89,-0.57
912.93,-0.53
922.06,-0.49
931.28,-0.45
940.59,-0.40
950.00,-0.35
959.50,-0.29
969.09,-0.22
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.14
1028.71,0.22
1039.00,0.31
1049.39,0.39
1059.88,0.48
1070.48,0.57
1081.19,0.66
1092.00,0.74
1102.92,0.83
1113.95,0.92
1125.09,1.01
1136.34,1.10
1147.70,1.18
1159.18,1.27
1170.77,1.35
1182.48,1.43
1194.30,1.51
