frequency,raw
20.00,14.48
20.20,14.46
20.40,14.45
20.61,14.44
20.81,14.42
21.02,14.39
21.23,14.37
21.44,14.33
21.66,14.29
21.87,14.25
22.09,14.21
22.31,14.16
22.54,14.12
22.76,14.09
22.99,14.06
23.22,14.05
23.45,14.05
23.69,14.05
23.92,14.05
24.16,14.05
24.40,14.04
24.65,14.04
24.89,14.02
25.14,14.01
25.39,13.99
25.65,13.98
25.91,13.96
26.16,13.94
26.43,13.92
26.69,13.90
26.96,13.88
27.23,13.85
27.50,13.82
27.77,13.79
28.05,13.76
28.33,13.72
28.62,13.69
28.90,13.65
29.19,13.62
29.48,13.59
29.78,13.55
30.08,13.52
30.38,13.49
30.68,13.45
30.99,13.42
31.30,13.39
31.61,13.35
31.93,13.32
32.24,13.29
32.57,13.25
32.89,13.22
33.22,13.18
33.55,13.15
33.89,13.11
34.23,13.07
34.57,13.04
34.92,13.00
35.27,12.96
35.62,12.92
35.97,12.88
36.33,12.84
36.70,12.80
37.06,12.76
37.43,12.72
37.81,12.68
38.19,12.64
38.57,12.60
38.95,12.55
39.34,12.51
39.74,12.47
40.14,12.43
40.54,12.39
40.94,12.36
41.35,12.33
41.76,12.30
42.18,12.27
42.60,12.24
43.03,12.21
43.46,12.17
43.90,12.14
44.33,12.11
44.78,12.07
45.23,12.04
45.68,12.00
46.13,11.97
46.60,11.94
47.06,11.90
47.53,11.87
48.01,11.84
48.49,11.80
48.97,11.77
49.46,11.73
49.96,11.69
50.46,11.66
50.96,11.64
51.47,11.61
51.99,11.59
52.51,11.56
53.03,11.53
53.56,11.50
54.10,11.47
54.64,11.44
55.18,11.40
55.74,11.37
56.29,11.33
56.86,11.29
57.42,11.25
58.00,11.21
58.58,11.17
59.16,11.13
59.76,11.09
60.35,11.04
60.96,11.00
61.57,10.95
62.18,10.91
62.80,10.86
63.43,10.81
64.07,10.76
64.71,10.71
65.35,10.66
66.01,10.61
66.67,10.55
67.33,10.50
68.01,10.44
68.69,10.38
69.37,10.32
70.07,10.26
70.77,10.19
71.48,10.13
72.19,10.06
72.91,10.00
73.64,9.93
74.38,9.86
75.12,9.79
75.87,9.72
76.63,9.64
77.40,9.57
78.17,9.49
78.95,9.41
79.74,9.33
80.54,9.25
81.35,9.17
82.16,9.09
82.98,9.00
83.81,8.91
84.65,8.83
85.50,8.74
86.35,8.65
87.22,8.55
88.09,8.46
88.97,8.36
89.86,8.27
90.76,8.17
91.66,8.07
92.58,7.97
93.51,7.87
94.44,7.76
95.39,7.66
96.34,7.56
97.30,7.45
98.28,7.35
99.26,7.24
100.25,7.13
101.25,7.02
102.27,6.92
103.29,6.81
104.32,6.70
105.37,6.59
106.42,6.48
107.48,6.37
108.56,6.26
109.64,6.15
110.74,6.04
111.85,5.92
112.97,5.81
114.10,5.70
115.24,5.58
116.39,5.47
117.55,5.36
118.73,5.24
119.92,5.13
121.12,5.02
122.33,4.90
123.55,4.79
124.79,4.67
126.03,4.55
127.29,4.43
128.57,4.31
129.85,4.19
131.15,4.06
132.46,3.94
133.79,3.81
135.12,3.68
136.48,3.56
137.84,3.44
139.22,3.33
140.61,3.23
142.02,3.14
143.44,3.05
144.87,2.97
146.32,2.90
147.78,2.83
149.26,2.76
150.75,2.67
152.26,2.58
153.78,2.46
155.32,2.35
156.88,2.23
158.44,2.12
160.03,2.00
161.63,1.89
163.24,1.78
164.88,1.67
166.53,1.56
168.19,1.45
169.87,1.34
171.57,1.23
173.29,1.11
175.02,1.00
176.77,0.89
178.54,0.77
180.32,0.66
182.13,0.55
183.95,0.44
185.79,0.32
187.65,0.21
189.52,0.10
191.42,-0.01
193.33,-0.12
195.27,-0.23
197.22,-0.33
199.19,-0.44
201.18,-0.53
203.19,-0.61
205.23,-0.68
207.28,-0.74
209.35,-0.80
211.44,-0.86
213.56,-0.92
215.69,-0.98
217.85,-1.04
220.03,-1.11
222.23,-1.16
224.45,-1.22
226.70,-1.28
228.96,-1.35
231.25,-1.41
233.57,-1.48
235.90,-1.54
238.26,-1.59
240.64,-1.65
243.05,-1.70
245.48,-1.76
247.93,-1.81
250.41,-1.86
252.92,-1.89
255.45,-1.92
258.00,-1.95
260.58,-1.97
263.19,-1.99
265.82,-2.00
268.48,-2.01
271.16,-2.01
273.87,-2.01
276.61,-2.01
279.38,-2.01
282.17,-2.00
284.99,-1.99
287.84,-1.97
290.72,-1.94
293.63,-1.91
296.57,-1.88
299.53,-1.85
302.53,-1.81
305.55,-1.77
308.61,-1.73
311.69,-1.68
314.81,-1.63
317.96,-1.58
321.14,-1.53
324.35,-1.47
327.59,-1.41
330.87,-1.35
334.18,-1.30
337.52,-1.24
340.90,-1.18
344.30,-1.12
347.75,-1.06
351.23,-1.01
354.74,-0.95
358.28,-0.90
361.87,-0.85
365.49,-0.80
369.14,-0.75
372.83,-0.70
376.56,-0.65
380.33,-0.61
384.13,-0.57
387.97,-0.53
391.85,-0.49
395.77,-0.45
399.73,-0.42
403.72,-0.39
407.76,-0.36
411.84,-0.34
415.96,-0.32
420.12,-0.30
424.32,-0.28
428.56,-0.26
432.85,-0.25
437.18,-0.23
441.55,-0.23
445.96,-0.22
450.42,-0.21
454.93,-0.20
459.48,-0.20
464.07,-0.20
468.71,-0.20
473.40,-0.20
478.13,-0.22
482.91,-0.24
487.74,-0.27
492.62,-0.30
497.55,-0.33
502.52,-0.34
507.55,-0.36
512.62,-0.35
517.75,-0.35
522.93,-0.33
528.16,-0.33
533.44,-0.32
538.77,-0.33
544.16,-0.34
549.60,-0.35
555.10,-0.36
560.65,-0.37
566.25,-0.38
571.92,-0.40
577.64,-0.41
583.41,-0.42
589.25,-0.43
595.14,-0.45
601.09,-0.46
607.10,-0.47
613.17,-0.49
619.30,-0.51
625.50,-0.53
631.75,-0.54
638.07,-0.56
644.45,-0.59
650.89,-0.61
657.40,-0.63
663.98,-0.65
670.62,-0.68
677.32,-0.71
684.10,-0.74
690.94,-0.77
697.85,-0.80
704.83,-0.83
711.87,-0.87
718.99,-0.91
726.18,-0.95
733.44,-0.99
740.78,-1.03
748.19,-1.07
755.67,-1.11
763.23,-1.16
770.86,-1.20
778.57,-1.24
786.35,-1.28
794.22,-1.32
802.16,-1.36
810.18,-1.39
818.28,-1.42
826.46,-1.45
834.73,-1.46
843.08,-1.47
851.51,-1.48
860.02,-1.47
868.62,-1.45
877.31,-1.42
886.08,-1.38
894.94,-1.33
903.89,-1.27
912.93,-1.19
922.06,-1.10
931.28,-1.00
940.59,-0.89
950.00,-0.77
959.50,-0.63
969.09,-0.49
978.78,-0.34
988.57,-0.19
998.46,-0.03
1008.44,0.14
1018.53,0.31
1028.71,0.48
1039.00,0.65
1049.39,0.83
1059.88,1.00
1070.48,1.18
1081.19,1.36
1092.00,1.53
1102.92,1.71
1113.95,1.88
1125.09,2.05
1136.34,2.22
1147.70,2.38
1159.18,2.54
1170.77,2.70
1182.48,2.85
1194.30,3.00
1206.25,3.15
1218.31,3.29
1230.49,3.43
1242.80,3.57
1255.22,3.71
1267.78,3.84
1280.45,3.97
1293.26,4.10
1306.19,4.23
1319.25,4.35
1332.45,4.47
1345.77,4.59
1359.23,4.71
1372.82,4.82
1386.55,4.93
1400.41,5.05
1414.42,5.16
1428.56,5.28
1442.85,5.41
1457.28,5.53
1471.85,5.66
1486.57,5.79
1501.43,5.92
1516.45,6.04
1531.61,6.16
1546.93,6.28
1562.40,6.39
1578.02,6.50
1593.80,6.61
1609.74,6.72
1625.84,6.83
1642.10,6.93
1658.52,7.04
1675.10,7.14
1691.85,7.24
1708.77,7.34
1725.86,7.44
1743.12,7.54
1760.55,7.64
1778.15,7.74
1795.94,7.84
1813.90,7.93
1832.03,8.03
1850.36,8.12
1868.86,8.22
1887.55,8.32
1906.42,8.41
1925.49,8.51
1944.74,8.61
1964.19,8.72
1983.83,8.82
2003.67,8.93
2023.71,9.05
2043.94,9.17
2064.38,9.29
2085.03,9.41
2105.88,9.52
2126.94,9.64
2148.20,9.75
2169.69,9.86
2191.38,9.96
2213.30,10.06
2235.43,10.16
2257.78,10.25
2280.36,10.35
2303.17,10.44
2326.20,10.53
2349.46,10.62
2372.95,10.71
2396.68,10.80
2420.65,10.88
2444.86,10.97
2469.31,11.05
2494.00,11.13
2518.94,11.21
