frequency,raw
20.00,9.24
20.20,9.29
20.40,9.35
20.61,9.42
20.81,9.51
21.02,9.60
21.23,9.69
21.44,9.77
21.66,9.83
21.87,9.89
22.09,9.92
22.31,9.94
22.54,9.95
22.76,9.97
22.99,9.99
23.22,10.02
23.45,10.06
23.69,10.10
23.92,10.14
24.16,10.18
24.40,10.22
24.65,10.24
24.89,10.25
25.14,10.27
25.39,10.28
25.65,10.30
25.91,10.32
26.16,10.34
26.43,10.36
26.69,10.38
26.96,10.40
27.23,10.41
27.50,10.43
27.77,10.44
28.05,10.46
28.33,10.48
28.62,10.51
28.90,10.53
29.19,10.54
29.48,10.55
29.78,10.54
30.08,10.52
30.38,10.50
30.68,10.48
30.99,10.46
31.30,10.44
31.61,10.43
31.93,10.42
32.24,10.41
32.57,10.39
32.89,10.37
33.22,10.34
33.55,10.31
33.89,10.28
34.23,10.24
34.57,10.21
34.92,10.18
35.27,10.15
35.62,10.12
35.97,10.10
36.33,10.07
36.70,10.03
37.06,10.00
37.43,9.96
37.81,9.91
38.19,9.87
38.57,9.82
38.95,9.77
39.34,9.72
39.74,9.66
40.14,9.61
40.54,9.57
40.94,9.53
41.35,9.49
41.76,9.45
42.18,9.41
42.60,9.36
43.03,9.32
43.46,9.28
43.90,9.24
44.33,9.21
44.78,9.18
45.23,9.15
45.68,9.13
46.13,9.10
46.60,9.08
47.06,9.05
47.53,9.02
48.01,8.99
48.49,8.96
48.97,8.93
49.46,8.90
49.96,8.87
50.46,8.83
50.96,8.80
51.47,8.76
51.99,8.72
52.51,8.68
53.03,8.65
53.56,8.61
54.10,8.57
54.64,8.54
55.18,8.50
55.74,8.45
56.29,8.40
56.86,8.35
57.42,8.30
58.00,8.25
58.58,8.20
59.16,8.15
59.76,8.10
60.35,8.06
60.96,8.01
61.57,7.95
62.18,7.89
62.80,7.83
63.43,7.76
64.07,7.70
64.71,7.63
65.35,7.56
66.01,7.48
66.67,7.41
67.33,7.34
68.01,7.27
68.69,7.20
69.37,7.13
70.07,7.06
70.77,6.99
71.48,6.92
72.19,6.84
72.91,6.76
73.64,6.67
74.38,6.59
75.12,6.52
75.87,6.44
76.63,6.37
77.40,6.30
78.17,6.22
78.95,6.14
79.74,6.07
80.54,5.99
81.35,5.91
82.16,5.83
82.98,5.75
83.81,5.67
84.65,5.59
85.50,5.52
86.35,5.44
87.22,5.37
88.09,5.30
88.97,5.23
89.86,5.16
90.76,5.08
91.66,5.01
92.58,4.93
93.51,4.86
94.44,4.79
95.39,4.72
96.34,4.64
97.30,4.57
98.28,4.50
99.26,4.44
100.25,4.39
101.25,4.35
102.27,4.31
103.29,4.27
104.32,4.24
105.37,4.20
106.42,4.16
107.48,4.12
108.56,4.07
109.64,4.01
110.74,3.95
111.85,3.90
112.97,3.84
114.10,3.78
115.24,3.71
116.39,3.65
117.55,3.58
118.73,3.52
119.92,3.45
121.12,3.39
122.33,3.33
123.55,3.27
124.79,3.22
126.03,3.16
127.29,3.09
128.57,3.03
129.85,2.97
131.15,2.90
132.46,2.83
133.79,2.77
135.12,2.70
136.48,2.64
137.84,2.57
139.22,2.50
140.61,2.44
142.02,2.37
143.44,2.31
144.87,2.25
146.32,2.20
147.78,2.15
149.26,2.10
150.75,2.05
152.26,2.01
153.78,1.95
155.32,1.90
156.88,1.84
158.44,1.78
160.03,1.73
161.63,1.67
163.24,1.61
164.88,1.56
166.53,1.50
168.19,1.45
169.87,1.39
171.57,1.34
173.29,1.28
175.02,1.22
176.77,1.17
178.54,1.11
180.32,1.06
182.13,1.01
183.95,0.96
185.79,0.90
187.65,0.85
189.52,0.80
191.42,0.75
193.33,0.69
195.27,0.64
197.22,0.58
199.19,0.53
201.18,0.46
203.19,0.40
205.23,0.34
207.28,0.28
209.35,0.23
211.44,0.17
213.56,0.11
215.69,0.06
217.85,0.00
220.03,-0.04
222.23,-0.09
224.45,-0.13
226.70,-0.16
228.96,-0.20
231.25,-0.24
233.57,-0.27
235.90,-0.30
238.26,-0.32
240.64,-0.34
243.05,-0.36
245.48,-0.38
247.93,-0.40
250.41,-0.43
252.92,-0.45
255.45,-0.48
258.00,-0.50
260.58,-0.52
263.19,-0.54
265.82,-0.56
268.48,-0.58
271.16,-0.59
273.87,-0.61
276.61,-0.62
279.38,-0.64
282.17,-0.65
284.99,-0.67
287.84,-0.68
290.72,-0.69
293.63,-0.70
296.57,-0.72
299.53,-0.73
302.53,-0.73
305.55,-0.74
308.61,-0.74
311.69,-0.74
314.81,-0.73
317.96,-0.73
321.14,-0.74
324.35,-0.74
327.59,-0.74
330.87,-0.74
334.18,-0.74
337.52,-0.73
340.90,-0.73
344.30,-0.72
347.75,-0.71
351.23,-0.70
354.74,-0.69
358.28,-0.68
361.87,-0.67
365.49,-0.66
369.14,-0.64
372.83,-0.63
376.56,-0.61
380.33,-0.60
384.13,-0.58
387.97,-0.57
391.85,-0.56
395.77,-0.54
399.73,-0.53
403.72,-0.51
407.76,-0.49
411.84,-0.47
415.96,-0.45
420.12,-0.43
424.32,-0.41
428.56,-0.39
432.85,-0.37
437.18,-0.35
441.55,-0.32
445.96,-0.30
450.42,-0.28
454.93,-0.26
459.48,-0.23
464.07,-0.20
468.71,-0.17
473.40,-0.14
478.13,-0.11
482.91,-0.08
487.74,-0.05
492.62,-0.02
497.55,0.01
502.52,0.04
507.55,0.06
512.62,0.09
517.75,0.12
522.93,0.15
528.16,0.18
533.44,0.22
538.77,0.26
544.16,0.29
549.60,0.33
555.10,0.36
560.65,0.39
566.25,0.42
571.92,0.45
577.64,0.48
583.41,0.51
589.25,0.54
595.14,0.56
601.09,0.59
607.10,0.62
613.17,0.64
619.30,0.66
625.50,0.69
631.75,0.71
638.07,0.73
644.45,0.74
650.89,0.76
657.40,0.77
663.98,0.78
670.62,0.78
