frequency,raw
20.00,4.42
20.20,4.47
20.40,4.51
20.61,4.56
20.81,4.60
21.02,4.65
21.23,4.70
21.44,4.76
21.66,4.81
21.87,4.86
22.09,4.91
22.31,4.96
22.54,5.01
22.76,5.05
22.99,5.09
23.22,5.13
23.45,5.17
23.69,5.21
23.92,5.24
24.16,5.28
24.40,5.32
24.65,5.36
24.89,5.40
25.14,5.44
25.39,5.47
25.65,5.50
25.91,5.54
26.16,5.57
26.43,5.60
26.69,5.62
26.96,5.65
27.23,5.68
27.50,5.71
27.77,5.73
28.05,5.76
28.33,5.78
28.62,5.81
28.90,5.83
29.19,5.86
29.48,5.88
29.78,5.90
30.08,5.92
30.38,5.93
30.68,5.95
30.99,5.97
31.30,5.99
31.61,6.00
31.93,6.02
32.24,6.03
32.57,6.05
32.89,6.06
33.22,6.07
33.55,6.08
33.89,6.09
34.23,6.10
34.57,6.11
34.92,6.12
35.27,6.12
35.62,6.13
35.97,6.14
36.33,6.14
36.70,6.15
37.06,6.15
37.43,6.15
37.81,6.15
38.19,6.16
38.57,6.16
38.95,6.16
39.34,6.16
39.74,6.15
40.14,6.15
40.54,6.15
40.94,6.14
41.35,6.14
41.76,6.13
42.18,6.13
42.60,6.12
43.03,6.11
43.46,6.10
43.90,6.10
44.33,6.09
44.78,6.08
45.23,6.07
45.68,6.06
46.13,6.04
46.60,6.03
47.06,6.02
47.53,6.00
48.01,5.98
48.49,5.97
48.97,5.95
49.46,5.93
49.96,5.91
50.46,5.90
50.96,5.88
51.47,5.86
51.99,5.84
52.51,5.82
53.03,5.80
53.56,5.77
54.10,5.75
54.64,5.73
55.18,5.70
55.74,5.67
56.29,5.65
56.86,5.62
57.42,5.59
58.00,5.56
58.58,5.53
59.16,5.50
59.76,5.47
60.35,5.44
60.96,5.41
61.57,5.38
62.18,5.35
62.80,5.31
63.43,5.28
64.07,5.24
64.71,5.20
65.35,5.17
66.01,5.13
66.67,5.09
67.33,5.05
68.01,5.01
68.69,4.97
69.37,4.93
70.07,4.89
70.77,4.85
71.48,4.80
72.19,4.76
72.91,4.72
73.64,4.67
74.38,4.63
75.12,4.58
75.87,4.54
76.63,4.49
77.40,4.44
78.17,4.40
78.95,4.35
79.74,4.31
80.54,4.26
81.35,4.21
82.16,4.17
82.98,4.13
83.81,4.08
84.65,4.04
85.50,3.99
86.35,3.95
87.22,3.90
88.09,3.86
88.97,3.82
89.86,3.77
90.76,3.73
91.66,3.69
92.58,3.65
93.51,3.61
94.44,3.57
95.39,3.54
96.34,3.50
97.30,3.46
98.28,3.42
99.26,3.39
100.25,3.35
101.25,3.31
102.27,3.28
103.29,3.24
104.32,3.21
105.37,3.17
106.42,3.14
107.48,3.11
108.56,3.07
109.64,3.04
110.74,3.01
111.85,2.97
112.97,2.94
114.10,2.91
115.24,2.88
116.39,2.84
117.55,2.81
118.73,2.78
119.92,2.74
121.12,2.71
122.33,2.68
123.55,2.64
124.79,2.61
126.03,2.57
127.29,2.54
128.57,2.50
129.85,2.46
131.15,2.43
132.46,2.39
133.79,2.35
135.12,2.31
136.48,2.28
137.84,2.24
139.22,2.20
140.61,2.16
142.02,2.12
143.44,2.08
144.87,2.04
146.32,2.01
147.78,1.97
149.26,1.93
150.75,1.89
152.26,1.85
153.78,1.81
155.32,1.76
156.88,1.72
158.44,1.68
160.03,1.64
161.63,1.60
163.24,1.56
164.88,1.52
166.53,1.48
168.19,1.45
169.87,1.41
171.57,1.37
173.29,1.34
175.02,1.30
176.77,1.27
178.54,1.23
180.32,1.19
182.13,1.16
183.95,1.12
185.79,1.08
187.65,1.05
189.52,1.01
191.42,0.98
193.33,0.94
195.27,0.91
197.22,0.87
199.19,0.84
201.18,0.80
203.19,0.77
205.23,0.73
207.28,0.70
209.35,0.66
211.44,0.63
213.56,0.59
215.69,0.56
217.85,0.53
220.03,0.50
222.23,0.47
224.45,0.44
226.70,0.41
228.96,0.39
231.25,0.36
233.57,0.33
235.90,0.30
238.26,0.28
240.64,0.25
243.05,0.23
245.48,0.21
247.93,0.19
250.41,0.17
252.92,0.15
255.45,0.13
258.00,0.11
260.58,0.10
263.19,0.08
265.82,0.07
268.48,0.06
271.16,0.04
273.87,0.03
276.61,0.03
279.38,0.02
282.17,0.01
284.99,0.00
287.84,0.00
290.72,-0.00
293.63,-0.01
296.57,-0.01
299.53,-0.01
302.53,-0.00
305.55,-0.00
308.61,0.00
311.69,0.01
314.81,0.01
317.96,0.02
321.14,0.03
324.35,0.04
327.59,0.05
330.87,0.07
334.18,0.08
337.52,0.09
340.90,0.11
344.30,0.12
347.75,0.14
351.23,0.15
354.74,0.17
358.28,0.19
361.87,0.21
365.49,0.24
369.14,0.26
372.83,0.28
376.56,0.30
380.33,0.33
384.13,0.35
387.97,0.38
391.85,0.41
395.77,0.43
399.73,0.46
403.72,0.49
407.76,0.52
411.84,0.54
415.96,0.57
420.12,0.60
424.32,0.63
428.56,0.65
432.85,0.68
437.18,0.71
441.55,0.73
445.96,0.76
450.42,0.78
454.93,0.80
459.48,0.82
464.07,0.85
468.71,0.87
473.40,0.89
478.13,0.90
482.91,0.92
487.74,0.94
492.62,0.95
497.55,0.97
502.52,0.99
507.55,1.00
512.62,1.02
517.75,1.04
522.93,1.06
528.16,1.09
533.44,1.11
538.77,1.13
544.16,1.16
549.60,1.18
555.10,1.20
560.65,1.22
566.25,1.23
571.92,1.25
577.64,1.25
583.41,1.25
589.25,1.25
595.14,1.24
601.09,1.22
607.10,1.19
613.17,1.16
619.30,1.13
625.50,1.09
631.75,1.05
638.07,1.00
644.45,0.96
650.89,0.91
657.40,0.86
663.98,0.82
670.62,0.77
677.32,0.73
684.10,0.69
690.94,0.65
697.85,0.62
704.83,0.59
711.87,0.56
718.99,0.53
726.18,0.51
733.44,0.49
740.78,0.46
748.19,0.44
755.67,0.42
763.23,0.41
770.86,0.39
778.57,0.36
786.35,0.34
794.22,0.32
802.16,0.30
810.18,0.27
818.28,0.24
826.46,0.22
834.73,0.19
843.08,0.16
851.51,0.14
860.02,0.11
868.62,0.09
877.31,0.07
886.08,0.05
894.94,0.02
903.89,0.00
912.93,-0.01
922.06,-0.03
931.28,-0.04
940.59,-0.05
950.00,-0.05
959.50,-0.05
969.09,-0.05
978.78,-0.04
988.57,-0.02
998.46,-0.00
1008.44,0.02
1018.53,0.05
1028.71,0.08
1039.00,0.11
1049.39,0.15
1059.88,0.20
1070.48,0.25
1081.19,0.30
1092.00,0.36
1102.92,0.41
1113.95,0.47
1125.09,0.53
1136.34,0.58
1147.70,0.64
1159.18,0.69
1170.77,0.73
1182.48,0.78
1194.30,0.82
1206.25,0.86
1218.31,0.90
1230.49,0.94
1242.80,0.97
1255.22,1.01
1267.78,1.05
1280.45,1.10
1293.26,1.15
1306.19,1.20
1319.25,1.25
1332.45,1.31
1345.77,1.37
1359.23,1.44
1372.82,1.51
1386.55,1.59
1400.41,1.67
1414.42,1.76
1428.56,1.85
1442.85,1.95
1457.28,2.06
1471.85,2.16
1486.57,2.28
1501.43,2.40
1516.45,2.52
1531.61,2.64
1546.93,2.77
1562.40,2.90
1578.02,3.03
1593.80,3.17
1609.74,3.30
1625.84,3.44
1642.10,3.57
1658.52,3.71
1675.10,3.85
1691.85,3.98
1708.77,4.12
1725.86,4.25
1743.12,4.39
1760.55,4.52
1778.15,4.64
1795.94,4.77
1813.90,4.89
1832.03,5.01
1850.36,5.12
1868.86,5.23
1887.55,5.34
1906.42,5.45
1925.49,5.55
1944.74,5.65
1964.19,5.74
1983.83,5.84
2003.67,5.93
2023.71,6.02
2043.94,6.10
2064.38,6.18
2085.03,6.27
2105.88,6.35
2126.94,6.42
2148.20,6.50
2169.69,6.56
2191.38,6.63
2213.30,6.70
2235.43,6.76
2257.78,6.82
2280.36,6.88
2303.17,6.93
2326.20,6.99
2349.46,7.04
2372.95,7.09
2396.68,7.14
2420.65,7.18
2444.86,7.23
2469.31,7.27
2494.00,7.32
2518.94,7.36
2544.13,7.40
2569.57,7.44
2595.27,7.47
2621.22,7.51
2647.43,7.55
2673.90,7.59
2700.64,7.63
2727.65,7.66
2754.93,7.69
2782.48,7.73
2810.30,7.76
2838.40,7.79
2866.79,7.82
2895.46,7.84
2924.41,7.87
2953.65,7.90
2983.19,7.93
3013.02,7.96
3043.15,7.99
3073.58,8.01
3104.32,8.04
3135.36,8.06
3166.72,8.09
3198.38,8.11
3230.37,8.13
3262.67,8.15
3295.30,8.17
3328.25,8.19
3361.53,8.20
3395.15,8.22
3429.10,8.23
3463.39,8.23
3498.03,8.24
3533.01,8.24
3568.34,8.24
3604.02,8.24
3640.06,8.24
3676.46,8.24
3713.22,8.23
3750.36,8.21
3787.86,8.19
3825.74,8.17
3864.00,8.15
3902.64,8.11
3941.66,8.08
3981.08,8.04
4020.89,8.00
4061.10,7.95
4101.71,7.89
4142.73,7.84
4184.15,7.79
4226.00,7.73
4268.26,7.68
4310.94,7.63
4354.05,7.58
4397.59,7.55
4441.56,7.51
4485.98,7.48
4530.84,7.45
4576.15,7.42
4621.91,7.40
4668.13,7.37
4714.81,7.33
4761.96,7.29
4809.58,7.24
4857.67,7.18
4906.25,7.12
4955.31,7.05
5004.87,6.98
5054.91,6.92
5105.46,6.85
5156.52,6.79
5208.08,6.74
5260.16,6.68
5312.77,6.63
5365.89,6.58
5419.55,6.52
5473.75,6.47
5528.49,6.44
5583.77,6.44
5639.61,6.45
5696.00,6.47
5752.96,6.43
5810.49,6.39
5868.60,6.31
5927.28,6.22
5986.56,6.12
6046.42,6.01
6106.89,5.90
6167.96,5.79
6229.64,5.67
6291.93,5.55
6354.85,5.44
6418.40,5.33
6482.58,5.24
6547.41,5.15
6612.88,5.07
6679.01,4.99
6745.80,4.94
6813.26,4.89
6881.39,4.85
6950.21,4.83
7019.71,4.83
7089.91,4.84
7160.81,4.87
7232.41,4.92
7304.74,4.98
7377.79,5.07
7451.56,5.17
7526.08,5.31
7601.34,5.46
7677.35,5.65
7754.13,5.85
7831.67,6.08
7909.98,6.31
7989.08,6.54
8068.98,6.70
8149.67,6.81
8231.16,6.84
8313.47,6.77
8396.61,6.65
8480.57,6.43
8565.38,6.11
8651.03,5.72
8737.54,5.27
8824.92,4.78
8913.17,4.25
9002.30,3.72
