frequency,raw
20.00,11.08
20.20,11.04
20.40,11.00
20.61,10.95
20.81,10.90
21.02,10.85
21.23,10.80
21.44,10.75
21.66,10.70
21.87,10.65
22.09,10.60
22.31,10.56
22.54,10.51
22.76,10.47
22.99,10.43
23.22,10.39
23.45,10.35
23.69,10.31
23.92,10.26
24.16,10.22
24.40,10.17
24.65,10.12
24.89,10.07
25.14,10.01
25.39,9.96
25.65,9.90
25.91,9.85
26.16,9.80
26.43,9.74
26.69,9.69
26.96,9.63
27.23,9.58
27.50,9.53
27.77,9.47
28.05,9.42
28.33,9.38
28.62,9.33
28.90,9.29
29.19,9.25
29.48,9.21
29.78,9.17
30.08,9.14
30.38,9.11
30.68,9.08
30.99,9.05
31.30,9.02
31.61,9.00
31.93,8.97
32.24,8.95
32.57,8.93
32.89,8.92
33.22,8.90
33.55,8.89
33.89,8.88
34.23,8.87
34.57,8.86
34.92,8.85
35.27,8.83
35.62,8.82
35.97,8.81
36.33,8.80
36.70,8.79
37.06,8.78
37.43,8.77
37.81,8.77
38.19,8.76
38.57,8.76
38.95,8.75
39.34,8.75
39.74,8.75
40.14,8.76
40.54,8.76
40.94,8.77
41.35,8.78
41.76,8.78
42.18,8.79
42.60,8.80
43.03,8.81
43.46,8.82
43.90,8.83
44.33,8.84
44.78,8.85
45.23,8.87
45.68,8.88
46.13,8.90
46.60,8.91
47.06,8.93
47.53,8.95
48.01,8.98
48.49,9.01
48.97,9.03
49.46,9.05
49.96,9.06
50.46,9.08
50.96,9.10
51.47,9.14
51.99,9.18
52.51,9.22
53.03,9.26
53.56,9.30
54.10,9.34
54.64,9.38
55.18,9.41
55.74,9.45
56.29,9.48
56.86,9.52
57.42,9.55
58.00,9.58
58.58,9.61
59.16,9.64
59.76,9.66
60.35,9.68
60.96,9.70
61.57,9.71
62.18,9.72
62.80,9.72
63.43,9.71
64.07,9.70
64.71,9.68
65.35,9.66
66.01,9.63
66.67,9.58
67.33,9.54
68.01,9.49
68.69,9.43
69.37,9.37
70.07,9.30
70.77,9.23
71.48,9.15
72.19,9.07
72.91,8.99
73.64,8.91
74.38,8.82
75.12,8.73
75.87,8.63
76.63,8.54
77.40,8.45
78.17,8.35
78.95,8.26
79.74,8.16
80.54,8.06
81.35,7.96
82.16,7.87
82.98,7.77
83.81,7.68
84.65,7.58
85.50,7.48
86.35,7.39
87.22,7.29
88.09,7.19
88.97,7.09
89.86,6.99
90.76,6.89
91.66,6.79
92.58,6.68
93.51,6.58
94.44,6.47
95.39,6.37
96.34,6.26
97.30,6.15
98.28,6.04
99.26,5.92
100.25,5.81
101.25,5.69
102.27,5.57
103.29,5.45
104.32,5.33
105.37,5.20
106.42,5.07
107.48,4.94
108.56,4.80
109.64,4.66
