frequency,raw
20.00,9.47
20.20,9.49
20.40,9.50
20.61,9.52
20.81,9.54
21.02,9.57
21.23,9.60
21.44,9.62
21.66,9.65
21.87,9.68
22.09,9.70
22.31,9.72
22.54,9.73
22.76,9.74
22.99,9.75
23.22,9.75
23.45,9.76
23.69,9.77
23.92,9.78
24.16,9.79
24.40,9.80
24.65,9.82
24.89,9.83
25.14,9.84
25.39,9.85
25.65,9.86
25.91,9.87
26.16,9.88
26.43,9.89
26.69,9.90
26.96,9.91
27.23,9.92
27.50,9.93
27.77,9.93
28.05,9.94
28.33,9.95
28.62,9.96
28.90,9.97
29.19,9.98
29.48,9.99
29.78,9.99
30.08,10.00
30.38,10.01
30.68,10.01
30.99,10.02
31.30,10.02
31.61,10.02
31.93,10.02
32.24,10.02
32.57,10.02
32.89,10.02
33.22,10.02
33.55,10.02
33.89,10.02
34.23,10.02
34.57,10.02
34.92,10.01
35.27,10.01
35.62,10.00
35.97,9.99
36.33,9.98
36.70,9.96
37.06,9.95
37.43,9.93
37.81,9.92
38.19,9.90
38.57,9.89
38.95,9.87
39.34,9.85
39.74,9.83
40.14,9.82
40.54,9.80
40.94,9.78
41.35,9.76
41.76,9.74
42.18,9.72
42.60,9.70
43.03,9.67
43.46,9.65
43.90,9.62
44.33,9.60
44.78,9.57
45.23,9.54
45.68,9.51
46.13,9.47
46.60,9.44
47.06,9.40
47.53,9.36
48.01,9.31
48.49,9.27
48.97,9.22
49.46,9.18
49.96,9.14
50.46,9.10
50.96,9.06
51.47,9.02
51.99,8.96
52.51,8.90
53.03,8.85
53.56,8.79
54.10,8.74
54.64,8.68
55.18,8.63
55.74,8.58
56.29,8.52
56.86,8.47
57.42,8.42
58.00,8.36
58.58,8.31
59.16,8.26
59.76,8.20
60.35,8.15
60.96,8.09
61.57,8.04
62.18,7.98
62.80,7.93
63.43,7.88
64.07,7.82
64.71,7.77
65.35,7.72
66.01,7.67
66.67,7.62
67.33,7.57
68.01,7.53
68.69,7.48
69.37,7.43
70.07,7.39
70.77,7.35
71.48,7.31
72.19,7.28
72.91,7.25
73.64,7.23
74.38,7.21
75.12,7.19
75.87,7.17
76.63,7.15
77.40,7.14
78.17,7.13
78.95,7.11
79.74,7.10
80.54,7.08
81.35,7.06
82.16,7.04
82.98,7.01
83.81,6.98
84.65,6.95
85.50,6.91
86.35,6.87
87.22,6.82
88.09,6.78
88.97,6.73
89.86,6.69
90.76,6.66
91.66,6.66
92.58,6.68
93.51,6.74
94.44,6.80
95.39,6.87
96.34,6.92
97.30,6.97
98.28,7.00
99.26,7.03
100.25,7.04
101.25,7.05
102.27,7.05
103.29,7.05
104.32,7.04
105.37,7.02
106.42,7.00
107.48,6.98
108.56,6.96
109.64,6.94
110.74,6.91
111.85,6.88
112.97,6.85
114.10,6.82
115.24,6.79
116.39,6.75
117.55,6.71
118.73,6.66
119.92,6.62
121.12,6.57
122.33,6.52
123.55,6.47
124.79,6.41
126.03,6.36
127.29,6.30
128.57,6.24
129.85,6.18
131.15,6.12
132.46,6.05
133.79,5.99
135.12,5.92
136.48,5.86
137.84,5.79
139.22,5.73
140.61,5.66
142.02,5.59
143.44,5.53
144.87,5.46
146.32,5.39
147.78,5.32
149.26,5.25
150.75,5.18
152.26,5.11
153.78,5.05
155.32,4.99
156.88,4.93
158.44,4.87
160.03,4.81
161.63,4.76
163.24,4.71
164.88,4.66
166.53,4.62
168.19,4.58
169.87,4.54
171.57,4.50
173.29,4.47
175.02,4.44
176.77,4.41
178.54,4.38
180.32,4.36
182.13,4.34
183.95,4.32
185.79,4.31
187.65,4.29
189.52,4.29
191.42,4.28
193.33,4.28
195.27,4.27
197.22,4.27
199.19,4.26
201.18,4.26
203.19,4.26
205.23,4.26
207.28,4.26
209.35,4.26
211.44,4.27
213.56,4.27
215.69,4.27
217.85,4.27
220.03,4.27
222.23,4.27
224.45,4.27
226.70,4.26
228.96,4.26
231.25,4.25
233.57,4.25
235.90,4.24
238.26,4.22
240.64,4.21
243.05,4.19
245.48,4.17
247.93,4.14
250.41,4.12
252.92,4.10
255.45,4.08
258.00,4.07
260.58,4.06
263.19,4.05
265.82,4.04
268.48,4.03
271.16,4.01
273.87,3.99
276.61,3.97
279.38,3.94
282.17,3.91
284.99,3.87
287.84,3.83
290.72,3.79
293.63,3.74
296.57,3.69
299.53,3.64
302.53,3.59
305.55,3.53
308.61,3.48
311.69,3.42
314.81,3.36
317.96,3.30
321.14,3.24
324.35,3.18
327.59,3.11
330.87,3.04
334.18,2.97
337.52,2.90
340.90,2.83
344.30,2.76
347.75,2.69
351.23,2.62
354.74,2.55
358.28,2.48
361.87,2.41
365.49,2.35
369.14,2.28
372.83,2.22
376.56,2.16
380.33,2.10
384.13,2.04
387.97,1.99
391.85,1.93
395.77,1.88
399.73,1.83
403.72,1.78
407.76,1.73
411.84,1.69
415.96,1.65
420.12,1.61
424.32,1.57
428.56,1.53
432.85,1.50
437.18,1.47
441.55,1.44
445.96,1.41
450.42,1.39
454.93,1.36
459.48,1.34
464.07,1.33
468.71,1.31
473.40,1.29
478.13,1.28
482.91,1.27
487.74,1.25
492.62,1.24
497.55,1.23
502.52,1.23
507.55,1.22
512.62,1.21
517.75,1.20
522.93,1.20
528.16,1.19
533.44,1.18
538.77,1.18
544.16,1.17
549.60,1.16
555.10,1.15
560.65,1.14
566.25,1.13
571.92,1.12
577.64,1.11
583.41,1.09
589.25,1.08
595.14,1.06
601.09,1.04
607.10,1.03
613.17,1.01
619.30,0.99
625.50,0.96
631.75,0.94
638.07,0.92
644.45,0.90
650.89,0.87
657.40,0.85
663.98,0.82
670.62,0.79
677.32,0.76
684.10,0.73
690.94,0.70
697.85,0.66
704.83,0.63
711.87,0.59
718.99,0.56
726.18,0.52
733.44,0.49
740.78,0.45
748.19,0.41
755.67,0.37
763.23,0.34
770.86,0.30
778.57,0.26
786.35,0.23
794.22,0.19
802.16,0.15
810.18,0.12
818.28,0.08
826.46,0.05
834.73,0.02
843.08,-0.01
851.51,-0.04
860.02,-0.06
868.62,-0.08
877.31,-0.10
886.08,-0.12
894.94,-0.13
903.89,-0.14
912.93,-0.14
922.06,-0.14
931.28,-0.14
940.59,-0.13
950.00,-0.12
959.50,-0.11
969.09,-0.09
978.78,-0.06
988.57,-0.04
998.46,-0.01
1008.44,0.03
1018.53,0.06
1028.71,0.10
1039.00,0.15
1049.39,0.19
1059.88,0.24
1070.48,0.30
1081.19,0.35
1092.00,0.41
1102.92,0.47
1113.95,0.53
1125.09,0.60
1136.34,0.67
1147.70,0.74
1159.18,0.81
1170.77,0.88
1182.48,0.96
1194.30,1.04
1206.25,1.11
1218.31,1.19
1230.49,1.27
1242.80,1.35
1255.22,1.44
1267.78,1.52
1280.45,1.61
1293.26,1.70
1306.19,1.79
1319.25,1.88
1332.45,1.97
1345.77,2.07
1359.23,2.16
1372.82,2.26
1386.55,2.35
1400.41,2.45
1414.42,2.55
1428.56,2.65
1442.85,2.75
1457.28,2.86
1471.85,2.96
1486.57,3.07
1501.43,3.18
1516.45,3.29
1531.61,3.40
1546.93,3.51
1562.40,3.63
1578.02,3.75
1593.80,3.87
1609.74,3.99
1625.84,4.12
1642.10,4.25
1658.52,4.38
1675.10,4.52
