frequency,raw
20.00,0.95
20.20,1.07
20.40,1.20
20.61,1.33
20.81,1.46
21.02,1.59
21.23,1.71
21.44,1.84
21.66,1.97
21.87,2.09
22.09,2.21
22.31,2.32
22.54,2.44
22.76,2.55
22.99,2.66
23.22,2.76
23.45,2.86
23.69,2.96
23.92,3.06
24.16,3.14
24.40,3.21
24.65,3.25
24.89,3.29
25.14,3.32
25.39,3.35
25.65,3.38
25.91,3.40
26.16,3.42
26.43,3.45
26.69,3.47
26.96,3.50
27.23,3.53
27.50,3.57
27.77,3.60
28.05,3.64
28.33,3.67
28.62,3.71
28.90,3.74
29.19,3.76
29.48,3.79
29.78,3.80
30.08,3.81
30.38,3.81
30.68,3.81
30.99,3.81
31.30,3.81
31.61,3.81
31.93,3.82
32.24,3.83
32.57,3.85
32.89,3.87
33.22,3.90
33.55,3.92
33.89,3.95
34.23,3.98
34.57,4.01
34.92,4.03
35.27,4.05
35.62,4.06
35.97,4.07
36.33,4.09
36.70,4.10
37.06,4.11
37.43,4.12
37.81,4.13
38.19,4.14
38.57,4.16
38.95,4.17
39.34,4.19
39.74,4.21
40.14,4.22
40.54,4.24
40.94,4.25
41.35,4.26
41.76,4.28
42.18,4.29
42.60,4.30
43.03,4.31
43.46,4.31
43.90,4.31
44.33,4.30
44.78,4.30
45.23,4.29
45.68,4.29
46.13,4.29
46.60,4.31
47.06,4.32
47.53,4.34
48.01,4.34
48.49,4.34
48.97,4.31
49.46,4.26
49.96,4.21
50.46,4.16
50.96,4.11
51.47,4.08
51.99,4.06
52.51,4.04
53.03,4.02
53.56,4.01
54.10,4.00
54.64,3.99
55.18,3.98
55.74,3.97
56.29,3.95
56.86,3.91
57.42,3.86
58.00,3.79
58.58,3.73
59.16,3.67
59.76,3.62
60.35,3.57
60.96,3.53
61.57,3.48
62.18,3.43
62.80,3.37
63.43,3.30
64.07,3.24
64.71,3.18
65.35,3.14
66.01,3.09
66.67,3.05
67.33,3.00
68.01,2.95
68.69,2.89
69.37,2.83
70.07,2.77
70.77,2.71
71.48,2.66
72.19,2.62
72.91,2.58
73.64,2.56
74.38,2.53
75.12,2.50
75.87,2.45
76.63,2.38
77.40,2.30
78.17,2.22
78.95,2.14
79.74,2.06
80.54,1.99
81.35,1.91
82.16,1.83
82.98,1.76
83.81,1.69
84.65,1.62
85.50,1.55
86.35,1.48
87.22,1.40
88.09,1.31
88.97,1.23
89.86,1.16
90.76,1.09
91.66,1.02
92.58,0.94
93.51,0.84
94.44,0.75
95.39,0.64
96.34,0.54
97.30,0.44
98.28,0.35
99.26,0.25
100.25,0.12
101.25,-0.03
102.27,-0.18
103.29,-0.30
104.32,-0.39
105.37,-0.46
106.42,-0.53
107.48,-0.60
108.56,-0.68
109.64,-0.80
110.74,-0.94
111.85,-1.11
112.97,-1.27
114.10,-1.40
115.24,-1.52
116.39,-1.66
117.55,-1.84
118.73,-2.03
119.92,-2.21
121.12,-2.37
122.33,-2.52
123.55,-2.67
124.79,-2.83
126.03,-2.98
127.29,-3.12
128.57,-3.25
129.85,-3.39
131.15,-3.53
132.46,-3.68
133.79,-3.80
135.12,-3.92
136.48,-4.02
137.84,-4.13
139.22,-4.23
140.61,-4.33
142.02,-4.41
143.44,-4.48
144.87,-4.57
146.32,-4.69
147.78,-4.82
149.26,-4.94
150.75,-5.02
152.26,-5.08
153.78,-5.12
155.32,-5.19
156.88,-5.29
158.44,-5.39
160.03,-5.46
161.63,-5.47
163.24,-5.48
164.88,-5.54
166.53,-5.62
168.19,-5.71
169.87,-5.74
171.57,-5.74
173.29,-5.75
175.02,-5.78
176.77,-5.82
178.54,-5.83
180.32,-5.82
182.13,-5.82
183.95,-5.82
185.79,-5.81
187.65,-5.79
189.52,-5.75
191.42,-5.71
193.33,-5.65
195.27,-5.61
197.22,-5.57
199.19,-5.51
201.18,-5.46
203.19,-5.43
205.23,-5.43
207.28,-5.43
209.35,-5.40
211.44,-5.37
213.56,-5.35
215.69,-5.33
217.85,-5.30
220.03,-5.25
222.23,-5.21
224.45,-5.19
226.70,-5.20
228.96,-5.21
231.25,-5.22
233.57,-5.21
235.90,-5.22
238.26,-5.25
240.64,-5.28
243.05,-5.31
245.48,-5.33
247.93,-5.33
250.41,-5.33
252.92,-5.33
255.45,-5.35
258.00,-5.38
260.58,-5.40
263.19,-5.42
265.82,-5.47
268.48,-5.52
271.16,-5.57
273.87,-5.61
276.61,-5.65
279.38,-5.72
282.17,-5.78
284.99,-5.82
287.84,-5.84
290.72,-5.85
293.63,-5.86
296.57,-5.88
299.53,-5.90
302.53,-5.95
305.55,-5.99
308.61,-6.02
311.69,-6.02
314.81,-6.01
317.96,-5.99
321.14,-5.97
324.35,-5.95
327.59,-5.95
330.87,-5.97
334.18,-6.00
337.52,-6.04
340.90,-6.12
344.30,-6.24
347.75,-6.35
351.23,-6.46
354.74,-6.54
358.28,-6.63
361.87,-6.74
365.49,-6.82
369.14,-6.87
372.83,-6.93
376.56,-6.99
380.33,-7.04
384.13,-7.05
