frequency,raw
20.00,10.68
20.20,10.69
20.40,10.70
20.61,10.70
20.81,10.69
21.02,10.67
21.23,10.66
21.44,10.65
21.66,10.65
21.87,10.67
22.09,10.70
22.31,10.73
22.54,10.77
22.76,10.81
22.99,10.83
23.22,10.84
23.45,10.84
23.69,10.83
23.92,10.82
24.16,10.82
24.40,10.83
24.65,10.84
24.89,10.86
25.14,10.89
25.39,10.91
25.65,10.92
25.91,10.93
26.16,10.93
26.43,10.93
26.69,10.94
26.96,10.95
27.23,10.96
27.50,10.97
27.77,10.98
28.05,10.98
28.33,10.98
28.62,10.98
28.90,10.98
29.19,10.98
29.48,10.99
29.78,11.01
30.08,11.02
30.38,11.03
30.68,11.02
30.99,11.00
31.30,10.98
31.61,10.96
31.93,10.95
32.24,10.95
32.57,10.95
32.89,10.96
33.22,10.96
33.55,10.96
33.89,10.95
34.23,10.94
34.57,10.93
34.92,10.94
35.27,10.95
35.62,10.96
35.97,10.96
36.33,10.96
36.70,10.95
37.06,10.94
37.43,10.93
37.81,10.93
38.19,10.93
38.57,10.93
38.95,10.92
39.34,10.92
39.74,10.91
40.14,10.91
40.54,10.90
40.94,10.89
41.35,10.88
41.76,10.87
42.18,10.85
42.60,10.83
43.03,10.82
43.46,10.83
43.90,10.83
44.33,10.84
44.78,10.84
45.23,10.83
45.68,10.81
46.13,10.80
46.60,10.79
47.06,10.78
47.53,10.77
48.01,10.76
48.49,10.75
48.97,10.74
49.46,10.72
49.96,10.70
50.46,10.69
50.96,10.69
51.47,10.68
51.99,10.66
52.51,10.64
53.03,10.62
53.56,10.61
54.10,10.60
54.64,10.58
55.18,10.56
55.74,10.54
56.29,10.52
56.86,10.50
57.42,10.48
58.00,10.47
58.58,10.44
59.16,10.42
59.76,10.40
60.35,10.37
60.96,10.34
61.57,10.32
62.18,10.29
62.80,10.27
63.43,10.24
64.07,10.22
64.71,10.20
65.35,10.17
66.01,10.13
66.67,10.11
67.33,10.09
68.01,10.06
68.69,10.03
69.37,9.99
70.07,9.96
70.77,9.93
71.48,9.88
72.19,9.84
72.91,9.82
73.64,9.80
74.38,9.77
75.12,9.72
75.87,9.70
76.63,9.66
77.40,9.63
78.17,9.60
78.95,9.57
79.74,9.54
80.54,9.50
81.35,9.47
82.16,9.43
82.98,9.39
83.81,9.34
84.65,9.30
85.50,9.27
86.35,9.22
87.22,9.18
88.09,9.14
88.97,9.10
89.86,9.06
90.76,9.01
91.66,8.97
92.58,8.94
93.51,8.89
94.44,8.84
95.39,8.79
96.34,8.75
97.30,8.69
98.28,8.66
99.26,8.62
100.25,8.57
101.25,8.52
102.27,8.46
103.29,8.41
104.32,8.36
105.37,8.30
106.42,8.25
107.48,8.20
108.56,8.15
109.64,8.10
110.74,8.04
111.85,7.99
112.97,7.93
114.10,7.88
115.24,7.82
116.39,7.78
117.55,7.75
118.73,7.69
119.92,7.60
121.12,7.54
122.33,7.49
123.55,7.43
124.79,7.37
126.03,7.32
127.29,7.26
128.57,7.19
129.85,7.13
131.15,7.07
132.46,7.01
133.79,6.95
135.12,6.89
136.48,6.83
137.84,6.77
139.22,6.72
140.61,6.66
142.02,6.59
143.44,6.53
144.87,6.46
146.32,6.40
147.78,6.33
149.26,6.29
150.75,6.23
152.26,6.16
153.78,6.10
155.32,6.04
156.88,5.98
158.44,5.91
160.03,5.85
161.63,5.79
163.24,5.73
164.88,5.68
166.53,5.61
168.19,5.54
169.87,5.48
171.57,5.43
173.29,5.38
175.02,5.32
176.77,5.27
178.54,5.20
180.32,5.12
182.13,5.07
183.95,5.01
185.79,4.95
187.65,4.90
189.52,4.87
191.42,4.83
193.33,4.76
195.27,4.67
197.22,4.62
199.19,4.57
201.18,4.51
203.19,4.45
205.23,4.39
207.28,4.34
209.35,4.29
211.44,4.23
213.56,4.26
215.69,4.20
217.85,4.10
220.03,4.05
222.23,4.02
224.45,3.98
226.70,3.92
228.96,3.87
231.25,3.85
233.57,3.83
235.90,3.78
238.26,3.83
240.64,3.86
243.05,3.85
245.48,3.84
247.93,3.84
250.41,3.85
252.92,3.84
255.45,3.83
258.00,3.82
260.58,3.79
263.19,3.77
265.82,3.75
268.48,3.73
271.16,3.69
273.87,3.66
276.61,3.63
279.38,3.62
282.17,3.59
284.99,3.57
287.84,3.54
290.72,3.51
293.63,3.50
296.57,3.47
299.53,3.42
302.53,3.41
305.55,3.39
308.61,3.37
311.69,3.37
314.81,3.36
317.96,3.34
321.14,3.32
324.35,3.29
327.59,3.27
330.87,3.25
334.18,3.22
337.52,3.21
340.90,3.19
344.30,3.16
347.75,3.14
351.23,3.12
354.74,3.09
358.28,3.06
361.87,3.04
365.49,3.02
369.14,2.99
372.83,2.96
376.56,2.93
380.33,2.91
384.13,2.89
387.97,2.86
391.85,2.83
395.77,2.80
399.73,2.77
403.72,2.74
407.76,2.71
411.84,2.68
415.96,2.65
420.12,2.62
424.32,2.58
428.56,2.55
432.85,2.52
437.18,2.48
441.55,2.46
445.96,2.43
450.42,2.40
454.93,2.36
459.48,2.32
464.07,2.29
468.71,2.26
473.40,2.22
478.13,2.18
482.91,2.14
487.74,2.11
492.62,2.07
497.55,2.02
502.52,1.98
507.55,1.95
512.62,1.91
517.75,1.87
522.93,1.83
528.16,1.77
533.44,1.73
538.77,1.69
544.16,1.66
549.60,1.61
555.10,1.56
560.65,1.52
566.25,1.47
571.92,1.43
577.64,1.38
583.41,1.34
589.25,1.29
595.14,1.25
601.09,1.22
607.10,1.18
613.17,1.15
619.30,1.11
625.50,1.08
631.75,1.05
638.07,1.02
644.45,0.99
650.89,0.95
657.40,0.92
663.98,0.88
670.62,0.83
677.32,0.79
684.10,0.75
690.94,0.71
697.85,0.67
704.83,0.63
711.87,0.59
718.99,0.55
726.18,0.51
733.44,0.47
740.78,0.44
748.19,0.41
755.67,0.37
763.23,0.33
770.86,0.29
778.57,0.25
786.35,0.22
794.22,0.18
802.16,0.16
810.18,0.14
818.28,0.14
826.46,0.15
834.73,0.18
843.08,0.19
851.51,0.18
860.02,0.14
868.62,0.10
877.31,0.07
886.08,0.03
894.94,0.01
903.89,-0.00
912.93,-0.01
922.06,-0.01
931.28,-0.02
940.59,-0.03
950.00,-0.02
959.50,-0.02
969.09,-0.01
978.78,-0.00
988.57,-0.01
998.46,-0.00
1008.44,0.01
1018.53,0.02
1028.71,0.03
1039.00,0.04
1049.39,0.06
1059.88,0.07
1070.48,0.09
1081.19,0.10
1092.00,0.12
1102.92,0.15
1113.95,0.18
1125.09,0.21
1136.34,0.24
1147.70,0.26
1159.18,0.29
1170.77,0.32
1182.48,0.35
1194.30,0.37
1206.25,0.40
1218.31,0.43
1230.49,0.47
1242.80,0.51
1255.22,0.55
1267.78,0.58
1280.45,0.62
1293.26,0.66
1306.19,0.69
1319.25,0.73
1332.45,0.77
1345.77,0.79
1359.23,0.79
1372.82,0.82
1386.55,0.86
1400.41,0.89
1414.42,0.92
1428.56,0.96
1442.85,1.00
1457.28,1.04
1471.85,1.08
1486.57,1.12
1501.43,1.16
1516.45,1.21
1531.61,1.26
1546.93,1.30
1562.40,1.35
1578.02,1.40
1593.80,1.45
1609.74,1.51
1625.84,1.57
1642.10,1.63
1658.52,1.70
1675.10,1.76
1691.85,1.84
1708.77,1.91
1725.86,1.99
1743.12,2.08
1760.55,2.17
1778.15,2.26
1795.94,2.36
1813.90,2.47
1832.03,2.58
1850.36,2.69
1868.86,2.81
1887.55,2.94
1906.42,3.08
1925.49,3.21
1944.74,3.36
1964.19,3.51
1983.83,3.68
2003.67,3.84
2023.71,4.02
2043.94,4.20
2064.38,4.38
2085.03,4.57
2105.88,4.77
2126.94,4.98
2148.20,5.19
2169.69,5.41
2191.38,5.62
2213.30,5.83
2235.43,6.04
2257.78,6.23
2280.36,6.41
2303.17,6.57
2326.20,6.70
2349.46,6.79
2372.95,6.83
2396.68,6.85
2420.65,6.81
2444.86,6.74
2469.31,6.65
2494.00,6.57
2518.94,6.50
2544.13,6.45
2569.57,6.47
2595.27,6.54
2621.22,6.65
2647.43,6.82
2673.90,7.03
2700.64,7.26
2727.65,7.52
2754.93,7.80
2782.48,8.06
2810.30,8.32
2838.40,8.56
2866.79,8.77
2895.46,8.97
2924.41,9.12
2953.65,9.25
2983.19,9.33
3013.02,9.39
3043.15,9.41
3073.58,9.39
3104.32,9.35
3135.36,9.29
3166.72,9.22
3198.38,9.15
3230.37,9.06
3262.67,8.97
3295.30,8.89
3328.25,8.82
3361.53,8.76
3395.15,8.72
3429.10,8.69
3463.39,8.68
3498.03,8.70
3533.01,8.72
3568.34,8.73
3604.02,8.74
3640.06,8.72
3676.46,8.64
3713.22,8.52
3750.36,8.36
3787.86,8.14
3825.74,7.91
3864.00,7.68
3902.64,7.45
3941.66,7.22
3981.08,7.02
4020.89,6.95
4061.10,6.96
4101.71,6.87
4142.73,6.88
4184.15,6.95
4226.00,6.83
4268.26,6.77
4310.94,6.80
4354.05,6.91
4397.59,7.07
4441.56,7.24
4485.98,7.49
4530.84,7.75
4576.15,8.05
4621.91,8.37
4668.13,8.73
4714.81,9.12
4761.96,9.52
4809.58,9.92
4857.67,10.31
4906.25,10.65
4955.31,10.94
5004.87,11.13
5054.91,11.17
5105.46,11.10
5156.52,10.92
5208.08,10.64
5260.16,10.34
5312.77,10.04
5365.89,9.71
5419.55,9.35
5473.75,8.95
5528.49,8.51
5583.77,8.05
5639.61,7.58
5696.00,7.12
5752.96,6.70
5810.49,6.28
5868.60,5.91
5927.28,5.57
5986.56,5.27
6046.42,5.06
6106.89,4.92
6167.96,4.84
6229.64,4.79
6291.93,4.77
6354.85,4.83
6418.40,4.97
6482.58,5.26
6547.41,5.68
6612.88,6.13
6679.01,6.51
6745.80,6.84
6813.26,7.17
6881.39,7.50
6950.21,7.83
7019.71,8.14
7089.91,8.43
7160.81,8.72
7232.41,9.01
7304.74,9.28
7377.79,9.54
7451.56,9.80
7526.08,10.09
7601.34,10.42
7677.35,10.67
7754.13,10.88
7831.67,10.97
7909.98,11.02
7989.08,11.01
8068.98,10.92
8149.67,10.77
8231.16,10.55
8313.47,10.27
8396.61,9.96
8480.57,9.62
8565.38,9.25
8651.03,8.88
8737.54,8.53
8824.92,8.20
8913.17,7.92
9002.30,7.66
9092.32,7.48
9183.25,7.37
9275.08,7.30
9367.83,7.29
9461.51,7.34
9556.12,7.41
9651.68,7.47
9748.20,7.50
9845.68,7.42
9944.14,7.21
10043.58,6.85
10144.02,6.39
10245.46,5.74
10347.91,4.97
10451.39,4.08
10555.91,3.03
10661.46,1.92
10768.08,0.78
10875.76,-0.37
10984.52,-1.48
11094.36,-2.54
11205.31,-3.52
11317.36,-4.43
11430.53,-5.27
11544.84,-6.00
11660.29,-6.66
11776.89,-7.24
11894.66,-7.68
12013.60,-8.11
12133.74,-8.43
12255.08,-8.63
12377.63,-8.77
12501.41,-8.79
12626.42,-8.70
12752.68,-8.50
12880.21,-8.15
13009.01,-7.74
13139.10,-7.33
13270.49,-6.75
13403.20,-6.11
13537.23,-5.36
13672.60,-4.55
13809.33,-3.68
13947.42,-2.74
14086.90,-1.89
14227.77,-1.09
14370.04,-0.42
14513.74,0.11
14658.88,0.57
14805.47,1.13
14953.52,1.84
15103.06,2.86
15254.09,4.03
15406.63,5.42
15560.70,6.61
15716.30,7.50
15873.47,7.78
16032.20,7.91
16192.52,8.16
16354.45,8.16
16517.99,7.88
16683.17,6.44
16850.01,6.39
17018.51,7.39
17188.69,9.25
17360.58,9.81
17534.18,9.40
17709.53,7.98
17886.62,6.56
18065.49,5.21
18246.14,3.98
18428.60,3.06
18612.89,2.26
18799.02,1.58
18987.01,0.97
19176.88,0.66
19368.65,0.50
19562.33,0.45
19757.96,0.49
19955.54,0.52
