frequency,raw
20.00,8.14
20.20,8.14
20.40,8.15
20.61,8.16
20.81,8.15
21.02,8.15
21.23,8.14
21.44,8.13
21.66,8.12
21.87,8.11
22.09,8.09
22.31,8.07
22.54,8.05
22.76,8.03
22.99,8.01
23.22,7.98
23.45,7.96
23.69,7.93
23.92,7.90
24.16,7.88
24.40,7.85
24.65,7.82
24.89,7.80
25.14,7.78
25.39,7.76
25.65,7.74
25.91,7.72
26.16,7.70
26.43,7.68
26.69,7.67
26.96,7.66
27.23,7.65
27.50,7.64
27.77,7.62
28.05,7.61
28.33,7.59
28.62,7.57
28.90,7.56
29.19,7.54
29.48,7.52
29.78,7.51
30.08,7.49
30.38,7.48
30.68,7.46
30.99,7.43
31.30,7.40
31.61,7.38
31.93,7.35
32.24,7.31
32.57,7.28
32.89,7.25
33.22,7.23
33.55,7.20
33.89,7.17
34.23,7.14
34.57,7.11
34.92,7.09
35.27,7.06
35.62,7.03
35.97,7.01
36.33,6.98
36.70,6.96
37.06,6.93
37.43,6.91
37.81,6.88
38.19,6.86
38.57,6.83
38.95,6.80
39.34,6.77
39.74,6.74
40.14,6.71
40.54,6.68
40.94,6.65
41.35,6.61
41.76,6.58
42.18,6.55
42.60,6.52
43.03,6.49
43.46,6.46
43.90,6.43
44.33,6.40
44.78,6.37
45.23,6.34
45.68,6.30
46.13,6.27
46.60,6.24
47.06,6.20
47.53,6.17
48.01,6.13
48.49,6.09
48.97,6.05
49.46,6.02
49.96,5.98
50.46,5.95
50.96,5.91
51.47,5.88
51.99,5.84
52.51,5.81
53.03,5.77
53.56,5.74
54.10,5.70
54.64,5.66
55.18,5.62
55.74,5.59
56.29,5.55
56.86,5.51
57.42,5.47
58.00,5.43
58.58,5.40
59.16,5.36
59.76,5.32
60.35,5.28
60.96,5.25
61.57,5.21
62.18,5.17
62.80,5.13
63.43,5.09
64.07,5.05
64.71,5.01
65.35,4.97
66.01,4.93
66.67,4.89
67.33,4.85
68.01,4.82
68.69,4.78
69.37,4.74
70.07,4.70
70.77,4.66
71.48,4.62
72.19,4.58
72.91,4.54
73.64,4.50
74.38,4.46
75.12,4.42
75.87,4.38
76.63,4.34
77.40,4.31
78.17,4.27
78.95,4.23
79.74,4.19
80.54,4.16
81.35,4.12
82.16,4.07
82.98,4.03
83.81,3.99
84.65,3.95
85.50,3.90
86.35,3.86
87.22,3.82
88.09,3.78
88.97,3.74
89.86,3.70
90.76,3.66
91.66,3.63
92.58,3.59
93.51,3.55
94.44,3.51
95.39,3.46
96.34,3.42
97.30,3.38
98.28,3.34
99.26,3.31
100.25,3.27
101.25,3.23
102.27,3.19
103.29,3.15
104.32,3.11
105.37,3.08
106.42,3.04
107.48,3.00
108.56,2.96
109.64,2.92
110.74,2.88
111.85,2.85
112.97,2.81
114.10,2.77
115.24,2.73
116.39,2.70
117.55,2.66
118.73,2.62
119.92,2.59
121.12,2.55
122.33,2.51
123.55,2.47
124.79,2.44
126.03,2.40
127.29,2.37
128.57,2.33
129.85,2.30
131.15,2.26
132.46,2.22
133.79,2.19
135.12,2.16
136.48,2.12
137.84,2.08
139.22,2.05
140.61,2.01
142.02,1.98
143.44,1.94
144.87,1.91
146.32,1.88
147.78,1.85
149.26,1.81
150.75,1.78
152.26,1.74
153.78,1.71
155.32,1.68
156.88,1.64
158.44,1.61
160.03,1.58
161.63,1.55
163.24,1.52
164.88,1.48
166.53,1.45
168.19,1.42
169.87,1.39
171.57,1.36
173.29,1.33
175.02,1.30
176.77,1.27
178.54,1.23
180.32,1.20
182.13,1.17
183.95,1.14
185.79,1.11
187.65,1.07
189.52,1.04
191.42,1.01
193.33,0.99
195.27,0.96
197.22,0.94
199.19,0.92
201.18,0.90
203.19,0.88
205.23,0.87
207.28,0.86
209.35,0.84
211.44,0.84
213.56,0.83
215.69,0.82
217.85,0.81
220.03,0.80
222.23,0.80
224.45,0.79
226.70,0.78
228.96,0.76
231.25,0.75
233.57,0.74
235.90,0.72
238.26,0.70
240.64,0.68
243.05,0.66
245.48,0.64
247.93,0.61
250.41,0.59
252.92,0.57
255.45,0.55
258.00,0.53
260.58,0.51
263.19,0.48
265.82,0.46
268.48,0.44
271.16,0.42
273.87,0.40
276.61,0.38
279.38,0.36
282.17,0.34
284.99,0.32
287.84,0.30
290.72,0.28
293.63,0.26
296.57,0.24
299.53,0.22
302.53,0.20
305.55,0.19
308.61,0.17
311.69,0.15
314.81,0.13
317.96,0.12
321.14,0.10
324.35,0.09
327.59,0.07
330.87,0.05
334.18,0.04
337.52,0.02
340.90,0.01
344.30,-0.01
347.75,-0.02
351.23,-0.04
354.74,-0.05
358.28,-0.07
361.87,-0.08
365.49,-0.10
369.14,-0.11
372.83,-0.13
376.56,-0.14
380.33,-0.16
384.13,-0.17
387.97,-0.19
391.85,-0.20
395.77,-0.21
399.73,-0.23
403.72,-0.24
407.76,-0.24
411.84,-0.25
415.96,-0.26
420.12,-0.26
424.32,-0.27
428.56,-0.27
432.85,-0.28
437.18,-0.28
441.55,-0.29
445.96,-0.30
450.42,-0.32
454.93,-0.33
459.48,-0.34
464.07,-0.35
468.71,-0.37
473.40,-0.38
478.13,-0.39
482.91,-0.40
487.74,-0.42
492.62,-0.43
497.55,-0.44
502.52,-0.45
507.55,-0.47
512.62,-0.48
517.75,-0.49
522.93,-0.50
528.16,-0.51
533.44,-0.52
538.77,-0.53
544.16,-0.54
549.60,-0.55
555.10,-0.56
560.65,-0.57
566.25,-0.58
571.92,-0.59
577.64,-0.60
583.41,-0.61
589.25,-0.62
595.14,-0.62
601.09,-0.63
607.10,-0.64
613.17,-0.65
619.30,-0.65
625.50,-0.66
631.75,-0.67
638.07,-0.67
644.45,-0.68
650.89,-0.68
657.40,-0.69
663.98,-0.69
670.62,-0.70
677.32,-0.70
684.10,-0.70
690.94,-0.70
697.85,-0.71
704.83,-0.71
711.87,-0.71
718.99,-0.70
726.18,-0.70
733.44,-0.70
740.78,-0.70
748.19,-0.69
755.67,-0.69
763.23,-0.68
770.86,-0.67
778.57,-0.66
786.35,-0.65
794.22,-0.64
802.16,-0.63
810.18,-0.62
818.28,-0.60
826.46,-0.58
834.73,-0.57
843.08,-0.55
851.51,-0.52
860.02,-0.50
868.62,-0.48
877.31,-0.45
886.08,-0.42
894.94,-0.39
903.89,-0.36
912.93,-0.33
922.06,-0.29
931.28,-0.26
940.59,-0.23
950.00,-0.20
959.50,-0.18
969.09,-0.16
978.78,-0.13
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.28
1049.39,0.35
1059.88,0.40
1070.48,0.46
1081.19,0.51
1092.00,0.57
1102.92,0.63
1113.95,0.68
1125.09,0.74
1136.34,0.79
1147.70,0.85
1159.18,0.90
1170.77,0.96
1182.48,1.01
1194.30,1.07
1206.25,1.12
1218.31,1.17
1230.49,1.22
1242.80,1.28
1255.22,1.33
1267.78,1.38
1280.45,1.43
