frequency,raw
20.00,6.89
20.20,6.92
20.40,6.95
20.61,6.98
20.81,7.01
21.02,7.04
21.23,7.06
21.44,7.08
21.66,7.11
21.87,7.13
22.09,7.15
22.31,7.17
22.54,7.19
22.76,7.21
22.99,7.23
23.22,7.26
23.45,7.28
23.69,7.30
23.92,7.32
24.16,7.33
24.40,7.35
24.65,7.37
24.89,7.38
25.14,7.40
25.39,7.41
25.65,7.42
25.91,7.43
26.16,7.45
26.43,7.46
26.69,7.47
26.96,7.48
27.23,7.49
27.50,7.50
27.77,7.51
28.05,7.52
28.33,7.52
28.62,7.52
28.90,7.52
29.19,7.53
29.48,7.53
29.78,7.53
30.08,7.54
30.38,7.54
30.68,7.55
30.99,7.55
31.30,7.55
31.61,7.55
31.93,7.55
32.24,7.54
32.57,7.54
32.89,7.53
33.22,7.53
33.55,7.52
33.89,7.52
34.23,7.52
34.57,7.51
34.92,7.51
35.27,7.50
35.62,7.49
35.97,7.48
36.33,7.47
36.70,7.46
37.06,7.45
37.43,7.45
37.81,7.44
38.19,7.43
38.57,7.42
38.95,7.40
39.34,7.39
39.74,7.37
40.14,7.36
40.54,7.35
40.94,7.33
41.35,7.32
41.76,7.30
42.18,7.28
42.60,7.26
43.03,7.25
43.46,7.23
43.90,7.21
44.33,7.19
44.78,7.17
45.23,7.15
45.68,7.13
46.13,7.11
46.60,7.09
47.06,7.06
47.53,7.04
48.01,7.01
48.49,6.99
48.97,6.97
49.46,6.94
49.96,6.91
50.46,6.89
50.96,6.86
51.47,6.84
51.99,6.80
52.51,6.77
53.03,6.73
53.56,6.71
54.10,6.68
54.64,6.66
55.18,6.62
55.74,6.59
56.29,6.56
56.86,6.53
57.42,6.50
58.00,6.47
58.58,6.44
59.16,6.40
59.76,6.37
60.35,6.34
60.96,6.31
61.57,6.27
62.18,6.22
62.80,6.19
63.43,6.16
64.07,6.13
64.71,6.08
65.35,6.04
66.01,6.00
66.67,5.96
67.33,5.93
68.01,5.90
68.69,5.86
69.37,5.82
70.07,5.77
70.77,5.73
71.48,5.69
72.19,5.65
72.91,5.61
73.64,5.56
74.38,5.52
75.12,5.48
75.87,5.43
76.63,5.39
77.40,5.34
78.17,5.30
78.95,5.25
79.74,5.21
80.54,5.17
81.35,5.12
82.16,5.08
82.98,5.03
83.81,4.99
84.65,4.94
85.50,4.90
86.35,4.85
87.22,4.80
88.09,4.75
88.97,4.70
89.86,4.65
90.76,4.60
91.66,4.56
92.58,4.51
93.51,4.46
94.44,4.41
95.39,4.37
96.34,4.32
97.30,4.27
98.28,4.23
99.26,4.18
100.25,4.12
101.25,4.06
102.27,4.01
103.29,3.96
104.32,3.91
105.37,3.86
106.42,3.81
107.48,3.76
108.56,3.71
109.64,3.65
110.74,3.60
111.85,3.55
112.97,3.51
114.10,3.46
115.24,3.40
116.39,3.34
117.55,3.29
118.73,3.23
119.92,3.17
121.12,3.12
122.33,3.08
123.55,3.03
124.79,2.97
126.03,2.92
127.29,2.87
128.57,2.81
129.85,2.76
131.15,2.71
132.46,2.67
133.79,2.64
135.12,2.60
136.48,2.55
137.84,2.50
139.22,2.45
140.61,2.41
142.02,2.36
143.44,2.31
144.87,2.27
146.32,2.22
147.78,2.17
149.26,2.12
150.75,2.08
152.26,2.03
153.78,1.98
155.32,1.93
156.88,1.89
158.44,1.84
160.03,1.79
161.63,1.74
163.24,1.70
164.88,1.65
166.53,1.60
168.19,1.55
169.87,1.50
171.57,1.46
173.29,1.41
175.02,1.36
176.77,1.31
178.54,1.27
180.32,1.22
182.13,1.18
183.95,1.13
185.79,1.09
187.65,1.04
189.52,0.97
191.42,0.91
193.33,0.86
195.27,0.83
197.22,0.79
199.19,0.75
201.18,0.70
203.19,0.64
205.23,0.59
207.28,0.55
209.35,0.51
211.44,0.47
213.56,0.42
215.69,0.38
217.85,0.34
220.03,0.30
222.23,0.25
224.45,0.21
226.70,0.17
228.96,0.14
231.25,0.09
233.57,0.04
235.90,0.01
238.26,-0.04
240.64,-0.08
243.05,-0.11
245.48,-0.15
247.93,-0.20
250.41,-0.24
252.92,-0.27
255.45,-0.31
258.00,-0.35
260.58,-0.39
263.19,-0.43
265.82,-0.47
268.48,-0.51
271.16,-0.54
273.87,-0.58
276.61,-0.63
279.38,-0.66
282.17,-0.70
284.99,-0.73
287.84,-0.77
290.72,-0.80
293.63,-0.85
296.57,-0.89
299.53,-0.92
302.53,-0.95
305.55,-0.97
308.61,-1.00
311.69,-1.03
314.81,-1.03
317.96,-1.04
321.14,-1.06
324.35,-1.08
327.59,-1.09
330.87,-1.11
334.18,-1.14
337.52,-1.16
340.90,-1.17
344.30,-1.18
347.75,-1.20
351.23,-1.22
354.74,-1.25
358.28,-1.28
361.87,-1.30
365.49,-1.32
369.14,-1.35
372.83,-1.37
376.56,-1.39
380.33,-1.41
384.13,-1.44
387.97,-1.47
391.85,-1.49
395.77,-1.51
399.73,-1.53
