frequency,raw
20.00,9.01
20.20,9.03
20.40,9.04
20.61,9.06
20.81,9.08
21.02,9.09
21.23,9.11
21.44,9.12
21.66,9.14
21.87,9.15
22.09,9.16
22.31,9.18
22.54,9.19
22.76,9.20
22.99,9.21
23.22,9.22
23.45,9.23
23.69,9.24
23.92,9.25
24.16,9.26
24.40,9.27
24.65,9.28
24.89,9.28
25.14,9.29
25.39,9.29
25.65,9.30
25.91,9.30
26.16,9.31
26.43,9.31
26.69,9.32
26.96,9.32
27.23,9.33
27.50,9.33
27.77,9.33
28.05,9.33
28.33,9.33
28.62,9.34
28.90,9.34
29.19,9.34
29.48,9.33
29.78,9.33
30.08,9.33
30.38,9.33
30.68,9.33
30.99,9.32
31.30,9.32
31.61,9.31
31.93,9.31
32.24,9.30
32.57,9.30
32.89,9.29
33.22,9.28
33.55,9.27
33.89,9.27
34.23,9.26
34.57,9.25
34.92,9.24
35.27,9.23
35.62,9.22
35.97,9.21
36.33,9.20
36.70,9.19
37.06,9.18
37.43,9.16
37.81,9.15
38.19,9.14
38.57,9.12
38.95,9.11
39.34,9.09
39.74,9.07
40.14,9.06
40.54,9.04
40.94,9.03
41.35,9.01
41.76,8.99
42.18,8.98
42.60,8.96
43.03,8.94
43.46,8.92
43.90,8.90
44.33,8.88
44.78,8.85
45.23,8.83
45.68,8.81
46.13,8.79
46.60,8.76
47.06,8.74
47.53,8.71
48.01,8.69
48.49,8.66
48.97,8.63
49.46,8.60
49.96,8.58
50.46,8.55
50.96,8.52
51.47,8.49
51.99,8.46
52.51,8.44
53.03,8.41
53.56,8.38
54.10,8.34
54.64,8.31
55.18,8.28
55.74,8.25
56.29,8.22
56.86,8.20
57.42,8.17
58.00,8.14
58.58,8.12
59.16,8.09
59.76,8.06
60.35,8.03
60.96,8.00
61.57,7.97
62.18,7.94
62.80,7.90
63.43,7.87
64.07,7.83
64.71,7.79
65.35,7.76
66.01,7.72
66.67,7.68
67.33,7.64
68.01,7.60
68.69,7.56
69.37,7.52
70.07,7.48
70.77,7.44
71.48,7.40
72.19,7.36
72.91,7.31
73.64,7.27
74.38,7.23
75.12,7.19
75.87,7.14
76.63,7.10
77.40,7.06
78.17,7.01
78.95,6.97
79.74,6.93
80.54,6.88
81.35,6.84
82.16,6.79
82.98,6.75
83.81,6.70
84.65,6.66
85.50,6.61
86.35,6.56
87.22,6.51
88.09,6.46
88.97,6.42
89.86,6.37
90.76,6.32
91.66,6.27
92.58,6.22
93.51,6.17
94.44,6.12
95.39,6.07
96.34,6.02
97.30,5.97
98.28,5.92
99.26,5.87
100.25,5.82
101.25,5.77
102.27,5.72
103.29,5.66
104.32,5.61
105.37,5.56
106.42,5.51
107.48,5.46
108.56,5.41
109.64,5.36
110.74,5.30
111.85,5.25
112.97,5.19
114.10,5.13
115.24,5.07
116.39,5.01
117.55,4.95
118.73,4.89
119.92,4.83
121.12,4.76
122.33,4.70
123.55,4.64
124.79,4.59
126.03,4.53
127.29,4.49
128.57,4.44
129.85,4.41
131.15,4.37
132.46,4.34
133.79,4.32
135.12,4.30
136.48,4.27
137.84,4.24
139.22,4.21
140.61,4.18
142.02,4.13
143.44,4.08
144.87,4.04
146.32,3.98
147.78,3.92
149.26,3.86
150.75,3.80
152.26,3.74
153.78,3.69
155.32,3.63
156.88,3.58
158.44,3.54
160.03,3.49
161.63,3.45
163.24,3.41
164.88,3.36
166.53,3.32
168.19,3.28
169.87,3.24
171.57,3.20
173.29,3.16
175.02,3.12
176.77,3.09
178.54,3.05
180.32,3.02
182.13,2.98
183.95,2.95
185.79,2.91
187.65,2.87
189.52,2.84
191.42,2.80
193.33,2.75
195.27,2.71
197.22,2.66
199.19,2.62
201.18,2.57
203.19,2.52
205.23,2.46
207.28,2.41
209.35,2.36
211.44,2.31
213.56,2.25
215.69,2.20
217.85,2.15
220.03,2.10
222.23,2.05
224.45,1.99
226.70,1.94
228.96,1.89
231.25,1.84
233.57,1.79
235.90,1.74
238.26,1.69
240.64,1.65
243.05,1.60
245.48,1.55
247.93,1.51
250.41,1.46
252.92,1.41
255.45,1.37
258.00,1.32
260.58,1.27
263.19,1.23
265.82,1.18
268.48,1.13
271.16,1.08
273.87,1.04
276.61,0.99
279.38,0.94
282.17,0.90
284.99,0.86
287.84,0.81
290.72,0.77
293.63,0.73
296.57,0.69
299.53,0.65
302.53,0.62
305.55,0.58
308.61,0.55
311.69,0.51
314.81,0.48
317.96,0.44
321.14,0.41
324.35,0.38
327.59,0.34
330.87,0.31
334.18,0.27
337.52,0.24
340.90,0.20
344.30,0.17
347.75,0.13
351.23,0.09
354.74,0.06
358.28,0.02
361.87,-0.01
365.49,-0.04
369.14,-0.07
372.83,-0.10
376.56,-0.13
380.33,-0.16
384.13,-0.19
387.97,-0.22
391.85,-0.25
395.77,-0.28
399.73,-0.31
403.72,-0.34
407.76,-0.37
411.84,-0.40
415.96,-0.43
420.12,-0.46
424.32,-0.49
428.56,-0.52
432.85,-0.55
437.18,-0.57
441.55,-0.60
445.96,-0.63
450.42,-0.66
454.93,-0.68
459.48,-0.71
464.07,-0.74
468.71,-0.76
473.40,-0.79
478.13,-0.81
482.91,-0.84
487.74,-0.86
492.62,-0.89
497.55,-0.91
502.52,-0.93
507.55,-0.95
512.62,-0.98
517.75,-1.00
522.93,-1.02
528.16,-1.04
