frequency,raw
20.00,8.67
20.20,8.67
20.40,8.68
20.61,8.68
20.81,8.68
21.02,8.68
21.23,8.69
21.44,8.69
21.66,8.69
21.87,8.69
22.09,8.69
22.31,8.69
22.54,8.69
22.76,8.68
22.99,8.68
23.22,8.68
23.45,8.68
23.69,8.68
23.92,8.67
24.16,8.67
24.40,8.67
24.65,8.66
24.89,8.66
25.14,8.65
25.39,8.65
25.65,8.64
25.91,8.63
26.16,8.63
26.43,8.62
26.69,8.61
26.96,8.60
27.23,8.59
27.50,8.58
27.77,8.56
28.05,8.55
28.33,8.53
28.62,8.52
28.90,8.50
29.19,8.49
29.48,8.47
29.78,8.46
30.08,8.44
30.38,8.42
30.68,8.40
30.99,8.39
31.30,8.37
31.61,8.35
31.93,8.33
32.24,8.31
32.57,8.29
32.89,8.27
33.22,8.25
33.55,8.23
33.89,8.21
34.23,8.19
34.57,8.17
34.92,8.15
35.27,8.13
35.62,8.10
35.97,8.08
36.33,8.06
36.70,8.03
37.06,8.01
37.43,7.98
37.81,7.96
38.19,7.93
38.57,7.90
38.95,7.87
39.34,7.84
39.74,7.81
40.14,7.78
40.54,7.75
40.94,7.72
41.35,7.69
41.76,7.66
42.18,7.63
42.60,7.59
43.03,7.56
43.46,7.53
43.90,7.50
44.33,7.47
44.78,7.44
45.23,7.40
45.68,7.37
46.13,7.34
46.60,7.31
47.06,7.27
47.53,7.24
48.01,7.21
48.49,7.17
48.97,7.14
49.46,7.10
49.96,7.07
50.46,7.03
50.96,7.00
51.47,6.96
51.99,6.92
52.51,6.88
53.03,6.85
53.56,6.81
54.10,6.77
54.64,6.73
55.18,6.68
55.74,6.64
56.29,6.60
56.86,6.56
57.42,6.51
58.00,6.47
58.58,6.43
59.16,6.38
59.76,6.34
60.35,6.30
60.96,6.25
61.57,6.20
62.18,6.16
62.80,6.11
63.43,6.07
64.07,6.02
64.71,5.97
65.35,5.92
66.01,5.87
66.67,5.83
67.33,5.78
68.01,5.73
68.69,5.68
69.37,5.63
70.07,5.58
70.77,5.53
71.48,5.48
72.19,5.43
72.91,5.39
73.64,5.34
74.38,5.29
75.12,5.24
75.87,5.19
76.63,5.14
77.40,5.09
78.17,5.04
78.95,5.00
79.74,4.95
80.54,4.90
81.35,4.85
82.16,4.80
82.98,4.76
83.81,4.71
84.65,4.66
85.50,4.61
86.35,4.56
87.22,4.51
88.09,4.46
88.97,4.42
89.86,4.37
90.76,4.31
91.66,4.26
92.58,4.21
93.51,4.16
94.44,4.11
95.39,4.05
96.34,4.00
97.30,3.94
98.28,3.89
99.26,3.83
100.25,3.78
101.25,3.72
102.27,3.66
103.29,3.61
104.32,3.55
105.37,3.49
106.42,3.44
107.48,3.38
108.56,3.33
109.64,3.27
110.74,3.21
111.85,3.16
112.97,3.10
114.10,3.04
115.24,2.99
116.39,2.93
117.55,2.88
118.73,2.82
119.92,2.76
121.12,2.71
122.33,2.65
123.55,2.59
124.79,2.54
126.03,2.48
127.29,2.42
128.57,2.37
129.85,2.31
131.15,2.25
132.46,2.19
133.79,2.13
135.12,2.07
136.48,2.01
137.84,1.95
139.22,1.89
140.61,1.83
142.02,1.77
143.44,1.71
144.87,1.65
146.32,1.60
147.78,1.54
149.26,1.48
150.75,1.43
152.26,1.40
153.78,1.38
155.32,1.35
156.88,1.32
158.44,1.29
160.03,1.26
161.63,1.25
163.24,1.25
164.88,1.25
166.53,1.24
168.19,1.24
169.87,1.23
171.57,1.23
173.29,1.23
175.02,1.22
176.77,1.22
178.54,1.22
180.32,1.21
182.13,1.19
183.95,1.18
185.79,1.16
187.65,1.14
189.52,1.12
191.42,1.09
193.33,1.05
195.27,1.01
197.22,0.97
199.19,0.93
201.18,0.88
203.19,0.84
205.23,0.79
207.28,0.74
209.35,0.69
211.44,0.64
213.56,0.60
215.69,0.55
217.85,0.51
220.03,0.47
222.23,0.42
224.45,0.38
226.70,0.34
228.96,0.30
231.25,0.25
233.57,0.21
235.90,0.17
238.26,0.13
240.64,0.09
243.05,0.05
245.48,0.01
247.93,-0.03
250.41,-0.07
252.92,-0.11
255.45,-0.15
258.00,-0.19
260.58,-0.23
263.19,-0.27
265.82,-0.30
268.48,-0.34
271.16,-0.38
273.87,-0.41
276.61,-0.45
279.38,-0.49
282.17,-0.52
284.99,-0.55
287.84,-0.58
290.72,-0.62
293.63,-0.65
296.57,-0.68
299.53,-0.72
302.53,-0.75
305.55,-0.77
308.61,-0.80
311.69,-0.83
314.81,-0.86
317.96,-0.89
321.14,-0.91
324.35,-0.94
327.59,-0.97
330.87,-0.99
334.18,-1.02
337.52,-1.04
340.90,-1.07
344.30,-1.09
347.75,-1.12
351.23,-1.14
354.74,-1.16
358.28,-1.19
361.87,-1.21
365.49,-1.23
369.14,-1.25
372.83,-1.27
376.56,-1.28
380.33,-1.29
384.13,-1.31
387.97,-1.32
391.85,-1.33
395.77,-1.34
399.73,-1.35
403.72,-1.36
407.76,-1.37
411.84,-1.38
415.96,-1.39
420.12,-1.40
424.32,-1.41
428.56,-1.42
432.85,-1.43
437.18,-1.45
441.55,-1.46
445.96,-1.47
450.42,-1.48
454.93,-1.49
459.48,-1.51
464.07,-1.52
468.71,-1.53
473.40,-1.54
478.13,-1.56
482.91,-1.57
487.74,-1.58
492.62,-1.60
497.55,-1.61
502.52,-1.62
507.55,-1.64
512.62,-1.65
517.75,-1.66
522.93,-1.68
528.16,-1.69
533.44,-1.70
538.77,-1.71
544.16,-1.72
549.60,-1.73
555.10,-1.74
560.65,-1.74
566.25,-1.75
571.92,-1.75
577.64,-1.76
583.41,-1.76
589.25,-1.77
595.14,-1.77
601.09,-1.78
607.10,-1.78
613.17,-1.78
619.30,-1.78
625.50,-1.77
631.75,-1.77
638.07,-1.77
644.45,-1.76
650.89,-1.76
657.40,-1.75
663.98,-1.75
670.62,-1.74
677.32,-1.73
684.10,-1.71
690.94,-1.70
697.85,-1.68
704.83,-1.67
711.87,-1.65
718.99,-1.63
726.18,-1.61
733.44,-1.58
740.78,-1.56
748.19,-1.53
755.67,-1.50
763.23,-1.47
770.86,-1.43
778.57,-1.40
786.35,-1.36
794.22,-1.33
802.16,-1.29
810.18,-1.25
818.28,-1.20
826.46,-1.16
834.73,-1.11
843.08,-1.07
851.51,-1.02
860.02,-0.97
868.62,-0.91
877.31,-0.86
886.08,-0.81
894.94,-0.75
903.89,-0.69
912.93,-0.63
922.06,-0.57
931.28,-0.50
940.59,-0.44
950.00,-0.37
959.50,-0.30
969.09,-0.23
978.78,-0.16
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.14
1028.71,0.22
1039.00,0.30
1049.39,0.37
1059.88,0.45
1070.48,0.53
1081.19,0.62
1092.00,0.70
1102.92,0.78
1113.95,0.87
1125.09,0.95
1136.34,1.04
1147.70,1.12
1159.18,1.21
1170.77,1.29
1182.48,1.38
1194.30,1.47
1206.25,1.55
1218.31,1.64
1230.49,1.73
1242.80,1.81
1255.22,1.90
1267.78,1.99
1280.45,2.08
1293.26,2.16
1306.19,2.25
1319.25,2.34
1332.45,2.42
1345.77,2.51
1359.23,2.59
1372.82,2.67
1386.55,2.76
1400.41,2.84
1414.42,2.92
1428.56,3.01
1442.85,3.09
1457.28,3.18
1471.85,3.26
1486.57,3.34
1501.43,3.43
1516.45,3.52
1531.61,3.60
1546.93,3.69
1562.40,3.78
1578.02,3.86
1593.80,3.95
1609.74,4.04
1625.84,4.14
1642.10,4.23
1658.52,4.33
1675.10,4.43
1691.85,4.52
1708.77,4.62
1725.86,4.73
1743.12,4.84
1760.55,4.94
1778.15,5.05
1795.94,5.16
1813.90,5.27
1832.03,5.38
1850.36,5.50
1868.86,5.61
1887.55,5.73
1906.42,5.84
1925.49,5.95
1944.74,6.06
1964.19,6.17
1983.83,6.28
2003.67,6.39
2023.71,6.48
2043.94,6.58
2064.38,6.67
2085.03,6.77
2105.88,6.86
2126.94,6.95
2148.20,7.03
2169.69,7.10
2191.38,7.18
2213.30,7.25
2235.43,7.32
2257.78,7.38
2280.36,7.43
2303.17,7.49
2326.20,7.54
2349.46,7.59
2372.95,7.63
2396.68,7.65
2420.65,7.68
2444.86,7.71
2469.31,7.74
2494.00,7.76
2518.94,7.77
2544.13,7.77
2569.57,7.77
2595.27,7.77
2621.22,7.77
2647.43,7.77
2673.90,7.75
2700.64,7.73
2727.65,7.71
2754.93,7.69
2782.48,7.67
2810.30,7.64
2838.40,7.61
2866.79,7.57
2895.46,7.54
2924.41,7.50
2953.65,7.47
2983.19,7.44
3013.02,7.40
3043.15,7.36
3073.58,7.33
3104.32,7.29
3135.36,7.26
3166.72,7.22
3198.38,7.19
3230.37,7.16
3262.67,7.13
3295.30,7.10
3328.25,7.07
3361.53,7.05
3395.15,7.04
3429.10,7.02
3463.39,7.01
3498.03,7.00
3533.01,6.98
3568.34,6.98
3604.02,6.98
3640.06,6.98
3676.46,6.98
3713.22,6.98
3750.36,6.99
3787.86,6.99
3825.74,7.00
3864.00,7.00
3902.64,7.01
3941.66,7.01
3981.08,7.02
4020.89,7.02
4061.10,7.01
4101.71,7.01
4142.73,7.00
4184.15,6.99
4226.00,6.99
4268.26,6.97
4310.94,6.94
4354.05,6.91
4397.59,6.87
4441.56,6.84
4485.98,6.81
4530.84,6.75
4576.15,6.68
4621.91,6.61
4668.13,6.54
4714.81,6.48
4761.96,6.40
4809.58,6.30
4857.67,6.20
4906.25,6.10
4955.31,6.00
5004.87,5.90
5054.91,5.78
5105.46,5.66
5156.52,5.55
5208.08,5.43
5260.16,5.31
5312.77,5.20
5365.89,5.09
5419.55,4.99
5473.75,4.88
5528.49,4.78
5583.77,4.67
5639.61,4.61
5696.00,4.56
5752.96,4.52
5810.49,4.47
5868.60,4.43
5927.28,4.38
5986.56,4.34
6046.42,4.37
6106.89,4.43
6167.96,4.48
6229.64,4.54
6291.93,4.60
6354.85,4.74
6418.40,4.90
6482.58,5.05
6547.41,5.21
6612.88,5.36
6679.01,5.52
6745.80,5.66
6813.26,5.81
6881.39,5.95
6950.21,6.09
7019.71,6.24
7089.91,6.38
7160.81,6.34
7232.41,6.28
7304.74,6.21
7377.79,6.14
7451.56,6.07
7526.08,5.91
7601.34,5.55
7677.35,5.20
7754.13,4.84
7831.67,4.49
7909.98,4.13
7989.08,3.78
8068.98,3.30
8149.67,2.81
8231.16,2.31
8313.47,1.82
8396.61,1.32
8480.57,0.83
8565.38,0.38
8651.03,-0.04
8737.54,-0.47
8824.92,-0.90
8913.17,-1.32
9002.30,-1.75
9092.32,-1.98
9183.25,-2.22
9275.08,-2.46
9367.83,-2.70
9461.51,-2.94
9556.12,-3.02
9651.68,-2.99
9748.20,-2.96
9845.68,-2.94
9944.14,-2.91
10043.58,-2.74
10144.02,-2.38
10245.46,-2.02
10347.91,-1.66
10451.39,-1.31
10555.91,-0.95
10661.46,-0.49
10768.08,0.03
10875.76,0.56
10984.52,1.09
11094.36,1.61
11205.31,2.12
11317.36,2.34
11430.53,2.56
11544.84,2.78
11660.29,3.00
11776.89,3.22
11894.66,3.02
12013.60,2.73
12133.74,2.43
12255.08,2.13
12377.63,1.83
12501.41,1.53
12626.42,1.09
12752.68,0.64
12880.21,0.19
13009.01,-0.25
13139.10,-0.70
13270.49,-1.06
13403.20,-1.36
13537.23,-1.66
13672.60,-1.95
13809.33,-2.25
13947.42,-2.55
14086.90,-3.03
14227.77,-3.63
14370.04,-4.23
14513.74,-4.83
14658.88,-5.42
14805.47,-6.02
14953.52,-6.62
15103.06,-7.42
15254.09,-8.31
15406.63,-9.20
15560.70,-10.09
15716.30,-10.98
15873.47,-11.87
16032.20,-12.69
16192.52,-13.26
16354.45,-13.82
16517.99,-14.38
16683.17,-14.95
16850.01,-15.51
17018.51,-16.04
17188.69,-16.27
17360.58,-16.51
17534.18,-16.74
17709.53,-16.98
17886.62,-17.21
18065.49,-17.47
18246.14,-17.77
18428.60,-18.07
18612.89,-18.38
18799.02,-18.68
18987.01,-18.98
19176.88,-19.48
19368.65,-20.00
19562.33,-20.51
19757.96,-21.03
19955.54,-21.55
