frequency,raw
20.00,-34.66
20.20,-34.55
20.40,-34.43
20.61,-34.32
20.81,-34.21
21.02,-34.11
21.23,-33.98
21.44,-33.72
21.66,-33.45
21.87,-33.15
22.09,-32.77
22.31,-32.39
22.54,-31.98
22.76,-31.57
22.99,-31.16
23.22,-30.74
23.45,-30.33
23.69,-29.92
23.92,-29.54
24.16,-29.15
24.40,-28.81
24.65,-28.51
24.89,-28.22
25.14,-27.94
25.39,-27.67
25.65,-27.40
25.91,-27.11
26.16,-26.78
26.43,-26.45
26.69,-26.10
26.96,-25.75
27.23,-25.40
27.50,-25.09
27.77,-24.77
28.05,-24.46
28.33,-24.17
28.62,-23.88
28.90,-23.59
29.19,-23.30
29.48,-23.01
29.78,-22.71
30.08,-22.42
30.38,-22.14
30.68,-21.86
30.99,-21.58
31.30,-21.30
31.61,-21.02
31.93,-20.73
32.24,-20.45
32.57,-20.16
32.89,-19.86
33.22,-19.57
33.55,-19.27
33.89,-18.98
34.23,-18.69
34.57,-18.40
34.92,-18.12
35.27,-17.85
35.62,-17.58
35.97,-17.32
36.33,-17.06
36.70,-16.80
37.06,-16.53
37.43,-16.27
37.81,-16.01
38.19,-15.76
38.57,-15.51
38.95,-15.27
39.34,-15.04
39.74,-14.81
40.14,-14.58
40.54,-14.35
40.94,-14.12
41.35,-13.88
41.76,-13.63
42.18,-13.38
42.60,-13.13
43.03,-12.88
43.46,-12.63
43.90,-12.39
44.33,-12.15
44.78,-11.92
45.23,-11.68
45.68,-11.45
46.13,-11.22
46.60,-11.00
47.06,-10.78
47.53,-10.56
48.01,-10.35
48.49,-10.14
48.97,-9.93
49.46,-9.73
49.96,-9.52
50.46,-9.32
50.96,-9.13
51.47,-8.93
51.99,-8.74
52.51,-8.55
53.03,-8.36
53.56,-8.18
54.10,-7.99
54.64,-7.81
55.18,-7.63
55.74,-7.46
56.29,-7.29
56.86,-7.12
57.42,-6.95
58.00,-6.78
58.58,-6.62
59.16,-6.47
59.76,-6.31
60.35,-6.16
60.96,-6.00
61.57,-5.85
62.18,-5.71
62.80,-5.57
63.43,-5.43
64.07,-5.29
64.71,-5.15
65.35,-5.01
66.01,-4.89
66.67,-4.76
67.33,-4.64
68.01,-4.53
68.69,-4.42
69.37,-4.31
70.07,-4.22
70.77,-4.12
71.48,-4.03
72.19,-3.95
72.91,-3.86
73.64,-3.78
74.38,-3.70
75.12,-3.63
75.87,-3.56
76.63,-3.49
77.40,-3.42
78.17,-3.36
78.95,-3.30
79.74,-3.23
80.54,-3.17
81.35,-3.10
82.16,-3.04
82.98,-2.97
83.81,-2.90
84.65,-2.83
85.50,-2.76
86.35,-2.70
87.22,-2.64
88.09,-2.58
88.97,-2.53
89.86,-2.47
90.76,-2.42
91.66,-2.37
92.58,-2.33
93.51,-2.28
94.44,-2.24
95.39,-2.20
96.34,-2.16
97.30,-2.13
98.28,-2.09
99.26,-2.06
100.25,-2.03
101.25,-2.00
102.27,-1.98
103.29,-1.95
104.32,-1.93
105.37,-1.91
106.42,-1.89
107.48,-1.88
108.56,-1.86
109.64,-1.85
110.74,-1.84
111.85,-1.83
112.97,-1.82
114.10,-1.82
115.24,-1.82
116.39,-1.82
117.55,-1.82
118.73,-1.83
119.92,-1.83
121.12,-1.84
122.33,-1.85
123.55,-1.86
124.79,-1.87
126.03,-1.89
127.29,-1.90
128.57,-1.92
129.85,-1.95
131.15,-1.97
132.46,-2.00
133.79,-2.03
135.12,-2.06
136.48,-2.09
137.84,-2.12
139.22,-2.16
140.61,-2.19
142.02,-2.23
143.44,-2.27
144.87,-2.31
146.32,-2.36
147.78,-2.42
149.26,-2.48
150.75,-2.54
152.26,-2.61
153.78,-2.68
155.32,-2.74
156.88,-2.79
158.44,-2.85
160.03,-2.90
161.63,-2.92
163.24,-2.95
164.88,-2.98
166.53,-2.99
168.19,-3.01
169.87,-3.02
171.57,-3.04
173.29,-3.05
175.02,-3.06
176.77,-3.07
178.54,-3.07
180.32,-3.08
182.13,-3.08
183.95,-3.08
185.79,-3.08
187.65,-3.08
189.52,-3.07
191.42,-3.06
193.33,-3.04
195.27,-3.02
197.22,-2.99
199.19,-2.97
201.18,-2.94
203.19,-2.90
205.23,-2.87
207.28,-2.84
209.35,-2.80
211.44,-2.77
213.56,-2.73
215.69,-2.69
217.85,-2.66
220.03,-2.61
222.23,-2.57
224.45,-2.53
226.70,-2.48
228.96,-2.44
231.25,-2.39
233.57,-2.34
235.90,-2.29
238.26,-2.25
240.64,-2.20
243.05,-2.16
245.48,-2.11
247.93,-2.07
250.41,-2.03
252.92,-1.99
255.45,-1.95
258.00,-1.92
260.58,-1.88
263.19,-1.85
265.82,-1.82
268.48,-1.79
271.16,-1.76
273.87,-1.73
276.61,-1.71
279.38,-1.68
282.17,-1.66
284.99,-1.64
287.84,-1.61
290.72,-1.59
293.63,-1.57
296.57,-1.55
299.53,-1.53
302.53,-1.51
305.55,-1.50
308.61,-1.48
311.69,-1.47
314.81,-1.45
317.96,-1.44
321.14,-1.43
324.35,-1.42
327.59,-1.41
330.87,-1.41
334.18,-1.40
337.52,-1.39
340.90,-1.39
344.30,-1.39
347.75,-1.39
351.23,-1.40
354.74,-1.40
358.28,-1.40
361.87,-1.41
365.49,-1.42
369.14,-1.43
372.83,-1.44
376.56,-1.45
380.33,-1.47
384.13,-1.48
387.97,-1.50
391.85,-1.52
395.77,-1.53
399.73,-1.55
403.72,-1.57
407.76,-1.59
411.84,-1.61
415.96,-1.63
420.12,-1.64
424.32,-1.66
428.56,-1.68
432.85,-1.69
437.18,-1.71
441.55,-1.72
445.96,-1.73
450.42,-1.74
454.93,-1.75
459.48,-1.76
464.07,-1.77
468.71,-1.77
473.40,-1.78
478.13,-1.78
482.91,-1.77
487.74,-1.77
492.62,-1.76
497.55,-1.75
502.52,-1.74
507.55,-1.73
512.62,-1.72
517.75,-1.70
522.93,-1.67
528.16,-1.65
533.44,-1.62
538.77,-1.59
544.16,-1.56
549.60,-1.53
555.10,-1.49
560.65,-1.46
566.25,-1.42
571.92,-1.38
577.64,-1.34
583.41,-1.30
589.25,-1.26
595.14,-1.22
601.09,-1.19
607.10,-1.14
613.17,-1.10
619.30,-1.06
625.50,-1.01
631.75,-0.97
638.07,-0.92
644.45,-0.87
650.89,-0.83
657.40,-0.78
663.98,-0.74
670.62,-0.70
677.32,-0.66
684.10,-0.62
690.94,-0.58
697.85,-0.54
704.83,-0.51
711.87,-0.48
718.99,-0.44
726.18,-0.41
733.44,-0.38
740.78,-0.35
748.19,-0.32
755.67,-0.29
763.23,-0.27
770.86,-0.24
778.57,-0.21
786.35,-0.19
794.22,-0.16
802.16,-0.14
810.18,-0.13
818.28,-0.11
826.46,-0.09
834.73,-0.08
843.08,-0.07
851.51,-0.06
860.02,-0.05
868.62,-0.05
877.31,-0.04
886.08,-0.03
894.94,-0.02
903.89,-0.02
912.93,-0.01
922.06,-0.00
931.28,0.00
940.59,0.01
950.00,0.01
959.50,0.01
969.09,0.01
978.78,0.01
988.57,0.00
998.46,0.00
1008.44,-0.00
1018.53,-0.00
1028.71,-0.01
1039.00,-0.01
1049.39,-0.02
1059.88,-0.02
1070.48,-0.03
1081.19,-0.04
1092.00,-0.05
1102.92,-0.07
1113.95,-0.08
1125.09,-0.10
1136.34,-0.12
1147.70,-0.15
1159.18,-0.17
1170.77,-0.20
1182.48,-0.23
1194.30,-0.25
1206.25,-0.28
1218.31,-0.31
1230.49,-0.33
1242.80,-0.36
1255.22,-0.38
1267.78,-0.39
1280.45,-0.41
1293.26,-0.42
1306.19,-0.42
1319.25,-0.43
1332.45,-0.42
1345.77,-0.41
1359.23,-0.40
1372.82,-0.36
1386.55,-0.32
1400.41,-0.27
1414.42,-0.18
1428.56,-0.09
1442.85,0.00
1457.28,0.12
1471.85,0.28
1486.57,0.43
1501.43,0.59
1516.45,0.81
1531.61,1.02
1546.93,1.24
1562.40,1.50
1578.02,1.78
1593.80,2.06
1609.74,2.37
1625.84,2.70
1642.10,3.04
1658.52,3.39
1675.10,3.76
1691.85,4.14
1708.77,4.52
1725.86,4.90
1743.12,5.29
1760.55,5.66
1778.15,6.02
1795.94,6.38
1813.90,6.71
1832.03,7.03
1850.36,7.36
1868.86,7.63
1887.55,7.90
1906.42,8.16
1925.49,8.37
1944.74,8.59
1964.19,8.77
1983.83,8.93
2003.67,9.10
2023.71,9.26
2043.94,9.41
2064.38,9.57
2085.03,9.74
2105.88,9.91
2126.94,10.08
2148.20,10.25
2169.69,10.43
2191.38,10.61
2213.30,10.79
2235.43,10.96
2257.78,11.13
2280.36,11.30
2303.17,11.47
2326.20,11.61
2349.46,11.74
2372.95,11.86
2396.68,11.95
2420.65,12.04
2444.86,12.10
2469.31,12.15
2494.00,12.20
2518.94,12.21
2544.13,12.21
2569.57,12.21
2595.27,12.18
2621.22,12.13
2647.43,12.08
2673.90,12.00
2700.64,11.92
2727.65,11.83
2754.93,11.72
2782.48,11.61
2810.30,11.50
2838.40,11.38
2866.79,11.26
2895.46,11.14
2924.41,11.02
2953.65,10.89
2983.19,10.77
3013.02,10.64
3043.15,10.52
3073.58,10.39
3104.32,10.25
3135.36,10.12
3166.72,9.98
3198.38,9.84
3230.37,9.70
3262.67,9.56
3295.30,9.43
3328.25,9.29
3361.53,9.16
3395.15,9.03
3429.10,8.90
3463.39,8.79
3498.03,8.68
3533.01,8.58
3568.34,8.50
3604.02,8.44
3640.06,8.39
3676.46,8.37
3713.22,8.36
3750.36,8.35
3787.86,8.41
3825.74,8.47
3864.00,8.54
3902.64,8.66
3941.66,8.79
3981.08,8.92
4020.89,9.06
4061.10,9.20
4101.71,9.33
4142.73,9.43
4184.15,9.48
4226.00,9.53
4268.26,9.53
4310.94,9.44
4354.05,9.36
4397.59,9.19
4441.56,8.98
4485.98,8.76
4530.84,8.47
4576.15,8.14
4621.91,7.81
4668.13,7.42
4714.81,7.02
4761.96,6.62
4809.58,6.21
4857.67,5.79
4906.25,5.38
4955.31,4.97
5004.87,4.56
5054.91,4.18
5105.46,3.80
5156.52,3.42
5208.08,3.10
5260.16,2.77
5312.77,2.47
5365.89,2.27
5419.55,2.06
5473.75,1.96
5528.49,1.97
5583.77,1.99
5639.61,2.22
5696.00,2.55
5752.96,2.87
5810.49,3.21
5868.60,3.58
5927.28,3.96
5986.56,4.34
6046.42,4.60
6106.89,4.82
6167.96,4.99
6229.64,5.08
6291.93,5.17
6354.85,5.15
6418.40,5.12
6482.58,5.09
6547.41,5.01
6612.88,4.91
6679.01,4.81
6745.80,4.71
6813.26,4.60
6881.39,4.50
6950.21,4.42
7019.71,4.36
7089.91,4.30
7160.81,4.35
7232.41,4.42
7304.74,4.50
7377.79,4.79
7451.56,5.07
7526.08,5.42
7601.34,5.90
7677.35,6.38
7754.13,6.85
7831.67,7.26
7909.98,7.67
7989.08,8.08
8068.98,8.19
8149.67,8.25
8231.16,8.31
8313.47,8.16
8396.61,7.94
8480.57,7.72
8565.38,7.53
8651.03,7.35
8737.54,7.18
8824.92,7.16
8913.17,7.16
9002.30,7.17
9092.32,7.22
9183.25,7.27
9275.08,7.28
9367.83,7.19
9461.51,7.10
9556.12,6.81
9651.68,6.40
9748.20,5.99
9845.68,5.21
9944.14,4.42
10043.58,3.55
10144.02,2.58
10245.46,1.62
10347.91,0.79
10451.39,0.12
10555.91,-0.54
10661.46,-0.86
10768.08,-0.92
10875.76,-0.98
10984.52,-0.85
11094.36,-0.67
11205.31,-0.50
11317.36,-0.72
11430.53,-0.94
11544.84,-1.36
11660.29,-2.08
11776.89,-2.80
11894.66,-3.64
12013.60,-4.51
12133.74,-5.38
12255.08,-6.26
12377.63,-7.16
12501.41,-8.06
12626.42,-8.92
12752.68,-9.78
12880.21,-10.27
13009.01,-10.55
13139.10,-10.82
13270.49,-10.66
13403.20,-10.13
13537.23,-9.60
13672.60,-9.33
13809.33,-9.30
13947.42,-9.27
14086.90,-9.76
14227.77,-10.57
14370.04,-11.38
14513.74,-12.13
14658.88,-12.33
14805.47,-12.53
14953.52,-12.73
15103.06,-11.86
15254.09,-10.52
15406.63,-9.17
15560.70,-8.05
15716.30,-7.27
15873.47,-6.49
16032.20,-5.97
16192.52,-6.49
16354.45,-7.02
16517.99,-7.60
16683.17,-8.63
16850.01,-9.66
17018.51,-10.69
17188.69,-11.69
17360.58,-12.69
17534.18,-13.69
17709.53,-14.66
17886.62,-15.62
18065.49,-16.41
18246.14,-16.90
18428.60,-17.39
18612.89,-17.82
18799.02,-18.22
18987.01,-18.62
19176.88,-19.17
19368.65,-19.73
19562.33,-20.36
19757.96,-21.13
19955.54,-21.91
