frequency,raw
20.00,3.97
20.20,3.98
20.40,3.98
20.61,3.99
20.81,3.98
21.02,3.98
21.23,3.98
21.44,3.99
21.66,4.02
21.87,4.04
22.09,4.09
22.31,4.15
22.54,4.20
22.76,4.27
22.99,4.32
23.22,4.37
23.45,4.41
23.69,4.43
23.92,4.44
24.16,4.45
24.40,4.45
24.65,4.45
24.89,4.45
25.14,4.44
25.39,4.44
25.65,4.43
25.91,4.42
26.16,4.40
26.43,4.38
26.69,4.35
26.96,4.33
27.23,4.30
27.50,4.27
27.77,4.24
28.05,4.21
28.33,4.18
28.62,4.14
28.90,4.09
29.19,4.04
29.48,3.98
29.78,3.92
30.08,3.85
30.38,3.78
30.68,3.71
30.99,3.65
31.30,3.59
31.61,3.55
31.93,3.51
32.24,3.49
32.57,3.47
32.89,3.45
33.22,3.43
33.55,3.40
33.89,3.36
34.23,3.31
34.57,3.24
34.92,3.15
35.27,3.05
35.62,2.93
35.97,2.79
36.33,2.64
36.70,2.48
37.06,2.31
37.43,2.14
37.81,1.94
38.19,1.75
38.57,1.54
38.95,1.31
39.34,1.08
39.74,0.85
40.14,0.61
40.54,0.36
40.94,0.12
41.35,-0.12
41.76,-0.36
42.18,-0.60
42.60,-0.83
43.03,-1.05
43.46,-1.27
43.90,-1.47
44.33,-1.67
44.78,-1.85
45.23,-2.03
45.68,-2.18
46.13,-2.32
46.60,-2.42
47.06,-2.49
47.53,-2.54
48.01,-2.54
48.49,-2.53
48.97,-2.49
49.46,-2.44
49.96,-2.38
50.46,-2.31
50.96,-2.24
51.47,-2.17
51.99,-2.12
52.51,-2.09
53.03,-2.07
53.56,-2.04
54.10,-2.01
54.64,-1.96
55.18,-1.91
55.74,-1.87
56.29,-1.84
56.86,-1.82
57.42,-1.81
58.00,-1.80
58.58,-1.80
59.16,-1.80
59.76,-1.80
60.35,-1.80
60.96,-1.82
61.57,-1.84
62.18,-1.86
62.80,-1.90
63.43,-1.94
64.07,-1.98
64.71,-2.04
65.35,-2.10
66.01,-2.17
66.67,-2.24
67.33,-2.32
68.01,-2.39
68.69,-2.47
69.37,-2.55
70.07,-2.62
70.77,-2.71
71.48,-2.80
72.19,-2.90
72.91,-2.99
73.64,-3.10
74.38,-3.21
75.12,-3.33
75.87,-3.45
76.63,-3.58
77.40,-3.72
78.17,-3.87
78.95,-4.02
79.74,-4.18
