frequency,raw
20.00,-6.50
20.20,-6.47
20.40,-6.45
20.61,-6.43
20.81,-6.41
21.02,-6.39
21.23,-6.37
21.44,-6.36
21.66,-6.35
21.87,-6.34
22.09,-6.33
22.31,-6.32
22.54,-6.32
22.76,-6.31
22.99,-6.31
23.22,-6.30
23.45,-6.30
23.69,-6.29
23.92,-6.28
24.16,-6.26
24.40,-6.25
24.65,-6.24
24.89,-6.22
25.14,-6.20
25.39,-6.19
25.65,-6.17
25.91,-6.16
26.16,-6.16
26.43,-6.15
26.69,-6.15
26.96,-6.15
27.23,-6.16
27.50,-6.16
27.77,-6.17
28.05,-6.18
28.33,-6.18
28.62,-6.19
28.90,-6.20
29.19,-6.21
29.48,-6.22
29.78,-6.22
30.08,-6.23
30.38,-6.25
30.68,-6.26
30.99,-6.29
31.30,-6.31
31.61,-6.34
31.93,-6.37
32.24,-6.40
32.57,-6.43
32.89,-6.47
33.22,-6.51
33.55,-6.55
33.89,-6.60
34.23,-6.64
34.57,-6.69
34.92,-6.74
35.27,-6.78
35.62,-6.83
35.97,-6.87
36.33,-6.91
36.70,-6.93
37.06,-6.95
37.43,-6.96
37.81,-6.95
38.19,-6.92
38.57,-6.90
38.95,-6.84
39.34,-6.75
39.74,-6.67
40.14,-6.58
40.54,-6.46
40.94,-6.34
41.35,-6.22
41.76,-6.08
42.18,-5.94
42.60,-5.81
43.03,-5.68
43.46,-5.55
43.90,-5.42
44.33,-5.31
44.78,-5.20
45.23,-5.10
45.68,-5.02
46.13,-4.93
46.60,-4.86
47.06,-4.80
47.53,-4.74
48.01,-4.70
48.49,-4.67
48.97,-4.65
49.46,-4.64
49.96,-4.63
50.46,-4.63
50.96,-4.63
51.47,-4.63
51.99,-4.62
52.51,-4.62
53.03,-4.61
53.56,-4.59
54.10,-4.57
54.64,-4.55
55.18,-4.51
55.74,-4.46
56.29,-4.41
56.86,-4.34
57.42,-4.27
58.00,-4.20
58.58,-4.12
59.16,-4.03
59.76,-3.95
60.35,-3.86
60.96,-3.77
61.57,-3.69
62.18,-3.60
62.80,-3.52
63.43,-3.44
64.07,-3.37
64.71,-3.30
65.35,-3.24
66.01,-3.18
66.67,-3.13
67.33,-3.08
68.01,-3.04
68.69,-3.00
69.37,-2.98
70.07,-2.96
70.77,-2.95
71.48,-2.94
72.19,-2.95
72.91,-2.96
73.64,-2.98
74.38,-3.00
75.12,-3.03
75.87,-3.07
76.63,-3.11
77.40,-3.15
78.17,-3.20
78.95,-3.25
79.74,-3.30
80.54,-3.34
81.35,-3.38
82.16,-3.41
82.98,-3.43
83.81,-3.45
84.65,-3.46
85.50,-3.47
86.35,-3.49
87.22,-3.50
88.09,-3.52
88.97,-3.55
89.86,-3.57
90.76,-3.60
91.66,-3.64
92.58,-3.67
93.51,-3.69
94.44,-3.72
95.39,-3.74
96.34,-3.76
97.30,-3.78
98.28,-3.80
99.26,-3.82
100.25,-3.84
101.25,-3.85
102.27,-3.87
103.29,-3.89
104.32,-3.90
105.37,-3.91
106.42,-3.92
107.48,-3.93
108.56,-3.93
109.64,-3.94
110.74,-3.95
111.85,-3.96
112.97,-3.99
114.10,-4.01
115.24,-4.04
116.39,-4.09
117.55,-4.14
118.73,-4.19
119.92,-4.25
121.12,-4.31
122.33,-4.37
123.55,-4.41
124.79,-4.46
126.03,-4.49
127.29,-4.52
128.57,-4.54
129.85,-4.57
131.15,-4.59
132.46,-4.62
133.79,-4.67
135.12,-4.71
136.48,-4.76
137.84,-4.82
139.22,-4.88
140.61,-4.94
142.02,-5.01
143.44,-5.07
144.87,-5.14
146.32,-5.21
147.78,-5.27
149.26,-5.34
150.75,-5.42
152.26,-5.50
153.78,-5.58
155.32,-5.66
156.88,-5.76
158.44,-5.86
160.03,-5.95
161.63,-6.06
163.24,-6.16
164.88,-6.27
166.53,-6.38
168.19,-6.49
169.87,-6.61
171.57,-6.72
173.29,-6.84
175.02,-6.96
176.77,-7.08
178.54,-7.20
180.32,-7.32
182.13,-7.44
183.95,-7.56
185.79,-7.68
187.65,-7.80
189.52,-7.93
191.42,-8.05
193.33,-8.18
195.27,-8.31
197.22,-8.42
199.19,-8.53
201.18,-8.63
203.19,-8.71
205.23,-8.80
207.28,-8.88
209.35,-8.97
211.44,-9.05
213.56,-9.14
215.69,-9.23
217.85,-9.32
220.03,-9.40
222.23,-9.48
224.45,-9.56
226.70,-9.64
228.96,-9.71
231.25,-9.79
233.57,-9.86
235.90,-9.93
238.26,-10.00
240.64,-10.06
243.05,-10.13
245.48,-10.19
247.93,-10.24
250.41,-10.30
252.92,-10.34
255.45,-10.39
258.00,-10.44
260.58,-10.47
263.19,-10.51
265.82,-10.53
268.48,-10.55
271.16,-10.57
273.87,-10.57
276.61,-10.56
279.38,-10.56
282.17,-10.53
284.99,-10.51
287.84,-10.48
290.72,-10.44
293.63,-10.39
296.57,-10.34
299.53,-10.29
302.53,-10.22
305.55,-10.14
308.61,-10.06
311.69,-9.96
314.81,-9.86
317.96,-9.75
321.14,-9.64
324.35,-9.52
327.59,-9.41
330.87,-9.29
334.18,-9.17
337.52,-9.05
340.90,-8.93
344.30,-8.81
347.75,-8.69
351.23,-8.57
354.74,-8.45
358.28,-8.33
361.87,-8.21
365.49,-8.08
369.14,-7.96
372.83,-7.83
376.56,-7.71
380.33,-7.58
384.13,-7.46
387.97,-7.33
391.85,-7.20
395.77,-7.06
399.73,-6.93
403.72,-6.79
407.76,-6.66
411.84,-6.52
415.96,-6.38
420.12,-6.24
424.32,-6.10
428.56,-5.96
432.85,-5.82
437.18,-5.68
441.55,-5.54
445.96,-5.40
450.42,-5.27
454.93,-5.13
459.48,-4.99
464.07,-4.85
468.71,-4.72
473.40,-4.58
478.13,-4.45
482.91,-4.32
487.74,-4.19
492.62,-4.07
497.55,-3.94
502.52,-3.82
507.55,-3.71
512.62,-3.59
517.75,-3.48
522.93,-3.38
528.16,-3.27
533.44,-3.16
538.77,-3.06
544.16,-2.96
549.60,-2.86
555.10,-2.75
560.65,-2.65
566.25,-2.55
571.92,-2.46
577.64,-2.36
583.41,-2.26
589.25,-2.16
595.14,-2.06
601.09,-1.97
607.10,-1.87
613.17,-1.77
619.30,-1.68
625.50,-1.58
631.75,-1.49
638.07,-1.41
644.45,-1.32
650.89,-1.24
657.40,-1.16
663.98,-1.09
670.62,-1.01
677.32,-0.94
684.10,-0.87
690.94,-0.79
697.85,-0.71
704.83,-0.64
711.87,-0.56
718.99,-0.48
726.18,-0.40
733.44,-0.32
740.78,-0.25
748.19,-0.18
755.67,-0.11
763.23,-0.05
770.86,0.01
778.57,0.06
786.35,0.11
794.22,0.15
802.16,0.19
810.18,0.21
818.28,0.24
826.46,0.25
834.73,0.25
843.08,0.24
851.51,0.23
860.02,0.23
868.62,0.23
877.31,0.23
886.08,0.25
894.94,0.28
903.89,0.29
912.93,0.28
922.06,0.28
931.28,0.26
940.59,0.24
950.00,0.21
959.50,0.17
969.09,0.13
978.78,0.09
988.57,0.05
998.46,0.01
1008.44,-0.04
1018.53,-0.08
1028.71,-0.13
1039.00,-0.19
1049.39,-0.24
1059.88,-0.30
1070.48,-0.37
1081.19,-0.44
1092.00,-0.50
1102.92,-0.54
1113.95,-0.57
1125.09,-0.59
1136.34,-0.60
1147.70,-0.60
1159.18,-0.62
1170.77,-0.65
1182.48,-0.68
1194.30,-0.72
1206.25,-0.76
1218.31,-0.80
1230.49,-0.84
1242.80,-0.88
1255.22,-0.91
1267.78,-0.94
1280.45,-0.97
1293.26,-0.99
1306.19,-1.01
1319.25,-1.03
1332.45,-1.05
1345.77,-1.06
1359.23,-1.08
1372.82,-1.09
1386.55,-1.10
1400.41,-1.11
1414.42,-1.12
1428.56,-1.12
1442.85,-1.13
1457.28,-1.13
1471.85,-1.15
1486.57,-1.16
1501.43,-1.17
1516.45,-1.16
1531.61,-1.15
1546.93,-1.14
1562.40,-1.07
1578.02,-0.98
1593.80,-0.89
1609.74,-0.76
1625.84,-0.61
1642.10,-0.46
1658.52,-0.30
1675.10,-0.15
1691.85,-0.00
1708.77,0.13
1725.86,0.24
1743.12,0.34
1760.55,0.43
1778.15,0.51
1795.94,0.59
1813.90,0.66
1832.03,0.73
1850.36,0.80
1868.86,0.87
1887.55,0.94
1906.42,1.00
1925.49,1.06
1944.74,1.12
1964.19,1.16
1983.83,1.20
2003.67,1.23
2023.71,1.26
2043.94,1.28
2064.38,1.30
2085.03,1.32
2105.88,1.35
2126.94,1.41
2148.20,1.54
2169.69,1.68
2191.38,1.92
2213.30,2.26
2235.43,2.60
2257.78,3.02
2280.36,3.45
2303.17,3.88
2326.20,4.25
2349.46,4.61
2372.95,4.89
2396.68,5.11
2420.65,5.32
2444.86,5.47
2469.31,5.56
2494.00,5.66
2518.94,5.69
2544.13,5.70
2569.57,5.71
2595.27,5.69
2621.22,5.65
2647.43,5.60
2673.90,5.52
2700.64,5.43
2727.65,5.32
2754.93,5.15
2782.48,4.99
2810.30,4.78
2838.40,4.51
2866.79,4.24
2895.46,3.97
2924.41,3.55
2953.65,3.11
2983.19,2.66
3013.02,2.14
3043.15,1.52
3073.58,0.90
3104.32,0.32
3135.36,-0.26
3166.72,-0.65
3198.38,-0.88
3230.37,-1.11
3262.67,-1.26
3295.30,-1.29
3328.25,-1.32
3361.53,-1.31
3395.15,-1.23
3429.10,-1.15
3463.39,-0.96
3498.03,-0.62
3533.01,-0.27
3568.34,0.08
3604.02,0.44
3640.06,0.80
3676.46,0.90
3713.22,0.90
3750.36,0.90
3787.86,0.49
3825.74,0.09
3864.00,-0.32
3902.64,-0.71
3941.66,-1.10
3981.08,-1.50
4020.89,-1.69
4061.10,-1.69
4101.71,-1.69
4142.73,-1.58
4184.15,-1.36
4226.00,-1.14
4268.26,-0.96
4310.94,-0.84
4354.05,-0.72
4397.59,-0.69
4441.56,-0.72
4485.98,-0.75
4530.84,-0.79
4576.15,-0.84
4621.91,-0.89
4668.13,-0.88
4714.81,-0.86
4761.96,-0.81
4809.58,-0.67
4857.67,-0.54
4906.25,-0.33
4955.31,-0.11
5004.87,0.12
5054.91,0.35
5105.46,0.59
5156.52,0.81
5208.08,0.97
5260.16,1.13
5312.77,1.27
5365.89,1.33
5419.55,1.39
5473.75,1.44
5528.49,1.45
5583.77,1.46
5639.61,1.54
5696.00,1.64
5752.96,1.74
5810.49,1.87
5868.60,2.13
5927.28,2.39
5986.56,2.64
6046.42,2.92
6106.89,3.20
6167.96,3.45
6229.64,3.65
6291.93,3.85
6354.85,3.92
6418.40,3.97
6482.58,4.02
6547.41,3.96
6612.88,3.86
6679.01,3.75
6745.80,3.57
6813.26,3.34
6881.39,3.11
6950.21,2.84
7019.71,2.55
7089.91,2.26
7160.81,1.96
7232.41,1.66
7304.74,1.36
7377.79,1.07
7451.56,0.79
7526.08,0.53
7601.34,0.33
7677.35,0.14
7754.13,-0.04
7831.67,0.14
7909.98,0.32
7989.08,0.50
8068.98,0.95
8149.67,1.44
8231.16,1.93
8313.47,2.12
8396.61,2.21
8480.57,2.30
8565.38,2.09
8651.03,1.80
8737.54,1.51
8824.92,1.16
8913.17,0.80
9002.30,0.43
9092.32,-0.06
9183.25,-0.54
9275.08,-1.03
9367.83,-1.56
9461.51,-2.08
9556.12,-2.48
9651.68,-2.78
9748.20,-3.09
9845.68,-3.23
9944.14,-3.36
10043.58,-3.44
10144.02,-3.44
10245.46,-3.45
10347.91,-3.37
10451.39,-3.22
10555.91,-3.06
10661.46,-2.92
10768.08,-2.81
10875.76,-2.70
10984.52,-2.80
11094.36,-2.97
11205.31,-3.15
11317.36,-3.66
11430.53,-4.16
11544.84,-4.71
11660.29,-5.33
11776.89,-5.95
11894.66,-6.61
12013.60,-7.28
12133.74,-7.95
12255.08,-8.73
12377.63,-9.66
12501.41,-10.59
12626.42,-11.46
12752.68,-12.34
12880.21,-13.09
13009.01,-13.77
13139.10,-14.44
13270.49,-14.88
13403.20,-15.12
13537.23,-15.35
13672.60,-15.37
13809.33,-15.19
13947.42,-15.01
14086.90,-14.94
14227.77,-14.94
14370.04,-14.93
14513.74,-14.96
14658.88,-15.33
14805.47,-15.70
14953.52,-16.07
15103.06,-15.81
15254.09,-15.26
15406.63,-14.72
15560.70,-14.14
15716.30,-13.51
15873.47,-12.89
16032.20,-12.42
16192.52,-12.60
16354.45,-12.78
16517.99,-13.04
16683.17,-13.94
16850.01,-14.84
17018.51,-15.73
17188.69,-16.45
17360.58,-17.18
17534.18,-17.76
17709.53,-17.76
17886.62,-17.76
18065.49,-17.66
18246.14,-17.39
18428.60,-17.11
18612.89,-17.26
18799.02,-17.69
18987.01,-18.11
19176.88,-18.85
19368.65,-19.61
19562.33,-20.50
19757.96,-21.68
19955.54,-22.87
