frequency,raw
20.00,-20.36
20.20,-20.26
20.40,-20.16
20.61,-20.05
20.81,-19.94
21.02,-19.83
21.23,-19.73
21.44,-19.64
21.66,-19.55
21.87,-19.46
22.09,-19.38
22.31,-19.30
22.54,-19.21
22.76,-19.12
22.99,-19.03
23.22,-18.93
23.45,-18.84
23.69,-18.76
23.92,-18.68
24.16,-18.61
24.40,-18.54
24.65,-18.47
24.89,-18.40
25.14,-18.31
25.39,-18.22
25.65,-18.12
25.91,-18.03
26.16,-17.94
26.43,-17.87
26.69,-17.81
26.96,-17.76
27.23,-17.71
27.50,-17.64
27.77,-17.55
28.05,-17.45
28.33,-17.35
28.62,-17.27
28.90,-17.21
29.19,-17.19
29.48,-17.20
29.78,-17.23
30.08,-17.24
30.38,-17.21
30.68,-17.13
30.99,-17.00
31.30,-16.88
31.61,-16.80
31.93,-16.78
32.24,-16.83
32.57,-16.89
32.89,-16.96
33.22,-17.00
33.55,-17.02
33.89,-17.02
34.23,-17.05
34.57,-17.11
34.92,-17.21
35.27,-17.30
35.62,-17.37
35.97,-17.41
36.33,-17.45
36.70,-17.50
37.06,-17.55
37.43,-17.61
37.81,-17.62
38.19,-17.62
38.57,-17.55
38.95,-17.46
39.34,-17.35
39.74,-17.24
40.14,-17.09
40.54,-16.92
40.94,-16.70
41.35,-16.46
41.76,-16.20
42.18,-15.93
42.60,-15.65
43.03,-15.34
43.46,-15.01
43.90,-14.66
44.33,-14.30
44.78,-13.95
45.23,-13.61
45.68,-13.29
46.13,-13.00
46.60,-12.75
47.06,-12.53
47.53,-12.32
48.01,-12.13
48.49,-11.94
48.97,-11.76
49.46,-11.58
49.96,-11.40
50.46,-11.18
50.96,-10.96
51.47,-10.72
51.99,-10.50
52.51,-10.28
53.03,-10.08
53.56,-9.90
54.10,-9.73
54.64,-9.57
55.18,-9.42
55.74,-9.29
56.29,-9.17
56.86,-9.06
57.42,-8.97
58.00,-8.88
58.58,-8.83
59.16,-8.78
59.76,-8.73
60.35,-8.68
60.96,-8.62
61.57,-8.57
62.18,-8.53
62.80,-8.50
63.43,-8.47
64.07,-8.45
64.71,-8.44
65.35,-8.43
66.01,-8.43
66.67,-8.43
67.33,-8.44
68.01,-8.45
68.69,-8.47
69.37,-8.47
70.07,-8.47
70.77,-8.48
71.48,-8.49
72.19,-8.51
72.91,-8.54
73.64,-8.60
74.38,-8.66
75.12,-8.70
75.87,-8.72
76.63,-8.74
77.40,-8.76
78.17,-8.78
78.95,-8.79
79.74,-8.81
80.54,-8.81
81.35,-8.81
82.16,-8.80
82.98,-8.77
83.81,-8.73
84.65,-8.67
85.50,-8.59
86.35,-8.51
87.22,-8.41
88.09,-8.31
88.97,-8.22
89.86,-8.14
90.76,-8.04
91.66,-7.95
92.58,-7.86
93.51,-7.78
94.44,-7.71
95.39,-7.65
96.34,-7.59
97.30,-7.52
98.28,-7.45
99.26,-7.36
100.25,-7.27
101.25,-7.17
102.27,-7.06
103.29,-6.95
104.32,-6.82
105.37,-6.70
106.42,-6.59
107.48,-6.48
108.56,-6.38
109.64,-6.29
110.74,-6.20
111.85,-6.12
112.97,-6.06
114.10,-6.01
115.24,-5.97
116.39,-5.94
117.55,-5.92
118.73,-5.90
119.92,-5.89
121.12,-5.88
122.33,-5.86
123.55,-5.84
124.79,-5.81
126.03,-5.76
