frequency,raw
20.00,4.41
20.20,4.47
20.40,4.52
20.61,4.57
20.81,4.62
21.02,4.68
21.23,4.73
21.44,4.77
21.66,4.81
21.87,4.85
22.09,4.89
22.31,4.92
22.54,4.95
22.76,4.97
22.99,5.00
23.22,5.02
23.45,5.03
23.69,5.05
23.92,5.07
24.16,5.08
24.40,5.10
24.65,5.11
24.89,5.13
25.14,5.14
25.39,5.16
25.65,5.17
25.91,5.19
26.16,5.20
26.43,5.21
26.69,5.22
26.96,5.22
27.23,5.23
27.50,5.22
27.77,5.22
28.05,5.22
28.33,5.21
28.62,5.20
28.90,5.19
29.19,5.17
29.48,5.15
29.78,5.13
30.08,5.11
30.38,5.08
30.68,5.05
30.99,5.02
31.30,4.98
31.61,4.95
31.93,4.91
32.24,4.88
32.57,4.84
32.89,4.79
33.22,4.75
33.55,4.70
33.89,4.64
34.23,4.58
34.57,4.51
34.92,4.43
35.27,4.34
35.62,4.26
35.97,4.16
36.33,4.07
36.70,3.97
37.06,3.87
37.43,3.77
37.81,3.69
38.19,3.60
38.57,3.52
38.95,3.46
39.34,3.40
39.74,3.35
40.14,3.31
40.54,3.29
40.94,3.27
41.35,3.26
41.76,3.25
42.18,3.25
42.60,3.24
43.03,3.22
43.46,3.20
43.90,3.18
44.33,3.13
44.78,3.09
45.23,3.04
45.68,3.00
46.13,2.95
46.60,2.94
47.06,2.93
47.53,2.93
48.01,2.99
48.49,3.06
48.97,3.15
49.46,3.27
49.96,3.39
50.46,3.53
50.96,3.66
51.47,3.80
51.99,3.91
52.51,4.02
53.03,4.12
53.56,4.19
54.10,4.25
54.64,4.30
55.18,4.32
55.74,4.34
56.29,4.33
56.86,4.31
57.42,4.29
58.00,4.27
58.58,4.22
59.16,4.17
59.76,4.13
60.35,4.09
60.96,4.05
61.57,4.01
62.18,3.99
62.80,3.97
63.43,3.97
64.07,3.98
64.71,3.99
65.35,4.02
66.01,4.06
66.67,4.11
67.33,4.16
68.01,4.21
68.69,4.26
69.37,4.28
70.07,4.29
70.77,4.29
71.48,4.27
72.19,4.22
72.91,4.17
73.64,4.10
74.38,4.01
75.12,3.92
75.87,3.82
76.63,3.71
77.40,3.60
78.17,3.48
78.95,3.36
79.74,3.25
80.54,3.13
81.35,3.01
82.16,2.89
82.98,2.79
83.81,2.71
84.65,2.63
85.50,2.57
86.35,2.52
87.22,2.47
88.09,2.41
88.97,2.36
89.86,2.30
90.76,2.21
91.66,2.11
92.58,2.01
93.51,1.91
94.44,1.80
95.39,1.71
96.34,1.64
97.30,1.56
98.28,1.49
99.26,1.42
100.25,1.35
101.25,1.27
102.27,1.18
103.29,1.09
104.32,0.98
105.37,0.86
106.42,0.74
107.48,0.61
108.56,0.48
109.64,0.35
110.74,0.22
111.85,0.09
112.97,-0.03
114.10,-0.14
115.24,-0.26
116.39,-0.37
117.55,-0.49
118.73,-0.60
119.92,-0.71
121.12,-0.82
122.33,-0.92
123.55,-1.03
124.79,-1.14
126.03,-1.23
127.29,-1.31
128.57,-1.38
129.85,-1.42
131.15,-1.46
132.46,-1.51
133.79,-1.55
135.12,-1.59
136.48,-1.64
137.84,-1.73
139.22,-1.81
140.61,-1.92
142.02,-2.05
143.44,-2.18
144.87,-2.31
146.32,-2.46
147.78,-2.62
149.26,-2.77
150.75,-2.93
152.26,-3.09
153.78,-3.25
155.32,-3.41
156.88,-3.57
158.44,-3.73
160.03,-3.89
161.63,-4.04
163.24,-4.19
164.88,-4.35
166.53,-4.49
168.19,-4.64
169.87,-4.78
171.57,-4.94
173.29,-5.09
175.02,-5.25
176.77,-5.40
178.54,-5.55
180.32,-5.69
182.13,-5.82
183.95,-5.95
185.79,-6.09
187.65,-6.23
189.52,-6.37
191.42,-6.52
193.33,-6.68
195.27,-6.84
197.22,-7.00
199.19,-7.17
201.18,-7.33
203.19,-7.50
205.23,-7.66
207.28,-7.83
209.35,-7.99
211.44,-8.16
213.56,-8.32
215.69,-8.47
217.85,-8.63
220.03,-8.78
222.23,-8.92
224.45,-9.07
226.70,-9.21
228.96,-9.35
231.25,-9.50
233.57,-9.65
235.90,-9.79
238.26,-9.95
240.64,-10.11
243.05,-10.26
245.48,-10.41
247.93,-10.57
250.41,-10.71
252.92,-10.86
255.45,-11.00
258.00,-11.14
260.58,-11.28
263.19,-11.42
265.82,-11.57
268.48,-11.72
271.16,-11.87
273.87,-12.02
276.61,-12.18
279.38,-12.33
282.17,-12.48
284.99,-12.63
287.84,-12.78
290.72,-12.91
293.63,-13.02
296.57,-13.12
299.53,-13.22
302.53,-13.28
305.55,-13.33
308.61,-13.36
311.69,-13.39
314.81,-13.41
317.96,-13.41
321.14,-13.41
324.35,-13.42
327.59,-13.39
330.87,-13.36
334.18,-13.32
337.52,-13.27
340.90,-13.21
344.30,-13.15
347.75,-13.08
351.23,-13.01
354.74,-12.93
358.28,-12.85
361.87,-12.76
365.49,-12.67
369.14,-12.57
372.83,-12.48
376.56,-12.37
380.33,-12.26
384.13,-12.14
387.97,-12.02
391.85,-11.88
395.77,-11.74
399.73,-11.60
403.72,-11.44
407.76,-11.27
411.84,-11.10
415.96,-10.93
420.12,-10.76
424.32,-10.59
428.56,-10.43
432.85,-10.26
437.18,-10.10
441.55,-9.93
445.96,-9.76
450.42,-9.58
454.93,-9.39
459.48,-9.21
464.07,-9.01
468.71,-8.81
473.40,-8.61
478.13,-8.42
482.91,-8.22
487.74,-8.03
492.62,-7.85
497.55,-7.67
502.52,-7.50
507.55,-7.34
512.62,-7.18
517.75,-7.02
522.93,-6.88
528.16,-6.74
533.44,-6.60
538.77,-6.46
544.16,-6.33
549.60,-6.19
555.10,-6.06
560.65,-5.93
566.25,-5.80
571.92,-5.66
577.64,-5.53
583.41,-5.38
589.25,-5.23
595.14,-5.08
601.09,-4.92
607.10,-4.75
613.17,-4.57
619.30,-4.39
625.50,-4.20
631.75,-4.01
638.07,-3.82
644.45,-3.63
650.89,-3.43
657.40,-3.24
663.98,-3.05
670.62,-2.85
677.32,-2.66
684.10,-2.47
690.94,-2.28
697.85,-2.11
704.83,-1.93
711.87,-1.77
718.99,-1.63
726.18,-1.49
733.44,-1.36
740.78,-1.25
748.19,-1.13
755.67,-1.05
