frequency,raw
20.00,8.50
20.20,8.53
20.40,8.55
20.61,8.58
20.81,8.60
21.02,8.62
21.23,8.64
21.44,8.67
21.66,8.69
21.87,8.72
22.09,8.74
22.31,8.76
22.54,8.78
22.76,8.80
22.99,8.82
23.22,8.84
23.45,8.85
23.69,8.87
23.92,8.89
24.16,8.90
24.40,8.92
24.65,8.93
24.89,8.95
25.14,8.96
25.39,8.98
25.65,8.99
25.91,9.00
26.16,9.02
26.43,9.03
26.69,9.04
26.96,9.05
27.23,9.06
27.50,9.07
27.77,9.08
28.05,9.09
28.33,9.10
28.62,9.10
28.90,9.11
29.19,9.12
29.48,9.12
29.78,9.13
30.08,9.13
30.38,9.14
30.68,9.14
30.99,9.14
31.30,9.15
31.61,9.15
31.93,9.15
32.24,9.15
32.57,9.15
32.89,9.15
33.22,9.15
33.55,9.15
33.89,9.14
34.23,9.14
34.57,9.14
34.92,9.14
35.27,9.14
35.62,9.13
35.97,9.13
36.33,9.13
36.70,9.13
37.06,9.12
37.43,9.12
37.81,9.12
38.19,9.11
38.57,9.11
38.95,9.10
39.34,9.10
39.74,9.09
40.14,9.08
40.54,9.07
40.94,9.05
41.35,9.04
41.76,9.02
42.18,9.01
42.60,9.00
43.03,8.99
43.46,8.98
43.90,8.97
44.33,8.95
44.78,8.94
45.23,8.93
45.68,8.91
46.13,8.90
46.60,8.88
47.06,8.87
47.53,8.85
48.01,8.83
48.49,8.81
48.97,8.79
49.46,8.76
49.96,8.74
50.46,8.72
50.96,8.70
51.47,8.68
51.99,8.66
52.51,8.64
53.03,8.62
53.56,8.60
54.10,8.57
54.64,8.55
55.18,8.52
55.74,8.50
56.29,8.48
56.86,8.45
57.42,8.43
58.00,8.40
58.58,8.38
59.16,8.36
59.76,8.33
60.35,8.31
60.96,8.28
61.57,8.26
62.18,8.23
62.80,8.20
63.43,8.17
64.07,8.14
64.71,8.10
65.35,8.07
66.01,8.04
66.67,8.00
67.33,7.97
68.01,7.94
68.69,7.91
69.37,7.88
70.07,7.84
70.77,7.81
71.48,7.78
72.19,7.75
72.91,7.71
73.64,7.68
74.38,7.64
75.12,7.61
75.87,7.57
76.63,7.54
77.40,7.50
78.17,7.46
78.95,7.43
79.74,7.39
80.54,7.35
81.35,7.31
82.16,7.27
82.98,7.23
83.81,7.19
84.65,7.15
85.50,7.11
86.35,7.06
87.22,7.02
88.09,6.98
88.97,6.93
89.86,6.89
90.76,6.85
91.66,6.81
92.58,6.76
93.51,6.72
94.44,6.68
95.39,6.63
96.34,6.59
97.30,6.54
98.28,6.49
99.26,6.45
100.25,6.40
101.25,6.35
102.27,6.31
103.29,6.26
104.32,6.22
105.37,6.18
106.42,6.13
107.48,6.09
108.56,6.05
109.64,6.00
110.74,5.96
111.85,5.91
112.97,5.86
114.10,5.81
115.24,5.76
116.39,5.72
117.55,5.67
118.73,5.62
119.92,5.58
121.12,5.53
122.33,5.49
123.55,5.44
124.79,5.39
126.03,5.35
127.29,5.30
128.57,5.25
129.85,5.20
131.15,5.15
132.46,5.10
133.79,5.05
135.12,5.00
136.48,4.95
137.84,4.90
139.22,4.86
140.61,4.81
142.02,4.76
143.44,4.71
144.87,4.66
146.32,4.61
147.78,4.56
149.26,4.51
150.75,4.47
152.26,4.42
153.78,4.38
155.32,4.33
156.88,4.28
158.44,4.23
160.03,4.18
161.63,4.13
163.24,4.08
164.88,4.02
166.53,3.97
168.19,3.91
169.87,3.86
171.57,3.81
173.29,3.75
175.02,3.70
176.77,3.66
178.54,3.61
180.32,3.56
182.13,3.52
183.95,3.47
185.79,3.42
187.65,3.37
189.52,3.32
191.42,3.27
193.33,3.22
195.27,3.17
197.22,3.12
199.19,3.07
201.18,3.02
203.19,2.97
205.23,2.92
207.28,2.87
209.35,2.82
211.44,2.77
213.56,2.73
215.69,2.68
217.85,2.64
220.03,2.60
222.23,2.56
224.45,2.51
226.70,2.47
228.96,2.42
231.25,2.38
233.57,2.33
235.90,2.28
238.26,2.23
240.64,2.18
243.05,2.14
245.48,2.09
247.93,2.04
250.41,1.99
252.92,1.95
255.45,1.90
258.00,1.86
260.58,1.82
263.19,1.77
265.82,1.73
268.48,1.69
271.16,1.65
273.87,1.60
276.61,1.56
279.38,1.52
282.17,1.47
284.99,1.43
287.84,1.39
290.72,1.35
293.63,1.30
296.57,1.26
299.53,1.23
302.53,1.19
305.55,1.15
308.61,1.11
311.69,1.08
314.81,1.04
317.96,1.01
321.14,0.98
324.35,0.94
327.59,0.90
330.87,0.86
334.18,0.82
337.52,0.78
340.90,0.74
344.30,0.70
347.75,0.66
351.23,0.62
354.74,0.58
358.28,0.54
361.87,0.51
365.49,0.48
369.14,0.45
372.83,0.42
376.56,0.39
380.33,0.36
384.13,0.33
387.97,0.29
391.85,0.26
395.77,0.22
399.73,0.19
403.72,0.16
407.76,0.13
411.84,0.10
415.96,0.07
420.12,0.04
424.32,0.01
428.56,-0.02
432.85,-0.05
437.18,-0.08
441.55,-0.11
445.96,-0.15
450.42,-0.18
454.93,-0.20
459.48,-0.23
464.07,-0.26
468.71,-0.28
473.40,-0.31
478.13,-0.33
482.91,-0.35
487.74,-0.38
492.62,-0.41
497.55,-0.43
502.52,-0.46
507.55,-0.48
512.62,-0.50
517.75,-0.53
522.93,-0.55
528.16,-0.57
533.44,-0.59
538.77,-0.61
544.16,-0.62
549.60,-0.64
555.10,-0.66
560.65,-0.68
566.25,-0.70
