frequency,raw
20.00,5.43
20.20,5.44
20.40,5.44
20.61,5.44
20.81,5.45
21.02,5.45
21.23,5.45
21.44,5.45
21.66,5.45
21.87,5.45
22.09,5.45
22.31,5.45
22.54,5.45
22.76,5.45
22.99,5.45
23.22,5.45
23.45,5.45
23.69,5.45
23.92,5.46
24.16,5.46
24.40,5.46
24.65,5.47
24.89,5.47
25.14,5.47
25.39,5.47
25.65,5.47
25.91,5.47
26.16,5.47
26.43,5.48
26.69,5.48
26.96,5.48
27.23,5.48
27.50,5.48
27.77,5.48
28.05,5.48
28.33,5.48
28.62,5.48
28.90,5.48
29.19,5.47
29.48,5.47
29.78,5.47
30.08,5.47
30.38,5.47
30.68,5.47
30.99,5.47
31.30,5.47
31.61,5.46
31.93,5.46
32.24,5.46
32.57,5.46
32.89,5.45
33.22,5.45
33.55,5.44
33.89,5.44
34.23,5.43
34.57,5.43
34.92,5.43
35.27,5.43
35.62,5.43
35.97,5.43
36.33,5.43
36.70,5.43
37.06,5.43
37.43,5.42
37.81,5.42
38.19,5.42
38.57,5.42
38.95,5.41
39.34,5.41
39.74,5.41
40.14,5.41
40.54,5.41
40.94,5.40
41.35,5.40
41.76,5.40
42.18,5.39
42.60,5.39
43.03,5.38
43.46,5.38
43.90,5.38
44.33,5.37
44.78,5.37
45.23,5.37
45.68,5.37
46.13,5.36
46.60,5.36
47.06,5.35
47.53,5.34
48.01,5.34
48.49,5.33
48.97,5.32
49.46,5.32
49.96,5.31
50.46,5.31
50.96,5.30
51.47,5.29
51.99,5.29
52.51,5.28
53.03,5.28
53.56,5.27
54.10,5.27
54.64,5.26
55.18,5.26
55.74,5.25
56.29,5.24
56.86,5.24
57.42,5.23
58.00,5.23
58.58,5.22
59.16,5.22
59.76,5.21
60.35,5.20
60.96,5.20
61.57,5.19
62.18,5.18
62.80,5.17
63.43,5.17
64.07,5.16
64.71,5.15
65.35,5.14
66.01,5.13
66.67,5.13
67.33,5.12
68.01,5.11
68.69,5.10
69.37,5.09
70.07,5.08
70.77,5.08
71.48,5.07
72.19,5.06
72.91,5.05
73.64,5.04
74.38,5.03
75.12,5.02
75.87,5.01
76.63,5.00
77.40,4.99
78.17,4.98
78.95,4.97
79.74,4.96
80.54,4.95
81.35,4.93
82.16,4.92
82.98,4.91
83.81,4.90
84.65,4.89
85.50,4.88
86.35,4.87
87.22,4.85
88.09,4.84
88.97,4.82
89.86,4.81
90.76,4.80
91.66,4.78
