frequency,raw
20.00,6.28
20.20,6.27
20.40,6.25
20.61,6.22
20.81,6.20
21.02,6.18
21.23,6.16
21.44,6.14
21.66,6.11
21.87,6.09
22.09,6.07
22.31,6.04
22.54,6.02
22.76,6.00
22.99,5.97
23.22,5.95
23.45,5.92
23.69,5.90
23.92,5.87
24.16,5.84
24.40,5.82
24.65,5.79
24.89,5.76
25.14,5.74
25.39,5.71
25.65,5.69
25.91,5.66
26.16,5.63
26.43,5.61
26.69,5.58
26.96,5.55
27.23,5.52
27.50,5.49
27.77,5.46
28.05,5.43
28.33,5.40
28.62,5.37
28.90,5.34
29.19,5.31
29.48,5.28
29.78,5.25
30.08,5.21
30.38,5.18
30.68,5.15
30.99,5.12
31.30,5.09
31.61,5.05
31.93,5.02
32.24,4.99
32.57,4.95
32.89,4.92
33.22,4.88
33.55,4.85
33.89,4.82
34.23,4.78
34.57,4.75
34.92,4.71
35.27,4.68
35.62,4.64
35.97,4.61
36.33,4.57
36.70,4.53
37.06,4.50
37.43,4.46
37.81,4.43
38.19,4.39
38.57,4.36
38.95,4.32
39.34,4.28
39.74,4.25
40.14,4.21
40.54,4.17
40.94,4.14
41.35,4.10
41.76,4.06
42.18,4.02
42.60,3.99
43.03,3.95
43.46,3.91
43.90,3.87
44.33,3.84
44.78,3.80
45.23,3.76
45.68,3.72
46.13,3.68
46.60,3.65
47.06,3.61
47.53,3.57
48.01,3.53
48.49,3.49
48.97,3.45
49.46,3.41
49.96,3.37
50.46,3.34
50.96,3.30
51.47,3.26
51.99,3.22
52.51,3.18
53.03,3.14
53.56,3.10
54.10,3.07
54.64,3.03
55.18,2.99
55.74,2.95
56.29,2.91
56.86,2.87
57.42,2.83
58.00,2.79
58.58,2.75
59.16,2.71
59.76,2.68
60.35,2.64
60.96,2.60
61.57,2.56
62.18,2.52
62.80,2.48
63.43,2.45
64.07,2.41
64.71,2.37
65.35,2.33
66.01,2.29
66.67,2.26
67.33,2.22
68.01,2.18
68.69,2.14
69.37,2.10
70.07,2.07
70.77,2.03
71.48,1.99
72.19,1.96
72.91,1.92
73.64,1.88
74.38,1.84
75.12,1.81
75.87,1.77
76.63,1.73
77.40,1.70
78.17,1.66
78.95,1.62
79.74,1.59
80.54,1.55
81.35,1.52
82.16,1.48
82.98,1.45
83.81,1.41
84.65,1.38
85.50,1.34
86.35,1.31
87.22,1.27
88.09,1.24
88.97,1.20
89.86,1.17
90.76,1.13
91.66,1.10
92.58,1.07
93.51,1.03
94.44,1.00
95.39,0.97
96.34,0.93
97.30,0.90
98.28,0.87
99.26,0.84
100.25,0.80
101.25,0.77
102.27,0.74
103.29,0.71
104.32,0.68
105.37,0.65
106.42,0.62
107.48,0.59
108.56,0.55
109.64,0.52
110.74,0.50
111.85,0.47
112.97,0.44
114.10,0.41
115.24,0.38
116.39,0.35
117.55,0.32
118.73,0.29
119.92,0.26
121.12,0.23
122.33,0.20
123.55,0.18
124.79,0.15
126.03,0.12
127.29,0.10
128.57,0.07
129.85,0.04
131.15,0.02
132.46,-0.01
133.79,-0.03
135.12,-0.06
136.48,-0.08
137.84,-0.11
139.22,-0.13
140.61,-0.16
142.02,-0.18
143.44,-0.21
144.87,-0.23
146.32,-0.25
147.78,-0.28
149.26,-0.30
150.75,-0.32
152.26,-0.34
153.78,-0.37
155.32,-0.39
156.88,-0.41
158.44,-0.43
160.03,-0.45
161.63,-0.47
163.24,-0.49
164.88,-0.52
166.53,-0.54
168.19,-0.56
169.87,-0.58
171.57,-0.60
173.29,-0.61
175.02,-0.63
176.77,-0.65
178.54,-0.67
180.32,-0.69
182.13,-0.71
183.95,-0.73
185.79,-0.74
187.65,-0.76
189.52,-0.78
191.42,-0.80
193.33,-0.82
195.27,-0.83
197.22,-0.85
199.19,-0.87
201.18,-0.88
203.19,-0.90
205.23,-0.92
207.28,-0.93
209.35,-0.95
211.44,-0.96
213.56,-0.98
215.69,-0.99
