frequency,raw
20.00,6.92
20.20,6.98
20.40,7.04
20.61,7.10
20.81,7.16
21.02,7.22
21.23,7.28
21.44,7.34
21.66,7.41
21.87,7.47
22.09,7.53
22.31,7.59
22.54,7.65
22.76,7.71
22.99,7.77
23.22,7.83
23.45,7.89
23.69,7.94
23.92,8.00
24.16,8.06
24.40,8.11
24.65,8.17
24.89,8.22
25.14,8.28
25.39,8.33
25.65,8.39
25.91,8.44
26.16,8.49
26.43,8.54
26.69,8.59
26.96,8.64
27.23,8.68
27.50,8.73
27.77,8.77
28.05,8.81
28.33,8.85
28.62,8.89
28.90,8.92
29.19,8.96
29.48,8.99
29.78,9.02
30.08,9.05
30.38,9.07
30.68,9.09
30.99,9.11
31.30,9.13
31.61,9.15
31.93,9.16
32.24,9.17
32.57,9.18
32.89,9.19
33.22,9.19
33.55,9.19
33.89,9.19
34.23,9.19
34.57,9.19
34.92,9.18
35.27,9.17
35.62,9.17
35.97,9.16
36.33,9.14
36.70,9.13
37.06,9.12
37.43,9.10
37.81,9.08
38.19,9.07
38.57,9.05
38.95,9.03
39.34,9.01
39.74,9.00
40.14,8.98
40.54,8.96
40.94,8.94
41.35,8.93
41.76,8.91
42.18,8.89
42.60,8.88
43.03,8.86
43.46,8.85
43.90,8.84
44.33,8.83
44.78,8.82
45.23,8.81
45.68,8.80
46.13,8.80
46.60,8.79
47.06,8.79
47.53,8.78
48.01,8.78
48.49,8.78
48.97,8.78
49.46,8.78
49.96,8.79
50.46,8.79
50.96,8.80
51.47,8.81
51.99,8.81
52.51,8.82
53.03,8.83
53.56,8.84
54.10,8.85
54.64,8.86
55.18,8.87
55.74,8.88
56.29,8.89
56.86,8.89
57.42,8.89
58.00,8.89
58.58,8.89
59.16,8.88
59.76,8.87
60.35,8.86
60.96,8.84
61.57,8.81
62.18,8.78
62.80,8.74
63.43,8.70
64.07,8.66
64.71,8.60
65.35,8.54
66.01,8.47
66.67,8.40
67.33,8.32
68.01,8.24
68.69,8.15
69.37,8.05
70.07,7.95
70.77,7.84
71.48,7.73
72.19,7.62
72.91,7.51
73.64,7.38
74.38,7.26
75.12,7.14
75.87,7.01
76.63,6.88
77.40,6.76
78.17,6.63
78.95,6.50
79.74,6.37
80.54,6.23
81.35,6.10
82.16,5.97
82.98,5.84
83.81,5.72
84.65,5.59
85.50,5.46
86.35,5.33
87.22,5.21
88.09,5.08
88.97,4.96
89.86,4.84
90.76,4.71
91.66,4.59
92.58,4.47
93.51,4.35
94.44,4.23
95.39,4.11
96.34,3.99
97.30,3.87
98.28,3.75
99.26,3.63
100.25,3.51
101.25,3.39
102.27,3.27
103.29,3.15
104.32,3.04
105.37,2.92
106.42,2.80
107.48,2.68
108.56,2.55
109.64,2.43
110.74,2.31
111.85,2.19
112.97,2.06
114.10,1.94
115.24,1.81
116.39,1.68
117.55,1.56
118.73,1.43
119.92,1.30
121.12,1.17
122.33,1.04
123.55,0.91
124.79,0.77
126.03,0.64
127.29,0.50
128.57,0.37
129.85,0.23
131.15,0.09
132.46,-0.05
133.79,-0.19
135.12,-0.33
136.48,-0.47
137.84,-0.61
139.22,-0.75
140.61,-0.89
142.02,-1.04
143.44,-1.18
144.87,-1.32
146.32,-1.46
147.78,-1.60
149.26,-1.74
150.75,-1.88
152.26,-2.01
153.78,-2.14
155.32,-2.27
156.88,-2.40
158.44,-2.52
160.03,-2.64
161.63,-2.76
163.24,-2.87
164.88,-2.98
166.53,-3.08
168.19,-3.18
169.87,-3.27
171.57,-3.35
173.29,-3.42
175.02,-3.49
176.77,-3.55
178.54,-3.60
180.32,-3.65
182.13,-3.69
183.95,-3.72
185.79,-3.74
187.65,-3.76
189.52,-3.77
191.42,-3.78
193.33,-3.78
195.27,-3.77
197.22,-3.75
199.19,-3.73
201.18,-3.71
203.19,-3.68
205.23,-3.65
207.28,-3.61
209.35,-3.57
211.44,-3.53
213.56,-3.49
215.69,-3.44
217.85,-3.39
220.03,-3.34
222.23,-3.29
224.45,-3.24
226.70,-3.19
228.96,-3.14
231.25,-3.09
233.57,-3.03
235.90,-2.98
238.26,-2.93
240.64,-2.88
243.05,-2.83
245.48,-2.78
247.93,-2.73
250.41,-2.69
252.92,-2.64
255.45,-2.60
258.00,-2.56
260.58,-2.52
263.19,-2.48
265.82,-2.44
268.48,-2.41
271.16,-2.37
