frequency,raw
20.00,2.50
20.20,2.55
20.40,2.61
20.61,2.66
20.81,2.72
21.02,2.77
21.23,2.83
21.44,2.88
21.66,2.92
21.87,2.97
22.09,3.02
22.31,3.06
22.54,3.11
22.76,3.16
22.99,3.21
23.22,3.26
23.45,3.31
23.69,3.36
23.92,3.41
24.16,3.45
24.40,3.49
24.65,3.53
24.89,3.57
25.14,3.61
25.39,3.64
25.65,3.68
25.91,3.72
26.16,3.76
26.43,3.80
26.69,3.85
26.96,3.89
27.23,3.93
27.50,3.97
27.77,4.01
28.05,4.05
28.33,4.09
28.62,4.13
28.90,4.17
29.19,4.21
29.48,4.25
29.78,4.28
30.08,4.32
30.38,4.36
30.68,4.39
30.99,4.43
31.30,4.47
31.61,4.50
31.93,4.53
32.24,4.56
32.57,4.60
32.89,4.63
33.22,4.65
33.55,4.68
33.89,4.71
34.23,4.74
34.57,4.77
34.92,4.81
35.27,4.84
35.62,4.87
35.97,4.90
36.33,4.93
36.70,4.95
37.06,4.97
37.43,5.00
37.81,5.02
38.19,5.04
38.57,5.06
38.95,5.07
39.34,5.09
39.74,5.11
40.14,5.12
40.54,5.13
40.94,5.15
41.35,5.16
41.76,5.17
42.18,5.19
42.60,5.20
43.03,5.21
43.46,5.22
43.90,5.23
44.33,5.24
44.78,5.24
45.23,5.25
45.68,5.26
46.13,5.26
46.60,5.27
47.06,5.27
47.53,5.27
48.01,5.27
48.49,5.27
48.97,5.26
49.46,5.26
49.96,5.25
50.46,5.25
50.96,5.24
51.47,5.23
51.99,5.22
52.51,5.21
53.03,5.20
53.56,5.19
54.10,5.18
54.64,5.17
55.18,5.15
55.74,5.13
56.29,5.12
56.86,5.10
57.42,5.08
58.00,5.06
58.58,5.04
59.16,5.02
59.76,4.99
60.35,4.97
60.96,4.94
61.57,4.92
62.18,4.89
62.80,4.86
63.43,4.83
64.07,4.80
64.71,4.77
65.35,4.74
66.01,4.71
66.67,4.67
67.33,4.64
68.01,4.60
68.69,4.56
69.37,4.53
70.07,4.49
70.77,4.44
71.48,4.40
72.19,4.36
72.91,4.31
73.64,4.27
74.38,4.22
75.12,4.18
75.87,4.13
76.63,4.08
77.40,4.03
78.17,3.98
78.95,3.93
79.74,3.87
80.54,3.82
81.35,3.76
82.16,3.70
82.98,3.65
83.81,3.59
84.65,3.53
85.50,3.47
86.35,3.41
87.22,3.34
88.09,3.28
88.97,3.21
89.86,3.14
90.76,3.07
91.66,3.00
92.58,2.93
93.51,2.86
94.44,2.78
95.39,2.70
96.34,2.62
97.30,2.54
98.28,2.46
99.26,2.38
100.25,2.29
101.25,2.21
102.27,2.12
103.29,2.02
104.32,1.93
105.37,1.84
106.42,1.74
107.48,1.64
108.56,1.54
109.64,1.44
110.74,1.33
111.85,1.22
112.97,1.11
114.10,0.99
115.24,0.88
116.39,0.76
117.55,0.64
118.73,0.51
119.92,0.38
121.12,0.25
122.33,0.12
123.55,-0.01
124.79,-0.15
126.03,-0.29
127.29,-0.43
128.57,-0.57
129.85,-0.71
131.15,-0.86
132.46,-1.01
133.79,-1.15
135.12,-1.30
136.48,-1.44
137.84,-1.59
139.22,-1.73
140.61,-1.87
142.02,-2.01
143.44,-2.15
144.87,-2.29
146.32,-2.41
147.78,-2.53
149.26,-2.65
150.75,-2.75
152.26,-2.85
153.78,-2.94
155.32,-3.03
156.88,-3.10
158.44,-3.16
160.03,-3.22
161.63,-3.26
163.24,-3.30
164.88,-3.32
166.53,-3.33
168.19,-3.33
169.87,-3.32
171.57,-3.30
173.29,-3.28
175.02,-3.25
176.77,-3.22
178.54,-3.18
180.32,-3.14
182.13,-3.10
183.95,-3.05
185.79,-2.99
187.65,-2.94
189.52,-2.89
191.42,-2.83
193.33,-2.78
195.27,-2.73
197.22,-2.68
199.19,-2.63
201.18,-2.58
203.19,-2.54
205.23,-2.49
207.28,-2.45
209.35,-2.41
211.44,-2.37
213.56,-2.33
215.69,-2.30
217.85,-2.27
220.03,-2.25
222.23,-2.22
224.45,-2.20
226.70,-2.18
228.96,-2.16
231.25,-2.14
233.57,-2.12
235.90,-2.11
238.26,-2.10
240.64,-2.09
243.05,-2.08
245.48,-2.08
247.93,-2.07
250.41,-2.07
252.92,-2.07
255.45,-2.08
258.00,-2.08
260.58,-2.08
263.19,-2.09
265.82,-2.10
268.48,-2.11
271.16,-2.12
273.87,-2.13
276.61,-2.14
279.38,-2.16
282.17,-2.17
284.99,-2.18
287.84,-2.20
290.72,-2.21
293.63,-2.23
296.57,-2.25
299.53,-2.26
302.53,-2.28
305.55,-2.30
308.61,-2.31
311.69,-2.33
314.81,-2.35
317.96,-2.36
321.14,-2.38
324.35,-2.40
327.59,-2.41
330.87,-2.43
334.18,-2.45
337.52,-2.46
340.90,-2.48
344.30,-2.49
347.75,-2.50
351.23,-2.52
354.74,-2.53
358.28,-2.54
361.87,-2.55
365.49,-2.56
369.14,-2.58
372.83,-2.59
376.56,-2.60
380.33,-2.60
384.13,-2.61
