frequency,raw
20.00,6.39
20.20,6.45
20.40,6.50
20.61,6.56
20.81,6.61
21.02,6.66
21.23,6.72
21.44,6.77
21.66,6.83
21.87,6.88
22.09,6.94
22.31,7.01
22.54,7.07
22.76,7.13
22.99,7.20
23.22,7.26
23.45,7.32
23.69,7.37
23.92,7.42
24.16,7.47
24.40,7.52
24.65,7.58
24.89,7.63
25.14,7.69
25.39,7.75
25.65,7.81
25.91,7.86
26.16,7.92
26.43,7.98
26.69,8.03
26.96,8.08
27.23,8.13
27.50,8.17
27.77,8.22
28.05,8.27
28.33,8.32
28.62,8.37
28.90,8.42
29.19,8.46
29.48,8.51
29.78,8.56
30.08,8.61
30.38,8.66
30.68,8.70
30.99,8.75
31.30,8.79
31.61,8.84
31.93,8.88
32.24,8.93
32.57,8.97
32.89,9.02
33.22,9.06
33.55,9.10
33.89,9.14
34.23,9.17
34.57,9.21
34.92,9.25
35.27,9.29
35.62,9.32
35.97,9.36
36.33,9.39
36.70,9.42
37.06,9.45
37.43,9.48
37.81,9.51
38.19,9.54
38.57,9.57
38.95,9.59
39.34,9.62
39.74,9.64
40.14,9.67
40.54,9.69
40.94,9.71
41.35,9.73
41.76,9.75
42.18,9.77
42.60,9.79
43.03,9.80
43.46,9.82
43.90,9.83
44.33,9.84
44.78,9.85
45.23,9.86
45.68,9.87
46.13,9.88
46.60,9.89
47.06,9.89
47.53,9.89
48.01,9.89
48.49,9.89
48.97,9.89
49.46,9.89
49.96,9.89
50.46,9.88
50.96,9.88
51.47,9.87
51.99,9.86
52.51,9.85
53.03,9.84
53.56,9.82
54.10,9.81
54.64,9.79
55.18,9.78
55.74,9.76
56.29,9.74
56.86,9.72
57.42,9.70
58.00,9.68
58.58,9.65
59.16,9.63
59.76,9.60
60.35,9.57
60.96,9.54
61.57,9.51
62.18,9.48
62.80,9.44
63.43,9.41
64.07,9.38
64.71,9.34
65.35,9.30
66.01,9.26
66.67,9.22
67.33,9.18
68.01,9.14
68.69,9.10
69.37,9.05
70.07,9.00
70.77,8.96
71.48,8.91
72.19,8.86
72.91,8.81
73.64,8.76
74.38,8.70
75.12,8.65
75.87,8.59
76.63,8.54
77.40,8.48
78.17,8.42
78.95,8.36
79.74,8.30
80.54,8.24
81.35,8.18
82.16,8.12
82.98,8.05
83.81,7.99
84.65,7.92
85.50,7.85
86.35,7.78
87.22,7.71
88.09,7.63
88.97,7.56
89.86,7.48
90.76,7.41
91.66,7.33
92.58,7.25
93.51,7.17
94.44,7.09
95.39,7.01
96.34,6.92
97.30,6.84
98.28,6.75
99.26,6.66
100.25,6.57
101.25,6.47
102.27,6.38
103.29,6.28
104.32,6.18
105.37,6.07
106.42,5.97
107.48,5.87
108.56,5.76
109.64,5.65
110.74,5.54
111.85,5.42
112.97,5.30
114.10,5.18
115.24,5.06
116.39,4.94
117.55,4.81
118.73,4.68
119.92,4.55
121.12,4.42
122.33,4.28
123.55,4.14
124.79,4.00
126.03,3.86
127.29,3.71
128.57,3.56
129.85,3.41
131.15,3.26
132.46,3.11
133.79,2.96
135.12,2.81
136.48,2.66
137.84,2.52
139.22,2.37
140.61,2.23
142.02,2.09
143.44,1.95
144.87,1.81
146.32,1.68
147.78,1.56
149.26,1.44
150.75,1.33
152.26,1.23
153.78,1.14
155.32,1.05
156.88,0.98
158.44,0.91
160.03,0.86
161.63,0.82
163.24,0.78
164.88,0.76
166.53,0.75
168.19,0.75
169.87,0.75
171.57,0.77
173.29,0.79
175.02,0.81
176.77,0.85
178.54,0.88
180.32,0.93
182.13,0.97
183.95,1.02
185.79,1.07
187.65,1.13
189.52,1.18
191.42,1.23
193.33,1.28
195.27,1.33
197.22,1.38
199.19,1.43
201.18,1.48
203.19,1.53
205.23,1.58
207.28,1.62
209.35,1.66
211.44,1.70
213.56,1.73
215.69,1.76
217.85,1.80
220.03,1.83
222.23,1.85
224.45,1.88
226.70,1.90
228.96,1.92
231.25,1.94
233.57,1.95
235.90,1.96
238.26,1.97
240.64,1.97
243.05,1.98
245.48,1.98
247.93,1.98
250.41,1.98
252.92,1.98
255.45,1.97
258.00,1.97
260.58,1.96
263.19,1.95
265.82,1.94
268.48,1.93
271.16,1.91
273.87,1.89
276.61,1.88
279.38,1.86
282.17,1.84
284.99,1.82
287.84,1.80
290.72,1.77
293.63,1.75
296.57,1.72
299.53,1.70
302.53,1.67
305.55,1.64
308.61,1.61
311.69,1.58
314.81,1.56
317.96,1.53
321.14,1.50
324.35,1.46
327.59,1.43
330.87,1.40
334.18,1.37
337.52,1.34
340.90,1.31
344.30,1.27
347.75,1.24
351.23,1.21
354.74,1.17
358.28,1.14
361.87,1.11
365.49,1.07
369.14,1.04
372.83,1.01
376.56,0.97
380.33,0.94
384.13,0.90
387.97,0.87
391.85,0.83
395.77,0.80
399.73,0.77
403.72,0.73
407.76,0.70
411.84,0.66
415.96,0.63
420.12,0.59
424.32,0.56
428.56,0.52
432.85,0.49
437.18,0.46
441.55,0.42
445.96,0.39
450.42,0.35
454.93,0.32
459.48,0.29
464.07,0.25
468.71,0.22
473.40,0.19
478.13,0.15
482.91,0.12
487.74,0.09
492.62,0.06
497.55,0.03
502.52,-0.01
507.55,-0.04
512.62,-0.07
517.75,-0.10
522.93,-0.13
528.16,-0.16
533.44,-0.19
538.77,-0.22
544.16,-0.25
549.60,-0.28
555.10,-0.31
560.65,-0.33
566.25,-0.36
571.92,-0.39
577.64,-0.42
583.41,-0.44
589.25,-0.47
595.14,-0.50
601.09,-0.52
607.10,-0.54
613.17,-0.57
619.30,-0.59
625.50,-0.62
631.75,-0.64
638.07,-0.66
644.45,-0.68
650.89,-0.69
657.40,-0.71
663.98,-0.73
670.62,-0.74
677.32,-0.76
684.10,-0.77
690.94,-0.78
697.85,-0.79
704.83,-0.80
711.87,-0.81
718.99,-0.82
726.18,-0.83
733.44,-0.83
740.78,-0.84
748.19,-0.85
755.67,-0.85
763.23,-0.85
770.86,-0.85
778.57,-0.85
786.35,-0.85
794.22,-0.84
802.16,-0.84
810.18,-0.83
818.28,-0.82
826.46,-0.81
834.73,-0.79
843.08,-0.78
851.51,-0.76
860.02,-0.73
868.62,-0.71
877.31,-0.68
886.08,-0.65
894.94,-0.62
903.89,-0.58
912.93,-0.54
922.06,-0.50
931.28,-0.45
940.59,-0.40
950.00,-0.35
959.50,-0.29
969.09,-0.22
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.23
1039.00,0.32
1049.39,0.42
1059.88,0.52
1070.48,0.62
1081.19,0.72
1092.00,0.83
1102.92,0.94
1113.95,1.05
1125.09,1.16
1136.34,1.28
1147.70,1.40
1159.18,1.52
1170.77,1.64
1182.48,1.77
1194.30,1.89
1206.25,2.02
1218.31,2.14
1230.49,2.27
1242.80,2.40
1255.22,2.52
1267.78,2.65
1280.45,2.78
1293.26,2.90
1306.19,3.03
1319.25,3.15
1332.45,3.27
1345.77,3.39
1359.23,3.51
1372.82,3.63
1386.55,3.75
1400.41,3.86
1414.42,3.98
1428.56,4.09
1442.85,4.20
1457.28,4.30
1471.85,4.41
1486.57,4.51
1501.43,4.61
1516.45,4.70
1531.61,4.80
1546.93,4.89
1562.40,4.98
1578.02,5.06
1593.80,5.14
1609.74,5.22
1625.84,5.30
1642.10,5.37
1658.52,5.43
1675.10,5.50
1691.85,5.55
1708.77,5.61
1725.86,5.66
1743.12,5.71
1760.55,5.75
1778.15,5.79
1795.94,5.82
1813.90,5.85
1832.03,5.88
1850.36,5.90
1868.86,5.91
1887.55,5.92
1906.42,5.92
1925.49,5.92
1944.74,5.91
1964.19,5.90
1983.83,5.88
2003.67,5.85
2023.71,5.82
2043.94,5.78
2064.38,5.74
2085.03,5.68
2105.88,5.62
2126.94,5.56
2148.20,5.48
2169.69,5.40
2191.38,5.31
2213.30,5.22
2235.43,5.11
2257.78,5.00
2280.36,4.89
2303.17,4.76
2326.20,4.63
2349.46,4.50
2372.95,4.35
2396.68,4.21
2420.65,4.06
2444.86,3.90
2469.31,3.74
2494.00,3.58
2518.94,3.42
2544.13,3.26
2569.57,3.10
2595.27,2.95
2621.22,2.81
2647.43,2.68
2673.90,2.56
2700.64,2.46
2727.65,2.37
2754.93,2.31
2782.48,2.27
2810.30,2.25
2838.40,2.25
2866.79,2.28
2895.46,2.33
2924.41,2.40
2953.65,2.48
2983.19,2.58
3013.02,2.68
3043.15,2.79
3073.58,2.92
3104.32,3.07
3135.36,3.25
3166.72,3.43
3198.38,3.62
3230.37,3.81
3262.67,4.00
3295.30,4.18
3328.25,4.37
3361.53,4.55
3395.15,4.75
3429.10,4.98
3463.39,5.21
3498.03,5.45
3533.01,5.70
3568.34,5.94
3604.02,6.19
3640.06,6.44
3676.46,6.69
3713.22,6.94
3750.36,7.19
3787.86,7.44
3825.74,7.69
3864.00,7.94
3902.64,8.18
3941.66,8.41
3981.08,8.63
4020.89,8.83
4061.10,9.02
4101.71,9.19
4142.73,9.33
4184.15,9.46
4226.00,9.54
4268.26,9.62
4310.94,9.66
4354.05,9.67
4397.59,9.65
4441.56,9.62
4485.98,9.55
4530.84,9.46
4576.15,9.34
4621.91,9.21
4668.13,9.05
4714.81,8.87
4761.96,8.67
4809.58,8.46
4857.67,8.23
4906.25,7.99
4955.31,7.74
5004.87,7.49
5054.91,7.23
5105.46,6.98
5156.52,6.74
5208.08,6.50
5260.16,6.28
5312.77,6.06
5365.89,5.87
5419.55,5.69
5473.75,5.53
5528.49,5.37
5583.77,5.23
5639.61,5.09
5696.00,4.96
5752.96,4.84
5810.49,4.71
5868.60,4.59
5927.28,4.47
5986.56,4.34
6046.42,4.22
6106.89,4.09
6167.96,3.97
6229.64,3.85
6291.93,3.74
6354.85,3.64
6418.40,3.54
6482.58,3.45
6547.41,3.38
6612.88,3.31
6679.01,3.27
6745.80,3.23
6813.26,3.20
6881.39,3.19
6950.21,3.18
7019.71,3.18
7089.91,3.19
7160.81,3.20
7232.41,3.22
7304.74,3.23
7377.79,3.25
7451.56,3.26
7526.08,3.28
7601.34,3.31
7677.35,3.37
7754.13,3.45
7831.67,3.60
7909.98,3.78
7989.08,4.01
8068.98,4.26
8149.67,4.50
8231.16,4.73
8313.47,4.88
8396.61,4.99
8480.57,5.01
8565.38,4.95
8651.03,4.83
8737.54,4.65
8824.92,4.42
8913.17,4.14
9002.30,3.86
9092.32,3.54
9183.25,3.23
9275.08,2.92
9367.83,2.63
9461.51,2.35
9556.12,2.10
9651.68,1.88
9748.20,1.68
9845.68,1.52
9944.14,1.39
10043.58,1.30
10144.02,1.24
10245.46,1.24
10347.91,1.26
10451.39,1.33
10555.91,1.44
10661.46,1.60
10768.08,1.80
10875.76,2.07
10984.52,2.40
11094.36,2.78
11205.31,3.22
11317.36,3.77
11430.53,4.36
11544.84,5.04
11660.29,5.77
11776.89,6.51
11894.66,7.22
12013.60,7.92
12133.74,8.51
12255.08,8.90
12377.63,9.13
12501.41,9.16
12626.42,8.89
12752.68,8.43
12880.21,7.77
13009.01,7.01
13139.10,6.26
13270.49,5.45
13403.20,4.65
13537.23,3.95
13672.60,3.32
13809.33,2.76
13947.42,2.33
14086.90,2.01
14227.77,1.74
14370.04,1.54
14513.74,1.40
14658.88,1.32
14805.47,1.24
14953.52,1.16
15103.06,1.01
15254.09,0.84
15406.63,0.51
15560.70,0.12
15716.30,-0.37
15873.47,-0.92
16032.20,-1.44
16192.52,-1.83
16354.45,-2.05
16517.99,-2.16
16683.17,-2.26
16850.01,-2.53
17018.51,-2.94
17188.69,-3.61
17360.58,-4.34
17534.18,-5.10
17709.53,-5.81
17886.62,-6.43
18065.49,-6.98
18246.14,-7.46
18428.60,-7.83
18612.89,-8.15
18799.02,-8.43
18987.01,-8.70
19176.88,-9.05
19368.65,-9.52
19562.33,-10.14
19757.96,-10.93
19955.54,-11.94
