frequency,raw
20.00,2.30
20.20,2.34
20.40,2.38
20.61,2.42
20.81,2.46
21.02,2.51
21.23,2.55
21.44,2.59
21.66,2.62
21.87,2.66
22.09,2.69
22.31,2.73
22.54,2.76
22.76,2.79
22.99,2.82
23.22,2.85
23.45,2.88
23.69,2.92
23.92,2.95
24.16,2.98
24.40,3.01
24.65,3.04
24.89,3.07
25.14,3.10
25.39,3.13
25.65,3.17
25.91,3.20
26.16,3.23
26.43,3.27
26.69,3.30
26.96,3.33
27.23,3.36
27.50,3.38
27.77,3.41
28.05,3.44
28.33,3.47
28.62,3.50
28.90,3.53
29.19,3.56
29.48,3.58
29.78,3.60
30.08,3.62
30.38,3.64
30.68,3.66
30.99,3.69
31.30,3.71
31.61,3.73
31.93,3.75
32.24,3.77
32.57,3.79
32.89,3.80
33.22,3.82
33.55,3.83
33.89,3.85
34.23,3.87
34.57,3.88
34.92,3.90
35.27,3.92
35.62,3.93
35.97,3.95
36.33,3.97
36.70,3.98
37.06,4.00
37.43,4.03
37.81,4.05
38.19,4.07
38.57,4.09
38.95,4.10
39.34,4.12
39.74,4.13
40.14,4.14
40.54,4.14
40.94,4.15
41.35,4.15
41.76,4.15
42.18,4.15
42.60,4.15
43.03,4.16
43.46,4.16
43.90,4.15
44.33,4.15
44.78,4.15
45.23,4.15
45.68,4.15
46.13,4.14
46.60,4.14
47.06,4.14
47.53,4.14
48.01,4.14
48.49,4.14
48.97,4.13
49.46,4.13
49.96,4.12
50.46,4.11
50.96,4.10
51.47,4.09
51.99,4.08
52.51,4.07
53.03,4.06
53.56,4.04
54.10,4.02
54.64,4.01
55.18,3.99
55.74,3.97
56.29,3.95
56.86,3.93
57.42,3.90
58.00,3.88
58.58,3.86
59.16,3.84
59.76,3.81
60.35,3.79
60.96,3.77
61.57,3.74
62.18,3.71
62.80,3.68
63.43,3.65
64.07,3.63
64.71,3.59
65.35,3.56
66.01,3.53
66.67,3.50
67.33,3.46
68.01,3.42
68.69,3.38
69.37,3.34
70.07,3.29
70.77,3.25
71.48,3.21
72.19,3.16
72.91,3.12
73.64,3.08
74.38,3.03
75.12,2.98
75.87,2.93
76.63,2.88
77.40,2.83
78.17,2.77
78.95,2.72
79.74,2.66
80.54,2.60
81.35,2.54
82.16,2.48
82.98,2.42
83.81,2.35
84.65,2.29
85.50,2.22
86.35,2.15
87.22,2.07
88.09,2.00
88.97,1.92
89.86,1.84
90.76,1.76
91.66,1.68
92.58,1.60
93.51,1.51
94.44,1.42
95.39,1.33
96.34,1.23
97.30,1.14
98.28,1.04
99.26,0.94
100.25,0.84
101.25,0.74
102.27,0.63
103.29,0.52
104.32,0.41
105.37,0.28
106.42,0.16
107.48,0.03
108.56,-0.10
109.64,-0.24
110.74,-0.37
111.85,-0.51
112.97,-0.66
114.10,-0.80
115.24,-0.96
116.39,-1.11
117.55,-1.27
118.73,-1.44
119.92,-1.61
121.12,-1.78
122.33,-1.95
123.55,-2.13
124.79,-2.31
126.03,-2.50
127.29,-2.69
128.57,-2.88
129.85,-3.08
131.15,-3.28
132.46,-3.48
133.79,-3.69
135.12,-3.90
136.48,-4.10
137.84,-4.31
139.22,-4.51
140.61,-4.71
142.02,-4.91
143.44,-5.11
144.87,-5.30
146.32,-5.48
147.78,-5.66
149.26,-5.82
150.75,-5.98
152.26,-6.12
153.78,-6.25
155.32,-6.36
156.88,-6.45
158.44,-6.52
160.03,-6.59
161.63,-6.63
163.24,-6.65
164.88,-6.67
166.53,-6.65
168.19,-6.63
169.87,-6.59
171.57,-6.54
173.29,-6.48
