frequency,raw
20.00,6.89
20.20,6.89
20.40,6.89
20.61,6.90
20.81,6.90
21.02,6.90
21.23,6.90
21.44,6.91
21.66,6.91
21.87,6.91
22.09,6.91
22.31,6.91
22.54,6.91
22.76,6.91
22.99,6.91
23.22,6.91
23.45,6.91
23.69,6.91
23.92,6.91
24.16,6.91
24.40,6.90
24.65,6.90
24.89,6.90
25.14,6.90
25.39,6.89
25.65,6.89
25.91,6.89
26.16,6.88
26.43,6.88
26.69,6.88
26.96,6.88
27.23,6.87
27.50,6.87
27.77,6.87
28.05,6.86
28.33,6.85
28.62,6.85
28.90,6.84
29.19,6.83
29.48,6.82
29.78,6.81
30.08,6.80
30.38,6.79
30.68,6.78
30.99,6.77
31.30,6.76
31.61,6.75
31.93,6.74
32.24,6.73
32.57,6.72
32.89,6.71
33.22,6.70
33.55,6.69
33.89,6.68
34.23,6.67
34.57,6.65
34.92,6.64
35.27,6.63
35.62,6.62
35.97,6.61
36.33,6.60
36.70,6.58
37.06,6.57
37.43,6.56
37.81,6.54
38.19,6.53
38.57,6.51
38.95,6.50
39.34,6.48
39.74,6.47
40.14,6.45
40.54,6.43
40.94,6.42
41.35,6.40
41.76,6.39
42.18,6.37
42.60,6.36
43.03,6.34
43.46,6.33
43.90,6.31
44.33,6.29
44.78,6.27
45.23,6.25
45.68,6.22
46.13,6.20
46.60,6.17
47.06,6.15
47.53,6.12
48.01,6.10
48.49,6.08
48.97,6.06
49.46,6.03
49.96,6.01
50.46,5.99
50.96,5.96
51.47,5.94
51.99,5.92
52.51,5.90
53.03,5.87
53.56,5.85
54.10,5.83
54.64,5.81
55.18,5.78
55.74,5.76
56.29,5.73
56.86,5.70
57.42,5.67
58.00,5.65
58.58,5.62
59.16,5.59
59.76,5.56
60.35,5.54
60.96,5.51
61.57,5.48
62.18,5.46
62.80,5.43
63.43,5.41
64.07,5.38
64.71,5.35
65.35,5.32
66.01,5.29
66.67,5.26
67.33,5.23
68.01,5.20
68.69,5.16
69.37,5.13
70.07,5.10
70.77,5.06
71.48,5.03
72.19,4.99
72.91,4.96
73.64,4.93
74.38,4.90
75.12,4.86
75.87,4.83
76.63,4.80
77.40,4.76
78.17,4.73
78.95,4.70
79.74,4.66
80.54,4.63
81.35,4.59
82.16,4.55
82.98,4.52
83.81,4.48
84.65,4.44
85.50,4.41
86.35,4.37
87.22,4.33
88.09,4.30
88.97,4.26
89.86,4.23
90.76,4.19
91.66,4.16
92.58,4.12
93.51,4.09
94.44,4.05
95.39,4.01
96.34,3.97
97.30,3.93
98.28,3.88
99.26,3.84
100.25,3.80
101.25,3.76
102.27,3.72
103.29,3.68
104.32,3.64
105.37,3.60
106.42,3.56
107.48,3.52
108.56,3.48
109.64,3.44
110.74,3.40
111.85,3.36
112.97,3.32
114.10,3.28
115.24,3.24
116.39,3.19
117.55,3.15
118.73,3.11
119.92,3.07
121.12,3.03
122.33,2.99
123.55,2.94
124.79,2.90
126.03,2.85
127.29,2.81
128.57,2.76
129.85,2.72
131.15,2.67
132.46,2.63
133.79,2.59
135.12,2.54
136.48,2.50
137.84,2.46
139.22,2.42
140.61,2.38
142.02,2.34
143.44,2.30
144.87,2.26
146.32,2.21
147.78,2.17
149.26,2.12
150.75,2.08
152.26,2.03
153.78,1.99
155.32,1.95
156.88,1.91
158.44,1.87
160.03,1.83
161.63,1.79
163.24,1.75
164.88,1.71
166.53,1.66
168.19,1.62
169.87,1.58
171.57,1.53
173.29,1.49
175.02,1.45
176.77,1.41
178.54,1.37
180.32,1.33
182.13,1.30
183.95,1.26
185.79,1.22
187.65,1.18
189.52,1.14
191.42,1.10
193.33,1.06
195.27,1.01
197.22,0.96
199.19,0.92
201.18,0.88
203.19,0.83
205.23,0.79
207.28,0.75
209.35,0.72
211.44,0.68
213.56,0.65
215.69,0.62
217.85,0.58
220.03,0.55
222.23,0.51
224.45,0.47
226.70,0.43
228.96,0.39
231.25,0.34
233.57,0.30
235.90,0.25
238.26,0.21
240.64,0.17
243.05,0.12
245.48,0.08
247.93,0.04
250.41,0.01
252.92,-0.03
255.45,-0.07
258.00,-0.10
260.58,-0.14
263.19,-0.17
265.82,-0.20
268.48,-0.23
271.16,-0.27
273.87,-0.30
276.61,-0.34
279.38,-0.38
282.17,-0.41
284.99,-0.45
287.84,-0.48
290.72,-0.51
293.63,-0.54
296.57,-0.56
299.53,-0.59
302.53,-0.61
305.55,-0.63
308.61,-0.65
311.69,-0.66
314.81,-0.67
317.96,-0.69
321.14,-0.70
324.35,-0.72
327.59,-0.74
330.87,-0.76
334.18,-0.80
337.52,-0.84
340.90,-0.88
344.30,-0.93
347.75,-0.98
351.23,-1.02
354.74,-1.07
358.28,-1.11
361.87,-1.15
365.49,-1.18
369.14,-1.21
372.83,-1.23
376.56,-1.24
380.33,-1.25
384.13,-1.26
387.97,-1.26
391.85,-1.26
395.77,-1.27
399.73,-1.28
403.72,-1.30
407.76,-1.33
411.84,-1.36
415.96,-1.41
420.12,-1.45
424.32,-1.49
428.56,-1.53
432.85,-1.56
437.18,-1.59
441.55,-1.59
445.96,-1.60
450.42,-1.59
454.93,-1.59
459.48,-1.59
464.07,-1.59
468.71,-1.59
473.40,-1.61
478.13,-1.63
482.91,-1.65
487.74,-1.68
492.62,-1.71
497.55,-1.74
502.52,-1.76
507.55,-1.78
512.62,-1.80
517.75,-1.81
522.93,-1.82
528.16,-1.82
533.44,-1.82
538.77,-1.82
544.16,-1.82
549.60,-1.82
555.10,-1.83
560.65,-1.84
566.25,-1.85
571.92,-1.86
577.64,-1.87
583.41,-1.88
589.25,-1.89
595.14,-1.89
601.09,-1.88
607.10,-1.87
613.17,-1.86
619.30,-1.86
625.50,-1.85
631.75,-1.85
638.07,-1.85
644.45,-1.85
650.89,-1.85
657.40,-1.86
663.98,-1.86
670.62,-1.86
677.32,-1.86
684.10,-1.85
690.94,-1.84
697.85,-1.83
704.83,-1.82
711.87,-1.80
718.99,-1.77
726.18,-1.74
733.44,-1.71
740.78,-1.68
748.19,-1.65
755.67,-1.62
763.23,-1.60
770.86,-1.58
778.57,-1.56
786.35,-1.54
794.22,-1.52
802.16,-1.50
810.18,-1.47
818.28,-1.43
826.46,-1.39
834.73,-1.34
843.08,-1.29
851.51,-1.24
860.02,-1.18
868.62,-1.11
877.31,-1.05
886.08,-0.98
894.94,-0.91
903.89,-0.85
912.93,-0.78
922.06,-0.72
931.28,-0.65
940.59,-0.57
950.00,-0.49
959.50,-0.40
969.09,-0.30
978.78,-0.20
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.24
1039.00,0.33
1049.39,0.42
1059.88,0.52
1070.48,0.62
1081.19,0.72
1092.00,0.83
1102.92,0.95
1113.95,1.07
1125.09,1.20
1136.34,1.33
1147.70,1.46
1159.18,1.60
1170.77,1.74
1182.48,1.88
1194.30,2.01
1206.25,2.14
1218.31,2.27
1230.49,2.40
1242.80,2.52
1255.22,2.63
1267.78,2.75
1280.45,2.86
1293.26,2.97
1306.19,3.08
1319.25,3.19
1332.45,3.31
1345.77,3.44
1359.23,3.57
1372.82,3.71
1386.55,3.85
1400.41,4.00
1414.42,4.15
1428.56,4.30
1442.85,4.46
1457.28,4.61
1471.85,4.76
1486.57,4.91
1501.43,5.06
1516.45,5.20
1531.61,5.34
1546.93,5.48
1562.40,5.62
1578.02,5.76
1593.80,5.91
1609.74,6.07
1625.84,6.24
1642.10,6.43
1658.52,6.62
1675.10,6.83
1691.85,7.04
1708.77,7.25
1725.86,7.46
1743.12,7.67
1760.55,7.88
1778.15,8.09
1795.94,8.29
1813.90,8.50
1832.03,8.71
1850.36,8.92
1868.86,9.13
1887.55,9.35
1906.42,9.57
1925.49,9.80
1944.74,10.02
1964.19,10.24
1983.83,10.46
2003.67,10.68
2023.71,10.88
2043.94,11.07
2064.38,11.26
2085.03,11.43
2105.88,11.58
2126.94,11.73
2148.20,11.86
2169.69,11.97
2191.38,12.07
2213.30,12.13
2235.43,12.18
2257.78,12.19
2280.36,12.19
2303.17,12.16
2326.20,12.11
2349.46,12.03
2372.95,11.95
2396.68,11.86
2420.65,11.76
2444.86,11.66
2469.31,11.55
2494.00,11.44
2518.94,11.33
2544.13,11.22
2569.57,11.10
2595.27,10.96
2621.22,10.82
2647.43,10.67
2673.90,10.50
2700.64,10.33
2727.65,10.16
2754.93,9.99
2782.48,9.83
2810.30,9.68
2838.40,9.55
2866.79,9.44
2895.46,9.34
2924.41,9.26
2953.65,9.19
2983.19,9.14
3013.02,9.09
3043.15,9.06
3073.58,9.04
3104.32,9.03
3135.36,9.02
3166.72,9.02
3198.38,9.02
3230.37,9.02
3262.67,9.03
3295.30,9.04
3328.25,9.06
3361.53,9.09
3395.15,9.12
3429.10,9.18
3463.39,9.24
3498.03,9.33
3533.01,9.43
3568.34,9.56
3604.02,9.69
3640.06,9.84
3676.46,10.00
3713.22,10.15
3750.36,10.29
3787.86,10.42
3825.74,10.55
3864.00,10.65
3902.64,10.74
3941.66,10.83
3981.08,10.90
4020.89,10.96
4061.10,11.02
4101.71,11.04
4142.73,11.04
4184.15,11.02
4226.00,10.94
4268.26,10.83
4310.94,10.69
4354.05,10.48
4397.59,10.23
4441.56,9.95
4485.98,9.62
4530.84,9.26
4576.15,8.87
4621.91,8.47
4668.13,8.04
4714.81,7.60
4761.96,7.16
4809.58,6.71
4857.67,6.27
4906.25,5.83
4955.31,5.40
5004.87,4.98
5054.91,4.56
5105.46,4.16
5156.52,3.76
5208.08,3.37
5260.16,3.00
5312.77,2.64
5365.89,2.29
5419.55,1.96
5473.75,1.64
5528.49,1.34
5583.77,1.06
5639.61,0.80
5696.00,0.55
5752.96,0.33
5810.49,0.12
5868.60,-0.08
5927.28,-0.26
5986.56,-0.42
6046.42,-0.57
6106.89,-0.70
6167.96,-0.82
6229.64,-0.92
6291.93,-1.00
6354.85,-1.05
6418.40,-1.10
6482.58,-1.11
6547.41,-1.10
6612.88,-1.07
6679.01,-1.00
6745.80,-0.90
6813.26,-0.77
6881.39,-0.61
6950.21,-0.40
7019.71,-0.17
7089.91,0.11
7160.81,0.44
7232.41,0.81
7304.74,1.23
7377.79,1.72
7451.56,2.26
7526.08,2.86
7601.34,3.51
7677.35,4.21
7754.13,4.93
7831.67,5.66
7909.98,6.36
7989.08,7.01
8068.98,7.49
8149.67,7.84
8231.16,8.01
8313.47,7.92
8396.61,7.69
8480.57,7.22
8565.38,6.59
8651.03,5.87
8737.54,5.09
8824.92,4.28
8913.17,3.51
9002.30,2.76
9092.32,2.10
9183.25,1.52
9275.08,1.00
9367.83,0.57
9461.51,0.23
9556.12,-0.02
9651.68,-0.20
9748.20,-0.31
9845.68,-0.31
9944.14,-0.23
10043.58,-0.06
10144.02,0.17
10245.46,0.54
10347.91,0.98
10451.39,1.49
10555.91,2.11
10661.46,2.77
10768.08,3.46
10875.76,4.16
10984.52,4.79
11094.36,5.34
11205.31,5.75
11317.36,5.87
11430.53,5.83
11544.84,5.39
11660.29,4.66
11776.89,3.72
11894.66,2.26
12013.60,0.71
12133.74,-1.04
12255.08,-2.98
12377.63,-4.99
12501.41,-6.99
12626.42,-8.91
12752.68,-10.66
12880.21,-12.08
13009.01,-13.32
13139.10,-14.57
13270.49,-15.35
13403.20,-16.00
13537.23,-16.40
13672.60,-16.72
13809.33,-16.95
13947.42,-17.07
14086.90,-17.13
14227.77,-17.15
14370.04,-17.12
14513.74,-17.05
14658.88,-16.90
14805.47,-16.67
14953.52,-16.31
15103.06,-15.72
15254.09,-15.01
15406.63,-14.08
15560.70,-13.13
15716.30,-12.17
15873.47,-11.35
16032.20,-10.63
16192.52,-10.18
16354.45,-10.01
16517.99,-10.02
16683.17,-10.38
16850.01,-10.87
17018.51,-11.46
17188.69,-12.08
17360.58,-12.61
17534.18,-13.04
17709.53,-13.27
17886.62,-13.26
18065.49,-13.11
18246.14,-12.82
18428.60,-12.47
18612.89,-12.21
18799.02,-12.11
18987.01,-12.25
19176.88,-12.80
19368.65,-13.66
19562.33,-14.80
19757.96,-16.18
19955.54,-17.79
