frequency,raw
20.00,8.91
20.20,8.91
20.40,8.91
20.61,8.91
20.81,8.91
21.02,8.90
21.23,8.90
21.44,8.90
21.66,8.90
21.87,8.90
22.09,8.89
22.31,8.89
22.54,8.88
22.76,8.88
22.99,8.87
23.22,8.87
23.45,8.86
23.69,8.86
23.92,8.85
24.16,8.84
24.40,8.84
24.65,8.83
24.89,8.82
25.14,8.82
25.39,8.81
25.65,8.80
25.91,8.79
26.16,8.78
26.43,8.77
26.69,8.76
26.96,8.75
27.23,8.74
27.50,8.73
27.77,8.72
28.05,8.71
28.33,8.70
28.62,8.68
28.90,8.67
29.19,8.66
29.48,8.64
29.78,8.63
30.08,8.61
30.38,8.60
30.68,8.58
30.99,8.57
31.30,8.55
31.61,8.54
31.93,8.52
32.24,8.50
32.57,8.49
32.89,8.47
33.22,8.45
33.55,8.43
33.89,8.42
34.23,8.40
34.57,8.38
34.92,8.36
35.27,8.34
35.62,8.32
35.97,8.30
36.33,8.27
36.70,8.25
37.06,8.23
37.43,8.21
37.81,8.18
38.19,8.16
38.57,8.14
38.95,8.12
39.34,8.10
39.74,8.07
40.14,8.05
40.54,8.02
40.94,8.00
41.35,7.97
41.76,7.94
42.18,7.91
42.60,7.88
43.03,7.86
43.46,7.83
43.90,7.80
44.33,7.77
44.78,7.74
45.23,7.71
45.68,7.68
46.13,7.65
46.60,7.62
47.06,7.58
47.53,7.55
48.01,7.52
48.49,7.49
48.97,7.45
49.46,7.42
49.96,7.39
50.46,7.35
50.96,7.32
51.47,7.28
51.99,7.25
52.51,7.21
53.03,7.17
53.56,7.14
54.10,7.10
54.64,7.06
55.18,7.02
55.74,6.98
56.29,6.94
56.86,6.91
57.42,6.87
58.00,6.83
58.58,6.78
59.16,6.74
59.76,6.70
60.35,6.66
60.96,6.61
61.57,6.57
62.18,6.53
62.80,6.48
63.43,6.44
64.07,6.39
64.71,6.35
65.35,6.30
66.01,6.25
66.67,6.21
67.33,6.16
68.01,6.11
68.69,6.06
69.37,6.02
70.07,5.97
70.77,5.92
71.48,5.87
72.19,5.82
72.91,5.77
73.64,5.72
74.38,5.67
75.12,5.61
75.87,5.56
76.63,5.51
77.40,5.46
78.17,5.40
78.95,5.35
79.74,5.30
80.54,5.24
81.35,5.19
82.16,5.13
82.98,5.08
83.81,5.02
84.65,4.97
85.50,4.91
86.35,4.85
87.22,4.80
88.09,4.74
88.97,4.69
89.86,4.63
90.76,4.57
91.66,4.52
92.58,4.46
93.51,4.40
94.44,4.34
95.39,4.28
96.34,4.22
97.30,4.17
98.28,4.11
99.26,4.05
100.25,3.99
101.25,3.93
102.27,3.87
103.29,3.81
104.32,3.75
105.37,3.69
106.42,3.63
107.48,3.58
108.56,3.52
109.64,3.46
110.74,3.40
111.85,3.34
112.97,3.28
114.10,3.23
115.24,3.17
116.39,3.11
117.55,3.05
118.73,2.99
119.92,2.94
121.12,2.88
122.33,2.82
123.55,2.77
124.79,2.71
126.03,2.66
127.29,2.60
128.57,2.55
129.85,2.49
131.15,2.44
132.46,2.38
133.79,2.33
135.12,2.28
136.48,2.23
137.84,2.18
139.22,2.13
140.61,2.08
142.02,2.03
143.44,1.98
144.87,1.93
146.32,1.88
147.78,1.83
149.26,1.79
150.75,1.74
152.26,1.70
153.78,1.65
155.32,1.61
156.88,1.57
158.44,1.53
160.03,1.49
161.63,1.45
163.24,1.41
164.88,1.37
166.53,1.33
168.19,1.29
169.87,1.26
171.57,1.22
173.29,1.19
175.02,1.15
176.77,1.12
178.54,1.09
180.32,1.05
182.13,1.02
183.95,0.99
185.79,0.97
187.65,0.94
189.52,0.91
191.42,0.88
193.33,0.86
195.27,0.83
197.22,0.81
199.19,0.79
201.18,0.77
203.19,0.75
205.23,0.73
207.28,0.71
209.35,0.69
211.44,0.67
213.56,0.65
215.69,0.63
217.85,0.62
220.03,0.60
222.23,0.59
224.45,0.57
226.70,0.56
228.96,0.55
231.25,0.53
233.57,0.52
235.90,0.51
238.26,0.50
240.64,0.49
243.05,0.48
245.48,0.47
247.93,0.47
250.41,0.46
252.92,0.45
255.45,0.44
258.00,0.44
260.58,0.43
263.19,0.43
265.82,0.42
268.48,0.42
271.16,0.41
273.87,0.41
276.61,0.40
279.38,0.40
282.17,0.40
284.99,0.39
287.84,0.39
290.72,0.39
293.63,0.39
296.57,0.39
299.53,0.39
302.53,0.38
305.55,0.38
308.61,0.38
311.69,0.38
314.81,0.38
317.96,0.38
321.14,0.38
324.35,0.38
327.59,0.38
330.87,0.38
334.18,0.38
337.52,0.38
340.90,0.38
344.30,0.38
347.75,0.38
351.23,0.38
354.74,0.39
358.28,0.39
361.87,0.39
365.49,0.39
369.14,0.39
372.83,0.39
376.56,0.39
380.33,0.39
384.13,0.39
387.97,0.39
391.85,0.39
395.77,0.39
399.73,0.39
403.72,0.39
407.76,0.39
411.84,0.39
415.96,0.39
420.12,0.39
424.32,0.40
428.56,0.40
432.85,0.39
437.18,0.39
441.55,0.39
445.96,0.39
450.42,0.39
454.93,0.39
459.48,0.39
464.07,0.39
468.71,0.39
473.40,0.39
478.13,0.39
482.91,0.39
487.74,0.39
492.62,0.39
497.55,0.39
502.52,0.39
507.55,0.38
512.62,0.38
517.75,0.38
522.93,0.38
528.16,0.38
533.44,0.37
538.77,0.37
544.16,0.37
549.60,0.37
555.10,0.36
560.65,0.36
566.25,0.36
571.92,0.36
577.64,0.35
583.41,0.35
589.25,0.35
595.14,0.34
601.09,0.34
607.10,0.33
613.17,0.33
619.30,0.32
625.50,0.32
631.75,0.31
638.07,0.31
644.45,0.30
650.89,0.30
657.40,0.29
663.98,0.28
670.62,0.27
677.32,0.26
684.10,0.26
690.94,0.25
697.85,0.23
704.83,0.22
711.87,0.21
718.99,0.19
726.18,0.18
733.44,0.16
740.78,0.14
748.19,0.12
755.67,0.10
763.23,0.08
770.86,0.05
778.57,0.03
786.35,0.01
794.22,-0.02
802.16,-0.04
810.18,-0.07
818.28,-0.09
826.46,-0.12
834.73,-0.14
843.08,-0.16
851.51,-0.18
860.02,-0.20
868.62,-0.21
877.31,-0.23
886.08,-0.24
894.94,-0.24
903.89,-0.24
912.93,-0.24
922.06,-0.23
931.28,-0.22
940.59,-0.21
950.00,-0.19
959.50,-0.16
969.09,-0.13
978.78,-0.09
988.57,-0.05
998.46,-0.01
1008.44,0.04
1018.53,0.10
1028.71,0.16
1039.00,0.22
1049.39,0.29
1059.88,0.36
1070.48,0.43
1081.19,0.51
1092.00,0.59
1102.92,0.67
1113.95,0.76
1125.09,0.85
1136.34,0.93
1147.70,1.02
1159.18,1.11
1170.77,1.20
1182.48,1.29
1194.30,1.38
1206.25,1.47
1218.31,1.56
1230.49,1.64
1242.80,1.73
1255.22,1.81
1267.78,1.90
1280.45,1.98
1293.26,2.06
1306.19,2.14
1319.25,2.22
1332.45,2.29
1345.77,2.37
1359.23,2.44
1372.82,2.51
1386.55,2.59
1400.41,2.66
1414.42,2.73
1428.56,2.80
1442.85,2.86
1457.28,2.93
1471.85,3.00
1486.57,3.07
1501.43,3.13
1516.45,3.20
1531.61,3.27
1546.93,3.34
1562.40,3.41
1578.02,3.47
1593.80,3.54
1609.74,3.62
1625.84,3.69
1642.10,3.76
1658.52,3.83
1675.10,3.91
1691.85,3.98
1708.77,4.06
1725.86,4.14
1743.12,4.22
1760.55,4.30
1778.15,4.38
1795.94,4.47
1813.90,4.56
1832.03,4.64
1850.36,4.73
1868.86,4.82
1887.55,4.92
1906.42,5.01
1925.49,5.11
1944.74,5.20
1964.19,5.30
1983.83,5.40
2003.67,5.50
2023.71,5.60
2043.94,5.71
2064.38,5.81
2085.03,5.92
2105.88,6.02
2126.94,6.13
2148.20,6.24
2169.69,6.34
2191.38,6.45
2213.30,6.56
2235.43,6.66
2257.78,6.77
2280.36,6.87
2303.17,6.97
2326.20,7.08
2349.46,7.17
2372.95,7.27
2396.68,7.36
2420.65,7.46
2444.86,7.54
2469.31,7.63
2494.00,7.71
2518.94,7.78
2544.13,7.85
2569.57,7.92
2595.27,7.98
2621.22,8.04
2647.43,8.09
2673.90,8.13
2700.64,8.18
2727.65,8.21
2754.93,8.24
2782.48,8.26
2810.30,8.28
2838.40,8.29
2866.79,8.29
2895.46,8.29
2924.41,8.29
2953.65,8.28
2983.19,8.27
3013.02,8.25
3043.15,8.23
3073.58,8.21
3104.32,8.19
3135.36,8.16
3166.72,8.13
3198.38,8.10
3230.37,8.07
3262.67,8.05
3295.30,8.02
3328.25,8.00
3361.53,7.98
3395.15,7.96
3429.10,7.94
3463.39,7.93
3498.03,7.92
3533.01,7.92
3568.34,7.92
3604.02,7.93
3640.06,7.94
3676.46,7.96
3713.22,7.98
3750.36,8.01
3787.86,8.04
3825.74,8.07
3864.00,8.10
3902.64,8.13
3941.66,8.16
3981.08,8.17
4020.89,8.18
4061.10,8.18
4101.71,8.16
4142.73,8.13
4184.15,8.08
4226.00,8.02
4268.26,7.94
4310.94,7.86
4354.05,7.76
4397.59,7.65
4441.56,7.54
4485.98,7.41
4530.84,7.28
4576.15,7.13
4621.91,6.98
4668.13,6.81
4714.81,6.61
4761.96,6.41
4809.58,6.18
4857.67,5.94
4906.25,5.67
4955.31,5.39
5004.87,5.09
5054.91,4.77
5105.46,4.45
5156.52,4.11
5208.08,3.77
5260.16,3.42
5312.77,3.07
5365.89,2.74
5419.55,2.41
5473.75,2.10
5528.49,1.81
5583.77,1.55
5639.61,1.32
5696.00,1.11
5752.96,0.95
5810.49,0.80
5868.60,0.69
5927.28,0.61
5986.56,0.56
6046.42,0.52
6106.89,0.51
6167.96,0.51
6229.64,0.52
6291.93,0.54
6354.85,0.57
6418.40,0.61
6482.58,0.65
6547.41,0.69
6612.88,0.73
6679.01,0.77
6745.80,0.81
6813.26,0.84
6881.39,0.87
6950.21,0.90
7019.71,0.94
7089.91,0.98
7160.81,1.04
7232.41,1.10
7304.74,1.18
7377.79,1.26
7451.56,1.34
7526.08,1.42
7601.34,1.51
7677.35,1.59
7754.13,1.67
7831.67,1.75
7909.98,1.83
7989.08,1.90
8068.98,1.96
8149.67,2.01
8231.16,2.05
8313.47,2.08
8396.61,2.10
8480.57,2.10
8565.38,2.10
8651.03,2.09
8737.54,2.07
8824.92,2.05
8913.17,2.04
9002.30,2.02
9092.32,2.03
9183.25,2.04
9275.08,2.08
9367.83,2.13
9461.51,2.21
9556.12,2.30
9651.68,2.41
9748.20,2.53
9845.68,2.65
9944.14,2.76
10043.58,2.85
10144.02,2.93
10245.46,2.97
10347.91,2.99
10451.39,2.99
10555.91,2.95
10661.46,2.89
10768.08,2.82
10875.76,2.72
10984.52,2.61
11094.36,2.50
11205.31,2.39
11317.36,2.29
11430.53,2.20
11544.84,2.12
11660.29,2.05
11776.89,1.97
11894.66,1.87
12013.60,1.75
12133.74,1.58
12255.08,1.33
12377.63,1.01
12501.41,0.62
12626.42,0.14
12752.68,-0.40
12880.21,-0.92
13009.01,-1.42
13139.10,-1.92
13270.49,-2.21
13403.20,-2.40
13537.23,-2.34
13672.60,-2.17
13809.33,-1.89
13947.42,-1.53
14086.90,-1.21
14227.77,-0.92
14370.04,-0.73
14513.74,-0.66
14658.88,-0.78
14805.47,-0.98
14953.52,-1.29
15103.06,-1.69
15254.09,-2.12
15406.63,-2.64
15560.70,-3.19
15716.30,-3.78
15873.47,-4.43
16032.20,-5.09
16192.52,-5.76
16354.45,-6.43
16517.99,-7.08
16683.17,-7.69
16850.01,-8.26
17018.51,-8.79
17188.69,-9.20
17360.58,-9.51
17534.18,-9.75
17709.53,-9.88
17886.62,-9.94
18065.49,-9.95
18246.14,-9.89
18428.60,-9.74
18612.89,-9.54
18799.02,-9.32
18987.01,-9.09
19176.88,-8.96
19368.65,-8.96
19562.33,-9.13
19757.96,-9.48
19955.54,-10.11
