frequency,raw
20.00,6.36
20.20,6.39
20.40,6.43
20.61,6.46
20.81,6.50
21.02,6.53
21.23,6.56
21.44,6.60
21.66,6.63
21.87,6.66
22.09,6.69
22.31,6.72
22.54,6.75
22.76,6.78
22.99,6.81
23.22,6.84
23.45,6.87
23.69,6.89
23.92,6.92
24.16,6.95
24.40,6.97
24.65,7.00
24.89,7.02
25.14,7.05
25.39,7.07
25.65,7.10
25.91,7.12
26.16,7.14
26.43,7.16
26.69,7.18
26.96,7.20
27.23,7.22
27.50,7.24
27.77,7.26
28.05,7.28
28.33,7.30
28.62,7.32
28.90,7.34
29.19,7.36
29.48,7.37
29.78,7.39
30.08,7.41
30.38,7.42
30.68,7.44
30.99,7.45
31.30,7.47
31.61,7.48
31.93,7.49
32.24,7.51
32.57,7.52
32.89,7.53
33.22,7.54
33.55,7.55
33.89,7.57
34.23,7.58
34.57,7.59
34.92,7.60
35.27,7.61
35.62,7.61
35.97,7.62
36.33,7.63
36.70,7.64
37.06,7.65
37.43,7.65
37.81,7.66
38.19,7.66
38.57,7.67
38.95,7.67
39.34,7.68
39.74,7.68
40.14,7.69
40.54,7.69
40.94,7.70
41.35,7.70
41.76,7.70
42.18,7.70
42.60,7.71
43.03,7.71
43.46,7.71
43.90,7.71
44.33,7.71
44.78,7.71
45.23,7.71
45.68,7.71
46.13,7.71
46.60,7.71
47.06,7.71
47.53,7.71
48.01,7.70
48.49,7.70
48.97,7.70
49.46,7.70
49.96,7.69
50.46,7.69
50.96,7.68
51.47,7.68
51.99,7.67
52.51,7.67
53.03,7.66
53.56,7.66
54.10,7.65
54.64,7.64
55.18,7.64
55.74,7.63
56.29,7.62
56.86,7.61
57.42,7.61
58.00,7.60
58.58,7.59
59.16,7.58
59.76,7.57
60.35,7.56
60.96,7.55
61.57,7.54
62.18,7.53
62.80,7.52
63.43,7.51
64.07,7.50
64.71,7.49
65.35,7.47
66.01,7.46
66.67,7.45
67.33,7.44
68.01,7.42
68.69,7.41
69.37,7.40
70.07,7.38
70.77,7.37
71.48,7.35
72.19,7.34
72.91,7.32
73.64,7.31
74.38,7.29
75.12,7.28
75.87,7.26
76.63,7.24
77.40,7.23
78.17,7.21
78.95,7.19
79.74,7.18
80.54,7.16
81.35,7.14
82.16,7.12
82.98,7.10
83.81,7.08
84.65,7.07
85.50,7.05
86.35,7.03
87.22,7.01
88.09,6.99
88.97,6.97
89.86,6.95
