frequency,raw
20.00,3.75
20.20,3.77
20.40,3.80
20.61,3.82
20.81,3.84
21.02,3.86
21.23,3.88
21.44,3.90
21.66,3.92
21.87,3.94
22.09,3.95
22.31,3.97
22.54,3.99
22.76,4.01
22.99,4.03
23.22,4.04
23.45,4.06
23.69,4.07
23.92,4.09
24.16,4.10
24.40,4.11
24.65,4.13
24.89,4.14
25.14,4.15
25.39,4.16
25.65,4.17
25.91,4.18
26.16,4.19
26.43,4.20
26.69,4.21
26.96,4.22
27.23,4.23
27.50,4.23
27.77,4.24
28.05,4.24
28.33,4.25
28.62,4.25
28.90,4.25
29.19,4.26
29.48,4.26
29.78,4.26
30.08,4.26
30.38,4.26
30.68,4.26
30.99,4.26
31.30,4.26
31.61,4.26
31.93,4.25
32.24,4.25
32.57,4.25
32.89,4.24
33.22,4.24
33.55,4.23
33.89,4.23
34.23,4.23
34.57,4.22
34.92,4.22
35.27,4.21
35.62,4.21
35.97,4.20
36.33,4.19
36.70,4.19
37.06,4.18
37.43,4.17
37.81,4.16
38.19,4.15
38.57,4.14
38.95,4.14
39.34,4.13
39.74,4.12
40.14,4.11
40.54,4.09
40.94,4.08
41.35,4.07
41.76,4.06
42.18,4.05
42.60,4.04
43.03,4.02
43.46,4.01
43.90,4.00
44.33,3.99
44.78,3.97
45.23,3.96
45.68,3.95
46.13,3.93
46.60,3.92
47.06,3.90
47.53,3.89
48.01,3.87
48.49,3.86
48.97,3.84
49.46,3.83
49.96,3.81
50.46,3.79
50.96,3.77
51.47,3.75
51.99,3.74
52.51,3.72
53.03,3.70
53.56,3.68
54.10,3.66
54.64,3.64
55.18,3.63
55.74,3.61
56.29,3.59
56.86,3.57
57.42,3.55
58.00,3.53
58.58,3.51
59.16,3.49
59.76,3.47
60.35,3.45
60.96,3.43
61.57,3.40
62.18,3.38
62.80,3.36
63.43,3.34
64.07,3.31
64.71,3.29
65.35,3.27
66.01,3.25
66.67,3.22
67.33,3.20
68.01,3.17
68.69,3.15
69.37,3.13
70.07,3.10
70.77,3.08
71.48,3.05
72.19,3.02
72.91,3.00
73.64,2.97
74.38,2.95
75.12,2.92
75.87,2.90
76.63,2.87
