frequency,raw
20.00,10.06
20.20,10.09
20.40,10.13
20.61,10.17
20.81,10.23
21.02,10.29
21.23,10.34
21.44,10.40
21.66,10.45
21.87,10.50
22.09,10.54
22.31,10.58
22.54,10.62
22.76,10.66
22.99,10.69
23.22,10.73
23.45,10.77
23.69,10.81
23.92,10.84
24.16,10.87
24.40,10.90
24.65,10.93
24.89,10.95
25.14,10.98
25.39,11.00
25.65,11.03
25.91,11.06
26.16,11.09
26.43,11.12
26.69,11.15
26.96,11.19
27.23,11.22
27.50,11.25
27.77,11.28
28.05,11.30
28.33,11.33
28.62,11.36
28.90,11.38
29.19,11.40
29.48,11.43
29.78,11.45
30.08,11.47
30.38,11.49
30.68,11.51
30.99,11.53
31.30,11.55
31.61,11.56
31.93,11.57
32.24,11.59
32.57,11.60
32.89,11.61
33.22,11.62
33.55,11.63
33.89,11.64
34.23,11.65
34.57,11.65
34.92,11.66
35.27,11.66
35.62,11.66
35.97,11.66
36.33,11.66
36.70,11.66
37.06,11.67
37.43,11.67
37.81,11.67
38.19,11.67
38.57,11.67
38.95,11.67
39.34,11.67
39.74,11.67
40.14,11.67
40.54,11.67
40.94,11.67
41.35,11.67
41.76,11.67
42.18,11.67
42.60,11.66
43.03,11.65
43.46,11.63
43.90,11.62
44.33,11.61
44.78,11.59
45.23,11.58
45.68,11.56
46.13,11.55
46.60,11.53
47.06,11.51
47.53,11.50
48.01,11.48
48.49,11.46
48.97,11.44
49.46,11.42
49.96,11.39
50.46,11.37
50.96,11.34
51.47,11.32
51.99,11.29
52.51,11.26
53.03,11.23
53.56,11.20
54.10,11.16
54.64,11.13
55.18,11.10
55.74,11.07
56.29,11.04
56.86,11.01
57.42,10.97
58.00,10.94
58.58,10.90
59.16,10.86
59.76,10.82
60.35,10.78
60.96,10.73
61.57,10.69
62.18,10.64
62.80,10.60
63.43,10.55
64.07,10.51
64.71,10.46
65.35,10.41
66.01,10.36
66.67,10.31
67.33,10.26
68.01,10.21
68.69,10.17
69.37,10.12
70.07,10.07
70.77,10.02
71.48,9.96
72.19,9.90
72.91,9.84
73.64,9.77
74.38,9.71
75.12,9.64
75.87,9.58
76.63,9.51
77.40,9.45
78.17,9.38
78.95,9.31
79.74,9.25
80.54,9.18
81.35,9.11
82.16,9.04
82.98,8.97
83.81,8.90
84.65,8.82
85.50,8.75
86.35,8.67
87.22,8.59
88.09,8.52
88.97,8.44
89.86,8.36
90.76,8.29
91.66,8.21
92.58,8.13
93.51,8.04
94.44,7.95
95.39,7.86
96.34,7.77
97.30,7.68
98.28,7.59
99.26,7.50
100.25,7.41
101.25,7.32
102.27,7.23
103.29,7.14
104.32,7.05
105.37,6.95
106.42,6.86
107.48,6.76
108.56,6.67
109.64,6.57
110.74,6.48
111.85,6.38
112.97,6.28
114.10,6.17
115.24,6.07
116.39,5.96
117.55,5.85
118.73,5.73
119.92,5.62
121.12,5.50
122.33,5.39
123.55,5.28
124.79,5.18
126.03,5.06
127.29,4.95
128.57,4.84
129.85,4.72
131.15,4.61
132.46,4.50
133.79,4.40
135.12,4.30
136.48,4.21
137.84,4.13
139.22,4.06
140.61,3.98
142.02,3.90
143.44,3.83
144.87,3.75
146.32,3.66
147.78,3.57
149.26,3.48
150.75,3.38
152.26,3.28
153.78,3.18
155.32,3.08
156.88,2.97
158.44,2.87
160.03,2.76
161.63,2.66
163.24,2.55
164.88,2.45
166.53,2.34
168.19,2.23
169.87,2.13
171.57,2.03
173.29,1.93
175.02,1.84
176.77,1.75
178.54,1.66
180.32,1.57
182.13,1.48
183.95,1.39
185.79,1.30
187.65,1.21
189.52,1.12
191.42,1.04
193.33,0.97
195.27,0.89
197.22,0.81
199.19,0.73
201.18,0.66
203.19,0.59
205.23,0.52
207.28,0.46
209.35,0.41
211.44,0.35
213.56,0.29
215.69,0.23
217.85,0.16
220.03,0.10
222.23,0.04
224.45,-0.02
226.70,-0.06
228.96,-0.11
231.25,-0.15
233.57,-0.18
235.90,-0.22
238.26,-0.26
240.64,-0.29
243.05,-0.33
245.48,-0.35
247.93,-0.38
250.41,-0.41
252.92,-0.44
255.45,-0.46
258.00,-0.49
260.58,-0.51
263.19,-0.53
265.82,-0.55
268.48,-0.57
271.16,-0.58
273.87,-0.59
276.61,-0.60
279.38,-0.60
282.17,-0.61
284.99,-0.63
287.84,-0.64
290.72,-0.65
293.63,-0.66
296.57,-0.67
299.53,-0.68
302.53,-0.68
305.55,-0.69
308.61,-0.69
311.69,-0.69
314.81,-0.69
317.96,-0.68
321.14,-0.68
324.35,-0.68
327.59,-0.67
330.87,-0.67
334.18,-0.67
337.52,-0.68
340.90,-0.68
344.30,-0.69
347.75,-0.69
351.23,-0.69
354.74,-0.69
358.28,-0.69
361.87,-0.69
365.49,-0.69
369.14,-0.69
372.83,-0.69
376.56,-0.69
380.33,-0.69
384.13,-0.69
387.97,-0.68
391.85,-0.68
395.77,-0.68
399.73,-0.68
403.72,-0.68
407.76,-0.68
411.84,-0.68
415.96,-0.69
420.12,-0.69
424.32,-0.69
428.56,-0.69
432.85,-0.69
437.18,-0.69
441.55,-0.69
445.96,-0.69
450.42,-0.68
454.93,-0.68
459.48,-0.69
464.07,-0.69
468.71,-0.69
473.40,-0.69
478.13,-0.69
482.91,-0.69
487.74,-0.69
492.62,-0.69
497.55,-0.70
502.52,-0.70
507.55,-0.71
512.62,-0.72
517.75,-0.72
522.93,-0.73
528.16,-0.74
533.44,-0.74
538.77,-0.74
544.16,-0.75
549.60,-0.75
555.10,-0.76
560.65,-0.77
566.25,-0.78
571.92,-0.79
577.64,-0.80
583.41,-0.81
589.25,-0.81
595.14,-0.81
601.09,-0.82
607.10,-0.82
613.17,-0.83
619.30,-0.83
625.50,-0.84
631.75,-0.84
638.07,-0.84
644.45,-0.84
650.89,-0.84
657.40,-0.84
663.98,-0.84
670.62,-0.84
677.32,-0.84
684.10,-0.84
690.94,-0.84
697.85,-0.84
704.83,-0.84
711.87,-0.84
718.99,-0.85
726.18,-0.85
733.44,-0.85
740.78,-0.85
748.19,-0.85
755.67,-0.84
763.23,-0.84
770.86,-0.83
778.57,-0.82
786.35,-0.81
794.22,-0.79
802.16,-0.78
810.18,-0.76
818.28,-0.74
826.46,-0.72
834.73,-0.70
843.08,-0.68
851.51,-0.66
860.02,-0.64
868.62,-0.61
877.31,-0.59
886.08,-0.55
894.94,-0.52
903.89,-0.48
912.93,-0.45
922.06,-0.41
931.28,-0.36
940.59,-0.32
950.00,-0.27
959.50,-0.22
969.09,-0.17
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.11
1028.71,0.16
1039.00,0.22
1049.39,0.28
1059.88,0.34
1070.48,0.40
1081.19,0.46
1092.00,0.52
1102.92,0.59
1113.95,0.65
1125.09,0.72
1136.34,0.78
1147.70,0.84
1159.18,0.89
1170.77,0.95
1182.48,1.01
1194.30,1.06
1206.25,1.12
1218.31,1.18
1230.49,1.23
1242.80,1.28
1255.22,1.34
1267.78,1.39
1280.45,1.44
1293.26,1.49
1306.19,1.54
1319.25,1.59
1332.45,1.64
1345.77,1.69
1359.23,1.73
1372.82,1.78
1386.55,1.83
1400.41,1.88
1414.42,1.94
1428.56,1.99
1442.85,2.04
1457.28,2.10
1471.85,2.17
1486.57,2.23
1501.43,2.30
1516.45,2.39
1531.61,2.48
1546.93,2.57
1562.40,2.68
1578.02,2.79
1593.80,2.91
1609.74,3.03
1625.84,3.17
1642.10,3.30
1658.52,3.44
1675.10,3.57
1691.85,3.70
1708.77,3.83
1725.86,3.94
1743.12,4.05
1760.55,4.15
1778.15,4.24
1795.94,4.33
1813.90,4.40
1832.03,4.47
1850.36,4.54
1868.86,4.61
1887.55,4.67
1906.42,4.73
1925.49,4.79
1944.74,4.85
1964.19,4.91
1983.83,4.97
2003.67,5.03
2023.71,5.10
2043.94,5.16
2064.38,5.23
2085.03,5.30
2105.88,5.37
2126.94,5.45
2148.20,5.53
2169.69,5.61
2191.38,5.69
2213.30,5.77
