frequency,raw
20.00,3.45
20.20,3.51
20.40,3.58
20.61,3.65
20.81,3.71
21.02,3.77
21.23,3.83
21.44,3.90
21.66,3.96
21.87,4.02
22.09,4.07
22.31,4.13
22.54,4.19
22.76,4.24
22.99,4.30
23.22,4.35
23.45,4.41
23.69,4.46
23.92,4.51
24.16,4.57
24.40,4.62
24.65,4.66
24.89,4.71
25.14,4.75
25.39,4.80
25.65,4.84
25.91,4.88
26.16,4.93
26.43,4.98
26.69,5.02
26.96,5.07
27.23,5.11
27.50,5.15
27.77,5.18
28.05,5.22
28.33,5.25
28.62,5.28
28.90,5.31
29.19,5.35
29.48,5.38
29.78,5.41
30.08,5.44
30.38,5.48
30.68,5.51
30.99,5.54
31.30,5.57
31.61,5.60
31.93,5.62
32.24,5.65
32.57,5.67
32.89,5.69
33.22,5.71
33.55,5.73
33.89,5.75
34.23,5.77
34.57,5.79
34.92,5.81
35.27,5.82
35.62,5.84
35.97,5.85
36.33,5.87
36.70,5.88
37.06,5.89
37.43,5.91
37.81,5.92
38.19,5.92
38.57,5.93
38.95,5.94
39.34,5.95
39.74,5.95
40.14,5.96
40.54,5.97
40.94,5.97
41.35,5.98
41.76,5.98
42.18,5.98
42.60,5.98
43.03,5.98
43.46,5.98
43.90,5.97
44.33,5.97
44.78,5.97
45.23,5.96
45.68,5.96
46.13,5.95
46.60,5.94
47.06,5.94
47.53,5.93
48.01,5.92
48.49,5.90
48.97,5.89
49.46,5.88
49.96,5.87
50.46,5.86
50.96,5.85
51.47,5.84
51.99,5.82
52.51,5.81
53.03,5.79
53.56,5.77
54.10,5.75
54.64,5.73
55.18,5.71
55.74,5.69
56.29,5.67
56.86,5.64
57.42,5.62
58.00,5.60
58.58,5.58
59.16,5.55
59.76,5.53
60.35,5.51
60.96,5.48
61.57,5.46
62.18,5.43
62.80,5.40
63.43,5.37
64.07,5.34
64.71,5.31
65.35,5.27
66.01,5.24
66.67,5.21
67.33,5.17
68.01,5.14
68.69,5.10
69.37,5.06
70.07,5.03
70.77,4.99
71.48,4.95
72.19,4.91
72.91,4.87
73.64,4.83
74.38,4.79
75.12,4.75
75.87,4.71
76.63,4.67
77.40,4.63
78.17,4.59
78.95,4.55
79.74,4.51
80.54,4.46
81.35,4.42
82.16,4.38
82.98,4.33
83.81,4.29
84.65,4.24
85.50,4.19
86.35,4.15
87.22,4.10
88.09,4.05
88.97,4.01
89.86,3.96
90.76,3.91
91.66,3.86
92.58,3.81
93.51,3.77
94.44,3.72
95.39,3.67
96.34,3.62
97.30,3.57
98.28,3.52
99.26,3.47
100.25,3.42
101.25,3.37
102.27,3.32
103.29,3.27
104.32,3.22
105.37,3.17
106.42,3.12
107.48,3.07
108.56,3.02
109.64,2.97
110.74,2.92
111.85,2.87
112.97,2.82
114.10,2.77
115.24,2.72
116.39,2.67
117.55,2.63
118.73,2.58
119.92,2.53
121.12,2.48
122.33,2.43
123.55,2.38
124.79,2.33
126.03,2.28
127.29,2.24
128.57,2.19
129.85,2.14
131.15,2.10
132.46,2.05
133.79,2.01
135.12,1.96
136.48,1.92
137.84,1.87
139.22,1.83
140.61,1.79
142.02,1.75
143.44,1.70
144.87,1.66
146.32,1.62
147.78,1.58
149.26,1.54
150.75,1.50
152.26,1.46
153.78,1.43
155.32,1.39
156.88,1.35
158.44,1.32
160.03,1.29
161.63,1.25
163.24,1.22
164.88,1.18
166.53,1.15
168.19,1.12
169.87,1.08
171.57,1.05
173.29,1.02
175.02,0.99
176.77,0.96
178.54,0.93
180.32,0.90
182.13,0.88
183.95,0.85
185.79,0.83
187.65,0.82
189.52,0.80
191.42,0.79
193.33,0.78
195.27,0.76
197.22,0.74
199.19,0.73
201.18,0.71
203.19,0.69
205.23,0.67
207.28,0.65
209.35,0.64
211.44,0.62
213.56,0.60
215.69,0.59
217.85,0.58
220.03,0.56
222.23,0.55
224.45,0.54
226.70,0.53
228.96,0.52
231.25,0.50
233.57,0.50
235.90,0.49
238.26,0.48
240.64,0.47
243.05,0.46
245.48,0.45
247.93,0.44
250.41,0.43
252.92,0.42
255.45,0.41
258.00,0.40
260.58,0.39
263.19,0.38
265.82,0.36
268.48,0.35
271.16,0.34
273.87,0.33
276.61,0.31
279.38,0.30
282.17,0.29
284.99,0.28
287.84,0.27
290.72,0.26
293.63,0.24
296.57,0.23
299.53,0.22
302.53,0.21
305.55,0.20
308.61,0.19
311.69,0.18
314.81,0.17
317.96,0.16
321.14,0.15
