frequency,raw
20.00,6.19
20.20,6.22
20.40,6.25
20.61,6.28
20.81,6.30
21.02,6.33
21.23,6.36
21.44,6.39
21.66,6.42
21.87,6.45
22.09,6.48
22.31,6.51
22.54,6.54
22.76,6.57
22.99,6.59
23.22,6.62
23.45,6.64
23.69,6.67
23.92,6.69
24.16,6.71
24.40,6.74
24.65,6.76
24.89,6.78
25.14,6.80
25.39,6.82
25.65,6.84
25.91,6.86
26.16,6.88
26.43,6.90
26.69,6.93
26.96,6.95
27.23,6.97
27.50,6.99
27.77,7.00
28.05,7.02
28.33,7.03
28.62,7.05
28.90,7.06
29.19,7.08
29.48,7.09
29.78,7.10
30.08,7.11
30.38,7.13
30.68,7.14
30.99,7.15
31.30,7.16
31.61,7.18
31.93,7.19
32.24,7.20
32.57,7.21
32.89,7.22
33.22,7.23
33.55,7.24
33.89,7.25
34.23,7.25
34.57,7.26
34.92,7.27
35.27,7.28
35.62,7.29
35.97,7.30
36.33,7.31
36.70,7.31
37.06,7.31
37.43,7.32
37.81,7.32
38.19,7.32
38.57,7.32
38.95,7.32
39.34,7.33
39.74,7.33
40.14,7.33
40.54,7.33
40.94,7.33
41.35,7.33
41.76,7.33
42.18,7.33
42.60,7.33
43.03,7.33
43.46,7.33
43.90,7.34
44.33,7.34
44.78,7.34
45.23,7.34
45.68,7.34
46.13,7.34
46.60,7.33
47.06,7.32
47.53,7.31
48.01,7.31
48.49,7.31
48.97,7.30
49.46,7.29
49.96,7.29
50.46,7.28
50.96,7.28
51.47,7.27
51.99,7.26
52.51,7.25
53.03,7.25
53.56,7.24
54.10,7.23
54.64,7.22
55.18,7.21
55.74,7.20
56.29,7.19
56.86,7.18
57.42,7.16
58.00,7.15
58.58,7.14
59.16,7.13
59.76,7.11
60.35,7.10
60.96,7.09
61.57,7.08
62.18,7.06
62.80,7.05
63.43,7.03
64.07,7.02
64.71,7.00
65.35,6.99
66.01,6.97
66.67,6.95
67.33,6.94
68.01,6.92
68.69,6.90
69.37,6.88
70.07,6.87
70.77,6.85
71.48,6.83
72.19,6.81
72.91,6.79
73.64,6.77
74.38,6.75
75.12,6.73
75.87,6.71
76.63,6.68
77.40,6.66
78.17,6.64
78.95,6.62
79.74,6.59
80.54,6.57
81.35,6.55
82.16,6.52
82.98,6.50
83.81,6.47
84.65,6.45
85.50,6.42
86.35,6.40
87.22,6.37
88.09,6.35
88.97,6.32
89.86,6.29
90.76,6.26
91.66,6.23
92.58,6.20
93.51,6.18
94.44,6.15
95.39,6.12
96.34,6.09
97.30,6.06
98.28,6.02
99.26,5.99
100.25,5.96
101.25,5.93
102.27,5.90
103.29,5.87
104.32,5.83
105.37,5.80
106.42,5.77
107.48,5.73
108.56,5.70
109.64,5.66
