frequency,raw
20.00,6.97
20.20,6.96
20.40,6.95
20.61,6.95
20.81,6.94
21.02,6.93
21.23,6.92
21.44,6.91
21.66,6.90
21.87,6.89
22.09,6.88
22.31,6.87
22.54,6.85
22.76,6.84
22.99,6.83
23.22,6.81
23.45,6.80
23.69,6.78
23.92,6.76
24.16,6.74
24.40,6.72
24.65,6.70
24.89,6.69
25.14,6.67
25.39,6.65
25.65,6.63
25.91,6.61
26.16,6.59
26.43,6.57
26.69,6.55
26.96,6.52
27.23,6.50
27.50,6.48
27.77,6.45
28.05,6.43
28.33,6.41
28.62,6.39
28.90,6.37
29.19,6.35
29.48,6.33
29.78,6.31
30.08,6.28
30.38,6.26
30.68,6.24
30.99,6.21
31.30,6.19
31.61,6.17
31.93,6.15
32.24,6.12
32.57,6.10
32.89,6.07
33.22,6.04
33.55,6.01
33.89,5.99
34.23,5.96
34.57,5.94
34.92,5.91
35.27,5.88
35.62,5.86
35.97,5.83
36.33,5.80
36.70,5.77
37.06,5.74
37.43,5.71
37.81,5.68
38.19,5.65
38.57,5.62
38.95,5.59
39.34,5.56
39.74,5.53
40.14,5.49
40.54,5.46
40.94,5.42
41.35,5.39
41.76,5.35
42.18,5.32
42.60,5.29
43.03,5.25
43.46,5.22
43.90,5.18
44.33,5.15
44.78,5.11
45.23,5.08
45.68,5.04
46.13,5.00
46.60,4.97
47.06,4.93
47.53,4.90
48.01,4.87
48.49,4.83
48.97,4.80
49.46,4.76
49.96,4.73
50.46,4.69
50.96,4.65
51.47,4.62
51.99,4.58
52.51,4.54
53.03,4.50
53.56,4.46
54.10,4.42
54.64,4.38
55.18,4.34
55.74,4.30
56.29,4.26
56.86,4.22
57.42,4.18
58.00,4.14
58.58,4.10
59.16,4.06
59.76,4.01
60.35,3.97
60.96,3.93
61.57,3.89
62.18,3.85
62.80,3.81
63.43,3.77
64.07,3.72
64.71,3.68
65.35,3.64
66.01,3.59
66.67,3.55
67.33,3.51
68.01,3.46
68.69,3.42
69.37,3.38
70.07,3.33
70.77,3.29
71.48,3.25
72.19,3.20
72.91,3.16
73.64,3.12
74.38,3.08
75.12,3.03
75.87,2.99
76.63,2.95
77.40,2.90
78.17,2.86
78.95,2.82
79.74,2.78
80.54,2.73
81.35,2.69
82.16,2.65
82.98,2.60
83.81,2.56
84.65,2.51
85.50,2.47
86.35,2.43
87.22,2.38
88.09,2.34
88.97,2.29
89.86,2.25
90.76,2.21
91.66,2.16
92.58,2.12
93.51,2.07
94.44,2.03
95.39,1.98
96.34,1.94
97.30,1.90
98.28,1.86
99.26,1.81
100.25,1.77
101.25,1.73
102.27,1.68
103.29,1.64
104.32,1.60
105.37,1.56
106.42,1.51
107.48,1.47
108.56,1.43
109.64,1.39
110.74,1.34
111.85,1.30
112.97,1.26
114.10,1.22
115.24,1.17
116.39,1.13
117.55,1.09
118.73,1.05
119.92,1.01
121.12,0.97
122.33,0.92
123.55,0.88
124.79,0.84
126.03,0.80
127.29,0.76
128.57,0.72
129.85,0.67
131.15,0.63
132.46,0.59
133.79,0.55
135.12,0.51
136.48,0.47
137.84,0.43
139.22,0.39
140.61,0.35
142.02,0.31
143.44,0.27
144.87,0.23
146.32,0.19
147.78,0.15
149.26,0.11
150.75,0.07
152.26,0.03
153.78,-0.01
155.32,-0.05
156.88,-0.08
158.44,-0.12
160.03,-0.16
161.63,-0.20
163.24,-0.24
164.88,-0.28
166.53,-0.32
168.19,-0.36
169.87,-0.41
171.57,-0.44
173.29,-0.48
175.02,-0.52
176.77,-0.54
178.54,-0.57
180.32,-0.59
182.13,-0.61
183.95,-0.63
185.79,-0.65
187.65,-0.67
189.52,-0.70
191.42,-0.73
193.33,-0.76
195.27,-0.79
197.22,-0.83
199.19,-0.87
201.18,-0.90
203.19,-0.94
205.23,-0.98
207.28,-1.01
209.35,-1.05
211.44,-1.09
213.56,-1.12
215.69,-1.15
217.85,-1.18
220.03,-1.21
222.23,-1.24
224.45,-1.27
226.70,-1.29
228.96,-1.31
231.25,-1.33
233.57,-1.36
235.90,-1.38
238.26,-1.41
240.64,-1.44
243.05,-1.46
245.48,-1.50
247.93,-1.53
250.41,-1.56
252.92,-1.60
255.45,-1.63
258.00,-1.66
260.58,-1.70
263.19,-1.73
265.82,-1.76
268.48,-1.80
271.16,-1.83
273.87,-1.87
276.61,-1.90
279.38,-1.93
282.17,-1.97
284.99,-2.00
