frequency,raw
20.00,8.58
20.20,8.59
20.40,8.60
20.61,8.61
20.81,8.61
21.02,8.61
21.23,8.62
21.44,8.61
21.66,8.61
21.87,8.61
22.09,8.62
22.31,8.62
22.54,8.63
22.76,8.64
22.99,8.65
23.22,8.66
23.45,8.67
23.69,8.68
23.92,8.69
24.16,8.70
24.40,8.71
24.65,8.71
24.89,8.71
25.14,8.71
25.39,8.71
25.65,8.71
25.91,8.71
26.16,8.71
26.43,8.72
26.69,8.72
26.96,8.72
27.23,8.73
27.50,8.73
27.77,8.73
28.05,8.73
28.33,8.73
28.62,8.73
28.90,8.73
29.19,8.73
29.48,8.74
29.78,8.74
30.08,8.75
30.38,8.75
30.68,8.75
30.99,8.76
31.30,8.76
31.61,8.76
31.93,8.76
32.24,8.76
32.57,8.76
32.89,8.76
33.22,8.76
33.55,8.76
33.89,8.77
34.23,8.77
34.57,8.77
34.92,8.77
35.27,8.77
35.62,8.78
35.97,8.78
36.33,8.78
36.70,8.78
37.06,8.78
37.43,8.78
37.81,8.78
38.19,8.78
38.57,8.78
38.95,8.78
39.34,8.78
39.74,8.79
40.14,8.79
40.54,8.79
40.94,8.79
41.35,8.78
41.76,8.77
42.18,8.77
42.60,8.76
43.03,8.75
43.46,8.74
43.90,8.73
44.33,8.73
44.78,8.73
45.23,8.73
45.68,8.73
46.13,8.74
46.60,8.73
47.06,8.72
47.53,8.72
48.01,8.72
48.49,8.71
48.97,8.71
49.46,8.71
49.96,8.71
50.46,8.71
50.96,8.71
51.47,8.71
51.99,8.70
52.51,8.70
53.03,8.69
53.56,8.68
54.10,8.66
54.64,8.65
55.18,8.64
55.74,8.64
56.29,8.63
56.86,8.63
57.42,8.62
58.00,8.61
58.58,8.61
59.16,8.60
59.76,8.59
60.35,8.58
60.96,8.57
61.57,8.56
62.18,8.55
62.80,8.54
63.43,8.53
64.07,8.53
64.71,8.52
65.35,8.51
66.01,8.50
66.67,8.49
67.33,8.47
68.01,8.46
68.69,8.45
69.37,8.43
70.07,8.42
70.77,8.41
71.48,8.40
72.19,8.39
72.91,8.38
73.64,8.37
74.38,8.36
75.12,8.34
75.87,8.33
76.63,8.32
77.40,8.31
78.17,8.29
78.95,8.28
79.74,8.26
80.54,8.25
81.35,8.23
82.16,8.22
82.98,8.20
83.81,8.18
84.65,8.17
85.50,8.15
86.35,8.13
87.22,8.11
88.09,8.09
88.97,8.08
89.86,8.06
90.76,8.04
91.66,8.03
92.58,8.01
93.51,7.99
94.44,7.97
95.39,7.96
96.34,7.94
97.30,7.92
98.28,7.90
99.26,7.87
100.25,7.85
101.25,7.83
102.27,7.81
103.29,7.78
104.32,7.76
105.37,7.74
106.42,7.72
107.48,7.69
108.56,7.67
109.64,7.65
110.74,7.62
111.85,7.60
112.97,7.57
114.10,7.55
115.24,7.52
116.39,7.49
117.55,7.46
118.73,7.44
119.92,7.41
121.12,7.38
122.33,7.36
123.55,7.33
124.79,7.31
126.03,7.28
127.29,7.25
128.57,7.22
129.85,7.19
131.15,7.16
132.46,7.13
133.79,7.09
135.12,7.06
136.48,7.03
137.84,6.99
139.22,6.96
140.61,6.93
142.02,6.89
143.44,6.86
144.87,6.83
146.32,6.79
147.78,6.75
149.26,6.72
150.75,6.68
152.26,6.65
153.78,6.61
155.32,6.57
156.88,6.53
158.44,6.50
160.03,6.46
161.63,6.42
163.24,6.38
164.88,6.34
166.53,6.30
168.19,6.26
169.87,6.22
171.57,6.17
173.29,6.13
175.02,6.09
176.77,6.04
178.54,6.00
180.32,5.95
182.13,5.90
183.95,5.85
185.79,5.80
187.65,5.75
189.52,5.70
191.42,5.66
193.33,5.61
195.27,5.56
197.22,5.53
199.19,5.49
201.18,5.46
203.19,5.43
205.23,5.39
207.28,5.36
209.35,5.32
211.44,5.28
213.56,5.24
215.69,5.19
217.85,5.15
220.03,5.09
222.23,5.04
224.45,4.99
226.70,4.94
228.96,4.88
231.25,4.83
233.57,4.78
