frequency,raw
20.00,7.12
20.20,7.13
20.40,7.15
20.61,7.16
20.81,7.17
21.02,7.19
21.23,7.20
21.44,7.22
21.66,7.23
21.87,7.25
22.09,7.26
22.31,7.27
22.54,7.28
22.76,7.28
22.99,7.29
23.22,7.29
23.45,7.30
23.69,7.30
23.92,7.31
24.16,7.32
24.40,7.33
24.65,7.34
24.89,7.35
25.14,7.35
25.39,7.35
25.65,7.36
25.91,7.36
26.16,7.36
26.43,7.37
26.69,7.37
26.96,7.38
27.23,7.38
27.50,7.39
27.77,7.39
28.05,7.39
28.33,7.40
28.62,7.40
28.90,7.40
29.19,7.40
29.48,7.40
29.78,7.41
30.08,7.41
30.38,7.41
30.68,7.41
30.99,7.41
31.30,7.41
31.61,7.41
31.93,7.40
32.24,7.40
32.57,7.39
32.89,7.39
33.22,7.38
33.55,7.38
33.89,7.38
34.23,7.38
34.57,7.38
34.92,7.38
35.27,7.38
35.62,7.38
35.97,7.38
36.33,7.38
36.70,7.38
37.06,7.39
37.43,7.39
37.81,7.39
38.19,7.39
38.57,7.39
38.95,7.39
39.34,7.39
39.74,7.39
40.14,7.38
40.54,7.37
40.94,7.37
41.35,7.36
41.76,7.35
42.18,7.34
42.60,7.33
43.03,7.32
43.46,7.32
43.90,7.31
44.33,7.30
44.78,7.29
45.23,7.28
45.68,7.27
46.13,7.26
46.60,7.25
47.06,7.24
47.53,7.24
48.01,7.23
48.49,7.22
48.97,7.21
49.46,7.20
49.96,7.19
50.46,7.17
50.96,7.16
51.47,7.15
51.99,7.14
52.51,7.13
53.03,7.12
53.56,7.10
54.10,7.09
54.64,7.07
55.18,7.06
55.74,7.04
56.29,7.03
56.86,7.01
57.42,7.00
58.00,6.99
58.58,6.97
59.16,6.96
59.76,6.95
60.35,6.93
60.96,6.92
61.57,6.91
62.18,6.89
62.80,6.87
63.43,6.86
64.07,6.84
64.71,6.82
65.35,6.81
66.01,6.79
66.67,6.78
67.33,6.76
68.01,6.74
68.69,6.73
69.37,6.71
70.07,6.69
70.77,6.67
71.48,6.66
72.19,6.64
72.91,6.62
73.64,6.60
74.38,6.57
75.12,6.55
75.87,6.53
76.63,6.50
77.40,6.48
78.17,6.45
78.95,6.43
79.74,6.40
80.54,6.38
81.35,6.35
82.16,6.33
82.98,6.30
83.81,6.28
84.65,6.25
85.50,6.23
86.35,6.20
87.22,6.18
88.09,6.15
88.97,6.12
89.86,6.10
90.76,6.07
91.66,6.04
92.58,6.01
93.51,5.98
94.44,5.95
95.39,5.92
96.34,5.89
97.30,5.87
98.28,5.84
99.26,5.81
100.25,5.78
101.25,5.75
102.27,5.72
103.29,5.68
104.32,5.65
105.37,5.62
106.42,5.58
107.48,5.55
108.56,5.52
109.64,5.48
110.74,5.45
111.85,5.42
112.97,5.38
114.10,5.35
115.24,5.31
116.39,5.28
117.55,5.24
118.73,5.21
119.92,5.17
121.12,5.13
122.33,5.09
123.55,5.05
124.79,5.02
126.03,4.98
127.29,4.94
128.57,4.90
129.85,4.86
131.15,4.82
132.46,4.78
133.79,4.74
135.12,4.69
136.48,4.65
137.84,4.61
139.22,4.56
140.61,4.51
142.02,4.47
143.44,4.42
144.87,4.37
146.32,4.32
147.78,4.27
149.26,4.22
150.75,4.16
152.26,4.10
153.78,4.04
155.32,3.98
156.88,3.92
158.44,3.87
160.03,3.81
161.63,3.78
163.24,3.75
164.88,3.72
166.53,3.71
168.19,3.71
169.87,3.71
171.57,3.71
173.29,3.70
175.02,3.70
176.77,3.68
178.54,3.65
180.32,3.62
182.13,3.58
183.95,3.54
185.79,3.50
187.65,3.45
189.52,3.40
191.42,3.35
193.33,3.30
195.27,3.26
197.22,3.21
199.19,3.16
201.18,3.11
203.19,3.06
205.23,3.02
207.28,2.97
209.35,2.92
211.44,2.87
213.56,2.82
215.69,2.78
217.85,2.73
220.03,2.68
222.23,2.63
224.45,2.59
226.70,2.54
228.96,2.50
231.25,2.45
233.57,2.40
235.90,2.36
238.26,2.31
240.64,2.26
243.05,2.21
245.48,2.17
247.93,2.12
250.41,2.07
252.92,2.03
255.45,1.98
258.00,1.93
260.58,1.89
263.19,1.84
265.82,1.79
268.48,1.75
271.16,1.70
273.87,1.65
276.61,1.61
279.38,1.56
282.17,1.51
284.99,1.47
287.84,1.42
290.72,1.38
293.63,1.33
296.57,1.29
299.53,1.24
302.53,1.20
305.55,1.16
308.61,1.11
311.69,1.07
314.81,1.03
317.96,0.99
321.14,0.95
324.35,0.91
327.59,0.86
330.87,0.82
334.18,0.78
337.52,0.74
340.90,0.70
344.30,0.66
347.75,0.62
351.23,0.58
354.74,0.54
358.28,0.50
361.87,0.46
365.49,0.42
369.14,0.38
372.83,0.34
376.56,0.30
380.33,0.26
384.13,0.22
387.97,0.18
391.85,0.15
395.77,0.11
399.73,0.07
403.72,0.04
407.76,-0.00
411.84,-0.04
415.96,-0.07
420.12,-0.11
424.32,-0.15
428.56,-0.18
432.85,-0.22
437.18,-0.25
441.55,-0.28
445.96,-0.32
450.42,-0.35
454.93,-0.38
459.48,-0.42
464.07,-0.45
468.71,-0.48
473.40,-0.52
478.13,-0.55
482.91,-0.58
487.74,-0.60
492.62,-0.63
497.55,-0.66
502.52,-0.68
507.55,-0.71
512.62,-0.73
517.75,-0.76
522.93,-0.79
528.16,-0.81
533.44,-0.84
538.77,-0.86
544.16,-0.88
549.60,-0.91
555.10,-0.93
560.65,-0.95
566.25,-0.97
571.92,-0.99
577.64,-1.01
583.41,-1.03
589.25,-1.05
595.14,-1.07
601.09,-1.08
607.10,-1.10
613.17,-1.11
619.30,-1.13
625.50,-1.14
631.75,-1.15
638.07,-1.16
644.45,-1.17
650.89,-1.18
657.40,-1.19
663.98,-1.20
670.62,-1.21
677.32,-1.21
684.10,-1.21
690.94,-1.22
697.85,-1.22
704.83,-1.22
711.87,-1.22
718.99,-1.22
726.18,-1.21
733.44,-1.21
740.78,-1.20
748.19,-1.19
755.67,-1.18
763.23,-1.17
770.86,-1.16
778.57,-1.14
786.35,-1.12
794.22,-1.11
802.16,-1.08
810.18,-1.06
818.28,-1.03
826.46,-1.01
834.73,-0.98
843.08,-0.94
851.51,-0.91
860.02,-0.87
868.62,-0.83
877.31,-0.79
886.08,-0.74
894.94,-0.70
903.89,-0.65
912.93,-0.60
922.06,-0.54
931.28,-0.48
940.59,-0.42
950.00,-0.36
959.50,-0.30
969.09,-0.23
978.78,-0.16
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.14
1028.71,0.22
1039.00,0.31
1049.39,0.39
1059.88,0.47
1070.48,0.56
1081.19,0.64
1092.00,0.73
1102.92,0.82
1113.95,0.91
1125.09,1.00
1136.34,1.09
1147.70,1.18
1159.18,1.27
1170.77,1.36
1182.48,1.45
1194.30,1.54
1206.25,1.63
1218.31,1.72
1230.49,1.81
1242.80,1.90
1255.22,1.99
1267.78,2.08
1280.45,2.17
1293.26,2.26
1306.19,2.35
1319.25,2.45
1332.45,2.54
1345.77,2.63
1359.23,2.72
1372.82,2.82
1386.55,2.91
1400.41,3.01
1414.42,3.11
1428.56,3.20
1442.85,3.30
1457.28,3.40
1471.85,3.50
1486.57,3.61
1501.43,3.71
1516.45,3.82
1531.61,3.93
1546.93,4.04
1562.40,4.15
1578.02,4.27
1593.80,4.38
1609.74,4.51
1625.84,4.63
1642.10,4.75
1658.52,4.88
1675.10,5.02
1691.85,5.15
1708.77,5.29
1725.86,5.43
1743.12,5.57
1760.55,5.72
1778.15,5.87
1795.94,6.02
1813.90,6.18
1832.03,6.34
1850.36,6.51
1868.86,6.68
1887.55,6.85
1906.42,7.02
1925.49,7.20
1944.74,7.38
1964.19,7.57
1983.83,7.76
2003.67,7.95
2023.71,8.14
2043.94,8.34
2064.38,8.54
2085.03,8.74
2105.88,8.95
2126.94,9.16
2148.20,9.37
2169.69,9.58
2191.38,9.79
2213.30,10.00
2235.43,10.21
2257.78,10.41
2280.36,10.61
2303.17,10.80
2326.20,10.96
2349.46,11.13
2372.95,11.27
2396.68,11.39
2420.65,11.51
2444.86,11.60
2469.31,11.67
2494.00,11.73
2518.94,11.75
2544.13,11.76
2569.57,11.77
2595.27,11.74
2621.22,11.69
2647.43,11.64
2673.90,11.55
2700.64,11.46
2727.65,11.35
2754.93,11.22
2782.48,11.09
2810.30,10.95
2838.40,10.79
2866.79,10.63
2895.46,10.46
2924.41,10.29
2953.65,10.11
2983.19,9.93
3013.02,9.74
3043.15,9.56
3073.58,9.38
3104.32,9.21
3135.36,9.04
3166.72,8.87
3198.38,8.72
3230.37,8.56
3262.67,8.41
3295.30,8.28
3328.25,8.14
3361.53,8.01
3395.15,7.90
3429.10,7.79
3463.39,7.69
3498.03,7.60
3533.01,7.52
3568.34,7.45
3604.02,7.40
3640.06,7.35
3676.46,7.31
3713.22,7.28
3750.36,7.26
3787.86,7.26
3825.74,7.27
3864.00,7.27
3902.64,7.30
3941.66,7.34
3981.08,7.38
4020.89,7.44
4061.10,7.52
4101.71,7.60
4142.73,7.70
4184.15,7.82
4226.00,7.94
4268.26,8.07
4310.94,8.23
4354.05,8.39
4397.59,8.57
4441.56,8.76
4485.98,8.95
4530.84,9.16
4576.15,9.37
4621.91,9.59
4668.13,9.80
4714.81,10.02
4761.96,10.22
4809.58,10.40
4857.67,10.58
4906.25,10.70
4955.31,10.81
5004.87,10.90
5054.91,10.88
5105.46,10.85
5156.52,10.81
5208.08,10.64
5260.16,10.47
5312.77,10.28
5365.89,9.99
5419.55,9.70
5473.75,9.38
5528.49,9.02
5583.77,8.67
5639.61,8.29
5696.00,7.92
5752.96,7.54
5810.49,7.17
5868.60,6.82
5927.28,6.48
5986.56,6.13
6046.42,5.82
6106.89,5.53
6167.96,5.26
6229.64,5.02
6291.93,4.79
6354.85,4.62
6418.40,4.46
6482.58,4.31
6547.41,4.22
6612.88,4.16
6679.01,4.10
6745.80,4.12
6813.26,4.17
6881.39,4.22
6950.21,4.36
7019.71,4.54
7089.91,4.71
7160.81,5.00
7232.41,5.31
7304.74,5.63
7377.79,6.06
7451.56,6.50
7526.08,6.95
7601.34,7.43
7677.35,7.91
7754.13,8.38
7831.67,8.64
7909.98,8.89
7989.08,9.15
8068.98,8.93
8149.67,8.63
8231.16,8.34
8313.47,7.65
8396.61,6.84
8480.57,6.03
8565.38,5.06
8651.03,4.06
8737.54,3.05
8824.92,2.10
8913.17,1.16
9002.30,0.22
9092.32,-0.57
9183.25,-1.35
9275.08,-2.10
9367.83,-2.74
9461.51,-3.38
9556.12,-3.94
9651.68,-4.45
9748.20,-4.96
9845.68,-5.36
9944.14,-5.76
10043.58,-6.10
10144.02,-6.39
10245.46,-6.67
10347.91,-6.90
10451.39,-7.07
10555.91,-7.24
10661.46,-7.35
10768.08,-7.40
10875.76,-7.46
10984.52,-7.44
11094.36,-7.38
11205.31,-7.33
11317.36,-7.17
11430.53,-7.01
11544.84,-6.82
11660.29,-6.59
11776.89,-6.35
11894.66,-6.11
12013.60,-5.87
12133.74,-5.63
12255.08,-5.45
12377.63,-5.35
12501.41,-5.25
12626.42,-5.37
12752.68,-5.49
12880.21,-5.79
13009.01,-6.18
13139.10,-6.58
13270.49,-7.06
13403.20,-7.61
13537.23,-8.16
13672.60,-8.69
13809.33,-9.20
13947.42,-9.71
14086.90,-10.09
14227.77,-10.38
14370.04,-10.67
14513.74,-10.93
14658.88,-10.89
14805.47,-10.84
14953.52,-10.80
15103.06,-10.65
15254.09,-10.44
15406.63,-10.23
15560.70,-10.18
15716.30,-10.37
15873.47,-10.55
16032.20,-10.88
16192.52,-11.78
16354.45,-12.67
16517.99,-13.60
16683.17,-14.82
16850.01,-16.04
17018.51,-17.24
17188.69,-18.29
17360.58,-19.35
17534.18,-20.33
17709.53,-21.05
17886.62,-21.77
18065.49,-22.40
18246.14,-22.87
18428.60,-23.34
18612.89,-23.76
18799.02,-24.15
18987.01,-24.53
19176.88,-25.00
19368.65,-25.47
19562.33,-25.93
19757.96,-26.38
19955.54,-26.83
