frequency,raw
20.00,3.94
20.20,3.97
20.40,4.00
20.61,4.03
20.81,4.05
21.02,4.07
21.23,4.10
21.44,4.12
21.66,4.14
21.87,4.17
22.09,4.19
22.31,4.21
22.54,4.24
22.76,4.26
22.99,4.28
23.22,4.30
23.45,4.31
23.69,4.33
23.92,4.35
24.16,4.37
24.40,4.38
24.65,4.40
24.89,4.41
25.14,4.43
25.39,4.44
25.65,4.46
25.91,4.47
26.16,4.49
26.43,4.51
26.69,4.52
26.96,4.54
27.23,4.55
27.50,4.56
27.77,4.58
28.05,4.59
28.33,4.60
28.62,4.61
28.90,4.62
29.19,4.63
29.48,4.64
29.78,4.66
30.08,4.67
30.38,4.68
30.68,4.69
30.99,4.69
31.30,4.70
31.61,4.71
31.93,4.71
32.24,4.72
32.57,4.73
32.89,4.73
33.22,4.74
33.55,4.75
33.89,4.77
34.23,4.78
34.57,4.79
34.92,4.80
35.27,4.82
35.62,4.82
35.97,4.83
36.33,4.83
36.70,4.82
37.06,4.82
37.43,4.81
37.81,4.81
38.19,4.80
38.57,4.79
38.95,4.80
39.34,4.80
39.74,4.80
40.14,4.81
40.54,4.81
40.94,4.82
41.35,4.82
41.76,4.82
42.18,4.81
42.60,4.81
43.03,4.80
43.46,4.80
43.90,4.79
44.33,4.79
44.78,4.78
45.23,4.78
45.68,4.78
46.13,4.78
46.60,4.78
47.06,4.78
47.53,4.78
48.01,4.78
48.49,4.78
48.97,4.78
49.46,4.77
49.96,4.77
50.46,4.77
50.96,4.76
51.47,4.75
51.99,4.75
52.51,4.74
53.03,4.73
53.56,4.72
54.10,4.72
54.64,4.71
55.18,4.70
55.74,4.69
56.29,4.68
56.86,4.67
57.42,4.66
58.00,4.65
58.58,4.64
59.16,4.63
59.76,4.62
60.35,4.60
60.96,4.59
61.57,4.57
62.18,4.56
62.80,4.54
63.43,4.53
64.07,4.51
64.71,4.50
65.35,4.48
66.01,4.47
66.67,4.46
67.33,4.44
68.01,4.43
68.69,4.41
69.37,4.39
70.07,4.38
70.77,4.36
71.48,4.35
72.19,4.33
72.91,4.31
73.64,4.30
74.38,4.28
75.12,4.26
75.87,4.24
76.63,4.22
77.40,4.21
78.17,4.18
78.95,4.16
79.74,4.14
80.54,4.11
81.35,4.09
82.16,4.07
82.98,4.04
83.81,4.02
84.65,4.00
85.50,3.98
86.35,3.95
87.22,3.93
88.09,3.91
88.97,3.88
89.86,3.86
90.76,3.83
91.66,3.81
92.58,3.78
93.51,3.75
94.44,3.73
95.39,3.70
96.34,3.68
97.30,3.65
98.28,3.62
99.26,3.60
100.25,3.57
101.25,3.54
102.27,3.51
103.29,3.49
104.32,3.46
105.37,3.43
106.42,3.40
107.48,3.37
108.56,3.34
109.64,3.31
110.74,3.28
111.85,3.25
112.97,3.22
114.10,3.19
115.24,3.16
116.39,3.13
117.55,3.10
118.73,3.06
119.92,3.03
121.12,3.00
122.33,2.96
123.55,2.93
124.79,2.90
126.03,2.86
127.29,2.83
128.57,2.80
129.85,2.76
131.15,2.73
132.46,2.69
133.79,2.66
135.12,2.62
136.48,2.59
137.84,2.55
139.22,2.52
140.61,2.48
142.02,2.44
143.44,2.41
144.87,2.37
146.32,2.33
147.78,2.29
149.26,2.26
150.75,2.22
152.26,2.18
153.78,2.14
155.32,2.10
156.88,2.06
158.44,2.03
160.03,1.99
161.63,1.94
163.24,1.90
164.88,1.86
166.53,1.82
168.19,1.78
169.87,1.73
171.57,1.69
173.29,1.64
175.02,1.60
176.77,1.55
178.54,1.50
180.32,1.45
182.13,1.39
183.95,1.34
185.79,1.28
187.65,1.23
189.52,1.17
191.42,1.13
193.33,1.09
195.27,1.06
197.22,1.06
199.19,1.06
201.18,1.06
203.19,1.06
205.23,1.07
207.28,1.06
209.35,1.05
211.44,1.03
213.56,1.01
215.69,0.99
217.85,0.97
220.03,0.95
222.23,0.92
224.45,0.90
226.70,0.87
228.96,0.84
231.25,0.81
233.57,0.77
235.90,0.74
238.26,0.70
240.64,0.66
243.05,0.62
245.48,0.58
247.93,0.54
250.41,0.51
252.92,0.47
255.45,0.43
258.00,0.40
260.58,0.36
263.19,0.32
265.82,0.29
268.48,0.25
271.16,0.22
273.87,0.18
276.61,0.15
279.38,0.12
282.17,0.08
284.99,0.05
287.84,0.01
290.72,-0.02
293.63,-0.05
296.57,-0.09
299.53,-0.12
302.53,-0.15
305.55,-0.18
308.61,-0.22
311.69,-0.25
314.81,-0.28
317.96,-0.31
321.14,-0.34
324.35,-0.37
327.59,-0.40
330.87,-0.42
334.18,-0.45
337.52,-0.48
340.90,-0.51
344.30,-0.53
347.75,-0.56
351.23,-0.59
354.74,-0.62
358.28,-0.65
361.87,-0.67
365.49,-0.70
369.14,-0.73
372.83,-0.75
376.56,-0.78
380.33,-0.81
384.13,-0.83
387.97,-0.86
391.85,-0.88
395.77,-0.90
399.73,-0.92
403.72,-0.95
407.76,-0.97
411.84,-0.99
415.96,-1.01
420.12,-1.03
424.32,-1.05
428.56,-1.07
432.85,-1.09
437.18,-1.11
441.55,-1.13
445.96,-1.15
450.42,-1.17
454.93,-1.18
459.48,-1.20
464.07,-1.22
468.71,-1.24
473.40,-1.25
478.13,-1.27
482.91,-1.28
487.74,-1.30
492.62,-1.31
497.55,-1.33
502.52,-1.34
507.55,-1.36
512.62,-1.37
517.75,-1.38
522.93,-1.39
528.16,-1.41
533.44,-1.42
538.77,-1.43
544.16,-1.44
549.60,-1.45
555.10,-1.46
560.65,-1.46
566.25,-1.47
571.92,-1.48
577.64,-1.49
583.41,-1.49
589.25,-1.50
595.14,-1.50
601.09,-1.51
607.10,-1.51
613.17,-1.51
619.30,-1.51
625.50,-1.51
631.75,-1.51
638.07,-1.51
644.45,-1.51
650.89,-1.51
657.40,-1.51
663.98,-1.50
670.62,-1.50
677.32,-1.49
684.10,-1.48
690.94,-1.48
697.85,-1.47
704.83,-1.46
711.87,-1.45
718.99,-1.43
726.18,-1.42
733.44,-1.40
740.78,-1.39
748.19,-1.37
755.67,-1.35
763.23,-1.33
770.86,-1.31
778.57,-1.28
