frequency,raw
20.00,7.49
20.20,7.50
20.40,7.51
20.61,7.52
20.81,7.52
21.02,7.53
21.23,7.54
21.44,7.54
21.66,7.55
21.87,7.56
22.09,7.56
22.31,7.57
22.54,7.58
22.76,7.58
22.99,7.59
23.22,7.59
23.45,7.60
23.69,7.60
23.92,7.61
24.16,7.61
24.40,7.61
24.65,7.62
24.89,7.62
25.14,7.62
25.39,7.62
25.65,7.63
25.91,7.63
26.16,7.63
26.43,7.63
26.69,7.63
26.96,7.63
27.23,7.63
27.50,7.63
27.77,7.63
28.05,7.63
28.33,7.63
28.62,7.63
28.90,7.63
29.19,7.63
29.48,7.63
29.78,7.63
30.08,7.63
30.38,7.62
30.68,7.62
30.99,7.62
31.30,7.62
31.61,7.61
31.93,7.61
32.24,7.61
32.57,7.60
32.89,7.60
33.22,7.60
33.55,7.59
33.89,7.59
34.23,7.58
34.57,7.58
34.92,7.57
35.27,7.56
35.62,7.56
35.97,7.55
36.33,7.54
36.70,7.54
37.06,7.53
37.43,7.52
37.81,7.51
38.19,7.50
38.57,7.50
38.95,7.49
39.34,7.48
39.74,7.47
40.14,7.46
40.54,7.45
40.94,7.43
41.35,7.42
41.76,7.41
42.18,7.40
42.60,7.39
43.03,7.37
43.46,7.36
43.90,7.34
44.33,7.33
44.78,7.31
45.23,7.30
45.68,7.28
46.13,7.26
46.60,7.24
47.06,7.22
47.53,7.20
48.01,7.18
48.49,7.16
48.97,7.14
49.46,7.12
49.96,7.09
50.46,7.07
50.96,7.04
51.47,7.01
51.99,6.98
52.51,6.95
53.03,6.92
53.56,6.88
54.10,6.85
54.64,6.81
55.18,6.77
55.74,6.74
56.29,6.70
56.86,6.65
57.42,6.61
58.00,6.57
58.58,6.53
59.16,6.48
59.76,6.44
60.35,6.39
60.96,6.34
61.57,6.29
62.18,6.24
62.80,6.19
63.43,6.14
64.07,6.09
64.71,6.04
65.35,5.98
66.01,5.93
66.67,5.87
67.33,5.82
68.01,5.76
68.69,5.71
69.37,5.65
70.07,5.59
70.77,5.53
71.48,5.48
72.19,5.42
72.91,5.36
73.64,5.30
74.38,5.24
75.12,5.18
75.87,5.11
76.63,5.05
77.40,4.99
78.17,4.92
78.95,4.86
79.74,4.79
80.54,4.73
81.35,4.66
82.16,4.60
82.98,4.53
83.81,4.46
84.65,4.39
85.50,4.32
86.35,4.25
87.22,4.18
88.09,4.11
88.97,4.04
89.86,3.97
90.76,3.90
91.66,3.83
92.58,3.76
93.51,3.68
94.44,3.61
95.39,3.53
96.34,3.46
97.30,3.39
98.28,3.31
99.26,3.24
100.25,3.16
101.25,3.08
102.27,3.01
103.29,2.93
104.32,2.85
105.37,2.78
106.42,2.70
107.48,2.62
108.56,2.54
109.64,2.47
110.74,2.39
111.85,2.31
112.97,2.23
114.10,2.16
115.24,2.08
116.39,2.00
117.55,1.92
118.73,1.84
119.92,1.76
121.12,1.69
122.33,1.61
123.55,1.53
124.79,1.46
126.03,1.38
127.29,1.30
128.57,1.23
129.85,1.15
131.15,1.07
132.46,1.00
133.79,0.92
135.12,0.85
136.48,0.78
137.84,0.70
139.22,0.63
140.61,0.56
142.02,0.49
143.44,0.42
144.87,0.35
146.32,0.28
147.78,0.21
149.26,0.15
150.75,0.08
152.26,0.01
153.78,-0.05
155.32,-0.11
156.88,-0.18
158.44,-0.24
160.03,-0.30
161.63,-0.36
163.24,-0.41
164.88,-0.47
166.53,-0.53
168.19,-0.58
169.87,-0.63
171.57,-0.69
173.29,-0.74
175.02,-0.79
176.77,-0.84
178.54,-0.88
180.32,-0.93
182.13,-0.97
183.95,-1.02
185.79,-1.06
187.65,-1.10
189.52,-1.14
191.42,-1.18
193.33,-1.22
195.27,-1.26
197.22,-1.29
199.19,-1.32
201.18,-1.36
203.19,-1.39
205.23,-1.42
207.28,-1.44
209.35,-1.47
211.44,-1.49
213.56,-1.51
215.69,-1.53
217.85,-1.54
220.03,-1.55
222.23,-1.56
224.45,-1.57
226.70,-1.57
228.96,-1.58
231.25,-1.58
233.57,-1.58
235.90,-1.59
238.26,-1.59
240.64,-1.60
243.05,-1.60
245.48,-1.60
247.93,-1.61
250.41,-1.61
252.92,-1.61
255.45,-1.61
258.00,-1.61
260.58,-1.61
263.19,-1.61
265.82,-1.61
268.48,-1.61
271.16,-1.61
273.87,-1.61
276.61,-1.61
279.38,-1.60
282.17,-1.60
284.99,-1.60
287.84,-1.60
