frequency,raw
20.00,5.54
20.20,5.58
20.40,5.62
20.61,5.65
20.81,5.68
21.02,5.72
21.23,5.75
21.44,5.78
21.66,5.82
21.87,5.85
22.09,5.89
22.31,5.93
22.54,5.97
22.76,6.01
22.99,6.05
23.22,6.08
23.45,6.11
23.69,6.15
23.92,6.17
24.16,6.20
24.40,6.23
24.65,6.25
24.89,6.28
25.14,6.31
25.39,6.33
25.65,6.36
25.91,6.38
26.16,6.40
26.43,6.43
26.69,6.45
26.96,6.47
27.23,6.49
27.50,6.51
27.77,6.53
28.05,6.55
28.33,6.57
28.62,6.59
28.90,6.61
29.19,6.62
29.48,6.64
29.78,6.65
30.08,6.67
30.38,6.68
30.68,6.69
30.99,6.70
31.30,6.71
31.61,6.72
31.93,6.73
32.24,6.75
32.57,6.76
32.89,6.76
33.22,6.77
33.55,6.78
33.89,6.79
34.23,6.79
34.57,6.80
34.92,6.81
35.27,6.81
35.62,6.81
35.97,6.81
36.33,6.81
36.70,6.81
37.06,6.81
37.43,6.81
37.81,6.81
38.19,6.81
38.57,6.81
38.95,6.81
39.34,6.81
39.74,6.81
40.14,6.81
40.54,6.81
40.94,6.81
41.35,6.81
41.76,6.80
42.18,6.80
42.60,6.79
43.03,6.78
43.46,6.77
43.90,6.77
44.33,6.76
44.78,6.75
45.23,6.74
45.68,6.73
46.13,6.72
46.60,6.72
47.06,6.71
47.53,6.70
48.01,6.69
48.49,6.67
48.97,6.66
49.46,6.65
49.96,6.63
50.46,6.62
50.96,6.60
51.47,6.59
51.99,6.57
52.51,6.56
53.03,6.54
53.56,6.52
54.10,6.50
54.64,6.49
55.18,6.46
55.74,6.44
56.29,6.42
56.86,6.40
57.42,6.38
58.00,6.35
58.58,6.33
59.16,6.31
59.76,6.29
60.35,6.27
60.96,6.25
61.57,6.23
62.18,6.21
62.80,6.19
63.43,6.16
64.07,6.14
64.71,6.11
65.35,6.09
66.01,6.06
66.67,6.03
67.33,6.00
68.01,5.97
68.69,5.95
69.37,5.92
70.07,5.89
70.77,5.86
71.48,5.83
72.19,5.79
72.91,5.76
73.64,5.73
74.38,5.70
75.12,5.66
75.87,5.63
76.63,5.60
77.40,5.56
78.17,5.53
78.95,5.50
79.74,5.46
80.54,5.43
81.35,5.40
82.16,5.37
82.98,5.33
83.81,5.30
84.65,5.26
85.50,5.22
86.35,5.18
87.22,5.15
88.09,5.11
88.97,5.07
89.86,5.03
90.76,4.99
91.66,4.95
92.58,4.91
93.51,4.87
94.44,4.83
95.39,4.79
96.34,4.75
97.30,4.71
98.28,4.66
99.26,4.62
100.25,4.58
101.25,4.53
102.27,4.49
103.29,4.45
104.32,4.40
105.37,4.36
106.42,4.32
107.48,4.27
108.56,4.23
109.64,4.19
110.74,4.14
111.85,4.10
112.97,4.05
114.10,4.00
115.24,3.96
116.39,3.91
117.55,3.87
118.73,3.83
119.92,3.78
121.12,3.73
122.33,3.69
123.55,3.64
124.79,3.59
126.03,3.54
127.29,3.49
128.57,3.44
129.85,3.40
131.15,3.35
132.46,3.30
133.79,3.25
135.12,3.20
136.48,3.16
137.84,3.11
139.22,3.06
140.61,3.01
142.02,2.96
143.44,2.91
144.87,2.87
146.32,2.82
147.78,2.77
149.26,2.72
150.75,2.67
152.26,2.62
153.78,2.57
155.32,2.52
156.88,2.47
158.44,2.42
160.03,2.37
161.63,2.32
163.24,2.27
164.88,2.22
166.53,2.17
168.19,2.12
169.87,2.07
171.57,2.02
173.29,1.97
175.02,1.92
176.77,1.87
178.54,1.82
180.32,1.77
182.13,1.72
183.95,1.67
185.79,1.63
187.65,1.57
189.52,1.52
191.42,1.47
193.33,1.42
195.27,1.38
197.22,1.32
199.19,1.27
201.18,1.22
203.19,1.17
205.23,1.12
207.28,1.07
209.35,1.02
211.44,0.97
213.56,0.92
215.69,0.88
217.85,0.84
220.03,0.81
222.23,0.78
224.45,0.74
226.70,0.71
228.96,0.68
231.25,0.65
233.57,0.62
235.90,0.58
238.26,0.55
240.64,0.51
243.05,0.47
245.48,0.43
247.93,0.39
250.41,0.36
252.92,0.31
255.45,0.27
258.00,0.23
260.58,0.19
263.19,0.15
265.82,0.11
268.48,0.07
271.16,0.03
273.87,-0.01
276.61,-0.05
279.38,-0.08
282.17,-0.12
284.99,-0.16
287.84,-0.19
290.72,-0.23
293.63,-0.26
296.57,-0.30
299.53,-0.33
302.53,-0.36
305.55,-0.40
308.61,-0.43
311.69,-0.46
314.81,-0.50
317.96,-0.53
321.14,-0.56
324.35,-0.59
327.59,-0.62
330.87,-0.66
334.18,-0.69
337.52,-0.72
340.90,-0.75
344.30,-0.78
347.75,-0.81
351.23,-0.83
354.74,-0.86
358.28,-0.89
361.87,-0.91
365.49,-0.94
369.14,-0.96
372.83,-0.99
376.56,-1.01
380.33,-1.04
384.13,-1.06
387.97,-1.08
391.85,-1.11
395.77,-1.13
399.73,-1.15
403.72,-1.17
407.76,-1.19
411.84,-1.21
415.96,-1.23
420.12,-1.25
424.32,-1.27
428.56,-1.29
432.85,-1.31
437.18,-1.33
441.55,-1.34
445.96,-1.36
450.42,-1.37
454.93,-1.39
459.48,-1.40
464.07,-1.41
468.71,-1.42
473.40,-1.43
478.13,-1.44
482.91,-1.45
487.74,-1.46
492.62,-1.47
497.55,-1.49
502.52,-1.50
507.55,-1.51
512.62,-1.52
517.75,-1.53
522.93,-1.53
528.16,-1.54
533.44,-1.55
538.77,-1.55
544.16,-1.55
549.60,-1.56
555.10,-1.56
560.65,-1.56
566.25,-1.56
571.92,-1.56
577.64,-1.57
583.41,-1.57
589.25,-1.57
595.14,-1.57
601.09,-1.57
607.10,-1.58
613.17,-1.58
619.30,-1.58
625.50,-1.58
631.75,-1.58
638.07,-1.58
644.45,-1.57
650.89,-1.57
657.40,-1.57
663.98,-1.56
670.62,-1.56
677.32,-1.55
684.10,-1.54
690.94,-1.53
697.85,-1.52
704.83,-1.51
711.87,-1.49
718.99,-1.48
726.18,-1.47
733.44,-1.45
740.78,-1.43
748.19,-1.41
755.67,-1.39
763.23,-1.37
770.86,-1.35
778.57,-1.33
786.35,-1.30
794.22,-1.28
802.16,-1.26
810.18,-1.23
818.28,-1.20
826.46,-1.17
834.73,-1.13
843.08,-1.09
851.51,-1.06
860.02,-1.01
868.62,-0.97
877.31,-0.92
886.08,-0.87
894.94,-0.82
903.89,-0.76
912.93,-0.70
922.06,-0.64
931.28,-0.57
940.59,-0.50
950.00,-0.43
959.50,-0.35
969.09,-0.27
978.78,-0.18
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.24
1039.00,0.32
1049.39,0.40
1059.88,0.47
1070.48,0.55
1081.19,0.63
1092.00,0.71
1102.92,0.80
1113.95,0.88
1125.09,0.97
1136.34,1.06
1147.70,1.15
1159.18,1.23
1170.77,1.32
1182.48,1.41
1194.30,1.49
1206.25,1.58
1218.31,1.66
1230.49,1.74
1242.80,1.82
1255.22,1.90
1267.78,1.97
1280.45,2.05
1293.26,2.12
1306.19,2.19
1319.25,2.26
1332.45,2.33
1345.77,2.40
1359.23,2.47
1372.82,2.54
1386.55,2.61
1400.41,2.67
1414.42,2.74
1428.56,2.81
1442.85,2.87
1457.28,2.94
1471.85,3.01
1486.57,3.07
1501.43,3.14
1516.45,3.21
1531.61,3.27
1546.93,3.34
1562.40,3.41
1578.02,3.48
1593.80,3.55
1609.74,3.63
1625.84,3.70
1642.10,3.77
1658.52,3.85
1675.10,3.93
1691.85,4.01
1708.77,4.09
1725.86,4.18
1743.12,4.26
1760.55,4.35
1778.15,4.44
1795.94,4.53
1813.90,4.63
1832.03,4.72
1850.36,4.82
1868.86,4.92
1887.55,5.03
1906.42,5.13
1925.49,5.24
1944.74,5.35
1964.19,5.45
1983.83,5.56
2003.67,5.68
2023.71,5.79
2043.94,5.90
2064.38,6.01
2085.03,6.13
2105.88,6.24
2126.94,6.35
2148.20,6.46
2169.69,6.58
2191.38,6.68
2213.30,6.79
2235.43,6.89
2257.78,6.99
2280.36,7.09
2303.17,7.18
2326.20,7.26
2349.46,7.34
2372.95,7.41
2396.68,7.47
2420.65,7.52
2444.86,7.57
2469.31,7.60
2494.00,7.63
2518.94,7.65
2544.13,7.66
2569.57,7.67
2595.27,7.66
2621.22,7.64
2647.43,7.62
2673.90,7.58
2700.64,7.53
2727.65,7.47
2754.93,7.39
2782.48,7.31
2810.30,7.22
2838.40,7.11
2866.79,6.99
2895.46,6.88
2924.41,6.75
2953.65,6.61
2983.19,6.48
3013.02,6.33
3043.15,6.18
3073.58,6.03
3104.32,5.87
3135.36,5.72
3166.72,5.56
3198.38,5.40
3230.37,5.24
3262.67,5.08
3295.30,4.92
3328.25,4.76
3361.53,4.60
3395.15,4.44
3429.10,4.29
3463.39,4.14
3498.03,3.99
3533.01,3.85
3568.34,3.70
3604.02,3.57
3640.06,3.43
3676.46,3.30
3713.22,3.17
3750.36,3.04
3787.86,2.92
3825.74,2.80
3864.00,2.68
3902.64,2.56
3941.66,2.44
3981.08,2.33
4020.89,2.22
4061.10,2.11
4101.71,2.01
4142.73,1.92
4184.15,1.85
4226.00,1.78
4268.26,1.75
4310.94,1.77
4354.05,1.79
4397.59,1.86
4441.56,1.97
4485.98,2.07
4530.84,2.18
4576.15,2.28
4621.91,2.38
4668.13,2.40
4714.81,2.43
4761.96,2.44
4809.58,2.41
4857.67,2.37
4906.25,2.30
4955.31,2.23
5004.87,2.15
5054.91,2.06
5105.46,1.96
5156.52,1.87
5208.08,1.76
5260.16,1.66
5312.77,1.56
5365.89,1.46
5419.55,1.36
5473.75,1.26
5528.49,1.17
5583.77,1.07
5639.61,0.98
5696.00,0.89
5752.96,0.80
5810.49,0.71
