frequency,raw
20.00,5.27
20.20,5.29
20.40,5.31
20.61,5.33
20.81,5.36
21.02,5.38
21.23,5.41
21.44,5.44
21.66,5.46
21.87,5.49
22.09,5.52
22.31,5.54
22.54,5.57
22.76,5.59
22.99,5.61
23.22,5.64
23.45,5.66
23.69,5.68
23.92,5.70
24.16,5.72
24.40,5.75
24.65,5.77
24.89,5.79
25.14,5.82
25.39,5.84
25.65,5.86
25.91,5.88
26.16,5.90
26.43,5.92
26.69,5.95
26.96,5.97
27.23,5.99
27.50,6.01
27.77,6.04
28.05,6.06
28.33,6.07
28.62,6.09
28.90,6.11
29.19,6.13
29.48,6.15
29.78,6.16
30.08,6.18
30.38,6.20
30.68,6.22
30.99,6.24
31.30,6.25
31.61,6.27
31.93,6.29
32.24,6.31
32.57,6.33
32.89,6.35
33.22,6.37
33.55,6.39
33.89,6.41
34.23,6.43
34.57,6.45
34.92,6.48
35.27,6.50
35.62,6.52
35.97,6.54
36.33,6.56
36.70,6.58
37.06,6.61
37.43,6.63
37.81,6.65
38.19,6.67
38.57,6.69
38.95,6.70
39.34,6.72
39.74,6.74
40.14,6.76
40.54,6.79
40.94,6.81
41.35,6.83
41.76,6.86
42.18,6.88
42.60,6.90
43.03,6.92
43.46,6.94
43.90,6.96
44.33,6.98
44.78,7.00
45.23,7.02
45.68,7.04
46.13,7.06
46.60,7.08
47.06,7.11
47.53,7.13
48.01,7.15
48.49,7.17
48.97,7.19
49.46,7.21
49.96,7.23
50.46,7.25
50.96,7.27
51.47,7.29
51.99,7.31
52.51,7.33
53.03,7.35
53.56,7.37
54.10,7.39
54.64,7.41
55.18,7.43
55.74,7.45
56.29,7.47
56.86,7.49
57.42,7.51
58.00,7.53
58.58,7.55
59.16,7.56
59.76,7.58
60.35,7.60
60.96,7.62
61.57,7.64
62.18,7.66
62.80,7.68
63.43,7.70
64.07,7.72
64.71,7.74
65.35,7.75
66.01,7.77
66.67,7.79
67.33,7.80
68.01,7.81
68.69,7.83
69.37,7.84
70.07,7.85
70.77,7.87
71.48,7.88
72.19,7.90
72.91,7.92
73.64,7.93
74.38,7.95
75.12,7.96
75.87,7.98
76.63,7.99
77.40,8.00
78.17,8.01
78.95,8.02
79.74,8.03
80.54,8.04
81.35,8.04
82.16,8.05
82.98,8.05
83.81,8.06
84.65,8.06
85.50,8.07
86.35,8.07
87.22,8.08
88.09,8.08
88.97,8.09
89.86,8.09
90.76,8.09
91.66,8.10
92.58,8.10
93.51,8.10
94.44,8.10
95.39,8.09
96.34,8.09
97.30,8.09
98.28,8.08
99.26,8.07
100.25,8.07
101.25,8.06
102.27,8.06
103.29,8.05
104.32,8.04
105.37,8.04
106.42,8.03
107.48,8.02
108.56,8.02
109.64,8.00
110.74,7.99
111.85,7.98
112.97,7.96
114.10,7.94
115.24,7.92
116.39,7.90
117.55,7.88
118.73,7.86
119.92,7.84
121.12,7.82
122.33,7.80
123.55,7.77
124.79,7.75
126.03,7.72
127.29,7.69
128.57,7.66
129.85,7.63
131.15,7.60
132.46,7.56
133.79,7.53
135.12,7.49
136.48,7.46
137.84,7.42
139.22,7.39
140.61,7.35
142.02,7.31
143.44,7.26
144.87,7.22
146.32,7.17
147.78,7.12
149.26,7.08
150.75,7.03
152.26,6.99
153.78,6.94
155.32,6.90
156.88,6.86
158.44,6.82
160.03,6.78
161.63,6.73
163.24,6.68
164.88,6.63
166.53,6.58
168.19,6.52
169.87,6.47
171.57,6.41
173.29,6.35
175.02,6.29
176.77,6.22
178.54,6.15
180.32,6.08
182.13,6.00
183.95,5.92
185.79,5.84
187.65,5.78
189.52,5.71
191.42,5.66
193.33,5.60
195.27,5.55
197.22,5.47
199.19,5.40
201.18,5.32
203.19,5.25
205.23,5.17
207.28,5.08
209.35,5.00
211.44,4.92
213.56,4.83
215.69,4.74
217.85,4.66
220.03,4.57
222.23,4.48
224.45,4.39
226.70,4.30
228.96,4.20
231.25,4.11
233.57,4.03
235.90,3.94
238.26,3.85
240.64,3.77
243.05,3.68
245.48,3.58
247.93,3.48
