frequency,raw
20.00,4.46
20.20,4.47
20.40,4.48
20.61,4.48
20.81,4.49
21.02,4.49
21.23,4.50
21.44,4.50
21.66,4.50
21.87,4.51
22.09,4.51
22.31,4.52
22.54,4.52
22.76,4.53
22.99,4.53
23.22,4.53
23.45,4.54
23.69,4.54
23.92,4.54
24.16,4.54
24.40,4.54
24.65,4.55
24.89,4.55
25.14,4.55
25.39,4.55
25.65,4.55
25.91,4.55
26.16,4.55
26.43,4.55
26.69,4.55
26.96,4.55
27.23,4.55
27.50,4.55
27.77,4.55
28.05,4.55
28.33,4.54
28.62,4.53
28.90,4.53
29.19,4.52
29.48,4.52
29.78,4.52
30.08,4.52
30.38,4.52
30.68,4.52
30.99,4.52
31.30,4.52
31.61,4.51
31.93,4.51
32.24,4.51
32.57,4.50
32.89,4.50
33.22,4.49
33.55,4.49
33.89,4.48
34.23,4.48
34.57,4.47
34.92,4.46
35.27,4.46
35.62,4.45
35.97,4.45
36.33,4.44
36.70,4.43
37.06,4.42
37.43,4.42
37.81,4.41
38.19,4.40
38.57,4.39
38.95,4.38
39.34,4.37
39.74,4.37
40.14,4.36
40.54,4.35
40.94,4.34
41.35,4.33
41.76,4.32
42.18,4.30
42.60,4.29
43.03,4.28
43.46,4.27
43.90,4.26
44.33,4.25
44.78,4.23
45.23,4.22
45.68,4.21
46.13,4.20
46.60,4.18
47.06,4.17
47.53,4.16
48.01,4.14
48.49,4.13
48.97,4.11
49.46,4.10
49.96,4.08
50.46,4.06
50.96,4.05
51.47,4.03
51.99,4.02
52.51,4.00
53.03,3.98
53.56,3.96
54.10,3.95
54.64,3.93
55.18,3.91
55.74,3.89
56.29,3.87
56.86,3.85
57.42,3.83
58.00,3.81
58.58,3.79
59.16,3.77
59.76,3.75
60.35,3.73
60.96,3.71
61.57,3.69
62.18,3.67
62.80,3.64
63.43,3.62
64.07,3.60
64.71,3.58
65.35,3.55
66.01,3.53
66.67,3.50
67.33,3.48
68.01,3.45
68.69,3.43
69.37,3.40
70.07,3.38
70.77,3.35
71.48,3.33
72.19,3.30
72.91,3.27
73.64,3.25
74.38,3.22
75.12,3.19
75.87,3.16
76.63,3.13
77.40,3.11
78.17,3.08
78.95,3.05
79.74,3.02
80.54,2.99
81.35,2.96
82.16,2.93
82.98,2.90
83.81,2.87
84.65,2.83
85.50,2.80
86.35,2.77
87.22,2.74
88.09,2.70
88.97,2.67
89.86,2.64
90.76,2.60
91.66,2.57
92.58,2.54
93.51,2.50
94.44,2.47
95.39,2.43
96.34,2.40
97.30,2.36
98.28,2.33
99.26,2.29
100.25,2.26
101.25,2.22
102.27,2.18
103.29,2.15
104.32,2.11
105.37,2.07
106.42,2.03
107.48,2.00
108.56,1.96
109.64,1.92
110.74,1.88
111.85,1.84
112.97,1.80
114.10,1.76
115.24,1.72
116.39,1.68
117.55,1.64
118.73,1.60
119.92,1.56
121.12,1.52
122.33,1.48
123.55,1.44
124.79,1.40
126.03,1.36
127.29,1.32
128.57,1.28
129.85,1.23
131.15,1.19
132.46,1.15
133.79,1.11
135.12,1.07
136.48,1.02
137.84,0.98
139.22,0.94
140.61,0.90
142.02,0.85
143.44,0.81
144.87,0.77
146.32,0.72
147.78,0.68
149.26,0.64
150.75,0.59
152.26,0.55
153.78,0.50
155.32,0.46
156.88,0.42
158.44,0.37
160.03,0.33
161.63,0.28
163.24,0.24
164.88,0.20
166.53,0.15
168.19,0.11
169.87,0.06
171.57,0.02
173.29,-0.03
175.02,-0.07
176.77,-0.12
178.54,-0.16
180.32,-0.21
182.13,-0.26
183.95,-0.30
185.79,-0.35
187.65,-0.40
189.52,-0.44
191.42,-0.49
193.33,-0.54
195.27,-0.58
197.22,-0.62
199.19,-0.66
201.18,-0.70
203.19,-0.73
205.23,-0.76
207.28,-0.79
209.35,-0.82
211.44,-0.84
213.56,-0.87
215.69,-0.89
217.85,-0.92
220.03,-0.95
222.23,-0.97
224.45,-1.00
226.70,-1.03
228.96,-1.05
231.25,-1.08
233.57,-1.12
235.90,-1.15
238.26,-1.18
240.64,-1.21
243.05,-1.25
245.48,-1.28
247.93,-1.32
250.41,-1.35
252.92,-1.39
255.45,-1.43
258.00,-1.46
260.58,-1.50
263.19,-1.54
265.82,-1.57
268.48,-1.61
271.16,-1.64
273.87,-1.68
276.61,-1.71
279.38,-1.75
282.17,-1.78
284.99,-1.81
287.84,-1.84
290.72,-1.88
293.63,-1.91
296.57,-1.94
299.53,-1.97
302.53,-2.00
305.55,-2.03
308.61,-2.05
311.69,-2.08
314.81,-2.11
317.96,-2.13
321.14,-2.16
324.35,-2.18
327.59,-2.21
330.87,-2.23
334.18,-2.26
337.52,-2.28
340.90,-2.30
344.30,-2.32
347.75,-2.34
351.23,-2.37
354.74,-2.39
358.28,-2.41
361.87,-2.42
365.49,-2.44
369.14,-2.46
372.83,-2.48
376.56,-2.49
380.33,-2.51
384.13,-2.52
387.97,-2.54
391.85,-2.55
395.77,-2.57
399.73,-2.58
403.72,-2.59
407.76,-2.61
411.84,-2.62
415.96,-2.63
420.12,-2.64
424.32,-2.65
428.56,-2.66
432.85,-2.67
437.18,-2.67
441.55,-2.68
445.96,-2.69
450.42,-2.69
454.93,-2.70
459.48,-2.71
464.07,-2.71
468.71,-2.71
473.40,-2.72
478.13,-2.72
482.91,-2.72
487.74,-2.72
492.62,-2.72
497.55,-2.72
502.52,-2.72
507.55,-2.71
512.62,-2.71
517.75,-2.71
522.93,-2.70
528.16,-2.70
533.44,-2.69
538.77,-2.69
544.16,-2.68
549.60,-2.67
555.10,-2.66
560.65,-2.65
566.25,-2.64
571.92,-2.63
577.64,-2.62
583.41,-2.61
589.25,-2.60
595.14,-2.58
601.09,-2.57
607.10,-2.55
613.17,-2.54
619.30,-2.52
625.50,-2.50
631.75,-2.48
638.07,-2.46
644.45,-2.44
650.89,-2.42
657.40,-2.39
663.98,-2.37
670.62,-2.35
677.32,-2.32
684.10,-2.29
690.94,-2.26
697.85,-2.23
704.83,-2.20
711.87,-2.17
718.99,-2.14
726.18,-2.10
733.44,-2.07
740.78,-2.03
748.19,-1.99
755.67,-1.95
763.23,-1.91
770.86,-1.87
778.57,-1.82
786.35,-1.78
794.22,-1.73
802.16,-1.68
810.18,-1.63
818.28,-1.58
826.46,-1.52
834.73,-1.46
843.08,-1.40
851.51,-1.34
860.02,-1.28
868.62,-1.21
877.31,-1.14
886.08,-1.07
894.94,-0.99
903.89,-0.92
912.93,-0.84
922.06,-0.76
931.28,-0.67
940.59,-0.59
950.00,-0.50
959.50,-0.40
969.09,-0.31
978.78,-0.21
988.57,-0.12
998.46,-0.02
1008.44,0.09
1018.53,0.19
1028.71,0.30
1039.00,0.40
1049.39,0.51
1059.88,0.62
1070.48,0.73
1081.19,0.84
1092.00,0.95
1102.92,1.06
1113.95,1.18
1125.09,1.30
1136.34,1.42
1147.70,1.54
1159.18,1.66
1170.77,1.78
1182.48,1.90
1194.30,2.01
1206.25,2.13
1218.31,2.24
1230.49,2.35
1242.80,2.45
1255.22,2.56
1267.78,2.66
1280.45,2.76
1293.26,2.84
1306.19,2.92
1319.25,3.01
1332.45,3.07
1345.77,3.13
1359.23,3.19
1372.82,3.25
1386.55,3.31
1400.41,3.36
1414.42,3.46
1428.56,3.55
1442.85,3.64
1457.28,3.74
1471.85,3.86
1486.57,3.97
1501.43,4.08
1516.45,4.18
1531.61,4.29
1546.93,4.39
1562.40,4.49
1578.02,4.59
1593.80,4.69
1609.74,4.79
1625.84,4.88
1642.10,4.98
1658.52,5.07
1675.10,5.16
1691.85,5.26
1708.77,5.35
1725.86,5.45
1743.12,5.54
1760.55,5.64
1778.15,5.73
1795.94,5.83
1813.90,5.93
1832.03,6.03
1850.36,6.12
1868.86,6.22
1887.55,6.32
1906.42,6.43
1925.49,6.53
1944.74,6.63
1964.19,6.73
1983.83,6.84
2003.67,6.94
2023.71,7.05
2043.94,7.15
2064.38,7.26
2085.03,7.37
2105.88,7.48
2126.94,7.59
