frequency,raw
20.00,8.18
20.20,8.17
20.40,8.16
20.61,8.15
20.81,8.14
21.02,8.13
21.23,8.12
21.44,8.11
21.66,8.10
21.87,8.09
22.09,8.08
22.31,8.07
22.54,8.06
22.76,8.04
22.99,8.03
23.22,8.02
23.45,8.00
23.69,7.99
23.92,7.97
24.16,7.96
24.40,7.95
24.65,7.94
24.89,7.93
25.14,7.91
25.39,7.90
25.65,7.89
25.91,7.87
26.16,7.86
26.43,7.84
26.69,7.83
26.96,7.82
27.23,7.81
27.50,7.79
27.77,7.78
28.05,7.77
28.33,7.74
28.62,7.72
28.90,7.70
29.19,7.68
29.48,7.65
29.78,7.63
30.08,7.61
30.38,7.59
30.68,7.57
30.99,7.54
31.30,7.52
31.61,7.49
31.93,7.47
32.24,7.44
32.57,7.41
32.89,7.38
33.22,7.36
33.55,7.33
33.89,7.31
34.23,7.28
34.57,7.26
34.92,7.23
35.27,7.21
35.62,7.18
35.97,7.16
36.33,7.13
36.70,7.10
37.06,7.07
37.43,7.04
37.81,7.01
38.19,6.98
38.57,6.95
38.95,6.93
39.34,6.90
39.74,6.87
40.14,6.84
40.54,6.81
40.94,6.79
41.35,6.76
41.76,6.72
42.18,6.68
42.60,6.65
43.03,6.61
43.46,6.58
43.90,6.55
44.33,6.51
44.78,6.48
45.23,6.44
45.68,6.41
46.13,6.37
46.60,6.33
47.06,6.29
47.53,6.25
48.01,6.21
48.49,6.17
48.97,6.13
49.46,6.09
49.96,6.05
50.46,6.01
50.96,5.97
51.47,5.93
51.99,5.88
52.51,5.84
53.03,5.80
53.56,5.75
54.10,5.71
54.64,5.66
55.18,5.62
55.74,5.58
56.29,5.53
56.86,5.49
57.42,5.45
58.00,5.40
58.58,5.36
59.16,5.31
59.76,5.26
60.35,5.22
60.96,5.17
61.57,5.12
62.18,5.07
62.80,5.02
63.43,4.97
64.07,4.92
64.71,4.87
65.35,4.82
66.01,4.77
66.67,4.72
67.33,4.67
68.01,4.62
68.69,4.57
69.37,4.51
70.07,4.46
70.77,4.41
71.48,4.36
72.19,4.31
72.91,4.26
73.64,4.20
74.38,4.15
75.12,4.10
75.87,4.04
76.63,3.98
77.40,3.93
78.17,3.87
78.95,3.82
79.74,3.76
80.54,3.71
81.35,3.65
82.16,3.59
82.98,3.54
83.81,3.48
84.65,3.43
85.50,3.38
86.35,3.32
87.22,3.27
88.09,3.21
88.97,3.16
89.86,3.10
90.76,3.05
91.66,2.99
92.58,2.94
93.51,2.88
94.44,2.82
95.39,2.77
96.34,2.72
97.30,2.66
98.28,2.61
99.26,2.55
100.25,2.50
101.25,2.45
102.27,2.39
103.29,2.34
104.32,2.29
105.37,2.23
106.42,2.18
107.48,2.13
108.56,2.08
109.64,2.02
110.74,1.97
111.85,1.92
112.97,1.87
114.10,1.82
115.24,1.77
116.39,1.72
117.55,1.67
118.73,1.62
119.92,1.57
121.12,1.52
122.33,1.48
123.55,1.43
124.79,1.39
126.03,1.34
127.29,1.30
128.57,1.26
129.85,1.21
131.15,1.16
132.46,1.12
133.79,1.08
135.12,1.03
136.48,0.99
137.84,0.95
139.22,0.91
140.61,0.87
142.02,0.83
143.44,0.79
144.87,0.75
146.32,0.71
147.78,0.67
