frequency,raw
20.00,9.17
20.20,9.15
20.40,9.14
20.61,9.13
20.81,9.11
21.02,9.09
21.23,9.08
21.44,9.06
21.66,9.05
21.87,9.03
22.09,9.01
22.31,9.00
22.54,8.98
22.76,8.96
22.99,8.94
23.22,8.91
23.45,8.89
23.69,8.87
23.92,8.85
24.16,8.83
24.40,8.81
24.65,8.79
24.89,8.77
25.14,8.75
25.39,8.73
25.65,8.71
25.91,8.69
26.16,8.66
26.43,8.64
26.69,8.62
26.96,8.59
27.23,8.56
27.50,8.54
27.77,8.51
28.05,8.49
28.33,8.46
28.62,8.44
28.90,8.41
29.19,8.38
29.48,8.35
29.78,8.33
30.08,8.30
30.38,8.26
30.68,8.23
30.99,8.20
31.30,8.17
31.61,8.14
31.93,8.11
32.24,8.07
32.57,8.04
32.89,8.01
33.22,7.98
33.55,7.95
33.89,7.92
34.23,7.88
34.57,7.85
34.92,7.81
35.27,7.78
35.62,7.74
35.97,7.71
36.33,7.67
36.70,7.64
37.06,7.60
37.43,7.57
37.81,7.53
38.19,7.49
38.57,7.45
38.95,7.41
39.34,7.37
39.74,7.33
40.14,7.29
40.54,7.25
40.94,7.21
41.35,7.17
41.76,7.12
42.18,7.08
42.60,7.04
43.03,6.99
43.46,6.95
43.90,6.90
44.33,6.86
44.78,6.81
45.23,6.76
45.68,6.72
46.13,6.67
46.60,6.62
47.06,6.57
47.53,6.52
48.01,6.47
48.49,6.42
48.97,6.37
49.46,6.32
49.96,6.27
50.46,6.22
50.96,6.17
51.47,6.12
51.99,6.07
52.51,6.01
53.03,5.96
53.56,5.90
54.10,5.84
54.64,5.79
55.18,5.73
55.74,5.67
56.29,5.62
56.86,5.56
57.42,5.51
58.00,5.45
58.58,5.39
59.16,5.33
59.76,5.26
60.35,5.20
60.96,5.14
61.57,5.07
62.18,5.01
62.80,4.95
63.43,4.89
64.07,4.83
64.71,4.77
65.35,4.70
66.01,4.64
66.67,4.57
67.33,4.50
68.01,4.44
68.69,4.37
69.37,4.30
70.07,4.23
70.77,4.16
71.48,4.09
72.19,4.02
72.91,3.94
73.64,3.87
74.38,3.80
75.12,3.72
75.87,3.65
76.63,3.58
77.40,3.51
78.17,3.43
78.95,3.36
79.74,3.29
80.54,3.21
81.35,3.14
82.16,3.06
82.98,2.99
83.81,2.91
84.65,2.83
85.50,2.76
86.35,2.68
87.22,2.60
88.09,2.52
88.97,2.44
89.86,2.36
90.76,2.28
91.66,2.20
92.58,2.11
93.51,2.03
94.44,1.95
95.39,1.87
96.34,1.78
97.30,1.70
98.28,1.62
99.26,1.53
100.25,1.45
101.25,1.37
102.27,1.28
103.29,1.20
104.32,1.12
105.37,1.03
106.42,0.95
107.48,0.87
108.56,0.78
109.64,0.70
110.74,0.61
111.85,0.53
112.97,0.44
114.10,0.35
115.24,0.27
116.39,0.19
117.55,0.10
118.73,0.02
119.92,-0.06
121.12,-0.14
122.33,-0.22
123.55,-0.30
124.79,-0.39
126.03,-0.47
127.29,-0.55
128.57,-0.63
129.85,-0.71
131.15,-0.80
132.46,-0.88
133.79,-0.96
135.12,-1.04
136.48,-1.12
137.84,-1.20
139.22,-1.28
140.61,-1.36
142.02,-1.44
143.44,-1.51
144.87,-1.59
146.32,-1.66
147.78,-1.72
149.26,-1.79
150.75,-1.85
152.26,-1.91
153.78,-1.97
155.32,-2.02
156.88,-2.08
158.44,-2.13
160.03,-2.18
161.63,-2.23
163.24,-2.27
164.88,-2.32
166.53,-2.37
168.19,-2.41
169.87,-2.46
171.57,-2.51
173.29,-2.56
175.02,-2.61
176.77,-2.64
178.54,-2.68
180.32,-2.71
182.13,-2.74
183.95,-2.76
185.79,-2.79
187.65,-2.81
189.52,-2.84
191.42,-2.87
193.33,-2.89
195.27,-2.92
197.22,-2.94
199.19,-2.97
201.18,-2.99
203.19,-3.01
205.23,-3.02
207.28,-3.04
209.35,-3.06
211.44,-3.07
213.56,-3.09
215.69,-3.10
217.85,-3.11
220.03,-3.12
222.23,-3.13
224.45,-3.14
226.70,-3.15
228.96,-3.16
231.25,-3.17
233.57,-3.17
235.90,-3.18
238.26,-3.18
240.64,-3.18
243.05,-3.19
245.48,-3.18
247.93,-3.18
250.41,-3.17
252.92,-3.17
255.45,-3.16
258.00,-3.16
260.58,-3.15
263.19,-3.15
265.82,-3.14
268.48,-3.13
271.16,-3.13
273.87,-3.12
276.61,-3.11
279.38,-3.10
282.17,-3.10
284.99,-3.09
287.84,-3.08
290.72,-3.07
293.63,-3.05
296.57,-3.04
299.53,-3.03
302.53,-3.02
305.55,-3.01
308.61,-3.00
311.69,-2.98
314.81,-2.97
317.96,-2.96
321.14,-2.95
324.35,-2.93
327.59,-2.92
330.87,-2.91
334.18,-2.90
337.52,-2.89
340.90,-2.87
344.30,-2.86
347.75,-2.85
351.23,-2.84
354.74,-2.83
358.28,-2.81
361.87,-2.80
365.49,-2.78
369.14,-2.77
372.83,-2.75
376.56,-2.73
380.33,-2.71
384.13,-2.69
387.97,-2.67
391.85,-2.65
395.77,-2.63
399.73,-2.61
403.72,-2.59
407.76,-2.57
411.84,-2.55
415.96,-2.53
420.12,-2.52
424.32,-2.50
428.56,-2.48
432.85,-2.47
437.18,-2.45
441.55,-2.44
445.96,-2.43
450.42,-2.41
454.93,-2.40
459.48,-2.39
464.07,-2.37
468.71,-2.36
473.40,-2.35
478.13,-2.33
482.91,-2.32
487.74,-2.31
492.62,-2.30
497.55,-2.29
502.52,-2.28
507.55,-2.26
512.62,-2.25
517.75,-2.24
522.93,-2.23
528.16,-2.22
533.44,-2.21
538.77,-2.20
544.16,-2.19
549.60,-2.18
555.10,-2.16
560.65,-2.15
566.25,-2.14
571.92,-2.13
577.64,-2.11
583.41,-2.10
589.25,-2.09
595.14,-2.07
601.09,-2.06
607.10,-2.04
613.17,-2.03
619.30,-2.01
625.50,-2.00
631.75,-1.98
638.07,-1.97
644.45,-1.95
650.89,-1.93
657.40,-1.92
663.98,-1.90
670.62,-1.88
677.32,-1.86
684.10,-1.84
690.94,-1.82
697.85,-1.79
704.83,-1.77
711.87,-1.75
718.99,-1.72
726.18,-1.70
733.44,-1.67
740.78,-1.64
748.19,-1.61
755.67,-1.58
763.23,-1.55
770.86,-1.52
778.57,-1.48
786.35,-1.45
794.22,-1.41
802.16,-1.37
810.18,-1.33
818.28,-1.29
826.46,-1.24
834.73,-1.20
843.08,-1.15
851.51,-1.10
860.02,-1.05
868.62,-0.99
877.31,-0.94
886.08,-0.88
894.94,-0.82
903.89,-0.75
912.93,-0.69
922.06,-0.62
931.28,-0.55
940.59,-0.48
950.00,-0.41
959.50,-0.33
969.09,-0.26
978.78,-0.18
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.24
1039.00,0.33
1049.39,0.42
1059.88,0.51
1070.48,0.59
1081.19,0.68
1092.00,0.77
1102.92,0.86
1113.95,0.95
1125.09,1.04
1136.34,1.12
1147.70,1.21
1159.18,1.30
1170.77,1.38
1182.48,1.47
1194.30,1.55
1206.25,1.63
1218.31,1.71
1230.49,1.79
1242.80,1.87
1255.22,1.94
1267.78,2.02
1280.45,2.09
1293.26,2.16
1306.19,2.24
1319.25,2.31
1332.45,2.38
1345.77,2.45
1359.23,2.52
1372.82,2.59
1386.55,2.65
1400.41,2.72
1414.42,2.79
1428.56,2.86
1442.85,2.93
1457.28,2.99
1471.85,3.06
1486.57,3.13
1501.43,3.20
1516.45,3.27
1531.61,3.34
1546.93,3.41
1562.40,3.49
1578.02,3.56
1593.80,3.64
1609.74,3.71
1625.84,3.79
1642.10,3.87
1658.52,3.95
1675.10,4.03
1691.85,4.12
1708.77,4.20
1725.86,4.29
1743.12,4.38
1760.55,4.47
1778.15,4.57
1795.94,4.66
1813.90,4.76
1832.03,4.86
1850.36,4.96
1868.86,5.07
1887.55,5.17
1906.42,5.28
1925.49,5.39
1944.74,5.50
1964.19,5.62
1983.83,5.74
2003.67,5.85
2023.71,5.97
2043.94,6.09
2064.38,6.21
2085.03,6.34
2105.88,6.46
2126.94,6.58
2148.20,6.71
2169.69,6.83
2191.38,6.95
2213.30,7.07
2235.43,7.19
2257.78,7.31
2280.36,7.43
2303.17,7.54
2326.20,7.64
2349.46,7.75
2372.95,7.85
2396.68,7.94
2420.65,8.03
2444.86,8.11
2469.31,8.18
2494.00,8.25
2518.94,8.30
2544.13,8.34
2569.57,8.39
2595.27,8.42
2621.22,8.44
2647.43,8.46
2673.90,8.46
2700.64,8.46
2727.65,8.46
2754.93,8.45
2782.48,8.44
2810.30,8.42
2838.40,8.39
2866.79,8.36
2895.46,8.33
2924.41,8.28
2953.65,8.23
2983.19,8.17
3013.02,8.11
3043.15,8.04
3073.58,7.97
3104.32,7.89
3135.36,7.81
3166.72,7.72
3198.38,7.64
3230.37,7.56
3262.67,7.48
3295.30,7.40
3328.25,7.31
3361.53,7.24
3395.15,7.16
3429.10,7.08
3463.39,7.00
3498.03,6.92
3533.01,6.84
3568.34,6.75
3604.02,6.65
3640.06,6.55
3676.46,6.43
3713.22,6.29
3750.36,6.16
3787.86,6.02
3825.74,5.87
3864.00,5.73
3902.64,5.66
3941.66,5.59
3981.08,5.53
4020.89,5.51
4061.10,5.55
4101.71,5.58
4142.73,5.64
4184.15,5.71
4226.00,5.79
4268.26,5.85
4310.94,5.89
4354.05,5.94
4397.59,5.92
4441.56,5.88
4485.98,5.83
4530.84,5.71
4576.15,5.55
4621.91,5.39
4668.13,5.12
4714.81,4.86
4761.96,4.57
4809.58,4.22
4857.67,3.87
4906.25,3.47
4955.31,3.06
5004.87,2.65
5054.91,2.22
5105.46,1.78
5156.52,1.35
5208.08,0.92
5260.16,0.49
5312.77,0.06
5365.89,-0.34
5419.55,-0.74
5473.75,-1.12
5528.49,-1.48
5583.77,-1.83
5639.61,-2.14
5696.00,-2.42
5752.96,-2.71
5810.49,-2.97
5868.60,-3.16
5927.28,-3.34
5986.56,-3.53
6046.42,-3.63
