frequency,raw
20.00,8.15
20.20,8.17
20.40,8.19
20.61,8.22
20.81,8.22
21.02,8.23
21.23,8.24
21.44,8.24
21.66,8.25
21.87,8.26
22.09,8.29
22.31,8.31
22.54,8.33
22.76,8.36
22.99,8.39
23.22,8.41
23.45,8.44
23.69,8.46
23.92,8.48
24.16,8.50
24.40,8.53
24.65,8.55
24.89,8.58
25.14,8.60
25.39,8.61
25.65,8.62
25.91,8.62
26.16,8.62
26.43,8.61
26.69,8.61
26.96,8.62
27.23,8.63
27.50,8.65
27.77,8.67
28.05,8.68
28.33,8.68
28.62,8.68
28.90,8.68
29.19,8.67
29.48,8.66
29.78,8.66
30.08,8.65
30.38,8.65
30.68,8.66
30.99,8.65
31.30,8.64
31.61,8.64
31.93,8.63
32.24,8.61
32.57,8.60
32.89,8.60
33.22,8.59
33.55,8.59
33.89,8.57
34.23,8.56
34.57,8.55
34.92,8.54
35.27,8.53
35.62,8.52
35.97,8.52
36.33,8.51
36.70,8.50
37.06,8.49
37.43,8.47
37.81,8.46
38.19,8.44
38.57,8.43
38.95,8.42
39.34,8.41
39.74,8.40
40.14,8.39
40.54,8.37
40.94,8.36
41.35,8.35
41.76,8.32
42.18,8.30
42.60,8.27
43.03,8.25
43.46,8.23
43.90,8.21
44.33,8.19
44.78,8.17
45.23,8.15
45.68,8.12
46.13,8.09
46.60,8.06
47.06,8.04
47.53,8.01
48.01,7.98
48.49,7.95
48.97,7.92
49.46,7.89
49.96,7.86
50.46,7.82
50.96,7.79
51.47,7.76
51.99,7.72
52.51,7.69
53.03,7.66
53.56,7.62
54.10,7.58
54.64,7.55
55.18,7.52
55.74,7.48
56.29,7.45
56.86,7.41
57.42,7.37
58.00,7.33
58.58,7.29
59.16,7.25
59.76,7.20
60.35,7.16
60.96,7.12
61.57,7.08
62.18,7.04
62.80,7.01
63.43,6.96
64.07,6.92
64.71,6.88
65.35,6.83
66.01,6.79
66.67,6.74
67.33,6.69
68.01,6.65
68.69,6.60
69.37,6.55
70.07,6.50
