frequency,raw
20.00,5.62
20.20,5.62
20.40,5.62
20.61,5.63
20.81,5.63
21.02,5.63
21.23,5.63
21.44,5.63
21.66,5.63
21.87,5.63
22.09,5.63
22.31,5.63
22.54,5.63
22.76,5.62
22.99,5.62
23.22,5.62
23.45,5.62
23.69,5.62
23.92,5.62
24.16,5.61
24.40,5.61
24.65,5.61
24.89,5.61
25.14,5.61
25.39,5.60
25.65,5.60
25.91,5.60
26.16,5.59
26.43,5.59
26.69,5.59
26.96,5.58
27.23,5.58
27.50,5.57
27.77,5.56
28.05,5.56
28.33,5.55
28.62,5.55
28.90,5.54
29.19,5.54
29.48,5.53
29.78,5.52
30.08,5.52
30.38,5.51
30.68,5.50
30.99,5.49
31.30,5.49
31.61,5.48
31.93,5.47
32.24,5.46
32.57,5.45
32.89,5.44
33.22,5.43
33.55,5.42
33.89,5.41
34.23,5.40
34.57,5.39
34.92,5.38
35.27,5.37
35.62,5.36
35.97,5.35
36.33,5.34
36.70,5.32
37.06,5.31
37.43,5.30
37.81,5.28
38.19,5.26
38.57,5.25
38.95,5.23
39.34,5.22
39.74,5.20
40.14,5.18
40.54,5.17
40.94,5.15
41.35,5.14
41.76,5.13
42.18,5.12
42.60,5.10
43.03,5.09
43.46,5.07
43.90,5.06
44.33,5.04
44.78,5.02
45.23,5.01
45.68,4.99
46.13,4.97
46.60,4.95
47.06,4.93
47.53,4.91
48.01,4.89
48.49,4.87
48.97,4.85
49.46,4.83
49.96,4.81
50.46,4.79
50.96,4.77
51.47,4.74
51.99,4.72
52.51,4.70
53.03,4.67
53.56,4.65
54.10,4.62
54.64,4.60
55.18,4.57
55.74,4.55
56.29,4.52
56.86,4.49
57.42,4.46
58.00,4.44
58.58,4.41
59.16,4.39
59.76,4.36
60.35,4.33
60.96,4.30
61.57,4.28
62.18,4.25
62.80,4.22
63.43,4.19
64.07,4.16
64.71,4.13
65.35,4.10
66.01,4.07
66.67,4.04
67.33,4.00
68.01,3.97
68.69,3.94
69.37,3.91
70.07,3.87
70.77,3.84
71.48,3.80
72.19,3.77
72.91,3.73
73.64,3.70
74.38,3.66
75.12,3.63
75.87,3.59
76.63,3.55
77.40,3.51
78.17,3.48
78.95,3.44
79.74,3.40
80.54,3.36
81.35,3.32
82.16,3.28
82.98,3.24
83.81,3.20
84.65,3.16
85.50,3.12
86.35,3.08
87.22,3.04
88.09,3.00
88.97,2.95
89.86,2.91
90.76,2.87
91.66,2.83
92.58,2.78
93.51,2.74
94.44,2.70
95.39,2.65
96.34,2.61
97.30,2.56
98.28,2.52
99.26,2.47
100.25,2.43
101.25,2.38
102.27,2.33
103.29,2.29
104.32,2.24
105.37,2.20
106.42,2.15
107.48,2.10
108.56,2.05
109.64,2.01
110.74,1.96
111.85,1.91
112.97,1.86
114.10,1.81
115.24,1.76
116.39,1.72
117.55,1.67
118.73,1.62
119.92,1.58
121.12,1.53
122.33,1.48
123.55,1.43
124.79,1.39
126.03,1.34
127.29,1.29
128.57,1.25
129.85,1.20
131.15,1.15
132.46,1.11
133.79,1.06
135.12,1.01
136.48,0.97
137.84,0.92
139.22,0.88
140.61,0.83
142.02,0.79
143.44,0.74
144.87,0.70
146.32,0.65
147.78,0.61
149.26,0.56
150.75,0.52
152.26,0.47
153.78,0.43
155.32,0.38
156.88,0.34
158.44,0.29
160.03,0.25
