frequency,raw
20.00,18.06
20.20,18.04
20.40,18.03
20.61,18.02
20.81,18.00
21.02,17.99
21.23,17.97
21.44,17.96
21.66,17.94
21.87,17.92
22.09,17.91
22.31,17.89
22.54,17.87
22.76,17.85
22.99,17.84
23.22,17.82
23.45,17.80
23.69,17.78
23.92,17.76
24.16,17.74
24.40,17.72
24.65,17.70
24.89,17.68
25.14,17.65
25.39,17.63
25.65,17.61
25.91,17.59
26.16,17.56
26.43,17.54
26.69,17.52
26.96,17.49
27.23,17.47
27.50,17.44
27.77,17.42
28.05,17.39
28.33,17.36
28.62,17.34
28.90,17.31
29.19,17.28
29.48,17.26
29.78,17.23
30.08,17.20
30.38,17.17
30.68,17.15
30.99,17.12
31.30,17.09
31.61,17.06
31.93,17.03
32.24,17.00
32.57,16.97
32.89,16.93
33.22,16.90
33.55,16.87
33.89,16.84
34.23,16.80
34.57,16.77
34.92,16.73
35.27,16.70
35.62,16.66
35.97,16.63
36.33,16.59
36.70,16.56
37.06,16.52
37.43,16.48
37.81,16.45
38.19,16.41
38.57,16.37
38.95,16.33
39.34,16.30
39.74,16.26
40.14,16.22
40.54,16.18
40.94,16.14
41.35,16.10
41.76,16.06
42.18,16.01
42.60,15.97
43.03,15.93
43.46,15.89
43.90,15.84
44.33,15.80
44.78,15.76
45.23,15.72
45.68,15.67
46.13,15.63
46.60,15.59
47.06,15.54
47.53,15.50
48.01,15.45
48.49,15.40
48.97,15.36
49.46,15.31
49.96,15.26
50.46,15.22
50.96,15.17
51.47,15.12
51.99,15.07
52.51,15.02
53.03,14.97
53.56,14.92
54.10,14.87
54.64,14.83
55.18,14.77
55.74,14.72
56.29,14.67
56.86,14.62
57.42,14.57
58.00,14.52
58.58,14.47
59.16,14.41
59.76,14.36
60.35,14.31
60.96,14.25
61.57,14.20
62.18,14.15
62.80,14.09
63.43,14.04
64.07,13.98
64.71,13.93
65.35,13.87
66.01,13.82
66.67,13.76
67.33,13.70
68.01,13.65
68.69,13.59
69.37,13.53
70.07,13.48
70.77,13.42
71.48,13.36
72.19,13.30
72.91,13.24
73.64,13.18
74.38,13.12
75.12,13.07
75.87,13.01
76.63,12.94
77.40,12.88
78.17,12.82
78.95,12.76
79.74,12.70
80.54,12.64
81.35,12.58
82.16,12.52
82.98,12.46
83.81,12.40
84.65,12.33
85.50,12.27
86.35,12.21
87.22,12.15
88.09,12.08
