frequency,raw
20.00,-6.87
20.20,-6.58
20.40,-6.29
20.61,-6.01
20.81,-5.97
21.02,-5.93
21.23,-5.90
21.44,-5.93
21.66,-5.96
21.87,-5.95
22.09,-5.87
22.31,-5.79
22.54,-5.69
22.76,-5.58
22.99,-5.48
23.22,-5.44
23.45,-5.40
23.69,-5.37
23.92,-5.35
24.16,-5.33
24.40,-5.29
24.65,-5.24
24.89,-5.18
25.14,-5.13
25.39,-5.08
25.65,-5.04
25.91,-5.00
26.16,-4.96
26.43,-4.93
26.69,-4.89
26.96,-4.84
27.23,-4.80
27.50,-4.75
27.77,-4.71
28.05,-4.67
28.33,-4.62
28.62,-4.58
28.90,-4.53
29.19,-4.47
29.48,-4.41
29.78,-4.35
30.08,-4.30
30.38,-4.26
30.68,-4.22
30.99,-4.20
31.30,-4.17
31.61,-4.15
31.93,-4.13
32.24,-4.11
32.57,-4.08
32.89,-4.06
33.22,-4.04
33.55,-4.00
33.89,-3.93
34.23,-3.85
34.57,-3.79
34.92,-3.76
35.27,-3.73
35.62,-3.72
35.97,-3.75
36.33,-3.77
36.70,-3.73
37.06,-3.62
37.43,-3.52
37.81,-3.39
38.19,-3.25
38.57,-3.12
38.95,-3.06
39.34,-3.03
39.74,-3.01
40.14,-3.00
40.54,-3.00
40.94,-3.01
41.35,-3.02
41.76,-3.03
42.18,-3.04
42.60,-3.05
43.03,-3.04
43.46,-3.02
43.90,-3.00
44.33,-2.96
44.78,-2.92
45.23,-2.89
45.68,-2.87
46.13,-2.86
46.60,-2.82
47.06,-2.78
47.53,-2.75
48.01,-2.71
48.49,-2.67
48.97,-2.64
49.46,-2.62
49.96,-2.60
50.46,-2.61
50.96,-2.62
51.47,-2.64
51.99,-2.67
52.51,-2.71
53.03,-2.75
53.56,-2.76
54.10,-2.76
54.64,-2.75
55.18,-2.71
55.74,-2.67
56.29,-2.60
56.86,-2.50
57.42,-2.40
58.00,-2.29
58.58,-2.25
59.16,-2.21
59.76,-2.18
60.35,-2.15
60.96,-2.14
61.57,-2.12
62.18,-2.12
62.80,-2.11
63.43,-2.11
64.07,-2.12
64.71,-2.13
65.35,-2.13
66.01,-2.12
66.67,-2.10
67.33,-2.08
68.01,-2.05
68.69,-2.02
69.37,-2.00
70.07,-2.00
70.77,-1.99
71.48,-2.00
72.19,-2.00
72.91,-2.01
73.64,-2.01
74.38,-2.01
75.12,-2.01
75.87,-2.02
76.63,-2.03
77.40,-2.03
78.17,-2.01
78.95,-1.98
79.74,-1.96
80.54,-1.92
81.35,-1.88
82.16,-1.85
82.98,-1.83
83.81,-1.83
84.65,-1.82
85.50,-1.82
86.35,-1.82
87.22,-1.82
88.09,-1.81
88.97,-1.78
89.86,-1.76
90.76,-1.74
91.66,-1.72
92.58,-1.70
93.51,-1.69
94.44,-1.68
95.39,-1.68
96.34,-1.69
97.30,-1.69
98.28,-1.69
99.26,-1.69
100.25,-1.68
101.25,-1.67
102.27,-1.66
103.29,-1.65
104.32,-1.65
105.37,-1.65
106.42,-1.65
107.48,-1.64
108.56,-1.63
109.64,-1.61
110.74,-1.60
111.85,-1.59
112.97,-1.58
114.10,-1.59
115.24,-1.59
116.39,-1.60
117.55,-1.62
118.73,-1.62
119.92,-1.61
121.12,-1.60
