frequency,raw
20.00,5.41
20.20,5.45
20.40,5.49
20.61,5.52
20.81,5.55
21.02,5.58
21.23,5.61
21.44,5.64
21.66,5.67
21.87,5.70
22.09,5.73
22.31,5.76
22.54,5.78
22.76,5.81
22.99,5.84
23.22,5.87
23.45,5.89
23.69,5.92
23.92,5.94
24.16,5.96
24.40,5.98
24.65,6.00
24.89,6.02
25.14,6.04
25.39,6.06
25.65,6.09
25.91,6.11
26.16,6.14
26.43,6.16
26.69,6.18
26.96,6.20
27.23,6.21
27.50,6.22
27.77,6.23
28.05,6.24
28.33,6.25
28.62,6.26
28.90,6.27
29.19,6.29
29.48,6.30
29.78,6.31
30.08,6.32
30.38,6.33
30.68,6.34
30.99,6.35
31.30,6.36
31.61,6.37
31.93,6.38
32.24,6.39
32.57,6.41
32.89,6.42
33.22,6.44
33.55,6.45
33.89,6.45
34.23,6.46
34.57,6.46
34.92,6.45
35.27,6.44
35.62,6.42
35.97,6.41
36.33,6.39
36.70,6.38
37.06,6.36
37.43,6.35
37.81,6.34
38.19,6.33
38.57,6.33
38.95,6.31
39.34,6.30
39.74,6.29
40.14,6.27
40.54,6.24
40.94,6.22
41.35,6.20
41.76,6.18
42.18,6.16
42.60,6.14
43.03,6.14
43.46,6.14
43.90,6.14
44.33,6.14
44.78,6.15
45.23,6.16
45.68,6.16
46.13,6.16
46.60,6.16
47.06,6.16
47.53,6.16
48.01,6.14
48.49,6.13
48.97,6.12
49.46,6.10
49.96,6.08
50.46,6.07
50.96,6.05
51.47,6.04
51.99,6.02
52.51,6.01
53.03,5.99
53.56,5.97
54.10,5.94
54.64,5.92
55.18,5.89
55.74,5.87
56.29,5.85
56.86,5.83
57.42,5.82
58.00,5.80
58.58,5.80
59.16,5.80
59.76,5.80
60.35,5.80
60.96,5.80
61.57,5.81
62.18,5.80
62.80,5.80
63.43,5.78
64.07,5.75
64.71,5.72
65.35,5.68
66.01,5.62
66.67,5.57
67.33,5.51
68.01,5.45
68.69,5.39
69.37,5.34
70.07,5.29
70.77,5.25
71.48,5.21
72.19,5.18
72.91,5.15
73.64,5.12
74.38,5.10
75.12,5.07
75.87,5.04
76.63,5.00
77.40,4.97
78.17,4.93
78.95,4.89
79.74,4.86
80.54,4.82
81.35,4.78
82.16,4.75
82.98,4.71
83.81,4.68
84.65,4.64
85.50,4.61
86.35,4.57
87.22,4.53
88.09,4.50
88.97,4.46
89.86,4.42
90.76,4.39
91.66,4.35
92.58,4.31
93.51,4.27
94.44,4.24
95.39,4.20
96.34,4.16
97.30,4.12
98.28,4.08
99.26,4.03
100.25,3.99
101.25,3.94
102.27,3.90
103.29,3.85
104.32,3.81
105.37,3.77
106.42,3.73
107.48,3.69
108.56,3.65
109.64,3.61
110.74,3.57
111.85,3.53
112.97,3.49
114.10,3.45
115.24,3.41
116.39,3.37
117.55,3.33
118.73,3.28
119.92,3.23
121.12,3.19
122.33,3.14
123.55,3.09
124.79,3.05
126.03,3.00
127.29,2.95
128.57,2.90
129.85,2.85
131.15,2.80
132.46,2.75
133.79,2.70
135.12,2.66
136.48,2.61
137.84,2.57
139.22,2.52
140.61,2.48
142.02,2.43
143.44,2.39
144.87,2.34
146.32,2.30
147.78,2.25
149.26,2.20
150.75,2.16
152.26,2.11
153.78,2.07
155.32,2.02
156.88,1.98
158.44,1.93
160.03,1.89
161.63,1.85
163.24,1.81
164.88,1.77
166.53,1.74
168.19,1.71
169.87,1.68
171.57,1.65
173.29,1.63
175.02,1.60
176.77,1.56
178.54,1.52
180.32,1.48
182.13,1.44
183.95,1.39
185.79,1.34
187.65,1.30
189.52,1.25
191.42,1.20
193.33,1.15
195.27,1.10
197.22,1.05
199.19,1.01
201.18,0.96
203.19,0.91
205.23,0.86
207.28,0.81
209.35,0.75
211.44,0.70
213.56,0.65
215.69,0.59
217.85,0.54
220.03,0.49
222.23,0.44
224.45,0.39
226.70,0.34
228.96,0.29
231.25,0.24
233.57,0.19
235.90,0.15
238.26,0.10
240.64,0.06
243.05,0.01
245.48,-0.03
247.93,-0.07
250.41,-0.11
252.92,-0.15
255.45,-0.20
258.00,-0.24
260.58,-0.28
263.19,-0.32
265.82,-0.36
268.48,-0.40
271.16,-0.44
273.87,-0.48
276.61,-0.52
279.38,-0.55
282.17,-0.59
284.99,-0.62
287.84,-0.65
290.72,-0.68
293.63,-0.71
296.57,-0.74
299.53,-0.77
302.53,-0.80
305.55,-0.83
308.61,-0.86
311.69,-0.90
314.81,-0.93
317.96,-0.96
321.14,-1.00
324.35,-1.03
327.59,-1.06
330.87,-1.10
334.18,-1.13
337.52,-1.16
340.90,-1.19
344.30,-1.22
347.75,-1.25
351.23,-1.28
354.74,-1.31
358.28,-1.34
361.87,-1.37
365.49,-1.40
369.14,-1.43
372.83,-1.46
376.56,-1.49
380.33,-1.52
384.13,-1.55
387.97,-1.58
391.85,-1.61
395.77,-1.64
399.73,-1.67
403.72,-1.70
407.76,-1.72
411.84,-1.75
415.96,-1.78
420.12,-1.81
424.32,-1.83
428.56,-1.85
432.85,-1.88
437.18,-1.90
441.55,-1.92
445.96,-1.94
450.42,-1.95
454.93,-1.97
459.48,-1.99
464.07,-2.00
468.71,-2.02
473.40,-2.04
478.13,-2.05
482.91,-2.07
487.74,-2.08
492.62,-2.10
497.55,-2.11
502.52,-2.12
507.55,-2.13
512.62,-2.14
517.75,-2.15
522.93,-2.15
528.16,-2.16
533.44,-2.16
538.77,-2.17
544.16,-2.17
549.60,-2.17
555.10,-2.18
560.65,-2.18
566.25,-2.19
571.92,-2.19
577.64,-2.19
583.41,-2.20
589.25,-2.20
595.14,-2.20
601.09,-2.20
607.10,-2.20
613.17,-2.21
619.30,-2.20
625.50,-2.20
631.75,-2.20
638.07,-2.19
644.45,-2.19
650.89,-2.18
657.40,-2.17
663.98,-2.16
670.62,-2.14
677.32,-2.13
684.10,-2.11
690.94,-2.10
697.85,-2.08
704.83,-2.06
711.87,-2.04
718.99,-2.02
726.18,-2.00
733.44,-1.97
740.78,-1.95
748.19,-1.92
755.67,-1.89
763.23,-1.86
770.86,-1.82
778.57,-1.79
786.35,-1.75
794.22,-1.70
802.16,-1.66
810.18,-1.61
818.28,-1.56
826.46,-1.51
834.73,-1.46
843.08,-1.40
851.51,-1.34
860.02,-1.28
868.62,-1.22
877.31,-1.15
886.08,-1.08
894.94,-1.01
903.89,-0.94
912.93,-0.86
922.06,-0.78
931.28,-0.69
940.59,-0.60
950.00,-0.51
959.50,-0.42
969.09,-0.32
978.78,-0.22
988.57,-0.12
998.46,-0.02
1008.44,0.09
1018.53,0.20
1028.71,0.31
1039.00,0.42
1049.39,0.54
1059.88,0.65
1070.48,0.77
