frequency,raw
20.00,6.95
20.20,6.96
20.40,6.98
20.61,7.00
20.81,7.04
21.02,7.08
21.23,7.12
21.44,7.17
21.66,7.22
21.87,7.27
22.09,7.32
22.31,7.36
22.54,7.40
22.76,7.44
22.99,7.47
23.22,7.51
23.45,7.54
23.69,7.57
23.92,7.60
24.16,7.64
24.40,7.66
24.65,7.69
24.89,7.72
25.14,7.74
25.39,7.77
25.65,7.79
25.91,7.82
26.16,7.85
26.43,7.87
26.69,7.90
26.96,7.92
27.23,7.94
27.50,7.96
27.77,7.98
28.05,8.00
28.33,8.02
28.62,8.04
28.90,8.06
29.19,8.08
29.48,8.10
29.78,8.12
30.08,8.14
30.38,8.16
30.68,8.18
30.99,8.20
31.30,8.23
31.61,8.25
31.93,8.28
32.24,8.30
32.57,8.32
32.89,8.33
33.22,8.34
33.55,8.35
33.89,8.35
34.23,8.36
34.57,8.37
34.92,8.39
35.27,8.40
35.62,8.41
35.97,8.41
36.33,8.41
36.70,8.41
37.06,8.41
37.43,8.41
37.81,8.43
38.19,8.45
38.57,8.47
38.95,8.48
39.34,8.48
39.74,8.49
40.14,8.49
40.54,8.49
40.94,8.49
41.35,8.49
41.76,8.49
42.18,8.50
42.60,8.50
43.03,8.49
43.46,8.49
43.90,8.49
44.33,8.49
44.78,8.49
45.23,8.49
45.68,8.49
46.13,8.48
46.60,8.48
47.06,8.47
47.53,8.47
48.01,8.46
48.49,8.46
48.97,8.45
49.46,8.45
49.96,8.45
50.46,8.44
50.96,8.43
51.47,8.42
51.99,8.41
52.51,8.40
53.03,8.39
53.56,8.38
54.10,8.38
54.64,8.37
55.18,8.36
55.74,8.35
56.29,8.34
56.86,8.33
57.42,8.33
58.00,8.32
58.58,8.31
59.16,8.30
59.76,8.29
60.35,8.28
60.96,8.27
61.57,8.25
62.18,8.23
62.80,8.21
63.43,8.20
64.07,8.18
64.71,8.16
65.35,8.14
66.01,8.13
66.67,8.12
67.33,8.10
68.01,8.09
68.69,8.07
69.37,8.05
70.07,8.03
70.77,8.01
71.48,7.98
72.19,7.96
72.91,7.94
73.64,7.91
74.38,7.88
75.12,7.85
75.87,7.83
76.63,7.81
77.40,7.80
78.17,7.78
78.95,7.76
79.74,7.75
80.54,7.73
81.35,7.70
82.16,7.68
82.98,7.65
83.81,7.63
84.65,7.60
85.50,7.58
86.35,7.55
87.22,7.53
88.09,7.51
88.97,7.48
89.86,7.46
90.76,7.43
91.66,7.40
92.58,7.38
93.51,7.35
94.44,7.32
95.39,7.29
96.34,7.26
97.30,7.23
98.28,7.20
99.26,7.17
100.25,7.14
101.25,7.11
102.27,7.07
103.29,7.04
104.32,7.01
105.37,6.98
106.42,6.95
107.48,6.92
108.56,6.89
109.64,6.85
110.74,6.82
111.85,6.79
112.97,6.76
114.10,6.73
115.24,6.69
116.39,6.66
117.55,6.62
118.73,6.58
119.92,6.54
121.12,6.51
122.33,6.47
123.55,6.43
124.79,6.40
126.03,6.36
127.29,6.33
128.57,6.29
129.85,6.25
131.15,6.21
132.46,6.17
133.79,6.13
135.12,6.09
136.48,6.05
137.84,6.00
139.22,5.96
140.61,5.92
142.02,5.87
143.44,5.83
144.87,5.79
146.32,5.74
147.78,5.70
149.26,5.65
150.75,5.60
152.26,5.55
153.78,5.50
155.32,5.45
156.88,5.39
158.44,5.34
160.03,5.29
161.63,5.25
163.24,5.22
164.88,5.18
166.53,5.16
168.19,5.15
169.87,5.13
171.57,5.11
173.29,5.08
175.02,5.06
176.77,5.02
178.54,4.98
180.32,4.94
182.13,4.90
183.95,4.85
185.79,4.80
187.65,4.75
189.52,4.71
191.42,4.66
193.33,4.62
195.27,4.58
197.22,4.53
199.19,4.49
201.18,4.44
203.19,4.40
205.23,4.35
207.28,4.31
209.35,4.27
211.44,4.22
213.56,4.18
215.69,4.13
217.85,4.09
220.03,4.04
222.23,3.99
224.45,3.95
226.70,3.90
228.96,3.85
231.25,3.80
233.57,3.75
235.90,3.70
238.26,3.65
240.64,3.61
243.05,3.56
245.48,3.52
247.93,3.47
250.41,3.42
252.92,3.38
255.45,3.33
258.00,3.28
260.58,3.24
263.19,3.19
265.82,3.14
268.48,3.09
271.16,3.05
273.87,3.00
276.61,2.96
279.38,2.91
282.17,2.86
284.99,2.82
287.84,2.77
290.72,2.72
293.63,2.68
296.57,2.63
299.53,2.59
302.53,2.54
305.55,2.50
308.61,2.45
311.69,2.41
314.81,2.36
317.96,2.32
321.14,2.27
324.35,2.22
327.59,2.18
330.87,2.13
334.18,2.09
337.52,2.04
340.90,1.99
344.30,1.94
347.75,1.90
351.23,1.85
354.74,1.81
358.28,1.76
361.87,1.72
365.49,1.67
369.14,1.63
372.83,1.58
376.56,1.54
380.33,1.50
384.13,1.45
387.97,1.41
391.85,1.37
395.77,1.32
399.73,1.28
403.72,1.24
407.76,1.21
411.84,1.17
415.96,1.13
420.12,1.09
424.32,1.05
428.56,1.01
432.85,0.97
437.18,0.93
441.55,0.89
445.96,0.85
450.42,0.81
454.93,0.77
459.48,0.73
464.07,0.70
468.71,0.66
473.40,0.62
478.13,0.59
482.91,0.55
487.74,0.51
492.62,0.48
497.55,0.44
502.52,0.41
507.55,0.37
