frequency,raw
20.00,7.66
20.20,7.71
20.40,7.75
20.61,7.80
20.81,7.84
21.02,7.88
21.23,7.92
21.44,7.96
21.66,8.00
21.87,8.03
22.09,8.07
22.31,8.10
22.54,8.14
22.76,8.17
22.99,8.20
23.22,8.23
23.45,8.26
23.69,8.28
23.92,8.31
24.16,8.33
24.40,8.36
24.65,8.38
24.89,8.40
25.14,8.42
25.39,8.44
25.65,8.46
25.91,8.48
26.16,8.49
26.43,8.51
26.69,8.53
26.96,8.54
27.23,8.56
27.50,8.57
27.77,8.58
28.05,8.59
28.33,8.59
28.62,8.60
28.90,8.60
29.19,8.61
29.48,8.61
29.78,8.61
30.08,8.61
30.38,8.61
30.68,8.61
30.99,8.61
31.30,8.61
31.61,8.61
31.93,8.61
32.24,8.61
32.57,8.60
32.89,8.60
33.22,8.59
33.55,8.58
33.89,8.57
34.23,8.55
34.57,8.53
34.92,8.52
35.27,8.51
35.62,8.49
35.97,8.47
36.33,8.46
36.70,8.44
37.06,8.42
37.43,8.40
37.81,8.37
38.19,8.35
38.57,8.33
38.95,8.31
39.34,8.28
39.74,8.26
40.14,8.24
40.54,8.21
40.94,8.18
41.35,8.16
41.76,8.12
42.18,8.09
42.60,8.06
43.03,8.03
43.46,8.00
43.90,7.97
44.33,7.93
44.78,7.90
45.23,7.86
45.68,7.83
46.13,7.80
46.60,7.76
47.06,7.72
47.53,7.68
48.01,7.64
48.49,7.59
48.97,7.55
49.46,7.51
49.96,7.47
50.46,7.43
50.96,7.39
51.47,7.35
51.99,7.30
52.51,7.26
53.03,7.21
53.56,7.17
54.10,7.12
54.64,7.08
55.18,7.03
55.74,6.98
56.29,6.92
56.86,6.86
57.42,6.81
58.00,6.75
58.58,6.71
59.16,6.67
59.76,6.63
60.35,6.58
60.96,6.53
61.57,6.48
62.18,6.42
62.80,6.36
63.43,6.31
64.07,6.26
64.71,6.21
65.35,6.15
66.01,6.10
66.67,6.05
67.33,5.99
68.01,5.94
68.69,5.88
69.37,5.82
70.07,5.76
70.77,5.70
71.48,5.64
72.19,5.58
72.91,5.52
73.64,5.46
74.38,5.40
75.12,5.35
75.87,5.28
76.63,5.22
77.40,5.16
78.17,5.10
78.95,5.04
79.74,4.98
80.54,4.91
81.35,4.85
82.16,4.79
82.98,4.72
83.81,4.66
84.65,4.60
85.50,4.53
86.35,4.47
87.22,4.40
88.09,4.34
88.97,4.28
89.86,4.21
90.76,4.15
91.66,4.08
92.58,4.02
93.51,3.95
94.44,3.89
95.39,3.82
96.34,3.75
97.30,3.69
98.28,3.62
99.26,3.55
100.25,3.48
101.25,3.42
102.27,3.36
103.29,3.29
104.32,3.23
105.37,3.17
106.42,3.10
107.48,3.04
108.56,2.97
109.64,2.91
110.74,2.84
111.85,2.78
112.97,2.71
114.10,2.64
115.24,2.58
116.39,2.51
117.55,2.45
118.73,2.38
119.92,2.32
121.12,2.25
122.33,2.18
123.55,2.11
124.79,2.04
126.03,1.97
127.29,1.91
128.57,1.85
129.85,1.79
131.15,1.73
132.46,1.67
133.79,1.61
135.12,1.54
136.48,1.48
137.84,1.42
139.22,1.36
140.61,1.31
142.02,1.27
143.44,1.23
144.87,1.19
146.32,1.17
147.78,1.16
149.26,1.14
150.75,1.12
152.26,1.11
153.78,1.09
155.32,1.06
156.88,1.02
158.44,0.97
160.03,0.93
161.63,0.87
163.24,0.81
164.88,0.76
166.53,0.71
168.19,0.65
169.87,0.60
171.57,0.55
173.29,0.50
175.02,0.44
176.77,0.39
178.54,0.34
180.32,0.29
182.13,0.24
183.95,0.19
185.79,0.14
187.65,0.09
189.52,0.04
191.42,-0.00
193.33,-0.05
195.27,-0.09
197.22,-0.14
199.19,-0.18
201.18,-0.22
203.19,-0.26
205.23,-0.30
207.28,-0.34
209.35,-0.38
211.44,-0.42
213.56,-0.46
215.69,-0.49
217.85,-0.52
220.03,-0.56
222.23,-0.59
224.45,-0.62
226.70,-0.65
228.96,-0.68
231.25,-0.71
233.57,-0.74
235.90,-0.77
238.26,-0.80
240.64,-0.82
243.05,-0.84
245.48,-0.86
247.93,-0.88
250.41,-0.90
252.92,-0.92
255.45,-0.94
258.00,-0.96
260.58,-0.98
263.19,-1.00
265.82,-1.01
268.48,-1.03
271.16,-1.04
273.87,-1.06
276.61,-1.07
279.38,-1.09
282.17,-1.10
284.99,-1.12
287.84,-1.13
290.72,-1.14
293.63,-1.15
296.57,-1.16
299.53,-1.17
302.53,-1.18
305.55,-1.19
308.61,-1.19
311.69,-1.20
314.81,-1.20
317.96,-1.21
321.14,-1.21
324.35,-1.21
327.59,-1.21
330.87,-1.21
334.18,-1.22
337.52,-1.22
340.90,-1.22
344.30,-1.22
347.75,-1.22
351.23,-1.22
354.74,-1.22
358.28,-1.22
361.87,-1.22
365.49,-1.21
369.14,-1.21
372.83,-1.20
376.56,-1.20
380.33,-1.20
384.13,-1.19
387.97,-1.19
391.85,-1.18
395.77,-1.18
399.73,-1.17
403.72,-1.16
407.76,-1.16
411.84,-1.15
415.96,-1.14
420.12,-1.13
424.32,-1.13
428.56,-1.12
432.85,-1.12
437.18,-1.12
441.55,-1.11
445.96,-1.10
450.42,-1.09
454.93,-1.08
459.48,-1.07
464.07,-1.07
468.71,-1.06
473.40,-1.05
478.13,-1.05
482.91,-1.04
487.74,-1.03
492.62,-1.02
497.55,-1.01
502.52,-1.00
507.55,-0.99
512.62,-0.98
517.75,-0.97
522.93,-0.96
528.16,-0.95
533.44,-0.94
538.77,-0.94
544.16,-0.93
549.60,-0.92
555.10,-0.92
560.65,-0.92
566.25,-0.91
571.92,-0.91
577.64,-0.90
583.41,-0.90
589.25,-0.89
595.14,-0.88
601.09,-0.88
607.10,-0.87
613.17,-0.87
619.30,-0.87
625.50,-0.86
631.75,-0.85
638.07,-0.85
644.45,-0.85
650.89,-0.84
657.40,-0.84
663.98,-0.84
670.62,-0.83
677.32,-0.83
684.10,-0.83
690.94,-0.83
697.85,-0.83
704.83,-0.82
711.87,-0.82
718.99,-0.81
726.18,-0.81
733.44,-0.80
740.78,-0.80
748.19,-0.79
755.67,-0.78
763.23,-0.77
770.86,-0.76
778.57,-0.75
786.35,-0.74
794.22,-0.73
802.16,-0.72
810.18,-0.70
818.28,-0.68
826.46,-0.66
834.73,-0.64
843.08,-0.62
851.51,-0.60
860.02,-0.58
868.62,-0.55
877.31,-0.53
886.08,-0.50
894.94,-0.47
903.89,-0.43
912.93,-0.39
922.06,-0.36
931.28,-0.32
940.59,-0.28
950.00,-0.24
959.50,-0.19
969.09,-0.15
978.78,-0.10
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.10
1028.71,0.15
1039.00,0.21
1049.39,0.27
1059.88,0.32
1070.48,0.38
1081.19,0.44
1092.00,0.50
1102.92,0.56
1113.95,0.62
1125.09,0.68
1136.34,0.74
1147.70,0.79
1159.18,0.85
1170.77,0.91
1182.48,0.96
1194.30,1.01
1206.25,1.07
1218.31,1.12
1230.49,1.17
1242.80,1.22
1255.22,1.27
1267.78,1.32
1280.45,1.37
1293.26,1.42
1306.19,1.47
1319.25,1.52
1332.45,1.56
1345.77,1.61
1359.23,1.66
1372.82,1.71
1386.55,1.75
1400.41,1.80
1414.42,1.85
1428.56,1.89
1442.85,1.94
1457.28,1.99
1471.85,2.04
1486.57,2.09
1501.43,2.14
1516.45,2.19
1531.61,2.24
1546.93,2.29
1562.40,2.35
1578.02,2.41
1593.80,2.46
1609.74,2.52
1625.84,2.59
1642.10,2.65
1658.52,2.71
1675.10,2.78
1691.85,2.85
1708.77,2.91
1725.86,2.99
1743.12,3.06
1760.55,3.13
1778.15,3.21
1795.94,3.28
1813.90,3.36
1832.03,3.44
1850.36,3.52
1868.86,3.61
1887.55,3.69
1906.42,3.77
1925.49,3.86
1944.74,3.94
1964.19,4.03
