frequency,raw
20.00,-1.22
20.20,-1.10
20.40,-0.99
20.61,-0.87
20.81,-0.76
21.02,-0.65
21.23,-0.54
21.44,-0.44
21.66,-0.35
21.87,-0.25
22.09,-0.16
22.31,-0.07
22.54,0.02
22.76,0.11
22.99,0.20
23.22,0.28
23.45,0.36
23.69,0.44
23.92,0.51
24.16,0.59
24.40,0.66
24.65,0.73
24.89,0.80
25.14,0.87
25.39,0.93
25.65,1.00
25.91,1.06
26.16,1.12
26.43,1.17
26.69,1.23
26.96,1.29
27.23,1.36
27.50,1.42
27.77,1.48
28.05,1.55
28.33,1.61
28.62,1.67
28.90,1.74
29.19,1.80
29.48,1.87
29.78,1.93
30.08,2.00
30.38,2.06
30.68,2.12
30.99,2.18
31.30,2.23
31.61,2.28
31.93,2.33
32.24,2.37
32.57,2.42
32.89,2.47
33.22,2.52
33.55,2.56
33.89,2.61
34.23,2.66
34.57,2.71
34.92,2.74
35.27,2.78
35.62,2.82
35.97,2.85
36.33,2.88
36.70,2.91
37.06,2.94
37.43,2.98
37.81,3.01
38.19,3.05
38.57,3.08
38.95,3.11
39.34,3.14
39.74,3.17
40.14,3.19
40.54,3.22
40.94,3.25
41.35,3.28
41.76,3.30
42.18,3.32
42.60,3.34
43.03,3.36
43.46,3.37
43.90,3.38
44.33,3.40
44.78,3.41
45.23,3.42
45.68,3.44
46.13,3.45
46.60,3.47
47.06,3.48
47.53,3.49
48.01,3.50
48.49,3.52
48.97,3.52
49.46,3.53
49.96,3.53
50.46,3.53
50.96,3.54
51.47,3.54
51.99,3.54
52.51,3.54
53.03,3.55
53.56,3.55
54.10,3.55
54.64,3.54
55.18,3.53
55.74,3.53
56.29,3.51
56.86,3.50
57.42,3.49
58.00,3.48
58.58,3.47
59.16,3.47
59.76,3.46
60.35,3.45
60.96,3.43
61.57,3.42
62.18,3.40
62.80,3.39
63.43,3.37
64.07,3.35
64.71,3.33
65.35,3.32
66.01,3.30
66.67,3.28
67.33,3.26
68.01,3.24
68.69,3.21
69.37,3.19
70.07,3.16
70.77,3.12
71.48,3.09
72.19,3.06
72.91,3.03
73.64,3.00
74.38,2.97
75.12,2.94
75.87,2.91
76.63,2.88
77.40,2.85
78.17,2.82
78.95,2.78
79.74,2.75
80.54,2.72
81.35,2.68
82.16,2.65
82.98,2.61
83.81,2.57
84.65,2.52
85.50,2.48
86.35,2.44
87.22,2.39
88.09,2.35
88.97,2.31
89.86,2.26
90.76,2.22
91.66,2.17
92.58,2.13
93.51,2.08
94.44,2.04
95.39,1.99
96.34,1.94
97.30,1.89
98.28,1.84
99.26,1.79
100.25,1.73
101.25,1.68
102.27,1.63
103.29,1.57
104.32,1.52
105.37,1.47
106.42,1.41
107.48,1.36
108.56,1.30
109.64,1.25
110.74,1.20
111.85,1.14
112.97,1.09
114.10,1.03
115.24,0.98
116.39,0.92
117.55,0.86
118.73,0.80
119.92,0.74
121.12,0.67
122.33,0.61
123.55,0.55
124.79,0.48
126.03,0.42
127.29,0.35
128.57,0.29
129.85,0.23
131.15,0.17
132.46,0.10
133.79,0.04
135.12,-0.02
136.48,-0.09
137.84,-0.15
139.22,-0.22
140.61,-0.29
142.02,-0.35
143.44,-0.42
144.87,-0.49
146.32,-0.55
147.78,-0.62
149.26,-0.69
150.75,-0.76
152.26,-0.84
153.78,-0.91
155.32,-0.99
156.88,-1.07
158.44,-1.16
160.03,-1.24
161.63,-1.31
163.24,-1.39
164.88,-1.46
166.53,-1.50
168.19,-1.54
169.87,-1.58
171.57,-1.61
173.29,-1.63
175.02,-1.65
176.77,-1.66
178.54,-1.68
180.32,-1.70
182.13,-1.73
183.95,-1.76
185.79,-1.79
187.65,-1.82
189.52,-1.85
191.42,-1.88
193.33,-1.91
195.27,-1.95
197.22,-1.98
199.19,-2.01
201.18,-2.05
203.19,-2.08
205.23,-2.11
207.28,-2.13
209.35,-2.16
211.44,-2.18
213.56,-2.20
215.69,-2.22
217.85,-2.24
220.03,-2.25
222.23,-2.27
224.45,-2.29
226.70,-2.30
228.96,-2.31
231.25,-2.32
233.57,-2.33
235.90,-2.33
238.26,-2.34
240.64,-2.35
243.05,-2.35
245.48,-2.35
247.93,-2.36
250.41,-2.36
252.92,-2.36
255.45,-2.36
258.00,-2.36
260.58,-2.35
263.19,-2.35
265.82,-2.35
268.48,-2.34
271.16,-2.34
273.87,-2.33
276.61,-2.32
279.38,-2.31
282.17,-2.29
284.99,-2.28
287.84,-2.27
290.72,-2.25
293.63,-2.24
296.57,-2.23
299.53,-2.21
302.53,-2.20
305.55,-2.19
308.61,-2.17
311.69,-2.15
314.81,-2.13
317.96,-2.11
321.14,-2.10
324.35,-2.08
327.59,-2.06
330.87,-2.04
334.18,-2.02
337.52,-2.01
340.90,-1.99
344.30,-1.97
347.75,-1.95
351.23,-1.94
354.74,-1.92
358.28,-1.91
361.87,-1.90
365.49,-1.88
369.14,-1.87
372.83,-1.86
376.56,-1.86
380.33,-1.85
384.13,-1.84
387.97,-1.83
391.85,-1.83
395.77,-1.82
399.73,-1.81
403.72,-1.80
407.76,-1.80
411.84,-1.79
415.96,-1.78
420.12,-1.78
424.32,-1.77
428.56,-1.77
432.85,-1.76
437.18,-1.76
441.55,-1.75
445.96,-1.75
450.42,-1.75
454.93,-1.74
459.48,-1.74
464.07,-1.74
468.71,-1.74
473.40,-1.73
478.13,-1.73
482.91,-1.73
487.74,-1.73
492.62,-1.73
497.55,-1.73
502.52,-1.73
507.55,-1.73
512.62,-1.73
517.75,-1.73
522.93,-1.73
528.16,-1.73
533.44,-1.73
538.77,-1.73
544.16,-1.73
549.60,-1.73
555.10,-1.72
560.65,-1.72
566.25,-1.72
571.92,-1.72
577.64,-1.72
583.41,-1.72
589.25,-1.71
595.14,-1.71
601.09,-1.71
607.10,-1.70
613.17,-1.70
619.30,-1.70
625.50,-1.69
631.75,-1.69
638.07,-1.68
644.45,-1.67
650.89,-1.67
657.40,-1.66
663.98,-1.65
670.62,-1.64
677.32,-1.63
684.10,-1.62
690.94,-1.61
697.85,-1.59
704.83,-1.58
711.87,-1.56
718.99,-1.55
726.18,-1.53
733.44,-1.51
740.78,-1.49
748.19,-1.47
755.67,-1.45
763.23,-1.42
770.86,-1.40
778.57,-1.37
786.35,-1.34
794.22,-1.31
802.16,-1.28
810.18,-1.24
818.28,-1.21
826.46,-1.17
834.73,-1.13
843.08,-1.08
851.51,-1.04
860.02,-0.99
868.62,-0.94
877.31,-0.89
886.08,-0.84
894.94,-0.78
903.89,-0.72
912.93,-0.66
922.06,-0.60
931.28,-0.53
940.59,-0.46
950.00,-0.39
959.50,-0.32
969.09,-0.25
978.78,-0.17
988.57,-0.09
998.46,-0.01
1008.44,0.07
1018.53,0.15
1028.71,0.24
1039.00,0.32
1049.39,0.41
1059.88,0.50
1070.48,0.59
1081.19,0.68
1092.00,0.76
1102.92,0.85
1113.95,0.94
1125.09,1.03
1136.34,1.12
1147.70,1.21
1159.18,1.29
1170.77,1.38
1182.48,1.47
1194.30,1.55
1206.25,1.63
1218.31,1.72
1230.49,1.80
1242.80,1.88
1255.22,1.96
1267.78,2.04
1280.45,2.11
1293.26,2.19
1306.19,2.27
1319.25,2.34
1332.45,2.42
1345.77,2.49
1359.23,2.57
1372.82,2.64
1386.55,2.72
1400.41,2.79
1414.42,2.87
1428.56,2.94
1442.85,3.02
1457.28,3.09
1471.85,3.17
1486.57,3.25
1501.43,3.32
1516.45,3.40
1531.61,3.48
1546.93,3.56
1562.40,3.64
1578.02,3.73
1593.80,3.81
1609.74,3.89
1625.84,3.98
1642.10,4.07
1658.52,4.16
1675.10,4.25
1691.85,4.34
1708.77,4.43
1725.86,4.53
1743.12,4.63
1760.55,4.72
1778.15,4.83
1795.94,4.93
1813.90,5.03
1832.03,5.14
1850.36,5.25
1868.86,5.36
1887.55,5.47
1906.42,5.59
1925.49,5.71
1944.74,5.83
1964.19,5.95
1983.83,6.07
2003.67,6.20
2023.71,6.32
2043.94,6.45
2064.38,6.58
2085.03,6.72
2105.88,6.85
2126.94,6.98
2148.20,7.12
2169.69,7.25
2191.38,7.39
2213.30,7.52
2235.43,7.66
2257.78,7.79
2280.36,7.92
2303.17,8.06
2326.20,8.18
2349.46,8.31
2372.95,8.43
2396.68,8.55
2420.65,8.67
2444.86,8.78
2469.31,8.88
2494.00,8.99
2518.94,9.07
2544.13,9.16
2569.57,9.24
2595.27,9.31
2621.22,9.36
2647.43,9.42
2673.90,9.45
2700.64,9.47
2727.65,9.49
2754.93,9.49
2782.48,9.48
2810.30,9.47
2838.40,9.42
2866.79,9.38
2895.46,9.33
2924.41,9.25
2953.65,9.16
2983.19,9.07
3013.02,8.97
3043.15,8.84
3073.58,8.71
3104.32,8.56
3135.36,8.40
3166.72,8.23
3198.38,8.04
3230.37,7.85
3262.67,7.67
3295.30,7.47
3328.25,7.28
3361.53,7.09
3395.15,6.92
3429.10,6.74
3463.39,6.57
3498.03,6.42
3533.01,6.27
3568.34,6.14
3604.02,6.03
3640.06,5.92
3676.46,5.83
3713.22,5.75
3750.36,5.66
3787.86,5.59
3825.74,5.51
3864.00,5.43
3902.64,5.35
3941.66,5.27
3981.08,5.18
4020.89,5.10
4061.10,5.02
4101.71,4.93
4142.73,4.85
4184.15,4.77
4226.00,4.68
4268.26,4.60
4310.94,4.52
4354.05,4.44
4397.59,4.36
4441.56,4.28
4485.98,4.20
4530.84,4.13
4576.15,4.05
4621.91,3.98
4668.13,3.90
4714.81,3.83
4761.96,3.75
4809.58,3.68
4857.67,3.60
4906.25,3.53
4955.31,3.45
5004.87,3.38
5054.91,3.31
5105.46,3.23
5156.52,3.16
5208.08,3.09
5260.16,3.02
5312.77,2.95
5365.89,2.88
5419.55,2.80
5473.75,2.73
5528.49,2.67
5583.77,2.60
5639.61,2.53
5696.00,2.47
5752.96,2.41
5810.49,2.35
5868.60,2.29
5927.28,2.24
5986.56,2.18
6046.42,2.14
6106.89,2.09
6167.96,2.05
6229.64,2.03
6291.93,2.00
6354.85,1.99
6418.40,1.99
6482.58,1.99
6547.41,2.01
6612.88,2.05
6679.01,2.08
6745.80,2.14
6813.26,2.22
6881.39,2.29
6950.21,2.40
7019.71,2.52
7089.91,2.64
7160.81,2.80
7232.41,2.97
7304.74,3.14
7377.79,3.34
7451.56,3.54
7526.08,3.73
7601.34,3.91
7677.35,4.09
7754.13,4.26
7831.67,4.32
7909.98,4.38
7989.08,4.44
8068.98,4.30
8149.67,4.13
8231.16,3.96
8313.47,3.61
8396.61,3.20
8480.57,2.79
8565.38,2.27
8651.03,1.70
8737.54,1.14
8824.92,0.53
8913.17,-0.09
9002.30,-0.70
9092.32,-1.33
9183.25,-1.95
9275.08,-2.57
9367.83,-3.19
9461.51,-3.80
9556.12,-4.41
9651.68,-5.01
9748.20,-5.61
9845.68,-6.14
9944.14,-6.67
10043.58,-7.14
10144.02,-7.55
10245.46,-7.95
10347.91,-8.29
10451.39,-8.57
10555.91,-8.85
10661.46,-9.06
10768.08,-9.24
10875.76,-9.42
10984.52,-9.53
11094.36,-9.62
11205.31,-9.72
11317.36,-9.74
11430.53,-9.76
11544.84,-9.75
11660.29,-9.70
11776.89,-9.65
11894.66,-9.53
12013.60,-9.39
12133.74,-9.25
12255.08,-9.06
12377.63,-8.82
12501.41,-8.57
12626.42,-8.22
12752.68,-7.86
12880.21,-7.39
13009.01,-6.85
13139.10,-6.32
13270.49,-5.65
13403.20,-4.88
13537.23,-4.10
13672.60,-3.26
13809.33,-2.35
13947.42,-1.45
14086.90,-0.62
14227.77,0.16
14370.04,0.94
14513.74,1.65
14658.88,1.67
14805.47,1.69
14953.52,1.71
15103.06,1.03
15254.09,0.04
15406.63,-0.96
15560.70,-2.02
15716.30,-3.18
15873.47,-4.35
16032.20,-5.43
16192.52,-6.22
16354.45,-7.00
16517.99,-7.75
16683.17,-8.23
16850.01,-8.71
17018.51,-9.18
17188.69,-9.52
17360.58,-9.87
17534.18,-10.20
17709.53,-10.49
17886.62,-10.77
18065.49,-11.04
18246.14,-11.27
18428.60,-11.50
18612.89,-11.72
18799.02,-11.94
18987.01,-12.17
19176.88,-12.50
19368.65,-12.83
19562.33,-13.17
19757.96,-13.51
19955.54,-13.86
