frequency,raw
20.00,2.13
20.20,2.14
20.40,2.16
20.61,2.18
20.81,2.19
21.02,2.20
21.23,2.22
21.44,2.23
21.66,2.24
21.87,2.25
22.09,2.25
22.31,2.26
22.54,2.27
22.76,2.28
22.99,2.28
23.22,2.29
23.45,2.29
23.69,2.29
23.92,2.29
24.16,2.30
24.40,2.30
24.65,2.30
24.89,2.29
25.14,2.29
25.39,2.29
25.65,2.29
25.91,2.29
26.16,2.29
26.43,2.29
26.69,2.29
26.96,2.29
27.23,2.28
27.50,2.28
27.77,2.28
28.05,2.27
28.33,2.27
28.62,2.26
28.90,2.26
29.19,2.25
29.48,2.24
29.78,2.23
30.08,2.22
30.38,2.21
30.68,2.19
30.99,2.18
31.30,2.17
31.61,2.16
31.93,2.14
32.24,2.13
32.57,2.11
32.89,2.10
33.22,2.08
33.55,2.07
33.89,2.05
34.23,2.03
34.57,2.01
34.92,1.99
35.27,1.97
35.62,1.94
35.97,1.92
36.33,1.90
36.70,1.87
37.06,1.85
37.43,1.82
37.81,1.80
38.19,1.77
38.57,1.75
38.95,1.72
39.34,1.69
39.74,1.67
40.14,1.64
40.54,1.61
40.94,1.59
41.35,1.56
41.76,1.53
42.18,1.50
42.60,1.47
43.03,1.44
43.46,1.41
43.90,1.38
44.33,1.35
44.78,1.32
45.23,1.29
45.68,1.26
46.13,1.23
46.60,1.19
47.06,1.16
47.53,1.13
48.01,1.09
48.49,1.06
48.97,1.02
49.46,0.99
49.96,0.95
50.46,0.91
50.96,0.88
51.47,0.84
51.99,0.81
52.51,0.77
53.03,0.73
53.56,0.70
54.10,0.66
54.64,0.62
55.18,0.58
55.74,0.54
56.29,0.50
56.86,0.46
57.42,0.42
58.00,0.38
58.58,0.34
59.16,0.30
59.76,0.26
60.35,0.22
60.96,0.18
61.57,0.14
62.18,0.10
62.80,0.06
63.43,0.02
64.07,-0.02
64.71,-0.06
65.35,-0.11
66.01,-0.15
66.67,-0.19
67.33,-0.24
68.01,-0.28
68.69,-0.32
69.37,-0.36
70.07,-0.41
70.77,-0.45
71.48,-0.49
72.19,-0.54
72.91,-0.58
73.64,-0.62
74.38,-0.66
75.12,-0.71
75.87,-0.75
76.63,-0.79
77.40,-0.84
78.17,-0.88
78.95,-0.92
79.74,-0.97
80.54,-1.01
81.35,-1.06
82.16,-1.10
82.98,-1.15
83.81,-1.19
84.65,-1.24
85.50,-1.28
86.35,-1.33
87.22,-1.37
88.09,-1.42
88.97,-1.46
89.86,-1.51
90.76,-1.55
91.66,-1.60
92.58,-1.64
93.51,-1.68
94.44,-1.73
95.39,-1.77
96.34,-1.81
97.30,-1.86
98.28,-1.90
99.26,-1.94
100.25,-1.99
101.25,-2.04
102.27,-2.08
103.29,-2.13
104.32,-2.17
105.37,-2.22
106.42,-2.26
107.48,-2.31
108.56,-2.35
109.64,-2.39
110.74,-2.43
111.85,-2.47
112.97,-2.51
114.10,-2.55
115.24,-2.59
116.39,-2.63
117.55,-2.67
118.73,-2.71
119.92,-2.75
121.12,-2.79
122.33,-2.83
123.55,-2.87
124.79,-2.91
126.03,-2.95
127.29,-2.99
128.57,-3.03
129.85,-3.07
131.15,-3.11
132.46,-3.15
133.79,-3.19
135.12,-3.23
136.48,-3.26
137.84,-3.30
139.22,-3.34
140.61,-3.38
142.02,-3.42
143.44,-3.46
144.87,-3.50
146.32,-3.53
147.78,-3.57
149.26,-3.61
150.75,-3.64
152.26,-3.68
153.78,-3.71
155.32,-3.75
156.88,-3.78
158.44,-3.81
160.03,-3.85
161.63,-3.88
163.24,-3.91
164.88,-3.94
166.53,-3.96
168.19,-3.99
169.87,-4.02
171.57,-4.04
173.29,-4.07
175.02,-4.09
176.77,-4.12
178.54,-4.14
180.32,-4.17
182.13,-4.19
183.95,-4.22
185.79,-4.24
187.65,-4.27
189.52,-4.30
191.42,-4.32
193.33,-4.35
195.27,-4.38
197.22,-4.41
199.19,-4.44
201.18,-4.47
203.19,-4.50
205.23,-4.53
207.28,-4.56
209.35,-4.59
211.44,-4.61
213.56,-4.64
215.69,-4.66
217.85,-4.69
220.03,-4.70
222.23,-4.72
224.45,-4.74
226.70,-4.75
228.96,-4.75
231.25,-4.76
233.57,-4.76
235.90,-4.77
238.26,-4.76
240.64,-4.76
243.05,-4.76
245.48,-4.76
247.93,-4.76
250.41,-4.75
252.92,-4.75
255.45,-4.75
258.00,-4.74
260.58,-4.74
263.19,-4.74
265.82,-4.73
268.48,-4.73
271.16,-4.72
273.87,-4.72
276.61,-4.71
279.38,-4.71
282.17,-4.70
284.99,-4.69
287.84,-4.69
290.72,-4.68
293.63,-4.66
296.57,-4.65
299.53,-4.63
302.53,-4.62
305.55,-4.60
308.61,-4.57
311.69,-4.55
314.81,-4.53
317.96,-4.50
321.14,-4.47
324.35,-4.44
327.59,-4.40
330.87,-4.36
334.18,-4.32
337.52,-4.27
340.90,-4.22
344.30,-4.17
347.75,-4.12
351.23,-4.06
354.74,-4.01
358.28,-3.97
