frequency,raw
20.00,-0.60
20.20,-0.54
20.40,-0.48
20.61,-0.41
20.81,-0.35
21.02,-0.28
21.23,-0.22
21.44,-0.16
21.66,-0.10
21.87,-0.04
22.09,0.01
22.31,0.06
22.54,0.10
22.76,0.14
22.99,0.18
23.22,0.23
23.45,0.28
23.69,0.34
23.92,0.40
24.16,0.46
24.40,0.51
24.65,0.56
24.89,0.61
25.14,0.65
25.39,0.69
25.65,0.72
25.91,0.76
26.16,0.80
26.43,0.83
26.69,0.87
26.96,0.90
27.23,0.94
27.50,0.98
27.77,1.02
28.05,1.06
28.33,1.10
28.62,1.14
28.90,1.18
29.19,1.22
29.48,1.25
29.78,1.28
30.08,1.31
30.38,1.34
30.68,1.37
30.99,1.40
31.30,1.43
31.61,1.46
31.93,1.50
32.24,1.54
32.57,1.57
32.89,1.60
33.22,1.63
33.55,1.66
33.89,1.68
34.23,1.70
34.57,1.72
34.92,1.74
35.27,1.76
35.62,1.78
35.97,1.81
36.33,1.83
36.70,1.86
37.06,1.90
37.43,1.93
37.81,1.95
38.19,1.97
38.57,1.99
38.95,2.00
39.34,2.02
39.74,2.04
40.14,2.06
40.54,2.09
40.94,2.11
41.35,2.13
41.76,2.15
42.18,2.17
42.60,2.19
43.03,2.21
43.46,2.22
43.90,2.24
44.33,2.25
44.78,2.26
45.23,2.28
45.68,2.29
46.13,2.31
46.60,2.32
47.06,2.34
47.53,2.36
48.01,2.37
48.49,2.39
48.97,2.40
49.46,2.41
49.96,2.42
50.46,2.43
50.96,2.44
51.47,2.45
51.99,2.46
52.51,2.47
53.03,2.48
53.56,2.49
54.10,2.49
54.64,2.50
55.18,2.50
55.74,2.51
56.29,2.51
56.86,2.52
57.42,2.52
58.00,2.52
58.58,2.53
59.16,2.53
59.76,2.53
60.35,2.54
60.96,2.55
61.57,2.56
62.18,2.57
62.80,2.58
63.43,2.59
64.07,2.59
64.71,2.60
65.35,2.60
66.01,2.61
66.67,2.61
67.33,2.62
68.01,2.62
68.69,2.62
69.37,2.62
70.07,2.62
70.77,2.62
71.48,2.62
72.19,2.62
72.91,2.63
73.64,2.63
74.38,2.63
75.12,2.64
75.87,2.64
76.63,2.64
77.40,2.64
78.17,2.64
78.95,2.64
79.74,2.64
80.54,2.64
81.35,2.64
82.16,2.63
82.98,2.63
83.81,2.63
84.65,2.62
85.50,2.62
86.35,2.62
87.22,2.62
88.09,2.62
88.97,2.61
89.86,2.61
90.76,2.61
91.66,2.60
92.58,2.59
93.51,2.59
94.44,2.58
95.39,2.58
96.34,2.57
97.30,2.57
98.28,2.56
99.26,2.56
100.25,2.55
101.25,2.54
102.27,2.53
103.29,2.53
104.32,2.52
105.37,2.52
106.42,2.51
107.48,2.50
108.56,2.50
109.64,2.49
110.74,2.48
111.85,2.47
112.97,2.46
114.10,2.45
115.24,2.44
116.39,2.42
117.55,2.41
118.73,2.39
119.92,2.38
121.12,2.37
122.33,2.36
123.55,2.35
124.79,2.34
126.03,2.33
127.29,2.31
128.57,2.30
129.85,2.28
131.15,2.27
132.46,2.26
133.79,2.24
135.12,2.23
136.48,2.21
137.84,2.20
139.22,2.18
140.61,2.16
142.02,2.14
143.44,2.12
144.87,2.11
146.32,2.09
147.78,2.07
149.26,2.05
150.75,2.03
152.26,2.01
153.78,1.99
155.32,1.97
156.88,1.94
158.44,1.92
160.03,1.90
161.63,1.87
163.24,1.85
164.88,1.82
166.53,1.80
168.19,1.78
169.87,1.76
171.57,1.74
173.29,1.71
175.02,1.69
176.77,1.67
178.54,1.64
180.32,1.61
182.13,1.58
183.95,1.56
185.79,1.53
187.65,1.50
189.52,1.48
191.42,1.45
193.33,1.43
195.27,1.40
197.22,1.38
199.19,1.36
201.18,1.34
203.19,1.32
205.23,1.31
207.28,1.29
209.35,1.26
211.44,1.24
213.56,1.22
215.69,1.19
217.85,1.17
220.03,1.14
222.23,1.11
224.45,1.09
226.70,1.06
228.96,1.03
231.25,1.00
233.57,0.96
235.90,0.93
238.26,0.90
240.64,0.87
243.05,0.84
245.48,0.81
247.93,0.77
250.41,0.73
252.92,0.70
255.45,0.67
258.00,0.63
260.58,0.60
263.19,0.56
265.82,0.53
268.48,0.49
