frequency,raw
20.00,9.26
20.20,9.25
20.40,9.25
20.61,9.24
20.81,9.22
21.02,9.20
21.23,9.17
21.44,9.14
21.66,9.11
21.87,9.08
22.09,9.07
22.31,9.06
22.54,9.07
22.76,9.10
22.99,9.13
23.22,9.16
23.45,9.18
23.69,9.19
23.92,9.17
24.16,9.15
24.40,9.11
24.65,9.08
24.89,9.05
25.14,9.04
25.39,9.03
25.65,9.02
25.91,9.01
26.16,8.99
26.43,8.95
26.69,8.90
26.96,8.86
27.23,8.83
27.50,8.83
27.77,8.85
28.05,8.89
28.33,8.93
28.62,8.95
28.90,8.94
29.19,8.89
29.48,8.82
29.78,8.73
30.08,8.65
30.38,8.60
30.68,8.60
30.99,8.62
31.30,8.66
31.61,8.69
31.93,8.71
32.24,8.70
32.57,8.68
32.89,8.65
33.22,8.62
33.55,8.60
33.89,8.58
34.23,8.57
34.57,8.56
34.92,8.54
35.27,8.50
35.62,8.46
35.97,8.40
36.33,8.35
36.70,8.31
37.06,8.27
37.43,8.24
37.81,8.22
38.19,8.20
38.57,8.18
38.95,8.16
39.34,8.14
39.74,8.11
40.14,8.09
40.54,8.06
40.94,8.03
41.35,8.00
41.76,7.96
42.18,7.92
42.60,7.88
43.03,7.84
43.46,7.81
43.90,7.77
44.33,7.74
44.78,7.71
45.23,7.67
45.68,7.64
46.13,7.60
46.60,7.56
47.06,7.52
47.53,7.48
48.01,7.44
48.49,7.40
48.97,7.36
49.46,7.32
49.96,7.28
50.46,7.23
50.96,7.18
51.47,7.14
51.99,7.10
52.51,7.05
53.03,7.01
53.56,6.97
54.10,6.94
54.64,6.90
55.18,6.87
55.74,6.83
56.29,6.80
56.86,6.77
57.42,6.74
58.00,6.71
58.58,6.67
59.16,6.63
59.76,6.59
60.35,6.53
60.96,6.48
61.57,6.42
62.18,6.36
62.80,6.30
63.43,6.25
64.07,6.20
64.71,6.15
65.35,6.11
66.01,6.07
66.67,6.03
67.33,5.99
68.01,5.95
68.69,5.88
69.37,5.82
70.07,5.75
70.77,5.69
71.48,5.64
72.19,5.59
72.91,5.53
73.64,5.47
74.38,5.41
75.12,5.35
75.87,5.30
76.63,5.24
77.40,5.19
78.17,5.13
78.95,5.07
79.74,5.01
80.54,4.95
81.35,4.89
82.16,4.82
82.98,4.76
83.81,4.69
84.65,4.63
85.50,4.56
86.35,4.49
87.22,4.43
88.09,4.36
88.97,4.28
89.86,4.21
90.76,4.14
91.66,4.07
92.58,4.01
93.51,3.95
94.44,3.89
95.39,3.83
96.34,3.78
97.30,3.72
98.28,3.66
99.26,3.61
