frequency,raw
20.00,9.26
20.20,9.25
20.40,9.25
20.61,9.25
20.81,9.24
21.02,9.24
21.23,9.24
21.44,9.24
21.66,9.24
21.87,9.24
22.09,9.22
22.31,9.20
22.54,9.17
22.76,9.13
22.99,9.09
23.22,9.07
23.45,9.05
23.69,9.05
23.92,9.06
24.16,9.09
24.40,9.13
24.65,9.18
24.89,9.23
25.14,9.28
25.39,9.31
25.65,9.33
25.91,9.32
26.16,9.30
26.43,9.26
26.69,9.19
26.96,9.12
27.23,9.04
27.50,8.96
27.77,8.91
28.05,8.87
28.33,8.86
28.62,8.87
28.90,8.89
29.19,8.91
29.48,8.92
29.78,8.91
30.08,8.89
30.38,8.86
30.68,8.81
30.99,8.77
31.30,8.72
31.61,8.68
31.93,8.65
32.24,8.62
32.57,8.59
32.89,8.57
33.22,8.56
33.55,8.54
33.89,8.53
34.23,8.52
34.57,8.51
34.92,8.49
35.27,8.46
35.62,8.44
35.97,8.41
36.33,8.38
36.70,8.35
37.06,8.32
37.43,8.29
37.81,8.25
38.19,8.22
38.57,8.19
38.95,8.16
39.34,8.13
39.74,8.10
40.14,8.06
40.54,8.02
40.94,7.99
41.35,7.95
41.76,7.92
42.18,7.88
42.60,7.85
43.03,7.82
43.46,7.79
43.90,7.75
44.33,7.71
44.78,7.67
45.23,7.63
45.68,7.59
46.13,7.55
46.60,7.51
47.06,7.46
47.53,7.42
48.01,7.37
48.49,7.33
48.97,7.29
49.46,7.25
49.96,7.21
50.46,7.16
50.96,7.12
51.47,7.07
51.99,7.02
52.51,6.98
53.03,6.94
53.56,6.89
54.10,6.85
54.64,6.80
55.18,6.75
55.74,6.70
56.29,6.65
56.86,6.60
57.42,6.55
58.00,6.50
58.58,6.45
59.16,6.41
59.76,6.36
60.35,6.31
60.96,6.27
61.57,6.22
62.18,6.17
62.80,6.11
63.43,6.05
64.07,5.99
64.71,5.94
65.35,5.88
66.01,5.84
66.67,5.80
67.33,5.75
68.01,5.71
68.69,5.65
69.37,5.58
70.07,5.52
70.77,5.45
71.48,5.39
72.19,5.33
72.91,5.28
73.64,5.22
74.38,5.16
75.12,5.11
75.87,5.05
76.63,4.99
77.40,4.93
78.17,4.86
78.95,4.80
79.74,4.74
80.54,4.69
81.35,4.63
82.16,4.57
82.98,4.51
83.81,4.44
84.65,4.39
85.50,4.34
86.35,4.31
87.22,4.28
88.09,4.26
88.97,4.24
89.86,4.21
90.76,4.14
91.66,4.06
92.58,3.96
93.51,3.88
94.44,3.80
95.39,3.72
96.34,3.66
97.30,3.59
98.28,3.53
99.26,3.47
