frequency,raw
20.00,-4.07
20.20,-4.06
20.40,-4.04
20.61,-4.03
20.81,-4.00
21.02,-3.95
21.23,-3.90
21.44,-3.84
21.66,-3.76
21.87,-3.68
22.09,-3.59
22.31,-3.50
22.54,-3.41
22.76,-3.33
22.99,-3.25
23.22,-3.19
23.45,-3.14
23.69,-3.09
23.92,-3.05
24.16,-3.00
24.40,-2.95
24.65,-2.90
24.89,-2.85
25.14,-2.79
25.39,-2.74
25.65,-2.68
25.91,-2.63
26.16,-2.58
26.43,-2.54
26.69,-2.49
26.96,-2.45
27.23,-2.40
27.50,-2.36
27.77,-2.31
28.05,-2.26
28.33,-2.21
28.62,-2.15
28.90,-2.09
29.19,-2.03
29.48,-1.97
29.78,-1.93
30.08,-1.89
30.38,-1.86
30.68,-1.84
30.99,-1.83
31.30,-1.80
31.61,-1.77
31.93,-1.72
32.24,-1.67
32.57,-1.60
32.89,-1.54
33.22,-1.47
33.55,-1.40
33.89,-1.34
34.23,-1.29
34.57,-1.25
34.92,-1.21
35.27,-1.17
35.62,-1.14
35.97,-1.10
36.33,-1.06
36.70,-1.02
37.06,-0.98
37.43,-0.94
37.81,-0.89
38.19,-0.85
38.57,-0.82
38.95,-0.78
39.34,-0.75
39.74,-0.71
40.14,-0.68
40.54,-0.65
40.94,-0.61
41.35,-0.58
41.76,-0.54
42.18,-0.51
42.60,-0.47
43.03,-0.44
43.46,-0.41
43.90,-0.38
44.33,-0.34
44.78,-0.31
45.23,-0.28
45.68,-0.25
46.13,-0.21
46.60,-0.18
47.06,-0.15
47.53,-0.12
48.01,-0.09
48.49,-0.06
48.97,-0.03
49.46,0.00
49.96,0.04
50.46,0.07
50.96,0.10
51.47,0.13
51.99,0.16
52.51,0.19
53.03,0.21
53.56,0.23
54.10,0.26
54.64,0.28
55.18,0.30
55.74,0.32
56.29,0.34
56.86,0.37
57.42,0.40
58.00,0.42
58.58,0.45
59.16,0.49
59.76,0.52
60.35,0.55
60.96,0.58
61.57,0.60
62.18,0.62
62.80,0.63
63.43,0.65
64.07,0.66
64.71,0.68
65.35,0.70
66.01,0.72
66.67,0.74
67.33,0.76
68.01,0.78
68.69,0.80
69.37,0.81
70.07,0.83
70.77,0.85
71.48,0.86
72.19,0.88
72.91,0.89
73.64,0.91
74.38,0.93
75.12,0.94
75.87,0.96
76.63,0.98
77.40,0.99
78.17,1.01
78.95,1.03
79.74,1.04
80.54,1.05
81.35,1.07
82.16,1.08
82.98,1.09
83.81,1.11
84.65,1.12
85.50,1.13
86.35,1.14
87.22,1.15
88.09,1.16
88.97,1.17
89.86,1.18
90.76,1.19
91.66,1.21
92.58,1.23
93.51,1.24
94.44,1.25
95.39,1.26
96.34,1.27
97.30,1.28
98.28,1.29
99.26,1.30
100.25,1.31
101.25,1.32
102.27,1.33
103.29,1.34
104.32,1.35
105.37,1.36
106.42,1.37
107.48,1.38
108.56,1.39
109.64,1.40
110.74,1.41
111.85,1.42
112.97,1.43
114.10,1.44
115.24,1.45
116.39,1.46
117.55,1.46
118.73,1.47
119.92,1.48
121.12,1.48
122.33,1.49
123.55,1.49
124.79,1.50
126.03,1.50
127.29,1.51
128.57,1.52
129.85,1.53
131.15,1.54
132.46,1.54
133.79,1.55
135.12,1.55
