frequency,raw
20.00,3.80
20.20,3.94
20.40,4.08
20.61,4.21
20.81,4.34
21.02,4.47
21.23,4.59
21.44,4.70
21.66,4.81
21.87,4.91
22.09,5.01
22.31,5.10
22.54,5.20
22.76,5.30
22.99,5.40
23.22,5.50
23.45,5.60
23.69,5.69
23.92,5.78
24.16,5.86
24.40,5.94
24.65,6.01
24.89,6.08
25.14,6.14
25.39,6.20
25.65,6.26
25.91,6.31
26.16,6.36
26.43,6.40
26.69,6.43
26.96,6.46
27.23,6.48
27.50,6.50
27.77,6.50
28.05,6.50
28.33,6.50
28.62,6.49
28.90,6.49
29.19,6.48
29.48,6.48
29.78,6.48
30.08,6.48
30.38,6.47
30.68,6.47
30.99,6.47
31.30,6.47
31.61,6.49
31.93,6.51
32.24,6.54
32.57,6.57
32.89,6.59
33.22,6.62
33.55,6.65
33.89,6.68
34.23,6.73
34.57,6.80
34.92,6.89
35.27,6.98
35.62,7.06
35.97,7.12
36.33,7.17
36.70,7.21
37.06,7.24
37.43,7.26
37.81,7.28
38.19,7.30
38.57,7.30
38.95,7.29
39.34,7.29
39.74,7.29
40.14,7.28
40.54,7.26
40.94,7.22
41.35,7.18
41.76,7.13
42.18,7.07
42.60,7.00
43.03,6.91
43.46,6.83
43.90,6.74
44.33,6.66
44.78,6.58
45.23,6.48
45.68,6.36
46.13,6.23
46.60,6.09
47.06,5.93
47.53,5.76
48.01,5.54
48.49,5.31
48.97,5.06
49.46,4.81
49.96,4.56
50.46,4.29
50.96,4.03
51.47,3.77
51.99,3.53
52.51,3.30
53.03,3.08
53.56,2.88
54.10,2.69
54.64,2.52
55.18,2.37
55.74,2.25
56.29,2.16
56.86,2.08
57.42,2.01
58.00,1.95
58.58,1.95
59.16,1.96
59.76,1.98
60.35,2.03
60.96,2.09
61.57,2.16
62.18,2.22
62.80,2.32
63.43,2.43
64.07,2.54
64.71,2.66
65.35,2.78
66.01,2.92
66.67,3.02
67.33,3.12
68.01,3.23
68.69,3.33
69.37,3.42
70.07,3.49
70.77,3.57
71.48,3.63
72.19,3.68
72.91,3.71
73.64,3.74
74.38,3.77
75.12,3.78
75.87,3.78
76.63,3.77
77.40,3.76
78.17,3.73
78.95,3.70
79.74,3.69
80.54,3.65
81.35,3.60
82.16,3.55
82.98,3.50
83.81,3.44
84.65,3.40
85.50,3.35
86.35,3.30
87.22,3.27
88.09,3.24
88.97,3.21
89.86,3.18
90.76,3.15
91.66,3.12
92.58,3.09
93.51,3.05
94.44,3.00
95.39,2.96
96.34,2.91
97.30,2.85
98.28,2.80
99.26,2.73
100.25,2.65
101.25,2.59
102.27,2.51
103.29,2.44
104.32,2.38
105.37,2.31
106.42,2.25
107.48,2.20
108.56,2.17
109.64,2.13
110.74,2.10
111.85,2.05
112.97,2.01
114.10,1.98
115.24,1.93
116.39,1.88
117.55,1.84
118.73,1.78
119.92,1.72
121.12,1.66
122.33,1.60
123.55,1.54
124.79,1.49
126.03,1.43
127.29,1.38
128.57,1.33
129.85,1.28
131.15,1.23
132.46,1.18
133.79,1.13
135.12,1.09
136.48,1.04
137.84,1.00
139.22,0.96
140.61,0.93
142.02,0.90
143.44,0.87
144.87,0.85
146.32,0.83
147.78,0.82
149.26,0.80
150.75,0.78
152.26,0.76
153.78,0.73
155.32,0.70
156.88,0.67
158.44,0.63
160.03,0.58
161.63,0.54
163.24,0.49
164.88,0.45
166.53,0.40
168.19,0.35
169.87,0.29
171.57,0.23
