frequency,raw
20.00,-2.31
20.20,-2.30
20.40,-2.30
20.61,-2.31
20.81,-2.35
21.02,-2.40
21.23,-2.44
21.44,-2.45
21.66,-2.41
21.87,-2.35
22.09,-2.23
22.31,-2.09
22.54,-1.95
22.76,-1.82
22.99,-1.72
23.22,-1.65
23.45,-1.61
23.69,-1.58
23.92,-1.57
24.16,-1.55
24.40,-1.51
24.65,-1.45
24.89,-1.38
25.14,-1.31
25.39,-1.25
25.65,-1.22
25.91,-1.20
26.16,-1.20
26.43,-1.19
26.69,-1.16
26.96,-1.12
27.23,-1.05
27.50,-0.96
27.77,-0.88
28.05,-0.80
28.33,-0.74
28.62,-0.69
28.90,-0.65
29.19,-0.62
29.48,-0.59
29.78,-0.58
30.08,-0.57
30.38,-0.56
30.68,-0.55
30.99,-0.51
31.30,-0.46
31.61,-0.41
31.93,-0.34
32.24,-0.31
32.57,-0.28
32.89,-0.28
33.22,-0.26
33.55,-0.23
33.89,-0.18
34.23,-0.14
34.57,-0.11
34.92,-0.12
35.27,-0.14
35.62,-0.15
35.97,-0.13
36.33,-0.03
36.70,0.07
37.06,0.15
37.43,0.19
37.81,0.20
38.19,0.22
38.57,0.29
38.95,0.39
39.34,0.51
39.74,0.58
40.14,0.60
40.54,0.60
40.94,0.62
41.35,0.67
41.76,0.76
42.18,0.82
42.60,0.87
43.03,0.89
43.46,0.92
43.90,0.94
44.33,0.97
44.78,0.98
45.23,0.98
45.68,0.99
46.13,1.01
46.60,1.03
47.06,1.02
47.53,0.98
48.01,0.96
48.49,0.96
48.97,1.00
49.46,1.04
49.96,1.03
50.46,1.00
50.96,0.96
51.47,0.91
51.99,0.85
52.51,0.81
53.03,0.78
53.56,0.78
54.10,0.75
54.64,0.68
55.18,0.59
55.74,0.53
56.29,0.49
56.86,0.47
57.42,0.44
58.00,0.41
58.58,0.39
59.16,0.37
59.76,0.34
60.35,0.33
60.96,0.33
61.57,0.38
62.18,0.46
62.80,0.52
63.43,0.58
64.07,0.65
64.71,0.74
65.35,0.85
66.01,0.97
66.67,1.12
67.33,1.26
68.01,1.38
68.69,1.53
69.37,1.70
70.07,1.86
70.77,1.97
71.48,2.10
72.19,2.22
72.91,2.34
73.64,2.46
74.38,2.55
75.12,2.62
75.87,2.68
76.63,2.73
77.40,2.79
78.17,2.84
78.95,2.90
79.74,2.97
80.54,2.99
81.35,3.00
82.16,3.02
82.98,3.05
83.81,3.08
84.65,3.09
85.50,3.11
86.35,3.13
87.22,3.11
88.09,3.10
88.97,3.10
89.86,3.11
90.76,3.10
91.66,3.09
92.58,3.09
93.51,3.07
94.44,3.05
95.39,3.02
96.34,3.00
97.30,3.00
98.28,2.98
99.26,2.96
100.25,2.93
101.25,2.94
102.27,2.91
103.29,2.86
104.32,2.86
105.37,2.85
106.42,2.83
107.48,2.81
108.56,2.76
109.64,2.75
110.74,2.75
111.85,2.67
112.97,2.66
114.10,2.65
115.24,2.62
116.39,2.59
117.55,2.57
118.73,2.53
119.92,2.48
121.12,2.44
122.33,2.42
123.55,2.38
124.79,2.37
126.03,2.32
127.29,2.29
128.57,2.27
129.85,2.24
131.15,2.22
132.46,2.19
133.79,2.17
135.12,2.13
136.48,2.09
137.84,2.05
139.22,2.02
140.61,2.00
142.02,1.96
143.44,1.92
144.87,1.87
146.32,1.83
147.78,1.79
149.26,1.76
150.75,1.71
152.26,1.66
153.78,1.60
155.32,1.55
156.88,1.53
158.44,1.48
160.03,1.41
161.63,1.38
163.24,1.33
164.88,1.28
166.53,1.22
168.19,1.18
169.87,1.14
171.57,1.07
173.29,1.00
175.02,0.93
176.77,0.93
178.54,0.87
180.32,0.78
182.13,0.75
183.95,0.71
185.79,0.67
187.65,0.62
189.52,0.55
191.42,0.48
193.33,0.43
195.27,0.38
197.22,0.32
199.19,0.22
201.18,0.14
203.19,0.08
205.23,0.02
207.28,-0.06
209.35,-0.13
211.44,-0.21
213.56,-0.26
215.69,-0.33
217.85,-0.41
220.03,-0.50
222.23,-0.57
224.45,-0.64
226.70,-0.66
228.96,-0.76
231.25,-0.86
233.57,-0.94
235.90,-1.00
238.26,-1.07
240.64,-1.14
243.05,-1.19
245.48,-1.23
247.93,-1.28
250.41,-1.38
252.92,-1.43
255.45,-1.49
258.00,-1.54
260.58,-1.57
263.19,-1.63
265.82,-1.70
268.48,-1.75
271.16,-1.82
273.87,-1.88
276.61,-1.92
279.38,-1.96
282.17,-2.02
284.99,-2.07
287.84,-2.15
290.72,-2.22
293.63,-2.28
296.57,-2.34
299.53,-2.38
302.53,-2.41
305.55,-2.43
308.61,-2.48
311.69,-2.54
314.81,-2.54
317.96,-2.68
321.14,-2.78
324.35,-2.79
327.59,-2.79
330.87,-2.82
334.18,-2.97
337.52,-2.98
340.90,-2.96
344.30,-2.98
347.75,-2.97
351.23,-2.98
354.74,-3.05
358.28,-3.03
361.87,-3.03
365.49,-3.05
369.14,-3.02
372.83,-3.05
376.56,-3.08
380.33,-3.07
384.13,-3.05
387.97,-3.03
391.85,-2.99
395.77,-2.96
399.73,-2.99
403.72,-2.94
407.76,-2.88
411.84,-2.84
415.96,-2.80
420.12,-2.82
424.32,-2.89
428.56,-2.86
432.85,-2.81
437.18,-2.75
441.55,-2.78
445.96,-2.78
450.42,-2.74
454.93,-2.82
459.48,-2.79
464.07,-2.76
468.71,-2.73
473.40,-2.77
478.13,-2.76
482.91,-2.73
487.74,-2.66
492.62,-2.61
497.55,-2.63
502.52,-2.66
507.55,-2.69
512.62,-2.71
517.75,-2.72
522.93,-2.70
528.16,-2.65
533.44,-2.63
538.77,-2.64
544.16,-2.69
549.60,-2.65
555.10,-2.62
560.65,-2.61
566.25,-2.62
571.92,-2.61
577.64,-2.56
583.41,-2.57
589.25,-2.63
595.14,-2.58
601.09,-2.55
607.10,-2.59
613.17,-2.58
619.30,-2.59
625.50,-2.59
631.75,-2.58
638.07,-2.58
644.45,-2.57
650.89,-2.54
657.40,-2.54
663.98,-2.49
670.62,-2.42
677.32,-2.39
684.10,-2.36
690.94,-2.33
697.85,-2.33
704.83,-2.28
711.87,-2.22
718.99,-2.22
726.18,-2.17
733.44,-2.12
740.78,-2.08
748.19,-2.10
755.67,-2.02
763.23,-1.93
770.86,-1.94
778.57,-1.91
786.35,-1.84
794.22,-1.77
802.16,-1.72
810.18,-1.68
818.28,-1.65
826.46,-1.61
834.73,-1.51
843.08,-1.41
851.51,-1.32
860.02,-1.25
868.62,-1.23
877.31,-1.19
886.08,-1.07
894.94,-0.95
903.89,-0.85
912.93,-0.75
922.06,-0.68
931.28,-0.61
940.59,-0.54
950.00,-0.49
959.50,-0.40
969.09,-0.30
978.78,-0.20
988.57,-0.11
998.46,-0.03
1008.44,0.15
1018.53,0.31
1028.71,0.38
1039.00,0.51
1049.39,0.61
1059.88,0.67
1070.48,0.86
1081.19,1.01
1092.00,1.14
1102.92,1.26
1113.95,1.37
1125.09,1.50
1136.34,1.65
1147.70,1.81
1159.18,1.95
1170.77,2.07
1182.48,2.21
1194.30,2.33
1206.25,2.45
1218.31,2.60
1230.49,2.74
1242.80,2.88
1255.22,3.01
1267.78,3.13
1280.45,3.21
1293.26,3.31
1306.19,3.40
1319.25,3.51
1332.45,3.54
1345.77,3.55
1359.23,3.53
1372.82,3.53
1386.55,3.52
1400.41,3.50
1414.42,3.44
1428.56,3.37
1442.85,3.36
1457.28,3.32
1471.85,3.23
1486.57,3.23
1501.43,3.25
1516.45,3.22
1531.61,3.18
1546.93,3.13
1562.40,3.09
1578.02,3.05
1593.80,3.00
1609.74,2.94
1625.84,2.89
1642.10,2.88
1658.52,2.88
1675.10,2.88
1691.85,2.89
1708.77,2.89
1725.86,2.88
1743.12,2.85
1760.55,2.83
1778.15,2.81
1795.94,2.82
1813.90,2.81
1832.03,2.82
1850.36,2.85
1868.86,2.82
1887.55,2.84
1906.42,2.89
1925.49,2.94
1944.74,2.93
1964.19,3.01
1983.83,3.04
2003.67,2.99
2023.71,2.98
2043.94,2.95
2064.38,2.92
2085.03,2.88
2105.88,2.87
2126.94,2.85
2148.20,2.77
2169.69,2.66
2191.38,2.59
2213.30,2.53
2235.43,2.45
2257.78,2.41
2280.36,2.37
2303.17,2.32
2326.20,2.34
2349.46,2.51
2372.95,2.71
2396.68,2.90
2420.65,3.34
2444.86,3.89
2469.31,4.49
2494.00,5.15
2518.94,5.75
2544.13,6.33
2569.57,6.88
2595.27,7.41
2621.22,7.93
2647.43,8.40
2673.90,8.65
2700.64,8.82
2727.65,8.87
2754.93,8.85
2782.48,8.88
2810.30,8.89
2838.40,8.85
2866.79,8.87
2895.46,8.92
2924.41,8.85
2953.65,8.76
