frequency,raw
20.00,6.76
20.20,6.87
20.40,6.99
20.61,7.13
20.81,7.27
21.02,7.40
21.23,7.53
21.44,7.65
21.66,7.78
21.87,7.90
22.09,8.02
22.31,8.15
22.54,8.27
22.76,8.39
22.99,8.50
23.22,8.62
23.45,8.73
23.69,8.84
23.92,8.94
24.16,9.05
24.40,9.15
24.65,9.25
24.89,9.34
25.14,9.43
25.39,9.50
25.65,9.58
25.91,9.64
26.16,9.71
26.43,9.77
26.69,9.83
26.96,9.89
27.23,9.95
27.50,9.99
27.77,10.04
28.05,10.08
28.33,10.12
28.62,10.16
28.90,10.21
29.19,10.25
29.48,10.30
29.78,10.33
30.08,10.36
30.38,10.38
30.68,10.39
30.99,10.39
31.30,10.39
31.61,10.39
31.93,10.39
32.24,10.39
32.57,10.39
32.89,10.38
33.22,10.37
33.55,10.35
33.89,10.32
34.23,10.29
34.57,10.25
34.92,10.20
35.27,10.15
35.62,10.10
35.97,10.05
36.33,10.00
36.70,9.95
37.06,9.89
37.43,9.83
37.81,9.77
38.19,9.70
38.57,9.63
38.95,9.57
39.34,9.50
39.74,9.44
40.14,9.38
40.54,9.31
40.94,9.23
41.35,9.15
41.76,9.06
42.18,8.98
42.60,8.90
43.03,8.81
43.46,8.72
43.90,8.63
44.33,8.52
44.78,8.42
45.23,8.32
45.68,8.22
46.13,8.13
46.60,8.03
47.06,7.92
47.53,7.82
48.01,7.71
48.49,7.60
48.97,7.50
49.46,7.41
49.96,7.33
50.46,7.25
50.96,7.17
51.47,7.08
51.99,7.02
52.51,6.95
53.03,6.89
53.56,6.83
54.10,6.77
54.64,6.72
55.18,6.68
55.74,6.65
56.29,6.61
56.86,6.56
57.42,6.53
58.00,6.51
58.58,6.48
59.16,6.45
59.76,6.43
60.35,6.40
60.96,6.37
61.57,6.34
62.18,6.33
62.80,6.31
63.43,6.28
64.07,6.24
64.71,6.21
65.35,6.18
66.01,6.16
66.67,6.13
67.33,6.10
68.01,6.06
68.69,6.02
69.37,5.97
70.07,5.93
70.77,5.89
71.48,5.83
72.19,5.78
72.91,5.73
73.64,5.69
74.38,5.64
75.12,5.58
75.87,5.53
76.63,5.49
77.40,5.44
78.17,5.40
78.95,5.36
79.74,5.30
80.54,5.25
81.35,5.20
82.16,5.14
82.98,5.09
83.81,5.05
84.65,5.00
85.50,4.95
86.35,4.90
87.22,4.84
88.09,4.78
88.97,4.72
89.86,4.67
90.76,4.63
91.66,4.58
92.58,4.52
93.51,4.45
94.44,4.39
95.39,4.33
96.34,4.28
97.30,4.24
98.28,4.19
99.26,4.13
100.25,4.07
101.25,4.04
102.27,3.98
103.29,3.92
104.32,3.89
105.37,3.84
106.42,3.79
107.48,3.75
108.56,3.68
109.64,3.64
110.74,3.62
111.85,3.53
112.97,3.49
114.10,3.45
115.24,3.41
116.39,3.35
117.55,3.30
118.73,3.24
119.92,3.17
121.12,3.11
122.33,3.04
123.55,2.97
124.79,2.92
126.03,2.87
127.29,2.83
128.57,2.79
129.85,2.72
131.15,2.65
132.46,2.59
133.79,2.54
135.12,2.47
136.48,2.41
137.84,2.39
139.22,2.32
140.61,2.26
142.02,2.20
143.44,2.13
144.87,2.03
146.32,2.00
147.78,1.97
149.26,1.93
150.75,1.89
152.26,1.83
153.78,1.77
155.32,1.71
156.88,1.68
158.44,1.64
160.03,1.59
161.63,1.53
163.24,1.48
164.88,1.43
166.53,1.37
168.19,1.33
169.87,1.32
171.57,1.23
173.29,1.17
175.02,1.14
176.77,1.11
178.54,1.06
180.32,1.00
182.13,0.96
183.95,0.91
185.79,0.88
187.65,0.85
189.52,0.77
191.42,0.70
193.33,0.63
195.27,0.56
197.22,0.52
199.19,0.47
201.18,0.42
203.19,0.36
205.23,0.31
207.28,0.27
209.35,0.23
211.44,0.16
213.56,0.10
215.69,0.06
217.85,0.03
220.03,-0.02
222.23,-0.09
224.45,-0.15
226.70,-0.16
228.96,-0.22
231.25,-0.27
233.57,-0.31
235.90,-0.35
238.26,-0.39
240.64,-0.44
243.05,-0.53
245.48,-0.57
247.93,-0.62
250.41,-0.67
252.92,-0.65
255.45,-0.67
258.00,-0.72
260.58,-0.73
263.19,-0.76
265.82,-0.82
268.48,-0.85
271.16,-0.85
273.87,-0.88
276.61,-0.92
279.38,-0.93
282.17,-0.95
284.99,-0.98
287.84,-1.05
290.72,-1.10
293.63,-1.07
296.57,-1.09
299.53,-1.14
302.53,-1.12
305.55,-1.12
308.61,-1.17
311.69,-1.23
314.81,-1.23
317.96,-1.35
321.14,-1.42
324.35,-1.38
327.59,-1.39
330.87,-1.43
334.18,-1.52
337.52,-1.55
340.90,-1.55
344.30,-1.49
347.75,-1.50
351.23,-1.53
354.74,-1.54
358.28,-1.51
361.87,-1.46
365.49,-1.41
369.14,-1.41
372.83,-1.50
376.56,-1.51
380.33,-1.37
384.13,-1.33
387.97,-1.34
391.85,-1.32
395.77,-1.30
399.73,-1.29
403.72,-1.30
407.76,-1.31
411.84,-1.29
415.96,-1.28
420.12,-1.25
424.32,-1.19
428.56,-1.18
432.85,-1.19
437.18,-1.22
441.55,-1.17
445.96,-1.13
450.42,-1.11
454.93,-1.12
459.48,-1.09
464.07,-1.07
468.71,-1.06
473.40,-1.05
478.13,-1.02
482.91,-0.98
487.74,-0.96
492.62,-0.93
497.55,-0.89
502.52,-0.89
507.55,-0.92
512.62,-0.88
517.75,-0.85
522.93,-0.82
528.16,-0.81
533.44,-0.78
538.77,-0.75
544.16,-0.74
549.60,-0.73
555.10,-0.73
560.65,-0.73
566.25,-0.70
571.92,-0.68
577.64,-0.67
583.41,-0.65
589.25,-0.60
595.14,-0.61
601.09,-0.62
607.10,-0.61
613.17,-0.64
619.30,-0.58
625.50,-0.55
631.75,-0.59
638.07,-0.64
644.45,-0.64
650.89,-0.61
657.40,-0.56
663.98,-0.56
670.62,-0.60
677.32,-0.56
684.10,-0.56
690.94,-0.57
697.85,-0.56
704.83,-0.54
711.87,-0.52
718.99,-0.58
726.18,-0.52
733.44,-0.50
740.78,-0.55
748.19,-0.56
755.67,-0.56
763.23,-0.57
770.86,-0.56
778.57,-0.57
786.35,-0.59
794.22,-0.55
802.16,-0.52
810.18,-0.55
818.28,-0.56
826.46,-0.57
834.73,-0.56
843.08,-0.56
851.51,-0.56
860.02,-0.55
868.62,-0.57
877.31,-0.58
886.08,-0.54
894.94,-0.56
903.89,-0.55
912.93,-0.52
922.06,-0.51
931.28,-0.51
940.59,-0.50
950.00,-0.44
959.50,-0.38
969.09,-0.28
978.78,-0.20
988.57,-0.16
998.46,-0.03
1008.44,0.17
1018.53,0.35
1028.71,0.50
1039.00,0.66
1049.39,0.87
1059.88,1.10
1070.48,1.14
1081.19,1.18
1092.00,1.21
1102.92,1.21
1113.95,1.23
1125.09,1.28
1136.34,1.36
1147.70,1.44
1159.18,1.52
1170.77,1.60
1182.48,1.77
1194.30,1.85
1206.25,1.93
1218.31,2.04
1230.49,2.12
1242.80,2.19
1255.22,2.22
1267.78,2.31
1280.45,2.37
1293.26,2.42
1306.19,2.47
1319.25,2.56
1332.45,2.63
1345.77,2.67
1359.23,2.65
1372.82,2.66
1386.55,2.69
1400.41,2.73
1414.42,2.67
1428.56,2.61
1442.85,2.41
1457.28,2.21
1471.85,2.03
1486.57,1.95
1501.43,1.91
1516.45,1.97
1531.61,2.00
1546.93,1.97
1562.40,2.00
1578.02,2.02
1593.80,1.94
1609.74,1.87
1625.84,1.82
1642.10,1.83
1658.52,1.84
1675.10,1.85
1691.85,1.88
1708.77,1.87
1725.86,1.83
1743.12,1.83
1760.55,1.80
1778.15,1.76
1795.94,1.78
1813.90,1.84
1832.03,1.89
1850.36,1.91
1868.86,1.85
1887.55,1.97
1906.42,2.18
1925.49,2.36
1944.74,2.53
1964.19,2.79
1983.83,3.02
2003.67,3.21
2023.71,3.48
2043.94,3.74
2064.38,4.00
2085.03,4.23
2105.88,4.47
2126.94,4.75
2148.20,5.09
2169.69,5.41
2191.38,5.71
2213.30,5.96
2235.43,6.18
2257.78,6.39
2280.36,6.56
2303.17,6.71
2326.20,6.94
2349.46,7.23
2372.95,7.45
2396.68,7.60
2420.65,7.90
2444.86,8.22
2469.31,8.53
2494.00,8.79
2518.94,8.95
2544.13,9.05
2569.57,9.07
2595.27,9.08
2621.22,9.08
2647.43,9.18
2673.90,9.14
2700.64,9.10
2727.65,9.05
2754.93,8.91
2782.48,8.87
2810.30,8.87
2838.40,8.88
2866.79,9.03
2895.46,9.28
2924.41,9.29
2953.65,9.26
2983.19,9.24
3013.02,9.25
3043.15,9.31
3073.58,9.28
3104.32,9.26
3135.36,9.17
3166.72,9.15
3198.38,9.20
3230.37,9.41
3262.67,9.63
3295.30,9.83
3328.25,10.05
3361.53,10.21
3395.15,10.24
3429.10,10.15
3463.39,10.01
3498.03,9.86
3533.01,9.69
3568.34,9.50
3604.02,9.32
3640.06,9.18
3676.46,9.03
3713.22,8.85
3750.36,8.65
3787.86,8.38
3825.74,8.10
3864.00,7.76
3902.64,7.36
3941.66,6.96
3981.08,6.57
4020.89,6.19
4061.10,5.83
4101.71,5.51
4142.73,5.28
4184.15,5.16
4226.00,5.27
4268.26,5.47
4310.94,5.78
4354.05,6.00
4397.59,6.15
4441.56,6.25
4485.98,6.39
4530.84,6.51
4576.15,6.63
4621.91,6.73
4668.13,6.78
4714.81,6.72
4761.96,6.61
4809.58,6.44
4857.67,6.16
4906.25,5.82
4955.31,5.52
5004.87,5.29
5054.91,5.06
5105.46,4.89
5156.52,4.81
5208.08,4.87
5260.16,5.03
5312.77,5.22
5365.89,5.37
5419.55,5.47
5473.75,5.52
5528.49,5.48
5583.77,5.23
5639.61,4.99
5696.00,4.77
5752.96,5.04
5810.49,5.42
5868.60,6.08
5927.28,6.82
5986.56,7.64
6046.42,8.51
6106.89,9.38
6167.96,10.18
6229.64,10.81
6291.93,10.95
6354.85,10.53
6418.40,9.98
6482.58,9.29
6547.41,8.33
6612.88,7.21
6679.01,5.84
6745.80,4.31
6813.26,2.67
6881.39,0.85
6950.21,-1.04
7019.71,-2.83
7089.91,-4.28
7160.81,-5.10
7232.41,-5.51
7304.74,-5.54
7377.79,-5.55
7451.56,-5.42
7526.08,-5.10
7601.34,-4.53
7677.35,-3.79
7754.13,-2.98
7831.67,-2.17
7909.98,-1.44
7989.08,-0.84
8068.98,-0.31
8149.67,0.24
8231.16,0.85
8313.47,1.62
8396.61,2.47
8480.57,3.48
8565.38,4.59
8651.03,5.69
8737.54,6.71
8824.92,7.12
8913.17,6.43
9002.30,5.33
9092.32,3.29
9183.25,0.93
9275.08,-1.48
9367.83,-3.72
9461.51,-5.99
9556.12,-8.17
9651.68,-10.20
9748.20,-12.05
9845.68,-13.77
9944.14,-14.80
10043.58,-15.68
10144.02,-16.85
10245.46,-17.70
10347.91,-17.85
10451.39,-17.12
10555.91,-15.59
10661.46,-14.31
10768.08,-13.25
10875.76,-12.28
10984.52,-12.21
11094.36,-12.42
11205.31,-12.67
11317.36,-13.33
11430.53,-13.83
11544.84,-13.54
11660.29,-12.34
11776.89,-11.01
11894.66,-8.41
12013.60,-5.54
12133.74,-2.68
12255.08,-0.11
12377.63,2.14
12501.41,3.65
12626.42,4.71
12752.68,5.88
12880.21,6.46
13009.01,6.69
13139.10,6.91
13270.49,5.51
13403.20,3.60
13537.23,0.74
13672.60,-2.45
13809.33,-5.93
13947.42,-9.77
14086.90,-9.75
14227.77,-7.39
14370.04,-4.63
14513.74,-1.52
14658.88,0.88
14805.47,2.55
14953.52,3.00
15103.06,2.57
15254.09,1.73
15406.63,0.32
15560.70,-1.13
15716.30,-2.65
15873.47,-4.67
16032.20,-6.75
16192.52,-8.48
16354.45,-9.58
16517.99,-10.24
16683.17,-9.98
16850.01,-9.19
17018.51,-8.17
17188.69,-8.29
17360.58,-9.11
17534.18,-10.46
17709.53,-12.40
17886.62,-13.37
18065.49,-13.85
18246.14,-13.96
18428.60,-14.24
18612.89,-14.58
18799.02,-14.74
18987.01,-14.29
19176.88,-13.05
19368.65,-11.92
19562.33,-11.16
19757.96,-10.94
19955.54,-10.72
